age,production,comprehension,is_norming,sex,birth_order,caregiver_education,ethnicity
24,99,166,FALSE,Female,Fifth,College,
26,141,310,FALSE,Male,First,College,
24,357,653,FALSE,Male,First,College,
24,72,680,FALSE,Male,Second,College,
29,313,680,FALSE,Male,Second,College,
26,381,441,FALSE,Male,Second,College,
30,273,334,FALSE,Male,First,College,
28,663,678,FALSE,Male,Second,College,
20,252,,FALSE,Male,Fourth,,
27,548,,FALSE,Female,,,
20,76,,FALSE,Male,First,,
25,382,,FALSE,Male,First,,
25,359,,FALSE,Male,First,,
22,130,,FALSE,Female,First,,
24,341,,FALSE,Male,,,
30,63,,FALSE,Male,Third,,
20,252,,FALSE,,,,
17,58,,FALSE,,,,
17,53,,FALSE,,,,
28,336,,FALSE,,,,
23,362,,FALSE,,,,
19,220,,FALSE,,,,
16,143,,FALSE,,,,
16,47,,FALSE,,,,
17,47,,FALSE,,,,
24,474,,FALSE,,,,
17,248,,FALSE,,,,
19,379,,FALSE,,,,
17,39,,FALSE,,,,
18,51,,FALSE,,,,
16,10,,FALSE,,,,
20,28,,FALSE,,,,
28,474,,FALSE,,,,
28,390,,FALSE,,,,
28,389,,FALSE,,,,
17,17,,FALSE,,,,
18,17,,FALSE,,,,
22,71,,FALSE,,,,
18,20,,FALSE,,,,
18,55,,FALSE,,,,
22,247,,FALSE,,,,
24,338,,FALSE,,,,
20,171,,FALSE,,,,
17,113,,FALSE,,,,
19,386,,FALSE,,,,
17,114,,FALSE,,,,
19,339,,FALSE,,,,
18,164,,FALSE,,,,
19,248,,FALSE,,,,
19,246,,FALSE,,,,
29,424,,FALSE,,,,
18,48,,FALSE,,,,
21,107,,FALSE,,,,
24,346,,FALSE,,,,
25,309,,FALSE,,,,
19,290,,FALSE,,,,
17,173,,FALSE,,,,
18,201,,FALSE,,,,
24,35,,FALSE,,,,
19,23,,FALSE,,,,
17,15,,FALSE,,,,
17,13,,FALSE,,,,
17,15,,FALSE,,,,
30,572,,FALSE,,,,
18,83,,FALSE,,,,
18,48,,FALSE,,,,
24,452,,FALSE,,,,
24,356,,FALSE,,,,
18,44,,FALSE,,,,
19,52,,FALSE,,,,
28,648,,FALSE,,,,
18,106,,FALSE,,,,
18,249,,FALSE,,,,
18,249,,FALSE,,,,
17,102,,FALSE,,,,
24,545,,FALSE,,,,
18,200,,FALSE,,,,
19,281,,FALSE,,,,
17,112,,FALSE,,,,
28,649,,FALSE,,,,
29,169,,FALSE,,,,
17,20,,FALSE,,,,
30,629,,FALSE,,,,
30,634,,FALSE,,,,
28,609,,FALSE,,,,
29,675,,FALSE,,,,
28,529,,FALSE,,,,
27,607,,FALSE,,,,
27,548,,FALSE,,,,
27,549,,FALSE,,,,
28,475,,FALSE,,,,
28,602,,FALSE,,,,
28,475,,FALSE,,,,
18,45,,FALSE,,,,
19,74,,FALSE,,,,
25,386,,FALSE,,,,
24,150,,FALSE,,,,
24,358,,FALSE,,,,
25,395,,FALSE,,,,
29,484,,FALSE,,,,
22,55,,FALSE,,,,
25,225,,FALSE,,,,
24,140,,FALSE,,,,
24,139,,FALSE,,,,
30,580,,FALSE,,,,
29,511,,FALSE,,,,
24,490,,FALSE,,,,
26,510,,FALSE,,,,
18,221,,FALSE,,,,
30,639,,FALSE,,,,
29,621,,FALSE,,,,
22,44,,FALSE,,,,
25,48,,FALSE,,,,
30,234,,FALSE,,,,
29,220,,FALSE,,,,
29,220,,FALSE,,,,
29,402,,FALSE,,,,
24,273,,FALSE,,,,
29,639,,FALSE,,,,
25,497,,FALSE,,,,
20,117,,FALSE,,,,
30,590,,FALSE,,,,
28,368,,FALSE,,,,
25,201,,FALSE,,,,
21,87,,FALSE,,,,
21,151,,FALSE,,,,
28,347,,FALSE,,,,
24,97,,FALSE,,,,
23,314,,FALSE,,,,
25,582,,FALSE,,,,
25,474,,FALSE,,,,
20,41,,FALSE,,,,
30,639,,FALSE,,,,
24,46,,FALSE,,,,
30,308,,FALSE,,,,
18,9,,FALSE,,,,
18,3,,FALSE,,,,
28,61,,FALSE,,,,
25,119,,FALSE,,,,
18,146,,FALSE,,,,
24,515,,FALSE,,,,
30,458,,FALSE,,,,
22,363,,FALSE,,,,
28,163,,FALSE,,,,
21,24,,FALSE,,,,
30,254,,FALSE,,,,
18,407,,FALSE,,,,
22,295,,FALSE,,,,
16,34,,FALSE,,,,
20,184,,FALSE,,,,
19,113,,FALSE,,,,
17,181,,FALSE,,,,
30,368,,FALSE,,,,
29,303,,FALSE,,,,
23,217,,FALSE,,,,
25,381,,FALSE,,,,
30,559,,FALSE,,,,
30,557,,FALSE,,,,
22,19,,FALSE,,,,
29,123,,FALSE,,,,
30,150,,FALSE,,,,
24,313,,FALSE,,,,
30,418,,FALSE,,,,
29,453,,FALSE,,,,
22,135,,FALSE,,,,
29,350,,FALSE,,,,
24,378,,FALSE,,,,
18,54,,FALSE,,,,
21,100,,FALSE,,,,
28,589,,FALSE,,,,
16,75,,FALSE,,,,
17,109,,FALSE,,,,
16,69,,FALSE,,,,
17,99,,FALSE,,,,
21,157,,FALSE,,,,
18,50,,FALSE,,,,
17,38,,FALSE,,,,
25,679,,FALSE,,,,
17,27,,FALSE,,,,
23,245,,FALSE,,,,
30,26,,FALSE,,,,
29,478,,FALSE,,,,
23,149,,FALSE,,,,
28,599,,FALSE,,,,
23,273,,FALSE,,,,
26,409,,FALSE,,,,
16,7,,FALSE,,,,
30,567,,FALSE,,,,
23,407,,FALSE,,,,
20,117,,FALSE,,,,
18,62,,FALSE,,,,
26,611,,FALSE,,,,
26,197,,FALSE,,,,
29,447,,FALSE,,,,
30,459,,FALSE,,,,
24,313,,FALSE,,,,
27,556,,FALSE,,,,
30,643,,FALSE,,,,
30,544,,FALSE,,,,
24,452,,FALSE,,,,
24,557,,FALSE,,,,
30,529,,FALSE,,,,
30,290,,FALSE,,,,
22,650,,FALSE,,,,
19,496,,FALSE,,,,
17,8,,FALSE,,,,
24,522,,FALSE,,,,
23,131,,FALSE,,,,
20,50,,FALSE,,,,
26,603,,FALSE,,,,
26,507,,FALSE,,,,
30,537,,FALSE,,,,
30,530,,FALSE,,,,
30,99,,FALSE,,,,
29,606,,FALSE,,,,
30,349,,FALSE,,,,
23,60,,FALSE,,,,
18,44,,FALSE,,,,
17,35,,FALSE,,,,
19,57,,FALSE,,,,
16,13,,FALSE,,,,
17,28,,FALSE,,,,
21,137,,FALSE,,,,
30,680,,FALSE,,,,
26,557,,FALSE,,,,
30,574,,FALSE,,,,
30,658,,FALSE,,,,
18,130,,FALSE,,,,
26,418,,FALSE,,,,
21,54,,FALSE,,,,
19,472,,FALSE,,,,
21,31,,FALSE,,,,
28,289,,FALSE,,,,
21,124,,FALSE,,,,
28,673,,FALSE,,,,
17,33,,FALSE,,,,
22,225,,FALSE,,,,
25,526,,FALSE,,,,
18,334,,FALSE,,,,
27,360,,FALSE,,,,
18,91,,FALSE,,,,
29,369,,FALSE,,,,
26,195,,FALSE,,,,
27,398,,FALSE,,,,
18,54,,FALSE,,,,
24,202,,FALSE,,,,
22,151,,FALSE,,,,
20,196,,FALSE,,,,
29,567,,FALSE,,,,
25,482,,FALSE,,,,
25,482,,FALSE,,,,
20,196,,FALSE,,,,
25,480,,FALSE,,,,
19,227,,FALSE,,,,
16,36,,FALSE,,,,
24,539,,FALSE,,,,
21,165,,FALSE,,,,
17,39,,FALSE,,,,
30,483,,FALSE,,,,
27,378,,FALSE,,,,
23,91,,FALSE,,,,
28,279,,FALSE,,,,
24,47,,FALSE,,,,
17,28,,FALSE,,,,
30,489,,FALSE,,,,
24,377,,FALSE,,,,
20,258,,FALSE,,,,
29,640,,FALSE,,,,
23,106,,FALSE,,,,
24,461,,FALSE,,,,
23,360,,FALSE,,,,
30,474,,FALSE,,,,
30,441,,FALSE,,,,
18,26,,FALSE,,,,
23,259,,FALSE,,,,
27,364,,FALSE,,,,
18,64,,FALSE,,,,
20,137,,FALSE,,,,
19,193,,FALSE,,,,
19,22,,FALSE,,,,
17,59,,FALSE,,,,
17,57,,FALSE,,,,
20,39,,FALSE,,,,
26,191,,FALSE,,,,
24,97,,FALSE,,,,
18,24,,FALSE,,,,
19,14,,FALSE,,,,
23,215,,FALSE,,,,
19,166,,FALSE,,,,
25,257,,FALSE,,,,
25,256,,FALSE,,,,
24,121,,FALSE,,,,
17,6,,FALSE,,,,
30,523,,FALSE,,,,
29,259,,FALSE,,,,
20,17,,FALSE,,,,
30,323,,FALSE,,,,
22,549,,FALSE,,,,
18,91,,FALSE,,,,
30,572,,FALSE,,,,
30,572,,FALSE,,,,
30,117,,FALSE,,,,
29,318,,FALSE,,,,
29,187,,FALSE,,,,
24,178,,FALSE,,,,
17,36,,FALSE,,,,
24,140,,FALSE,,,,
20,70,,FALSE,,,,
21,101,,FALSE,,,,
26,332,,FALSE,,,,
16,28,,FALSE,,,,
17,16,,FALSE,,,,
25,55,,FALSE,,,,
27,595,,FALSE,,,,
27,602,,FALSE,,,,
30,645,,FALSE,,,,
27,233,,FALSE,,,,
28,652,,FALSE,,,,
24,309,,FALSE,,,,
21,103,,FALSE,,,,
17,22,,FALSE,,,,
