age,production,comprehension,is_norming,sex,birth_order,caregiver_education,ethnicity
23,144,144,FALSE,,,,
24,314,314,FALSE,,,,
16,0,0,FALSE,,,,
23,4,4,FALSE,,,,
16,9,9,FALSE,,,,
24,323,323,FALSE,,,,
16,23,23,FALSE,,,,
24,229,229,FALSE,,,,
24,361,361,FALSE,,,,
24,231,231,FALSE,,,,
23,80,80,FALSE,,,,
27,48,48,FALSE,,,,
16,11,11,FALSE,,,,
16,8,8,FALSE,,,,
23,343,343,FALSE,,,,
24,119,119,FALSE,,,,
16,41,41,FALSE,,,,
23,439,439,FALSE,,,,
16,0,0,FALSE,,,,
24,0,0,FALSE,,,,
23,154,154,FALSE,,,,
16,3,3,FALSE,,,,
24,264,264,FALSE,,,,
23,517,517,FALSE,,,,
16,0,0,FALSE,,,,
23,69,69,FALSE,,,,
16,2,2,FALSE,,,,
23,42,42,FALSE,,,,
24,268,268,FALSE,,,,
25,105,105,FALSE,,,,
17,0,0,FALSE,,,,
24,241,241,FALSE,,,,
24,365,365,FALSE,,,,
16,0,0,FALSE,,,,
24,248,248,FALSE,,,,
23,159,159,FALSE,,,,
24,233,233,FALSE,,,,
18,0,0,FALSE,,,,
23,46,46,FALSE,,,,
24,30,30,FALSE,,,,
16,15,15,FALSE,,,,
23,165,165,FALSE,,,,
16,2,2,FALSE,,,,
24,100,100,FALSE,,,,
24,366,366,FALSE,,,,
16,44,44,FALSE,,,,
24,433,433,FALSE,,,,
23,174,174,FALSE,,,,
16,5,5,FALSE,,,,
24,100,100,FALSE,,,,
23,159,159,FALSE,,,,
16,8,8,FALSE,,,,
16,13,13,FALSE,,,,
23,140,140,FALSE,,,,
16,6,6,FALSE,,,,
23,245,245,FALSE,,,,
16,27,27,FALSE,,,,
24,323,323,FALSE,,,,
24,140,140,FALSE,,,,
23,133,133,FALSE,,,,
17,9,9,FALSE,,,,
23,15,15,FALSE,,,,
16,9,9,FALSE,,,,
24,112,112,FALSE,,,,
16,7,7,FALSE,,,,
24,57,57,FALSE,,,,
16,18,18,FALSE,,,,
23,0,0,FALSE,,,,
23,197,197,FALSE,,,,
17,4,4,FALSE,,,,
26,86,86,FALSE,,,,
16,3,3,FALSE,,,,
23,28,28,FALSE,,,,
16,53,53,FALSE,,,,
24,325,325,FALSE,,,,
16,0,0,FALSE,,,,
17,30,30,FALSE,,,,
16,46,46,FALSE,,,,
24,389,389,FALSE,,,,
16,3,3,FALSE,,,,
24,258,258,FALSE,,,,
16,43,43,FALSE,,,,
24,302,302,FALSE,,,,
24,210,210,FALSE,,,,
24,488,488,FALSE,,,,
24,92,92,FALSE,,,,
24,247,247,FALSE,,,,
24,110,110,FALSE,,,,
16,29,29,FALSE,,,,
23,600,600,FALSE,,,,
16,11,11,FALSE,,,,
23,40,40,FALSE,,,,
24,265,265,FALSE,,,,
16,11,11,FALSE,,,,
23,297,297,FALSE,,,,
23,346,346,FALSE,,,,
16,12,12,FALSE,,,,
25,118,118,FALSE,,,,
16,5,5,FALSE,,,,
16,6,6,FALSE,,,,
16,493,493,FALSE,,,,
24,167,167,FALSE,,,,
23,62,62,FALSE,,,,
16,9,9,FALSE,,,,
23,106,106,FALSE,,,,
16,13,13,FALSE,,,,
23,120,120,FALSE,,,,
23,260,260,FALSE,,,,
24,68,68,FALSE,,,,
16,19,19,FALSE,,,,
24,536,536,FALSE,,,,
23,277,277,FALSE,,,,
16,27,27,FALSE,,,,
23,376,376,FALSE,,,,
16,1,1,FALSE,,,,
23,48,48,FALSE,,,,
23,133,133,FALSE,,,,
16,61,61,FALSE,,,,
24,602,602,FALSE,,,,
26,185,185,FALSE,Male,First,Some Secondary,
26,233,233,FALSE,Female,First,Some Secondary,
26,414,414,FALSE,Male,First,Some Secondary,
26,215,215,FALSE,Male,First,Some Secondary,
26,106,106,FALSE,Female,First,Some Secondary,
26,381,381,FALSE,Male,First,Some Secondary,
26,190,190,FALSE,Male,First,Some Secondary,
26,283,283,FALSE,Female,First,Some Secondary,
26,146,146,FALSE,Male,First,Some Secondary,
26,232,232,FALSE,Male,First,Some Secondary,
26,220,220,FALSE,Male,First,Some Secondary,
26,288,288,FALSE,Female,First,Some Secondary,
26,287,287,FALSE,Male,First,Some Secondary,
26,355,355,FALSE,Male,First,Some Secondary,
26,56,56,FALSE,Male,Second,Some Secondary,
26,485,485,FALSE,Female,First,Some Secondary,
26,63,63,FALSE,Male,First,Some Secondary,
26,284,284,FALSE,Male,Second,Some Secondary,
26,408,408,FALSE,Male,Second,Some Secondary,
26,560,560,FALSE,Female,Second,Some Secondary,
26,38,38,FALSE,Female,First,Some Secondary,
26,522,522,FALSE,Female,First,Some Secondary,
26,168,168,FALSE,Male,First,Some Secondary,
26,479,479,FALSE,Female,First,Some Secondary,
26,518,518,FALSE,Male,First,Some Secondary,
26,104,104,FALSE,Male,First,Some Secondary,
26,50,50,FALSE,Female,First,Some Secondary,
26,131,131,FALSE,Female,First,Some Secondary,
26,294,294,FALSE,Female,Second,Some Secondary,
26,18,18,FALSE,Male,First,Some Secondary,
26,407,407,FALSE,Female,First,Some Secondary,
27,396,396,FALSE,Female,First,Some Secondary,
27,266,266,FALSE,Male,Second,Some Secondary,
27,202,202,FALSE,Male,First,Some Secondary,
27,184,184,FALSE,Female,First,Some Secondary,
27,200,200,FALSE,Male,Third,Some Secondary,
27,328,328,FALSE,Female,First,Some Secondary,
27,569,569,FALSE,Female,First,Some Secondary,
27,72,72,FALSE,Female,First,Some Secondary,
27,525,525,FALSE,Female,First,Some Secondary,
27,123,123,FALSE,Female,First,Some Secondary,
27,278,278,FALSE,Male,First,Some Secondary,
27,317,317,FALSE,Female,First,Some Secondary,
27,472,472,FALSE,Female,First,Some Secondary,
27,191,191,FALSE,Male,First,Some Secondary,
27,507,507,FALSE,Female,First,Some Secondary,
27,522,522,FALSE,Female,First,Some Secondary,
27,410,410,FALSE,Male,First,Some Secondary,
27,414,414,FALSE,Female,First,Some Secondary,
27,383,383,FALSE,Female,First,Some Secondary,
27,19,19,FALSE,Male,First,Some Secondary,
27,221,221,FALSE,Male,Second,Some Secondary,
27,283,283,FALSE,Female,First,Some Secondary,
27,389,389,FALSE,Male,First,Some Secondary,
27,355,355,FALSE,Female,Second,Some Secondary,
27,97,97,FALSE,Female,First,Some Secondary,
