age,production,comprehension,is_norming,sex,birth_order,caregiver_education,ethnicity
16,3,31,FALSE,Female,First,Some College,
16,56,57,FALSE,Female,First,College,
16,0,16,FALSE,Female,First,College,
16,27,80,FALSE,Female,Second,Graduate,
16,98,113,FALSE,Female,First,Some College,
16,48,56,FALSE,Female,Second,Secondary,
16,14,72,FALSE,Female,Second,College,
16,5,57,FALSE,Male,First,College,
16,3,9,FALSE,Male,First,Some College,
16,23,64,FALSE,Male,First,College,
16,7,51,FALSE,Male,First,Graduate,
16,5,44,FALSE,Female,First,College,
16,7,54,FALSE,Female,First,College,
16,51,51,FALSE,Female,First,College,
16,20,22,FALSE,Female,First,Graduate,
16,20,80,FALSE,Female,First,Graduate,
16,22,41,FALSE,Male,Second,College,
14,6,14,FALSE,Female,Second,College,
14,6,43,FALSE,Male,First,College,
14,13,27,FALSE,Male,First,Some College,
14,134,143,FALSE,Male,First,Primary,
14,4,8,FALSE,Female,First,College,
14,66,77,FALSE,Female,First,Graduate,
14,17,117,FALSE,Male,First,Some College,
14,4,21,FALSE,Male,First,Secondary,
14,10,50,FALSE,Female,First,College,
14,11,51,FALSE,Female,First,Graduate,
14,88,97,FALSE,Female,Third,Secondary,
14,8,40,FALSE,Female,Second,Some College,
14,12,16,FALSE,Male,Third,Graduate,
14,106,113,FALSE,Male,First,College,
14,73,77,FALSE,Male,First,College,
14,87,143,FALSE,Female,First,College,
14,10,36,FALSE,Male,First,,
14,23,23,FALSE,Female,First,Some College,
14,11,23,FALSE,Female,First,College,
16,75,95,FALSE,Male,Third,Primary,
14,111,116,FALSE,Female,Second,Some College,
16,21,39,FALSE,Female,First,Graduate,
15,40,130,FALSE,Female,First,College,
15,129,140,FALSE,Male,Second,Primary,
15,34,53,FALSE,Female,First,Some College,
15,9,11,FALSE,Female,Second,Secondary,
15,26,63,FALSE,Male,Second,Secondary,
15,10,20,FALSE,Female,First,College,
15,2,14,FALSE,Male,First,Graduate,
15,0,25,FALSE,Male,Second,Secondary,
15,18,24,FALSE,Male,First,Graduate,
15,17,30,FALSE,Female,First,Graduate,
15,28,74,FALSE,Female,First,College,
15,11,80,FALSE,Male,First,Some College,
15,18,34,FALSE,Female,First,Some College,
15,8,15,FALSE,Female,First,College,
15,83,137,FALSE,Male,First,College,
15,1,25,FALSE,Male,First,Some College,
15,13,49,FALSE,Male,Third,Secondary,
15,51,70,FALSE,Female,First,Graduate,
15,33,64,FALSE,Female,First,College,
15,18,74,FALSE,Male,First,Primary,
15,11,17,FALSE,Male,First,Some College,
15,99,111,FALSE,Female,Second,Some College,
15,2,175,FALSE,Female,First,Secondary,
15,4,11,FALSE,Male,First,College,
15,101,101,FALSE,Female,First,Secondary,
15,4,39,FALSE,Female,First,Some College,
15,14,77,FALSE,Male,First,Secondary,
15,0,7,FALSE,Male,Second,Primary,
15,0,36,FALSE,Male,First,Graduate,
15,30,36,FALSE,Female,First,College,
15,192,192,FALSE,Female,First,College,
15,12,33,FALSE,Male,First,Secondary,
15,0,1,FALSE,Male,First,Primary,
15,12,41,FALSE,Female,First,Graduate,
15,191,198,FALSE,Female,Second,Some College,
15,76,104,FALSE,Male,First,Some College,
15,0,64,FALSE,Female,Second,Some College,
15,0,51,FALSE,Male,First,College,
16,25,28,FALSE,Male,Third,Graduate,
16,7,55,FALSE,Male,First,Graduate,
16,200,201,FALSE,Female,First,Some College,
16,100,119,FALSE,Male,Second,College,
16,37,354,FALSE,Female,First,Some College,
