age,production,comprehension,is_norming,sex,birth_order,caregiver_education,ethnicity
24,385,,FALSE,Male,Second,,
16,13,,FALSE,Female,First,,
22,58,,FALSE,Female,First,,
24,116,,FALSE,Male,Fifth,,
28,484,,FALSE,Female,Second,,
18,58,,FALSE,Male,First,College,
18,260,,FALSE,Female,First,College,
18,14,,FALSE,Female,Second,College,
18,29,,FALSE,Male,First,College,
18,155,,FALSE,Female,First,College,
18,10,,FALSE,Male,First,College,
18,17,,FALSE,Female,Second,College,
18,103,,FALSE,Female,First,College,
24,330,,FALSE,Male,First,College,
24,275,,FALSE,Female,First,College,
24,262,,FALSE,Female,First,College,
24,298,,FALSE,Male,First,College,
24,393,,FALSE,Female,First,College,
24,186,,FALSE,Male,First,College,
24,196,,FALSE,Male,Second,College,
24,384,,FALSE,Male,First,College,
24,496,,FALSE,Female,First,College,
24,536,,FALSE,Male,First,College,
25,468,,FALSE,Male,First,College,
30,661,,FALSE,Male,First,College,
30,638,,FALSE,Male,First,College,
30,354,,FALSE,Female,First,College,
30,600,,FALSE,Male,First,College,
30,624,,FALSE,Female,Second,College,
30,148,,FALSE,Female,Second,College,
30,579,,FALSE,Male,First,College,
30,379,,FALSE,Male,First,College,
30,645,,FALSE,Female,Second,College,
22,208,,FALSE,Male,First,College,
22,102,,FALSE,Male,First,College,
22,88,,FALSE,Male,First,College,
22,179,,FALSE,Female,Second,College,
28,551,,FALSE,Female,First,College,
23,85,,FALSE,Female,First,College,
28,237,,FALSE,Female,First,College,
23,542,,FALSE,Female,Second,College,
23,262,,FALSE,Female,Second,College,
23,84,,FALSE,Male,First,College,
23,337,,FALSE,Male,First,College,
23,124,,FALSE,Male,First,College,
23,274,,FALSE,Female,Second,College,
23,33,,FALSE,Male,Second,College,
23,311,,FALSE,Male,First,College,
23,185,,FALSE,Female,First,College,
24,167,,FALSE,Female,Second,College,
24,157,,FALSE,Male,Second,College,
24,385,,FALSE,Female,Second,College,
24,55,,FALSE,Female,First,College,
24,382,,FALSE,Female,First,College,
24,286,,FALSE,Male,First,College,
16,0,,FALSE,Male,First,College,
16,32,,FALSE,Female,First,College,
16,11,,FALSE,Female,First,College,
16,7,,FALSE,Male,Second,College,
16,25,,FALSE,Male,First,College,
16,102,,FALSE,Female,First,College,
16,82,,FALSE,Female,First,College,
16,6,,FALSE,Male,Second,College,
16,8,,FALSE,Male,First,College,
