age,production,comprehension,is_norming,sex,birth_order,caregiver_education,ethnicity
26,608,608,TRUE,Female,,,
26,509,547,TRUE,Female,,,
21,592,607,TRUE,Female,,,
25,464,556,TRUE,Male,,,
25,523,549,TRUE,Male,,,
26,576,601,TRUE,Male,,,
26,591,605,TRUE,Male,,,
26,232,484,TRUE,Male,,,
26,510,541,TRUE,Male,,,
26,368,584,TRUE,Male,,,
24,179,451,TRUE,Female,,,
25,212,527,TRUE,Female,,,
29,513,571,TRUE,Female,,,
26,547,578,TRUE,Female,,,
26,441,531,TRUE,Female,,,
25,509,552,TRUE,Female,,,
26,595,601,TRUE,Female,,,
25,256,445,TRUE,Female,,,
25,368,507,TRUE,Female,,,
26,527,572,TRUE,Male,,,
36,572,593,TRUE,Male,,,
26,381,495,TRUE,Male,,,
25,586,589,TRUE,Male,,,
25,577,605,TRUE,Male,,,
25,422,532,TRUE,Female,,,
33,538,602,TRUE,Female,,,
26,501,542,TRUE,Female,,,
26,430,581,TRUE,Female,,,
25,155,556,TRUE,Female,,,
26,346,609,TRUE,Female,,,
25,115,427,TRUE,Female,,,
26,566,609,TRUE,Male,,,
26,298,599,TRUE,Male,,,
25,431,590,TRUE,Male,,,
25,155,459,TRUE,Male,,,
25,600,600,TRUE,Male,,,
29,594,600,TRUE,Female,,,
25,558,608,TRUE,Female,,,
27,563,567,TRUE,Female,,,
25,398,496,TRUE,Male,,,
23,112,322,TRUE,Male,,,
24,285,474,TRUE,Female,,,
23,206,465,TRUE,Male,,,
24,578,594,TRUE,Female,,,
25,86,527,TRUE,Male,,,
27,539,581,TRUE,Male,,,
23,140,435,TRUE,Female,,,
23,11,31,TRUE,Female,,,
24,543,543,TRUE,Female,,,
31,519,595,TRUE,Female,,,
23,572,592,TRUE,Male,,,
25,415,550,TRUE,Male,,,
25,515,575,TRUE,Male,,,
22,120,454,TRUE,Male,,,
21,46,536,TRUE,Male,,,
26,119,392,TRUE,Male,,,
21,381,465,TRUE,Female,,,
20,262,443,TRUE,Male,,,
28,527,591,TRUE,Male,,,
27,84,199,TRUE,Male,,,
23,428,441,TRUE,Female,,,
21,344,506,TRUE,Male,,,
24,420,532,TRUE,Male,,,
21,46,540,TRUE,Male,,,
19,356,536,TRUE,Female,,,
20,335,479,TRUE,Female,,,
24,180,427,TRUE,Male,,,
18,566,597,TRUE,Male,,,
27,395,552,TRUE,Female,,,
26,584,601,TRUE,Male,,,
24,575,586,TRUE,Female,,,
22,313,473,TRUE,Male,,,
31,347,497,TRUE,Female,,,
28,559,609,TRUE,Female,,,
22,72,340,TRUE,Female,,,
23,543,585,TRUE,Female,,,
26,587,588,TRUE,Male,,,
26,181,409,TRUE,Male,,,
22,343,517,TRUE,Female,,,
26,309,511,TRUE,Male,,,
28,422,531,TRUE,Male,,,
27,444,578,TRUE,Male,,,
26,390,562,TRUE,Female,,,
28,280,476,TRUE,Male,,,
18,123,259,TRUE,Female,,,
17,23,270,TRUE,Female,,,
30,609,609,TRUE,Male,,,
30,609,609,TRUE,Female,,,
21,28,450,TRUE,Female,,,
28,282,423,TRUE,Male,,,
21,376,546,TRUE,Male,,,
22,433,531,TRUE,Female,,,
23,484,580,TRUE,Female,,,
24,398,541,TRUE,Male,,,
22,317,522,TRUE,Female,,,
19,13,201,TRUE,Female,,,
27,18,306,TRUE,Male,,,
27,14,309,TRUE,Male,,,
