language,age,words,n,measure,prop
Japanese,16,ちょっと,11,produces,0
Japanese,16,ちょっと,11,understands,0
Japanese,17,ちょっと,17,produces,0
Japanese,17,ちょっと,17,understands,0
Japanese,18,ちょっと,56,produces,0
Japanese,18,ちょっと,56,understands,0
Japanese,19,ちょっと,35,produces,0
Japanese,19,ちょっと,35,understands,0
Japanese,20,ちょっと,59,produces,0.0339
Japanese,20,ちょっと,59,understands,0
Japanese,21,ちょっと,62,produces,0.0323
Japanese,21,ちょっと,62,understands,0
Japanese,22,ちょっと,31,produces,0.0645
Japanese,22,ちょっと,31,understands,0
Japanese,23,ちょっと,67,produces,0.194
Japanese,23,ちょっと,67,understands,0
Japanese,24,ちょっと,33,produces,0.3939
Japanese,24,ちょっと,33,understands,0
Japanese,25,ちょっと,34,produces,0.3235
Japanese,25,ちょっと,34,understands,0
Japanese,26,ちょっと,33,produces,0.4848
Japanese,26,ちょっと,33,understands,0
Japanese,27,ちょっと,15,produces,0.3333
Japanese,27,ちょっと,15,understands,0
Japanese,28,ちょっと,18,produces,0.3889
Japanese,28,ちょっと,18,understands,0
Japanese,29,ちょっと,17,produces,0.5294
Japanese,29,ちょっと,17,understands,0
Japanese,30,ちょっと,18,produces,0.5556
Japanese,30,ちょっと,18,understands,0
Japanese,31,ちょっと,18,produces,0.6111
Japanese,31,ちょっと,18,understands,0
Japanese,32,ちょっと,13,produces,0.8462
Japanese,32,ちょっと,13,understands,0
Japanese,33,ちょっと,16,produces,0.8125
Japanese,33,ちょっと,16,understands,0
Japanese,34,ちょっと,13,produces,0.5385
Japanese,34,ちょっと,13,understands,0
Japanese,35,ちょっと,31,produces,0.9032
Japanese,35,ちょっと,31,understands,0
Japanese,36,ちょっと,18,produces,0.7778
Japanese,36,ちょっと,18,understands,0
Latvian,17,nedaudz,27,produces,0
Latvian,17,nedaudz,27,understands,0
Latvian,18,nedaudz,21,produces,0
Latvian,18,nedaudz,21,understands,0
Latvian,19,nedaudz,28,produces,0
Latvian,19,nedaudz,28,understands,0
Latvian,20,nedaudz,34,produces,0
Latvian,20,nedaudz,34,understands,0
Latvian,21,nedaudz,26,produces,0.0385
Latvian,21,nedaudz,26,understands,0
Latvian,22,nedaudz,32,produces,0.0312
Latvian,22,nedaudz,32,understands,0
Latvian,23,nedaudz,25,produces,0
Latvian,23,nedaudz,25,understands,0
Latvian,24,nedaudz,30,produces,0.0667
Latvian,24,nedaudz,30,understands,0
Latvian,25,nedaudz,29,produces,0.069
Latvian,25,nedaudz,29,understands,0
Latvian,26,nedaudz,22,produces,0
Latvian,26,nedaudz,22,understands,0
Latvian,27,nedaudz,18,produces,0.1111
Latvian,27,nedaudz,18,understands,0
Latvian,28,nedaudz,23,produces,0.087
Latvian,28,nedaudz,23,understands,0
Latvian,29,nedaudz,24,produces,0
Latvian,29,nedaudz,24,understands,0
Latvian,30,nedaudz,26,produces,0.1923
Latvian,30,nedaudz,26,understands,0
Latvian,31,nedaudz,19,produces,0.0526
Latvian,31,nedaudz,19,understands,0
Latvian,32,nedaudz,25,produces,0.08
Latvian,32,nedaudz,25,understands,0
Latvian,33,nedaudz,31,produces,0.1935
Latvian,33,nedaudz,31,understands,0
Latvian,34,nedaudz,17,produces,0.1765
Latvian,34,nedaudz,17,understands,0
Latvian,35,nedaudz,21,produces,0.381
Latvian,35,nedaudz,21,understands,0
Latvian,36,nedaudz,22,produces,0.2727
Latvian,36,nedaudz,22,understands,0
Russian,18,чуть-чуть,42,produces,0.0238
Russian,18,чуть-чуть,42,understands,0
Russian,19,чуть-чуть,41,produces,0.1707
Russian,19,чуть-чуть,41,understands,0
Russian,20,чуть-чуть,45,produces,0.1778
Russian,20,чуть-чуть,45,understands,0
Russian,21,чуть-чуть,43,produces,0.3023
Russian,21,чуть-чуть,43,understands,0
Russian,22,чуть-чуть,51,produces,0.3922
Russian,22,чуть-чуть,51,understands,0
Russian,23,чуть-чуть,56,produces,0.3571
Russian,23,чуть-чуть,56,understands,0
Russian,24,чуть-чуть,61,produces,0.377
Russian,24,чуть-чуть,61,understands,0
Russian,25,чуть-чуть,66,produces,0.5455
Russian,25,чуть-чуть,66,understands,0
Russian,26,чуть-чуть,52,produces,0.5192
Russian,26,чуть-чуть,52,understands,0
Russian,27,чуть-чуть,60,produces,0.45
Russian,27,чуть-чуть,60,understands,0
Russian,28,чуть-чуть,60,produces,0.5833
Russian,28,чуть-чуть,60,understands,0
Russian,29,чуть-чуть,58,produces,0.6379
Russian,29,чуть-чуть,58,understands,0
Russian,30,чуть-чуть,77,produces,0.6623
Russian,30,чуть-чуть,77,understands,0
Russian,31,чуть-чуть,61,produces,0.7213
Russian,31,чуть-чуть,61,understands,0
Russian,32,чуть-чуть,55,produces,0.7455
Russian,32,чуть-чуть,55,understands,0
Russian,33,чуть-чуть,55,produces,0.7273
Russian,33,чуть-чуть,55,understands,0
Russian,34,чуть-чуть,58,produces,0.7241
Russian,34,чуть-чуть,58,understands,0
Russian,35,чуть-чуть,47,produces,0.7447
Russian,35,чуть-чуть,47,understands,0
Russian,36,чуть-чуть,49,produces,0.8776
Russian,36,чуть-чуть,49,understands,0
Catalan,8,poc,39,produces,0
Catalan,8,poc,39,understands,0
Catalan,9,poc,46,produces,0
Catalan,9,poc,46,understands,0
Catalan,10,poc,43,produces,0
Catalan,10,poc,43,understands,0.0233
Catalan,11,poc,43,produces,0
Catalan,11,poc,43,understands,0.0233
Catalan,12,poc,59,produces,0
Catalan,12,poc,59,understands,0.1017
Catalan,13,poc,44,produces,0
Catalan,13,poc,44,understands,0.0227
Catalan,14,poc,60,produces,0
Catalan,14,poc,60,understands,0.1
Catalan,15,poc,70,produces,0
Catalan,15,poc,70,understands,0.1714
Catalan,16,"poc, (una) mica",73,produces,0
Catalan,16,"poc, (una) mica",73,understands,0.137
Catalan,17,"poc, (una) mica",110,produces,0
Catalan,17,"poc, (una) mica",110,understands,0.1364
Catalan,18,"poc, (una) mica",102,produces,0.0098
Catalan,18,"poc, (una) mica",102,understands,0.0882
Catalan,19,(una) mica,45,produces,0.0222
Catalan,19,(una) mica,45,understands,0
Catalan,20,(una) mica,56,produces,0.0714
Catalan,20,(una) mica,56,understands,0
Catalan,21,(una) mica,58,produces,0.1207
Catalan,21,(una) mica,58,understands,0
Catalan,22,(una) mica,50,produces,0.3
Catalan,22,(una) mica,50,understands,0
Catalan,23,(una) mica,66,produces,0.1364
Catalan,23,(una) mica,66,understands,0
Catalan,24,(una) mica,79,produces,0.443
Catalan,24,(una) mica,79,understands,0
Catalan,25,(una) mica,60,produces,0.3833
Catalan,25,(una) mica,60,understands,0
Catalan,26,(una) mica,65,produces,0.5077
Catalan,26,(una) mica,65,understands,0
Catalan,27,(una) mica,63,produces,0.6984
Catalan,27,(una) mica,63,understands,0
Catalan,28,(una) mica,81,produces,0.6049
Catalan,28,(una) mica,81,understands,0
Catalan,29,(una) mica,50,produces,0.76
Catalan,29,(una) mica,50,understands,0
Catalan,30,(una) mica,75,produces,0.7067
Catalan,30,(una) mica,75,understands,0
Czech,16,"málo, trochu",29,produces,0
Czech,16,"málo, trochu",29,understands,0
Czech,17,"málo, trochu",29,produces,0
Czech,17,"málo, trochu",29,understands,0
Czech,18,"málo, trochu",45,produces,0.0556
Czech,18,"málo, trochu",45,understands,0
Czech,19,"málo, trochu",27,produces,0
Czech,19,"málo, trochu",27,understands,0
Czech,20,"málo, trochu",26,produces,0.1538
Czech,20,"málo, trochu",26,understands,0
Czech,21,"málo, trochu",34,produces,0.1029
Czech,21,"málo, trochu",34,understands,0
Czech,22,"málo, trochu",36,produces,0.1528
Czech,22,"málo, trochu",36,understands,0
Czech,23,"málo, trochu",46,produces,0.25
Czech,23,"málo, trochu",46,understands,0
Czech,24,"málo, trochu",35,produces,0.3571
Czech,24,"málo, trochu",35,understands,0
Czech,25,"málo, trochu",35,produces,0.3143
Czech,25,"málo, trochu",35,understands,0
Czech,26,"málo, trochu",22,produces,0.4773
Czech,26,"málo, trochu",22,understands,0
Czech,27,"málo, trochu",37,produces,0.4054
Czech,27,"málo, trochu",37,understands,0
Czech,28,"málo, trochu",26,produces,0.5192
Czech,28,"málo, trochu",26,understands,0
Czech,29,"málo, trochu",39,produces,0.4744
Czech,29,"málo, trochu",39,understands,0
Czech,30,"málo, trochu",27,produces,0.6296
Czech,30,"málo, trochu",27,understands,0
Dutch,8,eenbeetje,7,produces,0
Dutch,8,eenbeetje,7,understands,0
Dutch,9,eenbeetje,94,produces,0
Dutch,9,eenbeetje,94,understands,0
Dutch,10,eenbeetje,128,produces,0
Dutch,10,eenbeetje,128,understands,0.0078
Dutch,11,eenbeetje,9,produces,0
Dutch,11,eenbeetje,9,understands,0
Dutch,12,eenbeetje,7,produces,0
Dutch,12,eenbeetje,7,understands,0
Dutch,13,eenbeetje,6,produces,0
Dutch,13,eenbeetje,6,understands,0
Dutch,14,eenbeetje,35,produces,0
Dutch,14,eenbeetje,35,understands,0
Dutch,15,"beetje, eenbeetje",9,produces,0
Dutch,15,"beetje, eenbeetje",9,understands,0.1111
Dutch,16,"beetje, eenbeetje",12,produces,0
Dutch,16,"beetje, eenbeetje",12,understands,0
Dutch,17,"beetje, eenbeetje",55,produces,0
Dutch,17,"beetje, eenbeetje",55,understands,0.0364
Dutch,18,"beetje, eenbeetje",198,produces,0.0354
Dutch,18,"beetje, eenbeetje",198,understands,0.0859
Dutch,19,"beetje, eenbeetje",101,produces,0.0693
Dutch,19,"beetje, eenbeetje",101,understands,0.3465
Dutch,20,"beetje, eenbeetje",33,produces,0.1212
Dutch,20,"beetje, eenbeetje",33,understands,0.3939
Dutch,21,"beetje, eenbeetje",13,produces,0.0769
Dutch,21,"beetje, eenbeetje",13,understands,0.1538
Dutch,22,eenbeetje,7,produces,0.2857
Dutch,22,eenbeetje,7,understands,0
Dutch,23,eenbeetje,51,produces,0.2549
Dutch,23,eenbeetje,51,understands,0
Dutch,24,eenbeetje,31,produces,0.2581
Dutch,24,eenbeetje,31,understands,0
Dutch,25,eenbeetje,6,produces,0.5
Dutch,25,eenbeetje,6,understands,0
Dutch,26,eenbeetje,6,produces,0.5
Dutch,26,eenbeetje,6,understands,0
Dutch,27,eenbeetje,5,produces,0.6
Dutch,27,eenbeetje,5,understands,0
Dutch,28,eenbeetje,6,produces,0.6667
Dutch,28,eenbeetje,6,understands,0
Dutch,29,eenbeetje,23,produces,0.7826
Dutch,29,eenbeetje,23,understands,0
Dutch,30,eenbeetje,24,produces,0.7083
Dutch,30,eenbeetje,24,understands,0
Dutch,31,eenbeetje,2,produces,1
Dutch,31,eenbeetje,2,understands,0
German,18,ein bisschen,85,produces,0.0235
German,18,ein bisschen,85,understands,0
German,19,ein bisschen,79,produces,0.0253
German,19,ein bisschen,79,understands,0
German,20,ein bisschen,96,produces,0.0729
German,20,ein bisschen,96,understands,0
German,21,ein bisschen,77,produces,0.1169
German,21,ein bisschen,77,understands,0
German,22,ein bisschen,95,produces,0.1053
German,22,ein bisschen,95,understands,0
