language,sex,age,words,n,measure,prop
Arabic (Saudi),All,8,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",24,produces,0
Arabic (Saudi),All,8,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",24,understands,0.0833
Arabic (Saudi),All,9,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",27,produces,0
Arabic (Saudi),All,9,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",27,understands,0
Arabic (Saudi),All,10,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",35,produces,0
Arabic (Saudi),All,10,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",35,understands,0.0571
Arabic (Saudi),All,11,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",30,produces,0
Arabic (Saudi),All,11,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",30,understands,0.0333
Arabic (Saudi),All,12,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",30,produces,0
Arabic (Saudi),All,12,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",30,understands,0.0667
Arabic (Saudi),All,13,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",39,produces,0
Arabic (Saudi),All,13,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",39,understands,0
Arabic (Saudi),All,14,"منتبه/حذر/ انتبه, منتبه/ حذر/ انتبه",25,produces,0
Arabic (Saudi),All,14,"منتبه/حذر/ انتبه, منتبه/ حذر/ انتبه",25,understands,0.08
Arabic (Saudi),All,15,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",27,produces,0.037
Arabic (Saudi),All,15,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",27,understands,0.0741
Arabic (Saudi),All,16,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",21,produces,0.0476
Arabic (Saudi),All,16,"منتبه/ حذر/ انتبه, منتبه/حذر/ انتبه",21,understands,0.0476
Kigiriama,All,16,Matso,1,produces,0
Kigiriama,All,16,Matso,1,understands,0
Kigiriama,All,17,Matso,6,produces,0
Kigiriama,All,17,Matso,6,understands,0
Kigiriama,All,18,Matso,13,produces,0.0769
Kigiriama,All,18,Matso,13,understands,0
Kigiriama,All,19,Matso,8,produces,0
Kigiriama,All,19,Matso,8,understands,0
Kigiriama,All,20,Matso,14,produces,0.0714
Kigiriama,All,20,Matso,14,understands,0
Kigiriama,All,21,Matso,6,produces,0.1667
Kigiriama,All,21,Matso,6,understands,0
Kigiriama,All,22,Matso,9,produces,0.4444
Kigiriama,All,22,Matso,9,understands,0
Kigiriama,All,23,Matso,4,produces,0.25
Kigiriama,All,23,Matso,4,understands,0
Kigiriama,All,24,Matso,7,produces,0.7143
Kigiriama,All,24,Matso,7,understands,0
Kigiriama,All,25,Matso,3,produces,0.6667
Kigiriama,All,25,Matso,3,understands,0
Kigiriama,All,26,Matso,6,produces,0.3333
Kigiriama,All,26,Matso,6,understands,0
Kigiriama,All,27,Matso,4,produces,0.75
Kigiriama,All,27,Matso,4,understands,0
Kigiriama,All,28,Matso,1,produces,0
Kigiriama,All,28,Matso,1,understands,0
Kigiriama,All,29,Matso,5,produces,0.6
Kigiriama,All,29,Matso,5,understands,0
Kigiriama,All,30,Matso,1,produces,1
Kigiriama,All,30,Matso,1,understands,0
Kiswahili,All,23,Macho/makini,2,produces,0
Kiswahili,All,23,Macho/makini,2,understands,0
Kiswahili,All,24,Macho/makini,12,produces,0.4167
Kiswahili,All,24,Macho/makini,12,understands,0
Kiswahili,All,25,Macho/makini,10,produces,0.3
Kiswahili,All,25,Macho/makini,10,understands,0
Kiswahili,All,26,Macho/makini,13,produces,0.2308
