language,sex,age,words,n,measure,prop
Catalan,All,16,quasi,24,produces,0
Catalan,All,16,quasi,24,understands,0
Catalan,All,17,quasi,36,produces,0
Catalan,All,17,quasi,36,understands,0
Catalan,All,18,quasi,51,produces,0
Catalan,All,18,quasi,51,understands,0
Catalan,All,19,quasi,45,produces,0
Catalan,All,19,quasi,45,understands,0
Catalan,All,20,quasi,56,produces,0
Catalan,All,20,quasi,56,understands,0
Catalan,All,21,quasi,58,produces,0
Catalan,All,21,quasi,58,understands,0
Catalan,All,22,quasi,50,produces,0.02
Catalan,All,22,quasi,50,understands,0
Catalan,All,23,quasi,66,produces,0.0152
Catalan,All,23,quasi,66,understands,0
Catalan,All,24,quasi,79,produces,0.1266
Catalan,All,24,quasi,79,understands,0
Catalan,All,25,quasi,60,produces,0.0667
Catalan,All,25,quasi,60,understands,0
Catalan,All,26,quasi,65,produces,0.0308
Catalan,All,26,quasi,65,understands,0
Catalan,All,27,quasi,63,produces,0.1111
Catalan,All,27,quasi,63,understands,0
Catalan,All,28,quasi,81,produces,0.1235
Catalan,All,28,quasi,81,understands,0
Catalan,All,29,quasi,50,produces,0.14
Catalan,All,29,quasi,50,understands,0
Catalan,All,30,quasi,75,produces,0.2667
Catalan,All,30,quasi,75,understands,0
Spanish (European),All,16,casi,39,produces,0
Spanish (European),All,16,casi,39,understands,0
Spanish (European),All,17,casi,39,produces,0
Spanish (European),All,17,casi,39,understands,0
Spanish (European),All,18,casi,50,produces,0.04
Spanish (European),All,18,casi,50,understands,0
Spanish (European),All,19,casi,27,produces,0
Spanish (European),All,19,casi,27,understands,0
Spanish (European),All,20,casi,36,produces,0.0278
Spanish (European),All,20,casi,36,understands,0
Spanish (European),All,21,casi,41,produces,0
Spanish (European),All,21,casi,41,understands,0
Spanish (European),All,22,casi,38,produces,0.0789
Spanish (European),All,22,casi,38,understands,0
Spanish (European),All,23,casi,30,produces,0.0667
Spanish (European),All,23,casi,30,understands,0
Spanish (European),All,24,casi,55,produces,0.1455
Spanish (European),All,24,casi,55,understands,0
Spanish (European),All,25,casi,35,produces,0.2571
Spanish (European),All,25,casi,35,understands,0
Spanish (European),All,26,casi,49,produces,0.102
Spanish (European),All,26,casi,49,understands,0
Spanish (European),All,27,casi,34,produces,0.1765
Spanish (European),All,27,casi,34,understands,0
Spanish (European),All,28,casi,38,produces,0.3684
Spanish (European),All,28,casi,38,understands,0
Spanish (European),All,29,casi,41,produces,0.4634
Spanish (European),All,29,casi,41,understands,0
Spanish (European),All,30,casi,41,produces,0.2195
Spanish (European),All,30,casi,41,understands,0
Spanish (Peruvian),All,16,casi,13,produces,0
Spanish (Peruvian),All,16,casi,13,understands,0
Spanish (Peruvian),All,17,casi,9,produces,0.1111
Spanish (Peruvian),All,17,casi,9,understands,0
Spanish (Peruvian),All,18,casi,4,produces,0
Spanish (Peruvian),All,18,casi,4,understands,0
Spanish (Peruvian),All,19,casi,12,produces,0.1667
Spanish (Peruvian),All,19,casi,12,understands,0
Spanish (Peruvian),All,20,casi,1,produces,0
Spanish (Peruvian),All,20,casi,1,understands,0
Spanish (Peruvian),All,21,casi,5,produces,0.2
Spanish (Peruvian),All,21,casi,5,understands,0
Spanish (Peruvian),All,22,casi,9,produces,0.1111
Spanish (Peruvian),All,22,casi,9,understands,0
Spanish (Peruvian),All,23,casi,1,produces,0
Spanish (Peruvian),All,23,casi,1,understands,0
Spanish (Peruvian),All,24,casi,15,produces,0
Spanish (Peruvian),All,24,casi,15,understands,0
Spanish (Peruvian),All,25,casi,5,produces,0
Spanish (Peruvian),All,25,casi,5,understands,0
Spanish (Peruvian),All,26,casi,8,produces,0
Spanish (Peruvian),All,26,casi,8,understands,0
Spanish (Peruvian),All,27,casi,7,produces,0
Spanish (Peruvian),All,27,casi,7,understands,0
Spanish (Peruvian),All,28,casi,8,produces,0.125
Spanish (Peruvian),All,28,casi,8,understands,0
Spanish (Peruvian),All,29,casi,6,produces,0.1667
Spanish (Peruvian),All,29,casi,6,understands,0
Spanish (Peruvian),All,30,casi,2,produces,0
Spanish (Peruvian),All,30,casi,2,understands,0
Catalan,Female,16,quasi,8,produces,0
Catalan,Female,16,quasi,8,understands,0
Catalan,Male,16,quasi,16,produces,0
Catalan,Male,16,quasi,16,understands,0
Catalan,Female,17,quasi,22,produces,0
Catalan,Female,17,quasi,22,understands,0
Catalan,Male,17,quasi,14,produces,0
Catalan,Male,17,quasi,14,understands,0
Catalan,Female,18,quasi,22,produces,0
Catalan,Female,18,quasi,22,understands,0
Catalan,Male,18,quasi,29,produces,0
Catalan,Male,18,quasi,29,understands,0
Catalan,Female,19,quasi,25,produces,0
Catalan,Female,19,quasi,25,understands,0
Catalan,Male,19,quasi,20,produces,0
Catalan,Male,19,quasi,20,understands,0
Catalan,Female,20,quasi,28,produces,0
Catalan,Female,20,quasi,28,understands,0
Catalan,Male,20,quasi,28,produces,0
Catalan,Male,20,quasi,28,understands,0
Catalan,Female,21,quasi,32,produces,0
Catalan,Female,21,quasi,32,understands,0
Catalan,Male,21,quasi,26,produces,0
Catalan,Male,21,quasi,26,understands,0
Catalan,Female,22,quasi,26,produces,0.0385
Catalan,Female,22,quasi,26,understands,0
Catalan,Male,22,quasi,24,produces,0
Catalan,Male,22,quasi,24,understands,0
Catalan,Female,23,quasi,35,produces,0.0286
Catalan,Female,23,quasi,35,understands,0
Catalan,Male,23,quasi,31,produces,0
Catalan,Male,23,quasi,31,understands,0
Catalan,Female,24,quasi,41,produces,0.122
Catalan,Female,24,quasi,41,understands,0
Catalan,Male,24,quasi,38,produces,0.1316
Catalan,Male,24,quasi,38,understands,0
Catalan,Female,25,quasi,30,produces,0.0667
Catalan,Female,25,quasi,30,understands,0
Catalan,Male,25,quasi,30,produces,0.0667
Catalan,Male,25,quasi,30,understands,0
Catalan,Female,26,quasi,35,produces,0
Catalan,Female,26,quasi,35,understands,0
Catalan,Male,26,quasi,30,produces,0.0667
Catalan,Male,26,quasi,30,understands,0
Catalan,Female,27,quasi,36,produces,0.0833
Catalan,Female,27,quasi,36,understands,0
Catalan,Male,27,quasi,27,produces,0.1481
Catalan,Male,27,quasi,27,understands,0
Catalan,Female,28,quasi,40,produces,0.1
Catalan,Female,28,quasi,40,understands,0
Catalan,Male,28,quasi,41,produces,0.1463
Catalan,Male,28,quasi,41,understands,0
Catalan,Female,29,quasi,25,produces,0.08
Catalan,Female,29,quasi,25,understands,0
Catalan,Male,29,quasi,25,produces,0.2
Catalan,Male,29,quasi,25,understands,0
Catalan,Female,30,quasi,24,produces,0.25
Catalan,Female,30,quasi,24,understands,0
Catalan,Male,30,quasi,51,produces,0.2745
Catalan,Male,30,quasi,51,understands,0
Spanish (European),Female,16,casi,19,produces,0
Spanish (European),Female,16,casi,19,understands,0
Spanish (European),Male,16,casi,20,produces,0
Spanish (European),Male,16,casi,20,understands,0
Spanish (European),Female,17,casi,21,produces,0
Spanish (European),Female,17,casi,21,understands,0
Spanish (European),Male,17,casi,18,produces,0
Spanish (European),Male,17,casi,18,understands,0
Spanish (European),Female,18,casi,27,produces,0
Spanish (European),Female,18,casi,27,understands,0
Spanish (European),Male,18,casi,23,produces,0.087
Spanish (European),Male,18,casi,23,understands,0
Spanish (European),Female,19,casi,16,produces,0
Spanish (European),Female,19,casi,16,understands,0
Spanish (European),Male,19,casi,11,produces,0
Spanish (European),Male,19,casi,11,understands,0
Spanish (European),Female,20,casi,17,produces,0.0588
Spanish (European),Female,20,casi,17,understands,0
Spanish (European),Male,20,casi,19,produces,0
Spanish (European),Male,20,casi,19,understands,0
Spanish (European),Female,21,casi,23,produces,0
Spanish (European),Female,21,casi,23,understands,0
Spanish (European),Male,21,casi,18,produces,0
Spanish (European),Male,21,casi,18,understands,0
Spanish (European),Female,22,casi,18,produces,0.0556
Spanish (European),Female,22,casi,18,understands,0
Spanish (European),Male,22,casi,20,produces,0.1
Spanish (European),Male,22,casi,20,understands,0
Spanish (European),Female,23,casi,15,produces,0.0667
Spanish (European),Female,23,casi,15,understands,0
Spanish (European),Male,23,casi,15,produces,0.0667
Spanish (European),Male,23,casi,15,understands,0
Spanish (European),Female,24,casi,31,produces,0.129
Spanish (European),Female,24,casi,31,understands,0
Spanish (European),Male,24,casi,24,produces,0.1667
Spanish (European),Male,24,casi,24,understands,0
Spanish (European),Female,25,casi,16,produces,0.375
Spanish (European),Female,25,casi,16,understands,0
Spanish (European),Male,25,casi,19,produces,0.1579
Spanish (European),Male,25,casi,19,understands,0
Spanish (European),Female,26,casi,22,produces,0.1364
Spanish (European),Female,26,casi,22,understands,0
Spanish (European),Male,26,casi,27,produces,0.0741
Spanish (European),Male,26,casi,27,understands,0
Spanish (European),Female,27,casi,16,produces,0.1875
Spanish (European),Female,27,casi,16,understands,0
Spanish (European),Male,27,casi,18,produces,0.1667
Spanish (European),Male,27,casi,18,understands,0
Spanish (European),Female,28,casi,20,produces,0.3
Spanish (European),Female,28,casi,20,understands,0
Spanish (European),Male,28,casi,18,produces,0.4444
Spanish (European),Male,28,casi,18,understands,0
Spanish (European),Female,29,casi,18,produces,0.6111
Spanish (European),Female,29,casi,18,understands,0
Spanish (European),Male,29,casi,23,produces,0.3478
Spanish (European),Male,29,casi,23,understands,0
Spanish (European),Female,30,casi,17,produces,0.2353
Spanish (European),Female,30,casi,17,understands,0
Spanish (European),Male,30,casi,24,produces,0.2083
Spanish (European),Male,30,casi,24,understands,0
Spanish (Peruvian),Female,16,casi,6,produces,0
