language,sex,age,words,n,measure,prop
Catalan,All,8,sol (ex: estar sol),39,produces,0
Catalan,All,8,sol (ex: estar sol),39,understands,0.0256
Catalan,All,9,sol (ex: estar sol),46,produces,0
Catalan,All,9,sol (ex: estar sol),46,understands,0.0217
Catalan,All,10,sol (ex: estar sol),43,produces,0
Catalan,All,10,sol (ex: estar sol),43,understands,0.0233
Catalan,All,11,sol (ex: estar sol),43,produces,0
Catalan,All,11,sol (ex: estar sol),43,understands,0
Catalan,All,12,sol (ex: estar sol),59,produces,0
Catalan,All,12,sol (ex: estar sol),59,understands,0.0339
Catalan,All,13,sol (ex: estar sol),44,produces,0
Catalan,All,13,sol (ex: estar sol),44,understands,0
Catalan,All,14,sol (ex: estar sol),60,produces,0
Catalan,All,14,sol (ex: estar sol),60,understands,0.1
Catalan,All,15,sol (ex: estar sol),70,produces,0
Catalan,All,15,sol (ex: estar sol),70,understands,0.0857
Catalan,All,16,"sol (ex: estar sol), sol2",73,produces,0.0137
Catalan,All,16,"sol (ex: estar sol), sol2",73,understands,0.1233
Catalan,All,17,"sol (ex: estar sol), sol2",110,produces,0.0273
Catalan,All,17,"sol (ex: estar sol), sol2",110,understands,0.1182
Catalan,All,18,"sol (ex: estar sol), sol2",102,produces,0.049
Catalan,All,18,"sol (ex: estar sol), sol2",102,understands,0.1275
Catalan,All,19,sol2,45,produces,0.0889
Catalan,All,19,sol2,45,understands,0
Catalan,All,20,sol2,56,produces,0.1607
Catalan,All,20,sol2,56,understands,0
Catalan,All,21,sol2,58,produces,0.3793
Catalan,All,21,sol2,58,understands,0
Catalan,All,22,sol2,50,produces,0.44
Catalan,All,22,sol2,50,understands,0
Catalan,All,23,sol2,66,produces,0.2879
Catalan,All,23,sol2,66,understands,0
Catalan,All,24,sol2,79,produces,0.5316
Catalan,All,24,sol2,79,understands,0
Catalan,All,25,sol2,60,produces,0.5333
Catalan,All,25,sol2,60,understands,0
Catalan,All,26,sol2,65,produces,0.4923
Catalan,All,26,sol2,65,understands,0
Catalan,All,27,sol2,63,produces,0.746
Catalan,All,27,sol2,63,understands,0
Catalan,All,28,sol2,81,produces,0.716
Catalan,All,28,sol2,81,understands,0
Catalan,All,29,sol2,50,produces,0.84
Catalan,All,29,sol2,50,understands,0
Catalan,All,30,sol2,75,produces,0.8933
Catalan,All,30,sol2,75,understands,0
Hungarian,All,16,egyedül,21,produces,0
Hungarian,All,16,egyedül,21,understands,0
Hungarian,All,17,egyedül,18,produces,0.1111
