language,age,words,n,measure,prop
Slovak,17,písmenká / abeceda,70,produces,0.1571
Slovak,17,písmenká / abeceda,70,understands,0
Slovak,18,písmenká / abeceda,65,produces,0.2462
Slovak,18,písmenká / abeceda,65,understands,0
Slovak,19,písmenká / abeceda,56,produces,0.2143
Slovak,19,písmenká / abeceda,56,understands,0
Slovak,20,písmenká / abeceda,62,produces,0.4194
Slovak,20,písmenká / abeceda,62,understands,0
Slovak,21,písmenká / abeceda,81,produces,0.5432
Slovak,21,písmenká / abeceda,81,understands,0
Slovak,22,písmenká / abeceda,53,produces,0.434
Slovak,22,písmenká / abeceda,53,understands,0
Slovak,23,písmenká / abeceda,59,produces,0.4746
Slovak,23,písmenká / abeceda,59,understands,0
Slovak,24,písmenká / abeceda,59,produces,0.7119
Slovak,24,písmenká / abeceda,59,understands,0
Slovak,25,písmenká / abeceda,69,produces,0.7681
Slovak,25,písmenká / abeceda,69,understands,0
Slovak,26,písmenká / abeceda,78,produces,0.8462
Slovak,26,písmenká / abeceda,78,understands,0
Slovak,27,písmenká / abeceda,62,produces,0.9032
Slovak,27,písmenká / abeceda,62,understands,0
Slovak,28,písmenká / abeceda,86,produces,0.7791
Slovak,28,písmenká / abeceda,86,understands,0
Slovak,29,písmenká / abeceda,75,produces,0.8533
Slovak,29,písmenká / abeceda,75,understands,0
Slovak,30,písmenká / abeceda,49,produces,0.7959
Slovak,30,písmenká / abeceda,49,understands,0
Slovak,31,písmenká / abeceda,29,produces,0.8621
Slovak,31,písmenká / abeceda,29,understands,0
Slovak,32,písmenká / abeceda,25,produces,0.96
Slovak,32,písmenká / abeceda,25,understands,0
Slovak,33,písmenká / abeceda,22,produces,0.9545
Slovak,33,písmenká / abeceda,22,understands,0
Slovak,34,písmenká / abeceda,27,produces,0.8889
Slovak,34,písmenká / abeceda,27,understands,0
Slovak,35,písmenká / abeceda,27,produces,0.8148
Slovak,35,písmenká / abeceda,27,understands,0
Slovak,36,písmenká / abeceda,8,produces,0.875
Slovak,36,písmenká / abeceda,8,understands,0
Spanish (Peruvian),16,cartas,13,produces,0
Spanish (Peruvian),16,cartas,13,understands,0
Spanish (Peruvian),17,cartas,9,produces,0
Spanish (Peruvian),17,cartas,9,understands,0
Spanish (Peruvian),18,cartas,4,produces,0
Spanish (Peruvian),18,cartas,4,understands,0
Spanish (Peruvian),19,cartas,12,produces,0.0833
Spanish (Peruvian),19,cartas,12,understands,0
Spanish (Peruvian),20,cartas,1,produces,0
Spanish (Peruvian),20,cartas,1,understands,0
Spanish (Peruvian),21,cartas,5,produces,0
Spanish (Peruvian),21,cartas,5,understands,0
Spanish (Peruvian),22,cartas,9,produces,0
Spanish (Peruvian),22,cartas,9,understands,0
Spanish (Peruvian),23,cartas,1,produces,0
Spanish (Peruvian),23,cartas,1,understands,0
Spanish (Peruvian),24,cartas,15,produces,0.0667
Spanish (Peruvian),24,cartas,15,understands,0
Spanish (Peruvian),25,cartas,5,produces,0
Spanish (Peruvian),25,cartas,5,understands,0
Spanish (Peruvian),26,cartas,8,produces,0
Spanish (Peruvian),26,cartas,8,understands,0
Spanish (Peruvian),27,cartas,7,produces,0.1429
Spanish (Peruvian),27,cartas,7,understands,0
Spanish (Peruvian),28,cartas,8,produces,0.125
Spanish (Peruvian),28,cartas,8,understands,0
Spanish (Peruvian),29,cartas,6,produces,0.3333
Spanish (Peruvian),29,cartas,6,understands,0
Spanish (Peruvian),30,cartas,2,produces,0
Spanish (Peruvian),30,cartas,2,understands,0
