language,sex,age,words,n,measure,prop
Kigiriama,All,16,Avocado,1,produces,0
Kigiriama,All,16,Avocado,1,understands,0
Kigiriama,All,17,Avocado,6,produces,0
Kigiriama,All,17,Avocado,6,understands,0
Kigiriama,All,18,Avocado,13,produces,0
Kigiriama,All,18,Avocado,13,understands,0
Kigiriama,All,19,Avocado,8,produces,0
Kigiriama,All,19,Avocado,8,understands,0
Kigiriama,All,20,Avocado,14,produces,0
Kigiriama,All,20,Avocado,14,understands,0
Kigiriama,All,21,Avocado,6,produces,0.1667
Kigiriama,All,21,Avocado,6,understands,0
Kigiriama,All,22,Avocado,9,produces,0
Kigiriama,All,22,Avocado,9,understands,0
Kigiriama,All,23,Avocado,4,produces,0
Kigiriama,All,23,Avocado,4,understands,0
Kigiriama,All,24,Avocado,7,produces,0
Kigiriama,All,24,Avocado,7,understands,0
Kigiriama,All,25,Avocado,3,produces,0
Kigiriama,All,25,Avocado,3,understands,0
Kigiriama,All,26,Avocado,6,produces,0
Kigiriama,All,26,Avocado,6,understands,0
Kigiriama,All,27,Avocado,4,produces,0.75
Kigiriama,All,27,Avocado,4,understands,0
Kigiriama,All,28,Avocado,1,produces,0
Kigiriama,All,28,Avocado,1,understands,0
Kigiriama,All,29,Avocado,5,produces,0
Kigiriama,All,29,Avocado,5,understands,0
Kigiriama,All,30,Avocado,1,produces,1
Kigiriama,All,30,Avocado,1,understands,0
Kiswahili,All,23,Avocado,2,produces,0
Kiswahili,All,23,Avocado,2,understands,0
Kiswahili,All,24,Avocado,12,produces,0.4167
Kiswahili,All,24,Avocado,12,understands,0
Kiswahili,All,25,Avocado,10,produces,0.2
Kiswahili,All,25,Avocado,10,understands,0
Kiswahili,All,26,Avocado,13,produces,0.3846
Kiswahili,All,26,Avocado,13,understands,0
Kiswahili,All,27,Avocado,8,produces,0.125
Kiswahili,All,27,Avocado,8,understands,0
Kiswahili,All,28,Avocado,6,produces,0.5
Kiswahili,All,28,Avocado,6,understands,0
Kiswahili,All,29,Avocado,6,produces,0.1667
Kiswahili,All,29,Avocado,6,understands,0
Kiswahili,All,30,Avocado,5,produces,0.6
Kiswahili,All,30,Avocado,5,understands,0
Spanish (Peruvian),All,16,palta,13,produces,0.0769
Spanish (Peruvian),All,16,palta,13,understands,0
Spanish (Peruvian),All,17,palta,9,produces,0.3333
Spanish (Peruvian),All,17,palta,9,understands,0
Spanish (Peruvian),All,18,palta,4,produces,0
Spanish (Peruvian),All,18,palta,4,understands,0
Spanish (Peruvian),All,19,palta,12,produces,0.1667
Spanish (Peruvian),All,19,palta,12,understands,0
Spanish (Peruvian),All,20,palta,1,produces,1
Spanish (Peruvian),All,20,palta,1,understands,0
Spanish (Peruvian),All,21,palta,5,produces,0
Spanish (Peruvian),All,21,palta,5,understands,0
Spanish (Peruvian),All,22,palta,9,produces,0
Spanish (Peruvian),All,22,palta,9,understands,0
Spanish (Peruvian),All,23,palta,1,produces,1
Spanish (Peruvian),All,23,palta,1,understands,0
Spanish (Peruvian),All,24,palta,15,produces,0.2667
Spanish (Peruvian),All,24,palta,15,understands,0
Spanish (Peruvian),All,25,palta,5,produces,0
Spanish (Peruvian),All,25,palta,5,understands,0
Spanish (Peruvian),All,26,palta,8,produces,0
Spanish (Peruvian),All,26,palta,8,understands,0
Spanish (Peruvian),All,27,palta,7,produces,0.2857
Spanish (Peruvian),All,27,palta,7,understands,0
Spanish (Peruvian),All,28,palta,8,produces,0.25
Spanish (Peruvian),All,28,palta,8,understands,0
Spanish (Peruvian),All,29,palta,6,produces,0.6667
Spanish (Peruvian),All,29,palta,6,understands,0
Spanish (Peruvian),All,30,palta,2,produces,0.5
Spanish (Peruvian),All,30,palta,2,understands,0
Kigiriama,Female,16,Avocado,1,produces,0
Kigiriama,Female,16,Avocado,1,understands,0
Kigiriama,Female,17,Avocado,5,produces,0
Kigiriama,Female,17,Avocado,5,understands,0
Kigiriama,Male,17,Avocado,1,produces,0
Kigiriama,Male,17,Avocado,1,understands,0
Kigiriama,Female,18,Avocado,6,produces,0
Kigiriama,Female,18,Avocado,6,understands,0
Kigiriama,Male,18,Avocado,6,produces,0
Kigiriama,Male,18,Avocado,6,understands,0
Kigiriama,Female,19,Avocado,3,produces,0
Kigiriama,Female,19,Avocado,3,understands,0
Kigiriama,Male,19,Avocado,5,produces,0
Kigiriama,Male,19,Avocado,5,understands,0
Kigiriama,Female,20,Avocado,5,produces,0
Kigiriama,Female,20,Avocado,5,understands,0
Kigiriama,Male,20,Avocado,8,produces,0
Kigiriama,Male,20,Avocado,8,understands,0
Kigiriama,Female,21,Avocado,3,produces,0.3333
Kigiriama,Female,21,Avocado,3,understands,0
Kigiriama,Male,21,Avocado,3,produces,0
Kigiriama,Male,21,Avocado,3,understands,0
Kigiriama,Female,22,Avocado,7,produces,0
Kigiriama,Female,22,Avocado,7,understands,0
Kigiriama,Male,22,Avocado,2,produces,0
Kigiriama,Male,22,Avocado,2,understands,0
Kigiriama,Female,23,Avocado,2,produces,0
Kigiriama,Female,23,Avocado,2,understands,0
Kigiriama,Male,23,Avocado,2,produces,0
Kigiriama,Male,23,Avocado,2,understands,0
Kigiriama,Female,24,Avocado,6,produces,0
Kigiriama,Female,24,Avocado,6,understands,0
Kigiriama,Male,24,Avocado,1,produces,0
Kigiriama,Male,24,Avocado,1,understands,0
Kigiriama,Female,25,Avocado,2,produces,0
Kigiriama,Female,25,Avocado,2,understands,0
Kigiriama,Male,25,Avocado,1,produces,0
Kigiriama,Male,25,Avocado,1,understands,0
Kigiriama,Female,26,Avocado,4,produces,0
Kigiriama,Female,26,Avocado,4,understands,0
Kigiriama,Male,26,Avocado,2,produces,0
Kigiriama,Male,26,Avocado,2,understands,0
Kigiriama,Female,27,Avocado,1,produces,1
Kigiriama,Female,27,Avocado,1,understands,0
Kigiriama,Male,27,Avocado,3,produces,0.6667
Kigiriama,Male,27,Avocado,3,understands,0
Kigiriama,Male,28,Avocado,1,produces,0
Kigiriama,Male,28,Avocado,1,understands,0
Kigiriama,Female,29,Avocado,2,produces,0
Kigiriama,Female,29,Avocado,2,understands,0
Kigiriama,Male,29,Avocado,3,produces,0
Kigiriama,Male,29,Avocado,3,understands,0
Kigiriama,Male,30,Avocado,1,produces,1
Kigiriama,Male,30,Avocado,1,understands,0
Kiswahili,Female,23,Avocado,1,produces,0
Kiswahili,Female,23,Avocado,1,understands,0
Kiswahili,Male,23,Avocado,1,produces,0
Kiswahili,Male,23,Avocado,1,understands,0
Kiswahili,Female,24,Avocado,6,produces,0.3333
Kiswahili,Female,24,Avocado,6,understands,0
Kiswahili,Male,24,Avocado,6,produces,0.5
Kiswahili,Male,24,Avocado,6,understands,0
Kiswahili,Female,25,Avocado,8,produces,0.25
Kiswahili,Female,25,Avocado,8,understands,0
Kiswahili,Male,25,Avocado,2,produces,0
Kiswahili,Male,25,Avocado,2,understands,0
Kiswahili,Female,26,Avocado,3,produces,0.6667
Kiswahili,Female,26,Avocado,3,understands,0
Kiswahili,Male,26,Avocado,10,produces,0.3
Kiswahili,Male,26,Avocado,10,understands,0
Kiswahili,Female,27,Avocado,3,produces,0
Kiswahili,Female,27,Avocado,3,understands,0
Kiswahili,Male,27,Avocado,5,produces,0.2
Kiswahili,Male,27,Avocado,5,understands,0
Kiswahili,Female,28,Avocado,3,produces,0.6667
Kiswahili,Female,28,Avocado,3,understands,0
Kiswahili,Male,28,Avocado,3,produces,0.3333
Kiswahili,Male,28,Avocado,3,understands,0
Kiswahili,Female,29,Avocado,3,produces,0
Kiswahili,Female,29,Avocado,3,understands,0
Kiswahili,Male,29,Avocado,3,produces,0.3333
Kiswahili,Male,29,Avocado,3,understands,0
Kiswahili,Female,30,Avocado,3,produces,0.6667
Kiswahili,Female,30,Avocado,3,understands,0
Kiswahili,Male,30,Avocado,2,produces,0.5
Kiswahili,Male,30,Avocado,2,understands,0
Spanish (Peruvian),Female,16,palta,6,produces,0.1667
Spanish (Peruvian),Female,16,palta,6,understands,0
Spanish (Peruvian),Male,16,palta,7,produces,0
Spanish (Peruvian),Male,16,palta,7,understands,0
Spanish (Peruvian),Female,17,palta,5,produces,0.4
Spanish (Peruvian),Female,17,palta,5,understands,0
Spanish (Peruvian),Male,17,palta,4,produces,0.25
Spanish (Peruvian),Male,17,palta,4,understands,0
Spanish (Peruvian),Female,18,palta,4,produces,0
Spanish (Peruvian),Female,18,palta,4,understands,0
Spanish (Peruvian),Female,19,palta,3,produces,0.3333
Spanish (Peruvian),Female,19,palta,3,understands,0
Spanish (Peruvian),Male,19,palta,9,produces,0.1111
Spanish (Peruvian),Male,19,palta,9,understands,0
Spanish (Peruvian),Male,20,palta,1,produces,1
Spanish (Peruvian),Male,20,palta,1,understands,0
Spanish (Peruvian),Female,21,palta,3,produces,0
Spanish (Peruvian),Female,21,palta,3,understands,0
Spanish (Peruvian),Male,21,palta,2,produces,0
Spanish (Peruvian),Male,21,palta,2,understands,0
Spanish (Peruvian),Female,22,palta,4,produces,0
Spanish (Peruvian),Female,22,palta,4,understands,0
Spanish (Peruvian),Male,22,palta,5,produces,0
Spanish (Peruvian),Male,22,palta,5,understands,0
Spanish (Peruvian),Female,23,palta,1,produces,1
Spanish (Peruvian),Female,23,palta,1,understands,0
Spanish (Peruvian),Female,24,palta,7,produces,0.2857
Spanish (Peruvian),Female,24,palta,7,understands,0
Spanish (Peruvian),Male,24,palta,8,produces,0.25
Spanish (Peruvian),Male,24,palta,8,understands,0
Spanish (Peruvian),Female,25,palta,2,produces,0
Spanish (Peruvian),Female,25,palta,2,understands,0
Spanish (Peruvian),Male,25,palta,3,produces,0
Spanish (Peruvian),Male,25,palta,3,understands,0
Spanish (Peruvian),Female,26,palta,3,produces,0
Spanish (Peruvian),Female,26,palta,3,understands,0
Spanish (Peruvian),Male,26,palta,5,produces,0
Spanish (Peruvian),Male,26,palta,5,understands,0
