language,age,words,n,measure,prop
Italian,7,lontano,5,produces,0
Italian,7,lontano,5,understands,0
Italian,8,lontano,34,produces,0
Italian,8,lontano,34,understands,0
Italian,9,lontano,38,produces,0
Italian,9,lontano,38,understands,0
Italian,10,lontano,53,produces,0
Italian,10,lontano,53,understands,0.0189
Italian,11,lontano,42,produces,0
Italian,11,lontano,42,understands,0.0238
Italian,12,lontano,69,produces,0
Italian,12,lontano,69,understands,0.0725
Italian,13,lontano,48,produces,0
Italian,13,lontano,48,understands,0
Italian,14,lontano,40,produces,0
Italian,14,lontano,40,understands,0.05
Italian,15,lontano,68,produces,0
Italian,15,lontano,68,understands,0.0294
Italian,16,lontano,56,produces,0
Italian,16,lontano,56,understands,0.1786
Italian,17,lontano,48,produces,0
Italian,17,lontano,48,understands,0.125
Italian,18,lontano,75,produces,0
Italian,18,lontano,75,understands,0.0933
Italian,19,lontano,58,produces,0.0172
Italian,19,lontano,58,understands,0.0345
Italian,20,lontano,83,produces,0.0241
Italian,20,lontano,83,understands,0.0482
Italian,21,lontano,67,produces,0.0448
Italian,21,lontano,67,understands,0.0597
Italian,22,lontano,77,produces,0.0909
Italian,22,lontano,77,understands,0.039
Italian,23,lontano,70,produces,0.2
Italian,23,lontano,70,understands,0.1714
Italian,24,lontano,85,produces,0.2588
Italian,24,lontano,85,understands,0.0588
Italian,25,lontano,39,produces,0.4103
Italian,25,lontano,39,understands,0
Italian,26,lontano,41,produces,0.4878
Italian,26,lontano,41,understands,0
Italian,27,lontano,43,produces,0.4419
Italian,27,lontano,43,understands,0
Italian,28,lontano,44,produces,0.6136
Italian,28,lontano,44,understands,0
Italian,29,lontano,37,produces,0.5405
Italian,29,lontano,37,understands,0
Italian,30,lontano,67,produces,0.6119
Italian,30,lontano,67,understands,0
Italian,31,lontano,19,produces,0.6842
Italian,31,lontano,19,understands,0
Italian,32,lontano,23,produces,0.5652
Italian,32,lontano,23,understands,0
Italian,33,lontano,16,produces,0.75
Italian,33,lontano,16,understands,0
Italian,34,lontano,19,produces,0.8421
Italian,34,lontano,19,understands,0
Italian,35,lontano,15,produces,0.8667
Italian,35,lontano,15,understands,0
Italian,36,lontano,21,produces,0.7619
Italian,36,lontano,21,understands,0
Kiswahili,23,Mbali,2,produces,0
Kiswahili,23,Mbali,2,understands,0
Kiswahili,24,Mbali,12,produces,0.4167
Kiswahili,24,Mbali,12,understands,0
Kiswahili,25,Mbali,10,produces,0.2
Kiswahili,25,Mbali,10,understands,0
Kiswahili,26,Mbali,13,produces,0.2308
Kiswahili,26,Mbali,13,understands,0
Kiswahili,27,Mbali,8,produces,0.375
Kiswahili,27,Mbali,8,understands,0
Kiswahili,28,Mbali,6,produces,0.1667
Kiswahili,28,Mbali,6,understands,0
Kiswahili,29,Mbali,6,produces,0.3333
Kiswahili,29,Mbali,6,understands,0
Kiswahili,30,Mbali,5,produces,0.8
Kiswahili,30,Mbali,5,understands,0
Latvian,8,prom,16,produces,0
Latvian,8,prom,16,understands,0
Latvian,9,prom,18,produces,0
Latvian,9,prom,18,understands,0.1111
Latvian,10,prom,26,produces,0
Latvian,10,prom,26,understands,0.1923
Latvian,11,prom,15,produces,0
Latvian,11,prom,15,understands,0.3333
Latvian,12,prom,16,produces,0
Latvian,12,prom,16,understands,0.25
Latvian,13,prom,22,produces,0
Latvian,13,prom,22,understands,0.2273
Latvian,14,prom,25,produces,0.04
Latvian,14,prom,25,understands,0.36
Latvian,15,prom,29,produces,0.0345
Latvian,15,prom,29,understands,0.3103
Latvian,16,prom,16,produces,0.0625
Latvian,16,prom,16,understands,0.3125
Latvian,17,prom,27,produces,0.037
Latvian,17,prom,27,understands,0
Latvian,18,prom,21,produces,0.0476
Latvian,18,prom,21,understands,0
Latvian,19,prom,28,produces,0.1071
Latvian,19,prom,28,understands,0
Latvian,20,prom,34,produces,0.2059
Latvian,20,prom,34,understands,0
Latvian,21,prom,26,produces,0.3462
Latvian,21,prom,26,understands,0
Latvian,22,prom,32,produces,0.3438
Latvian,22,prom,32,understands,0
Latvian,23,prom,25,produces,0.44
Latvian,23,prom,25,understands,0
Latvian,24,prom,30,produces,0.5667
Latvian,24,prom,30,understands,0
Latvian,25,prom,29,produces,0.4483
Latvian,25,prom,29,understands,0
Latvian,26,prom,22,produces,0.5455
Latvian,26,prom,22,understands,0
Latvian,27,prom,18,produces,0.6111
Latvian,27,prom,18,understands,0
Latvian,28,prom,23,produces,0.7826
Latvian,28,prom,23,understands,0
Latvian,29,prom,24,produces,0.75
Latvian,29,prom,24,understands,0
Latvian,30,prom,26,produces,0.7308
Latvian,30,prom,26,understands,0
Latvian,31,prom,19,produces,0.7368
Latvian,31,prom,19,understands,0
Latvian,32,prom,25,produces,0.72
Latvian,32,prom,25,understands,0
Latvian,33,prom,31,produces,0.8065
Latvian,33,prom,31,understands,0
Latvian,34,prom,17,produces,0.6471
Latvian,34,prom,17,understands,0
Latvian,35,prom,21,produces,0.8571
Latvian,35,prom,21,understands,0
Latvian,36,prom,22,produces,0.7273
Latvian,36,prom,22,understands,0
Mandarin (Taiwanese),8,走開,86,produces,0
Mandarin (Taiwanese),8,走開,86,understands,0.3721
Mandarin (Taiwanese),9,走開,79,produces,0
Mandarin (Taiwanese),9,走開,79,understands,0.49370000000000003
Mandarin (Taiwanese),10,走開,78,produces,0
Mandarin (Taiwanese),10,走開,78,understands,0.1154
Mandarin (Taiwanese),11,走開,79,produces,0.0127
Mandarin (Taiwanese),11,走開,79,understands,0.1266
Mandarin (Taiwanese),12,走開,80,produces,0
Mandarin (Taiwanese),12,走開,80,understands,0.0875
Mandarin (Taiwanese),13,走開,78,produces,0.0128
Mandarin (Taiwanese),13,走開,78,understands,0.2821
Mandarin (Taiwanese),14,走開,81,produces,0.0123
Mandarin (Taiwanese),14,走開,81,understands,0.3086
Mandarin (Taiwanese),15,走開,106,produces,0.0943
Mandarin (Taiwanese),15,走開,106,understands,0.4151
Mandarin (Taiwanese),16,走開,170,produces,0.0765
Mandarin (Taiwanese),16,走開,170,understands,0.2
Mandarin (Taiwanese),17,走開,87,produces,0.1379
Mandarin (Taiwanese),17,走開,87,understands,0
Mandarin (Taiwanese),18,走開,84,produces,0.131
Mandarin (Taiwanese),18,走開,84,understands,0
Mandarin (Taiwanese),19,走開,84,produces,0.2738
Mandarin (Taiwanese),19,走開,84,understands,0
Mandarin (Taiwanese),20,走開,84,produces,0.3214
Mandarin (Taiwanese),20,走開,84,understands,0
Mandarin (Taiwanese),21,走開,88,produces,0.3636
Mandarin (Taiwanese),21,走開,88,understands,0
Mandarin (Taiwanese),22,走開,96,produces,0.4583
Mandarin (Taiwanese),22,走開,96,understands,0
Mandarin (Taiwanese),23,走開,105,produces,0.5714
Mandarin (Taiwanese),23,走開,105,understands,0
Mandarin (Taiwanese),24,走開,124,produces,0.6452
Mandarin (Taiwanese),24,走開,124,understands,0
Mandarin (Taiwanese),25,走開,110,produces,0.7
Mandarin (Taiwanese),25,走開,110,understands,0
Mandarin (Taiwanese),26,走開,87,produces,0.7586
Mandarin (Taiwanese),26,走開,87,understands,0
Mandarin (Taiwanese),27,走開,92,produces,0.7174
Mandarin (Taiwanese),27,走開,92,understands,0
Mandarin (Taiwanese),28,走開,100,produces,0.82
Mandarin (Taiwanese),28,走開,100,understands,0
Mandarin (Taiwanese),29,走開,88,produces,0.8409
Mandarin (Taiwanese),29,走開,88,understands,0
Mandarin (Taiwanese),30,走開,94,produces,0.9043
Mandarin (Taiwanese),30,走開,94,understands,0
Mandarin (Taiwanese),31,走開,88,produces,0.8864
Mandarin (Taiwanese),31,走開,88,understands,0
Mandarin (Taiwanese),32,走開,82,produces,0.8171
Mandarin (Taiwanese),32,走開,82,understands,0
Mandarin (Taiwanese),33,走開,85,produces,0.9529
Mandarin (Taiwanese),33,走開,85,understands,0
Mandarin (Taiwanese),34,走開,77,produces,0.8961
Mandarin (Taiwanese),34,走開,77,understands,0
Mandarin (Taiwanese),35,走開,81,produces,0.9259
Mandarin (Taiwanese),35,走開,81,understands,0
Mandarin (Taiwanese),36,走開,81,produces,0.9753
Mandarin (Taiwanese),36,走開,81,understands,0
Norwegian,8,bort,77,produces,0.026
Norwegian,8,bort,77,understands,0.026
Norwegian,9,bort,138,produces,0
Norwegian,9,bort,138,understands,0.0435
Norwegian,10,bort,203,produces,0
Norwegian,10,bort,203,understands,0.0296
Norwegian,11,bort,241,produces,0.0041
Norwegian,11,bort,241,understands,0.0456
Norwegian,12,bort,221,produces,0
Norwegian,12,bort,221,understands,0.086
Norwegian,13,bort,246,produces,0.0163
Norwegian,13,bort,246,understands,0.0935
Norwegian,14,bort,269,produces,0.0149
Norwegian,14,bort,269,understands,0.1487
Norwegian,15,bort,239,produces,0.0418
Norwegian,15,bort,239,understands,0.1715
Norwegian,16,"bort, borte, vekk",346,produces,0.0572
Norwegian,16,"bort, borte, vekk",346,understands,0.1181
Norwegian,17,"bort, borte, vekk",435,produces,0.0907
Norwegian,17,"bort, borte, vekk",435,understands,0.0643
Norwegian,18,"bort, borte, vekk",494,produces,0.1342
Norwegian,18,"bort, borte, vekk",494,understands,0.0656
Norwegian,19,"bort, borte, vekk",504,produces,0.1679
Norwegian,19,"bort, borte, vekk",504,understands,0.0872
Norwegian,20,"bort, borte, vekk",601,produces,0.2296
Norwegian,20,"bort, borte, vekk",601,understands,0.0957
Norwegian,21,"bort, borte, vekk",418,produces,0.2959
Norwegian,21,"bort, borte, vekk",418,understands,0
Norwegian,22,"bort, borte, vekk",596,produces,0.3311
Norwegian,22,"bort, borte, vekk",596,understands,0
Norwegian,23,"bort, borte, vekk",566,produces,0.4022
Norwegian,23,"bort, borte, vekk",566,understands,0
Norwegian,24,"bort, borte, vekk",538,produces,0.4343
Norwegian,24,"bort, borte, vekk",538,understands,0
Norwegian,25,"bort, borte, vekk",656,produces,0.5295
Norwegian,25,"bort, borte, vekk",656,understands,0
Norwegian,26,"bort, borte, vekk",644,produces,0.5895
Norwegian,26,"bort, borte, vekk",644,understands,0
Norwegian,27,"bort, borte, vekk",525,produces,0.614
Norwegian,27,"bort, borte, vekk",525,understands,0
Norwegian,28,"bort, borte, vekk",544,produces,0.6556
Norwegian,28,"bort, borte, vekk",544,understands,0
Norwegian,29,"bort, borte, vekk",536,produces,0.6909
Norwegian,29,"bort, borte, vekk",536,understands,0
Norwegian,30,"bort, borte, vekk",457,produces,0.7039
Norwegian,30,"bort, borte, vekk",457,understands,0
Norwegian,31,"bort, borte, vekk",479,produces,0.7537
Norwegian,31,"bort, borte, vekk",479,understands,0
Norwegian,32,"bort, borte, vekk",451,produces,0.7709
Norwegian,32,"bort, borte, vekk",451,understands,0
Norwegian,33,"bort, borte, vekk",430,produces,0.8023
Norwegian,33,"bort, borte, vekk",430,understands,0
Norwegian,34,"bort, borte, vekk",424,produces,0.82
Norwegian,34,"bort, borte, vekk",424,understands,0
Norwegian,35,"bort, borte, vekk",422,produces,0.8333
Norwegian,35,"bort, borte, vekk",422,understands,0
Norwegian,36,"bort, borte, vekk",329,produces,0.845
Norwegian,36,"bort, borte, vekk",329,understands,0
Slovak,8,preč,73,produces,0.0137
Slovak,8,preč,73,understands,0.2192
Slovak,9,preč,59,produces,0.0169
Slovak,9,preč,59,understands,0.3559
Slovak,10,preč,73,produces,0.0137
Slovak,10,preč,73,understands,0.3288
Slovak,11,preč,62,produces,0.0161
Slovak,11,preč,62,understands,0.4516
Slovak,12,preč,79,produces,0.0633
Slovak,12,preč,79,understands,0.6076
Slovak,13,preč,74,produces,0.0405
Slovak,13,preč,74,understands,0.6892
Slovak,14,preč,78,produces,0.0641
Slovak,14,preč,78,understands,0.6795
Slovak,15,preč,87,produces,0.1149
Slovak,15,preč,87,understands,0.7701
Slovak,16,preč,68,produces,0.2353
Slovak,16,preč,68,understands,0.6912
Slovak,17,preč,70,produces,0.1429
Slovak,17,preč,70,understands,0
Slovak,18,preč,65,produces,0.2769
Slovak,18,preč,65,understands,0
Slovak,19,preč,56,produces,0.3036
Slovak,19,preč,56,understands,0
Slovak,20,preč,62,produces,0.4516
Slovak,20,preč,62,understands,0
Slovak,21,preč,81,produces,0.4815
Slovak,21,preč,81,understands,0
Slovak,22,preč,53,produces,0.6038
Slovak,22,preč,53,understands,0
Slovak,23,preč,59,produces,0.6102
Slovak,23,preč,59,understands,0
Slovak,24,preč,59,produces,0.7797
Slovak,24,preč,59,understands,0
Slovak,25,preč,69,produces,0.6812
Slovak,25,preč,69,understands,0
Slovak,26,preč,78,produces,0.7821
Slovak,26,preč,78,understands,0
Slovak,27,preč,62,produces,0.8548
Slovak,27,preč,62,understands,0
Slovak,28,preč,86,produces,0.7907
Slovak,28,preč,86,understands,0
Slovak,29,preč,75,produces,0.7867
Slovak,29,preč,75,understands,0
Slovak,30,preč,49,produces,0.8163
Slovak,30,preč,49,understands,0
Slovak,31,preč,29,produces,0.8621
Slovak,31,preč,29,understands,0
Slovak,32,preč,25,produces,0.96
Slovak,32,preč,25,understands,0
Slovak,33,preč,22,produces,1
Slovak,33,preč,22,understands,0
Slovak,34,preč,27,produces,0.7778
Slovak,34,preč,27,understands,0
Slovak,35,preč,27,produces,0.9259
Slovak,35,preč,27,understands,0
Slovak,36,preč,8,produces,0.875
Slovak,36,preč,8,understands,0
Swedish,8,bort,26,produces,0
Swedish,8,bort,26,understands,0
Swedish,9,bort,2,produces,0
Swedish,9,bort,2,understands,0
Swedish,10,bort,54,produces,0
Swedish,10,bort,54,understands,0
Swedish,11,bort,3,produces,0
Swedish,11,bort,3,understands,0
Swedish,12,bort,79,produces,0
Swedish,12,bort,79,understands,0.0633
Swedish,13,bort,7,produces,0
Swedish,13,bort,7,understands,0
Swedish,14,bort,124,produces,0
Swedish,14,bort,124,understands,0.1129
Swedish,15,bort,13,produces,0
Swedish,15,bort,13,understands,0.2308
Swedish,16,bort,318,produces,0.022
Swedish,16,bort,318,understands,0.1069
Swedish,19,bort,152,produces,0.1316
Swedish,19,bort,152,understands,0
Swedish,22,bort,307,produces,0.2964
Swedish,22,bort,307,understands,0
Swedish,25,bort,143,produces,0.4685
Swedish,25,bort,143,understands,0
Swedish,28,bort,139,produces,0.6043
Swedish,28,bort,139,understands,0
American Sign Language,8,AWAY,1,produces,0
American Sign Language,8,AWAY,1,understands,0
American Sign Language,9,AWAY,4,produces,0
American Sign Language,9,AWAY,4,understands,0
American Sign Language,10,AWAY,5,produces,0
American Sign Language,10,AWAY,5,understands,0
American Sign Language,11,AWAY,3,produces,0
American Sign Language,11,AWAY,3,understands,0.3333
American Sign Language,12,AWAY,4,produces,0
American Sign Language,12,AWAY,4,understands,0
American Sign Language,13,AWAY,4,produces,0
American Sign Language,13,AWAY,4,understands,0
American Sign Language,14,AWAY,1,produces,0
American Sign Language,14,AWAY,1,understands,0
American Sign Language,15,AWAY,3,produces,0
American Sign Language,15,AWAY,3,understands,0
American Sign Language,16,AWAY,2,produces,0
American Sign Language,16,AWAY,2,understands,0
American Sign Language,17,AWAY,5,produces,0.2
American Sign Language,17,AWAY,5,understands,0.4
American Sign Language,18,AWAY,11,produces,0.2727
American Sign Language,18,AWAY,11,understands,0.3636
American Sign Language,19,AWAY,6,produces,0
American Sign Language,19,AWAY,6,understands,0.3333
American Sign Language,20,AWAY,3,produces,0
American Sign Language,20,AWAY,3,understands,0.3333
American Sign Language,21,AWAY,4,produces,0
American Sign Language,21,AWAY,4,understands,0.75
American Sign Language,22,AWAY,10,produces,0
American Sign Language,22,AWAY,10,understands,0.3
American Sign Language,23,AWAY,5,produces,0.2
American Sign Language,23,AWAY,5,understands,0.2
American Sign Language,24,AWAY,9,produces,0.2222
American Sign Language,24,AWAY,9,understands,0.2222
American Sign Language,25,AWAY,13,produces,0.0769
American Sign Language,25,AWAY,13,understands,0.6154
American Sign Language,26,AWAY,4,produces,0.5
American Sign Language,26,AWAY,4,understands,0.75
American Sign Language,27,AWAY,7,produces,0.1429
American Sign Language,27,AWAY,7,understands,0.2857
American Sign Language,28,AWAY,7,produces,0.7143
American Sign Language,28,AWAY,7,understands,0.5714
American Sign Language,29,AWAY,6,produces,0.3333
American Sign Language,29,AWAY,6,understands,0.5
American Sign Language,30,AWAY,7,produces,0.4286
American Sign Language,30,AWAY,7,understands,0.4286
American Sign Language,31,AWAY,9,produces,0.5556
American Sign Language,31,AWAY,9,understands,0.4444
American Sign Language,32,AWAY,15,produces,0.6
American Sign Language,32,AWAY,15,understands,0.3333
American Sign Language,33,AWAY,6,produces,0.5
American Sign Language,33,AWAY,6,understands,0.5
American Sign Language,34,AWAY,7,produces,0.5714
American Sign Language,34,AWAY,7,understands,0.4286
American Sign Language,35,AWAY,7,produces,0.7143
American Sign Language,35,AWAY,7,understands,0.5714
