language,sex,age,words,n,measure,prop
American Sign Language,All,8,BACK,1,produces,0
American Sign Language,All,8,BACK,1,understands,0
American Sign Language,All,9,BACK,4,produces,0
American Sign Language,All,9,BACK,4,understands,0
American Sign Language,All,10,BACK,5,produces,0
American Sign Language,All,10,BACK,5,understands,0
American Sign Language,All,11,BACK,3,produces,0
American Sign Language,All,11,BACK,3,understands,0
American Sign Language,All,12,BACK,4,produces,0
American Sign Language,All,12,BACK,4,understands,0
American Sign Language,All,13,BACK,4,produces,0
American Sign Language,All,13,BACK,4,understands,0
American Sign Language,All,14,BACK,1,produces,0
American Sign Language,All,14,BACK,1,understands,0
American Sign Language,All,15,BACK,3,produces,0
American Sign Language,All,15,BACK,3,understands,0
American Sign Language,All,16,BACK,2,produces,0
American Sign Language,All,16,BACK,2,understands,0
American Sign Language,All,17,BACK,5,produces,0
American Sign Language,All,17,BACK,5,understands,0.4
American Sign Language,All,18,BACK,11,produces,0.1818
American Sign Language,All,18,BACK,11,understands,0.2727
American Sign Language,All,19,BACK,6,produces,0
American Sign Language,All,19,BACK,6,understands,0.1667
American Sign Language,All,20,BACK,3,produces,0.3333
American Sign Language,All,20,BACK,3,understands,0
American Sign Language,All,21,BACK,4,produces,0.25
American Sign Language,All,21,BACK,4,understands,0.75
American Sign Language,All,22,BACK,10,produces,0.1
American Sign Language,All,22,BACK,10,understands,0.4
American Sign Language,All,23,BACK,5,produces,0
American Sign Language,All,23,BACK,5,understands,0.2
American Sign Language,All,24,BACK,9,produces,0.2222
American Sign Language,All,24,BACK,9,understands,0.2222
American Sign Language,All,25,BACK,13,produces,0.0769
American Sign Language,All,25,BACK,13,understands,0.3846
American Sign Language,All,26,BACK,4,produces,0
American Sign Language,All,26,BACK,4,understands,0.5
American Sign Language,All,27,BACK,7,produces,0.1429
American Sign Language,All,27,BACK,7,understands,0.4286
American Sign Language,All,28,BACK,7,produces,0.1429
American Sign Language,All,28,BACK,7,understands,0.4286
American Sign Language,All,29,BACK,6,produces,0.3333
American Sign Language,All,29,BACK,6,understands,0.6667
American Sign Language,All,30,BACK,7,produces,0.1429
American Sign Language,All,30,BACK,7,understands,0.5714
American Sign Language,All,31,BACK,9,produces,0.3333
American Sign Language,All,31,BACK,9,understands,0.2222
American Sign Language,All,32,BACK,15,produces,0.4
American Sign Language,All,32,BACK,15,understands,0.4
American Sign Language,All,33,BACK,6,produces,0.1667
American Sign Language,All,33,BACK,6,understands,0.6667
American Sign Language,All,34,BACK,7,produces,0.2857
American Sign Language,All,34,BACK,7,understands,0.4286
American Sign Language,All,35,BACK,7,produces,0.4286
American Sign Language,All,35,BACK,7,understands,0.5714
American Sign Language,All,36,BACK,3,produces,0.6667
American Sign Language,All,36,BACK,3,understands,0.6667
Arabic (Saudi),All,8,ظهر,19,produces,0
Arabic (Saudi),All,8,ظهر,19,understands,0
Arabic (Saudi),All,9,ظهر,18,produces,0
Arabic (Saudi),All,9,ظهر,18,understands,0
Arabic (Saudi),All,10,ظهر,25,produces,0
Arabic (Saudi),All,10,ظهر,25,understands,0
Arabic (Saudi),All,11,ظهر,21,produces,0
Arabic (Saudi),All,11,ظهر,21,understands,0
Arabic (Saudi),All,12,ظهر,19,produces,0
Arabic (Saudi),All,12,ظهر,19,understands,0
Arabic (Saudi),All,13,ظهر,36,produces,0.0833
Arabic (Saudi),All,13,ظهر,36,understands,0
Arabic (Saudi),All,14,ظهر,20,produces,0
Arabic (Saudi),All,14,ظهر,20,understands,0
Arabic (Saudi),All,15,ظهر,19,produces,0
Arabic (Saudi),All,15,ظهر,19,understands,0
Arabic (Saudi),All,16,ظهر,18,produces,0.0556
Arabic (Saudi),All,16,ظهر,18,understands,0
Catalan,All,16,esquena,24,produces,0
Catalan,All,16,esquena,24,understands,0
Catalan,All,17,esquena,36,produces,0
Catalan,All,17,esquena,36,understands,0
Catalan,All,18,esquena,51,produces,0.0196
Catalan,All,18,esquena,51,understands,0
Catalan,All,19,esquena,45,produces,0.0222
Catalan,All,19,esquena,45,understands,0
Catalan,All,20,esquena,56,produces,0.0714
Catalan,All,20,esquena,56,understands,0
Catalan,All,21,esquena,58,produces,0.1552
Catalan,All,21,esquena,58,understands,0
Catalan,All,22,esquena,50,produces,0.26
Catalan,All,22,esquena,50,understands,0
Catalan,All,23,esquena,66,produces,0.2879
Catalan,All,23,esquena,66,understands,0
Catalan,All,24,esquena,79,produces,0.443
Catalan,All,24,esquena,79,understands,0
Catalan,All,25,esquena,60,produces,0.4833
Catalan,All,25,esquena,60,understands,0
Catalan,All,26,esquena,65,produces,0.5385
Catalan,All,26,esquena,65,understands,0
Catalan,All,27,esquena,63,produces,0.6032
Catalan,All,27,esquena,63,understands,0
Catalan,All,28,esquena,81,produces,0.5679
Catalan,All,28,esquena,81,understands,0
Catalan,All,29,esquena,50,produces,0.76
Catalan,All,29,esquena,50,understands,0
Catalan,All,30,esquena,75,produces,0.72
Catalan,All,30,esquena,75,understands,0
English (Irish),All,17,back,2,produces,0
English (Irish),All,17,back,2,understands,0
English (Irish),All,18,back,1,produces,0
English (Irish),All,18,back,1,understands,0
English (Irish),All,19,back,2,produces,0
English (Irish),All,19,back,2,understands,0
English (Irish),All,20,back,1,produces,0
English (Irish),All,20,back,1,understands,0
English (Irish),All,21,back,3,produces,0
English (Irish),All,21,back,3,understands,0
English (Irish),All,22,back,4,produces,0
English (Irish),All,22,back,4,understands,0
English (Irish),All,23,back,4,produces,0
English (Irish),All,23,back,4,understands,0
English (Irish),All,24,back,4,produces,0
English (Irish),All,24,back,4,understands,0
English (Irish),All,25,back,6,produces,0.3333
English (Irish),All,25,back,6,understands,0
English (Irish),All,26,back,10,produces,0.1
English (Irish),All,26,back,10,understands,0
English (Irish),All,27,back,5,produces,0
English (Irish),All,27,back,5,understands,0
English (Irish),All,28,back,7,produces,0.1429
English (Irish),All,28,back,7,understands,0
English (Irish),All,29,back,4,produces,0.25
English (Irish),All,29,back,4,understands,0
English (Irish),All,30,back,9,produces,0.1111
English (Irish),All,30,back,9,understands,0
English (Irish),All,31,back,8,produces,0.25
English (Irish),All,31,back,8,understands,0
English (Irish),All,32,back,4,produces,0.5
English (Irish),All,32,back,4,understands,0
English (Irish),All,33,back,5,produces,0.4
