language,age,words,n,measure,prop
Kigiriama,16,Mongo,1,produces,0
Kigiriama,16,Mongo,1,understands,0
Kigiriama,17,Mongo,6,produces,0
Kigiriama,17,Mongo,6,understands,0
Kigiriama,18,Mongo,13,produces,0
Kigiriama,18,Mongo,13,understands,0
Kigiriama,19,Mongo,8,produces,0
Kigiriama,19,Mongo,8,understands,0
Kigiriama,20,Mongo,14,produces,0
Kigiriama,20,Mongo,14,understands,0
Kigiriama,21,Mongo,6,produces,0.1667
Kigiriama,21,Mongo,6,understands,0
Kigiriama,22,Mongo,9,produces,0.4444
Kigiriama,22,Mongo,9,understands,0
Kigiriama,23,Mongo,4,produces,0
Kigiriama,23,Mongo,4,understands,0
Kigiriama,24,Mongo,7,produces,0.1429
Kigiriama,24,Mongo,7,understands,0
Kigiriama,25,Mongo,3,produces,0.3333
Kigiriama,25,Mongo,3,understands,0
Kigiriama,26,Mongo,6,produces,0.5
Kigiriama,26,Mongo,6,understands,0
Kigiriama,27,Mongo,4,produces,0.75
Kigiriama,27,Mongo,4,understands,0
Kigiriama,28,Mongo,1,produces,0
Kigiriama,28,Mongo,1,understands,0
Kigiriama,29,Mongo,5,produces,0.2
Kigiriama,29,Mongo,5,understands,0
Kigiriama,30,Mongo,1,produces,1
Kigiriama,30,Mongo,1,understands,0
Kiswahili,23,Mgongo,2,produces,0
Kiswahili,23,Mgongo,2,understands,0
Kiswahili,24,Mgongo,12,produces,0.0833
Kiswahili,24,Mgongo,12,understands,0
Kiswahili,25,Mgongo,10,produces,0.1
Kiswahili,25,Mgongo,10,understands,0
Kiswahili,26,Mgongo,13,produces,0.3077
Kiswahili,26,Mgongo,13,understands,0
Kiswahili,27,Mgongo,8,produces,0.25
Kiswahili,27,Mgongo,8,understands,0
Kiswahili,28,Mgongo,6,produces,0.3333
Kiswahili,28,Mgongo,6,understands,0
Kiswahili,29,Mgongo,6,produces,0.3333
Kiswahili,29,Mgongo,6,understands,0
Kiswahili,30,Mgongo,5,produces,0.6
Kiswahili,30,Mgongo,5,understands,0
Korean,8,등,57,produces,0
Korean,8,등,57,understands,0.0175
Korean,9,등,73,produces,0
Korean,9,등,73,understands,0
Korean,10,등,77,produces,0
Korean,10,등,77,understands,0
Korean,11,등,80,produces,0
Korean,11,등,80,understands,0
Korean,12,등,74,produces,0.0135
Korean,12,등,74,understands,0.0676
Korean,13,등,127,produces,0
Korean,13,등,127,understands,0.0709
Korean,14,등,87,produces,0
Korean,14,등,87,understands,0.0575
Korean,15,등,85,produces,0.0353
Korean,15,등,85,understands,0.0824
Korean,16,등,86,produces,0.0465
Korean,16,등,86,understands,0.1977
Korean,17,등,63,produces,0.0159
Korean,17,등,63,understands,0.2698
Korean,18,등,88,produces,0.0682
Korean,18,등,88,understands,0
Korean,19,등,77,produces,0.0649
Korean,19,등,77,understands,0
Korean,20,등,88,produces,0.0909
Korean,20,등,88,understands,0
Korean,21,등,79,produces,0.1899
Korean,21,등,79,understands,0
Korean,22,등,87,produces,0.1724
Korean,22,등,87,understands,0
Korean,23,등,87,produces,0.2759
Korean,23,등,87,understands,0
Korean,24,등,107,produces,0.4206
Korean,24,등,107,understands,0
Korean,25,등,95,produces,0.4421
Korean,25,등,95,understands,0
Korean,26,등,91,produces,0.4176
Korean,26,등,91,understands,0
Korean,27,등,104,produces,0.5
Korean,27,등,104,understands,0
Korean,28,등,89,produces,0.6404
Korean,28,등,89,understands,0
Korean,29,등,101,produces,0.6139
Korean,29,등,101,understands,0
Korean,30,등,81,produces,0.6296
Korean,30,등,81,understands,0
Korean,31,등,79,produces,0.7215
Korean,31,등,79,understands,0
Korean,32,등,70,produces,0.6571
Korean,32,등,70,understands,0
Korean,33,등,79,produces,0.6329
Korean,33,등,79,understands,0
Korean,34,등,79,produces,0.8734
Korean,34,등,79,understands,0
Korean,35,등,74,produces,0.7973
Korean,35,등,74,understands,0
Korean,36,등,75,produces,0.84
Korean,36,등,75,understands,0
Latvian,8,mugura,16,produces,0
Latvian,8,mugura,16,understands,0
Latvian,9,mugura,18,produces,0
Latvian,9,mugura,18,understands,0
Latvian,10,mugura,26,produces,0
Latvian,10,mugura,26,understands,0.1538
Latvian,11,mugura,15,produces,0.0667
Latvian,11,mugura,15,understands,0.2
Latvian,12,mugura,16,produces,0
Latvian,12,mugura,16,understands,0.0625
Latvian,13,mugura,22,produces,0
Latvian,13,mugura,22,understands,0.1818
Latvian,14,mugura,25,produces,0.04
Latvian,14,mugura,25,understands,0.2
Latvian,15,mugura,29,produces,0
Latvian,15,mugura,29,understands,0.2759
Latvian,16,mugura,16,produces,0
Latvian,16,mugura,16,understands,0.1875
Latvian,17,mugura,27,produces,0.0741
Latvian,17,mugura,27,understands,0
Latvian,18,mugura,21,produces,0.0952
Latvian,18,mugura,21,understands,0
Latvian,19,mugura,28,produces,0.1071
Latvian,19,mugura,28,understands,0
Latvian,20,mugura,34,produces,0.2059
Latvian,20,mugura,34,understands,0
Latvian,21,mugura,26,produces,0.3077
Latvian,21,mugura,26,understands,0
Latvian,22,mugura,32,produces,0.2188
Latvian,22,mugura,32,understands,0
Latvian,23,mugura,25,produces,0.32
Latvian,23,mugura,25,understands,0
Latvian,24,mugura,30,produces,0.6
Latvian,24,mugura,30,understands,0
Latvian,25,mugura,29,produces,0.4828
Latvian,25,mugura,29,understands,0
Latvian,26,mugura,22,produces,0.6818
Latvian,26,mugura,22,understands,0
Latvian,27,mugura,18,produces,0.7222
Latvian,27,mugura,18,understands,0
Latvian,28,mugura,23,produces,0.6957
Latvian,28,mugura,23,understands,0
Latvian,29,mugura,24,produces,0.7917
Latvian,29,mugura,24,understands,0
Latvian,30,mugura,26,produces,0.7308
Latvian,30,mugura,26,understands,0
Latvian,31,mugura,19,produces,0.7895
Latvian,31,mugura,19,understands,0
Latvian,32,mugura,25,produces,0.6
Latvian,32,mugura,25,understands,0
Latvian,33,mugura,31,produces,0.8065
Latvian,33,mugura,31,understands,0
Latvian,34,mugura,17,produces,0.7647
Latvian,34,mugura,17,understands,0
Latvian,35,mugura,21,produces,0.8095
Latvian,35,mugura,21,understands,0
Latvian,36,mugura,22,produces,0.7727
Latvian,36,mugura,22,understands,0
Mandarin (Taiwanese),16,背,80,produces,0.0125
Mandarin (Taiwanese),16,背,80,understands,0
Mandarin (Taiwanese),17,背,87,produces,0
Mandarin (Taiwanese),17,背,87,understands,0
Mandarin (Taiwanese),18,背,84,produces,0.0476
Mandarin (Taiwanese),18,背,84,understands,0
Mandarin (Taiwanese),19,背,84,produces,0.0714
Mandarin (Taiwanese),19,背,84,understands,0
Mandarin (Taiwanese),20,背,84,produces,0.0833
Mandarin (Taiwanese),20,背,84,understands,0
Mandarin (Taiwanese),21,背,88,produces,0.1136
Mandarin (Taiwanese),21,背,88,understands,0
Mandarin (Taiwanese),22,背,96,produces,0.1458
Mandarin (Taiwanese),22,背,96,understands,0
Mandarin (Taiwanese),23,背,105,produces,0.2667
Mandarin (Taiwanese),23,背,105,understands,0
Mandarin (Taiwanese),24,背,124,produces,0.2984
Mandarin (Taiwanese),24,背,124,understands,0
Mandarin (Taiwanese),25,背,110,produces,0.2818
Mandarin (Taiwanese),25,背,110,understands,0
Mandarin (Taiwanese),26,背,87,produces,0.3448
Mandarin (Taiwanese),26,背,87,understands,0
Mandarin (Taiwanese),27,背,92,produces,0.3261
Mandarin (Taiwanese),27,背,92,understands,0
Mandarin (Taiwanese),28,背,100,produces,0.52
Mandarin (Taiwanese),28,背,100,understands,0
Mandarin (Taiwanese),29,背,88,produces,0.4659
Mandarin (Taiwanese),29,背,88,understands,0
Mandarin (Taiwanese),30,背,94,produces,0.5213
Mandarin (Taiwanese),30,背,94,understands,0
Mandarin (Taiwanese),31,背,88,produces,0.6364
Mandarin (Taiwanese),31,背,88,understands,0
Mandarin (Taiwanese),32,背,82,produces,0.5854
Mandarin (Taiwanese),32,背,82,understands,0
Mandarin (Taiwanese),33,背,85,produces,0.7412
Mandarin (Taiwanese),33,背,85,understands,0
Mandarin (Taiwanese),34,背,77,produces,0.6753
Mandarin (Taiwanese),34,背,77,understands,0
Mandarin (Taiwanese),35,背,81,produces,0.6543
Mandarin (Taiwanese),35,背,81,understands,0
Mandarin (Taiwanese),36,背,81,produces,0.6914
Mandarin (Taiwanese),36,背,81,understands,0
Norwegian,16,rygg,98,produces,0
Norwegian,16,rygg,98,understands,0
Norwegian,17,rygg,218,produces,0.0183
Norwegian,17,rygg,218,understands,0
Norwegian,18,rygg,271,produces,0.0111
Norwegian,18,rygg,271,understands,0
Norwegian,19,rygg,281,produces,0.0356
Norwegian,19,rygg,281,understands,0
Norwegian,20,rygg,342,produces,0.0556
Norwegian,20,rygg,342,understands,0
Norwegian,21,rygg,418,produces,0.1435
Norwegian,21,rygg,418,understands,0
Norwegian,22,rygg,596,produces,0.2064
Norwegian,22,rygg,596,understands,0
Norwegian,23,rygg,566,produces,0.2809
Norwegian,23,rygg,566,understands,0
Norwegian,24,rygg,538,produces,0.3736
Norwegian,24,rygg,538,understands,0
Norwegian,25,rygg,656,produces,0.4527
Norwegian,25,rygg,656,understands,0
Norwegian,26,rygg,644,produces,0.5745
Norwegian,26,rygg,644,understands,0
Norwegian,27,rygg,525,produces,0.6419
Norwegian,27,rygg,525,understands,0
Norwegian,28,rygg,544,produces,0.7077
Norwegian,28,rygg,544,understands,0
Norwegian,29,rygg,536,produces,0.7351
Norwegian,29,rygg,536,understands,0
Norwegian,30,rygg,457,produces,0.7768
Norwegian,30,rygg,457,understands,0
Norwegian,31,rygg,479,produces,0.8288
Norwegian,31,rygg,479,understands,0
Norwegian,32,rygg,451,produces,0.8514
Norwegian,32,rygg,451,understands,0
Norwegian,33,rygg,430,produces,0.8977
Norwegian,33,rygg,430,understands,0
Norwegian,34,rygg,424,produces,0.908
Norwegian,34,rygg,424,understands,0
Norwegian,35,rygg,422,produces,0.9218
Norwegian,35,rygg,422,understands,0
Norwegian,36,rygg,329,produces,0.8997
Norwegian,36,rygg,329,understands,0
Portuguese (European),16,Costas,144,produces,0
Portuguese (European),16,Costas,144,understands,0
Portuguese (European),17,Costas,158,produces,0.019
Portuguese (European),17,Costas,158,understands,0
Portuguese (European),18,Costas,203,produces,0.0148
Portuguese (European),18,Costas,203,understands,0
Portuguese (European),19,Costas,196,produces,0.0306
Portuguese (European),19,Costas,196,understands,0
Portuguese (European),20,Costas,218,produces,0.0734
Portuguese (European),20,Costas,218,understands,0
Portuguese (European),21,Costas,208,produces,0.0817
Portuguese (European),21,Costas,208,understands,0
Portuguese (European),22,Costas,213,produces,0.1549
Portuguese (European),22,Costas,213,understands,0
Portuguese (European),23,Costas,199,produces,0.1709
Portuguese (European),23,Costas,199,understands,0
Portuguese (European),24,Costas,215,produces,0.3023
Portuguese (European),24,Costas,215,understands,0
Portuguese (European),25,Costas,213,produces,0.3991
Portuguese (European),25,Costas,213,understands,0
Portuguese (European),26,Costas,218,produces,0.4266
Portuguese (European),26,Costas,218,understands,0
Portuguese (European),27,Costas,238,produces,0.5
Portuguese (European),27,Costas,238,understands,0
Portuguese (European),28,Costas,219,produces,0.5479
Portuguese (European),28,Costas,219,understands,0
Portuguese (European),29,Costas,207,produces,0.599
Portuguese (European),29,Costas,207,understands,0
Portuguese (European),30,Costas,163,produces,0.5951
Portuguese (European),30,Costas,163,understands,0
Russian,18,спина,42,produces,0
Russian,18,спина,42,understands,0
Russian,19,спина,41,produces,0.0488
Russian,19,спина,41,understands,0
Russian,20,спина,45,produces,0.1556
Russian,20,спина,45,understands,0
Russian,21,спина,43,produces,0.2791
Russian,21,спина,43,understands,0
Russian,22,спина,51,produces,0.3333
Russian,22,спина,51,understands,0
Russian,23,спина,56,produces,0.4107
Russian,23,спина,56,understands,0
Russian,24,спина,61,produces,0.4754
Russian,24,спина,61,understands,0
Russian,25,спина,66,produces,0.4697
Russian,25,спина,66,understands,0
Russian,26,спина,52,produces,0.5
Russian,26,спина,52,understands,0
Russian,27,спина,60,produces,0.5167
Russian,27,спина,60,understands,0
Russian,28,спина,60,produces,0.6833
Russian,28,спина,60,understands,0
Russian,29,спина,58,produces,0.7759
Russian,29,спина,58,understands,0
Russian,30,спина,77,produces,0.7013
Russian,30,спина,77,understands,0
Russian,31,спина,61,produces,0.8033
Russian,31,спина,61,understands,0
Russian,32,спина,55,produces,0.8
Russian,32,спина,55,understands,0
Russian,33,спина,55,produces,0.7273
Russian,33,спина,55,understands,0
Russian,34,спина,58,produces,0.9138
Russian,34,спина,58,understands,0
Russian,35,спина,47,produces,0.8511
Russian,35,спина,47,understands,0
Russian,36,спина,49,produces,0.8776
Russian,36,спина,49,understands,0
Slovak,17,chrbátik,70,produces,0.0714
Slovak,17,chrbátik,70,understands,0
Slovak,18,chrbátik,65,produces,0.1231
Slovak,18,chrbátik,65,understands,0
Slovak,19,chrbátik,56,produces,0.1429
Slovak,19,chrbátik,56,understands,0
Slovak,20,chrbátik,62,produces,0.2419
Slovak,20,chrbátik,62,understands,0
Slovak,21,chrbátik,81,produces,0.3333
Slovak,21,chrbátik,81,understands,0
Slovak,22,chrbátik,53,produces,0.2642
Slovak,22,chrbátik,53,understands,0
Slovak,23,chrbátik,59,produces,0.4237
Slovak,23,chrbátik,59,understands,0
Slovak,24,chrbátik,59,produces,0.678
Slovak,24,chrbátik,59,understands,0
Slovak,25,chrbátik,69,produces,0.5942
Slovak,25,chrbátik,69,understands,0
Slovak,26,chrbátik,78,produces,0.8077
Slovak,26,chrbátik,78,understands,0
Slovak,27,chrbátik,62,produces,0.8065
Slovak,27,chrbátik,62,understands,0
Slovak,28,chrbátik,86,produces,0.7326
Slovak,28,chrbátik,86,understands,0
Slovak,29,chrbátik,75,produces,0.76
Slovak,29,chrbátik,75,understands,0
Slovak,30,chrbátik,49,produces,0.7347
Slovak,30,chrbátik,49,understands,0
Slovak,31,chrbátik,29,produces,0.7241
Slovak,31,chrbátik,29,understands,0
Slovak,32,chrbátik,25,produces,0.88
Slovak,32,chrbátik,25,understands,0
Slovak,33,chrbátik,22,produces,0.9091
Slovak,33,chrbátik,22,understands,0
Slovak,34,chrbátik,27,produces,0.8148
Slovak,34,chrbátik,27,understands,0
Slovak,35,chrbátik,27,produces,0.7778
Slovak,35,chrbátik,27,understands,0
Slovak,36,chrbátik,8,produces,0.875
Slovak,36,chrbátik,8,understands,0
Cantonese,16,背脊,46,produces,0
Cantonese,16,背脊,46,understands,0
Cantonese,17,背脊,61,produces,0.0164
Cantonese,17,背脊,61,understands,0
Cantonese,18,背脊,68,produces,0.0294
Cantonese,18,背脊,68,understands,0
Cantonese,19,背脊,66,produces,0.0455
Cantonese,19,背脊,66,understands,0
Cantonese,20,背脊,140,produces,0.0857
Cantonese,20,背脊,140,understands,0
Cantonese,21,背脊,120,produces,0.1083
Cantonese,21,背脊,120,understands,0
Cantonese,22,背脊,68,produces,0.1176
Cantonese,22,背脊,68,understands,0
Cantonese,23,背脊,74,produces,0.1757
Cantonese,23,背脊,74,understands,0
Cantonese,24,背脊,68,produces,0.2647
Cantonese,24,背脊,68,understands,0
Cantonese,25,背脊,65,produces,0.3077
Cantonese,25,背脊,65,understands,0
Cantonese,26,背脊,68,produces,0.3824
Cantonese,26,背脊,68,understands,0
Cantonese,27,背脊,62,produces,0.3548
Cantonese,27,背脊,62,understands,0
Cantonese,28,背脊,66,produces,0.5455
Cantonese,28,背脊,66,understands,0
Cantonese,29,背脊,72,produces,0.6667
Cantonese,29,背脊,72,understands,0
Cantonese,30,背脊,164,produces,0.5915
Cantonese,30,背脊,164,understands,0
Dutch,8,rug,7,produces,0
Dutch,8,rug,7,understands,0
Dutch,9,rug,94,produces,0
Dutch,9,rug,94,understands,0
