language,sex,age,words,n,measure,prop
American Sign Language,All,8,BATH,1,produces,1
American Sign Language,All,8,BATH,1,understands,0
American Sign Language,All,9,BATH,4,produces,0
American Sign Language,All,9,BATH,4,understands,0.75
American Sign Language,All,10,BATH,5,produces,0
American Sign Language,All,10,BATH,5,understands,0
American Sign Language,All,11,BATH,3,produces,0
American Sign Language,All,11,BATH,3,understands,0
American Sign Language,All,12,BATH,4,produces,0.25
American Sign Language,All,12,BATH,4,understands,0.5
American Sign Language,All,13,BATH,4,produces,0.5
American Sign Language,All,13,BATH,4,understands,0
American Sign Language,All,14,BATH,1,produces,1
American Sign Language,All,14,BATH,1,understands,0
American Sign Language,All,15,BATH,3,produces,1
American Sign Language,All,15,BATH,3,understands,0.3333
American Sign Language,All,16,BATH,2,produces,1
American Sign Language,All,16,BATH,2,understands,1
American Sign Language,All,17,BATH,5,produces,0.6
American Sign Language,All,17,BATH,5,understands,0.4
American Sign Language,All,18,BATH,11,produces,0.8182
American Sign Language,All,18,BATH,11,understands,0.6364
American Sign Language,All,19,BATH,6,produces,0.8333
American Sign Language,All,19,BATH,6,understands,0.6667
American Sign Language,All,20,BATH,3,produces,0.6667
American Sign Language,All,20,BATH,3,understands,0.6667
American Sign Language,All,21,BATH,4,produces,0.5
American Sign Language,All,21,BATH,4,understands,0.75
American Sign Language,All,22,BATH,10,produces,0.7
American Sign Language,All,22,BATH,10,understands,0.7
American Sign Language,All,23,BATH,5,produces,0.8
American Sign Language,All,23,BATH,5,understands,0.4
American Sign Language,All,24,BATH,9,produces,0.4444
American Sign Language,All,24,BATH,9,understands,0.4444
American Sign Language,All,25,BATH,13,produces,0.5385
American Sign Language,All,25,BATH,13,understands,0.6923
American Sign Language,All,26,BATH,4,produces,0.5
American Sign Language,All,26,BATH,4,understands,0.5
American Sign Language,All,27,BATH,7,produces,0.4286
American Sign Language,All,27,BATH,7,understands,0.4286
American Sign Language,All,28,BATH,7,produces,1
American Sign Language,All,28,BATH,7,understands,0.5714
American Sign Language,All,29,BATH,6,produces,0.8333
American Sign Language,All,29,BATH,6,understands,1
American Sign Language,All,30,BATH,7,produces,0.8571
American Sign Language,All,30,BATH,7,understands,0.5714
American Sign Language,All,31,BATH,9,produces,0.7778
American Sign Language,All,31,BATH,9,understands,0.4444
American Sign Language,All,32,BATH,15,produces,0.9333
American Sign Language,All,32,BATH,15,understands,0.5333
American Sign Language,All,33,BATH,6,produces,0.8333
American Sign Language,All,33,BATH,6,understands,0.8333
American Sign Language,All,34,BATH,7,produces,0.8571
American Sign Language,All,34,BATH,7,understands,0.7143
American Sign Language,All,35,BATH,7,produces,0.4286
American Sign Language,All,35,BATH,7,understands,0.5714
American Sign Language,All,36,BATH,3,produces,0.3333
American Sign Language,All,36,BATH,3,understands,0.6667
British Sign Language,All,8,bath,4,produces,0
British Sign Language,All,8,bath,4,understands,0
British Sign Language,All,9,bath,4,produces,0
British Sign Language,All,9,bath,4,understands,0.25
British Sign Language,All,10,bath,4,produces,0
British Sign Language,All,10,bath,4,understands,0
British Sign Language,All,11,bath,6,produces,0
British Sign Language,All,11,bath,6,understands,0.3333
British Sign Language,All,12,bath,6,produces,0
British Sign Language,All,12,bath,6,understands,0.3333
British Sign Language,All,13,bath,6,produces,0.1667
