language,sex,age,words,n,measure,prop
Catalan,All,8,bonic,39,produces,0
Catalan,All,8,bonic,39,understands,0.0769
Catalan,All,9,bonic,46,produces,0
Catalan,All,9,bonic,46,understands,0.0652
Catalan,All,10,bonic,43,produces,0
Catalan,All,10,bonic,43,understands,0.1163
Catalan,All,11,bonic,43,produces,0
Catalan,All,11,bonic,43,understands,0.1163
Catalan,All,12,bonic,59,produces,0
Catalan,All,12,bonic,59,understands,0.1525
Catalan,All,13,bonic,44,produces,0.0227
Catalan,All,13,bonic,44,understands,0.1818
Catalan,All,14,bonic,60,produces,0.0167
Catalan,All,14,bonic,60,understands,0.2833
Catalan,All,15,bonic,70,produces,0.0286
Catalan,All,15,bonic,70,understands,0.4
Catalan,All,16,bonic,73,produces,0
Catalan,All,16,bonic,73,understands,0.2466
Catalan,All,17,bonic,110,produces,0.0273
Catalan,All,17,bonic,110,understands,0.3273
Catalan,All,18,bonic,102,produces,0.0588
Catalan,All,18,bonic,102,understands,0.2647
Catalan,All,19,bonic,45,produces,0.0444
Catalan,All,19,bonic,45,understands,0
Catalan,All,20,bonic,56,produces,0.0714
Catalan,All,20,bonic,56,understands,0
Catalan,All,21,bonic,58,produces,0.1379
Catalan,All,21,bonic,58,understands,0
Catalan,All,22,bonic,50,produces,0.18
Catalan,All,22,bonic,50,understands,0
Catalan,All,23,bonic,66,produces,0.1818
Catalan,All,23,bonic,66,understands,0
Catalan,All,24,bonic,79,produces,0.4051
Catalan,All,24,bonic,79,understands,0
Catalan,All,25,bonic,60,produces,0.35
Catalan,All,25,bonic,60,understands,0
Catalan,All,26,bonic,65,produces,0.2923
Catalan,All,26,bonic,65,understands,0
Catalan,All,27,bonic,63,produces,0.4762
Catalan,All,27,bonic,63,understands,0
Catalan,All,28,bonic,81,produces,0.4074
Catalan,All,28,bonic,81,understands,0
Catalan,All,29,bonic,50,produces,0.56
Catalan,All,29,bonic,50,understands,0
Catalan,All,30,bonic,75,produces,0.5867
Catalan,All,30,bonic,75,understands,0
Croatian,All,8,krasno,23,produces,0
Croatian,All,8,krasno,23,understands,0
Croatian,All,9,krasno,25,produces,0
Croatian,All,9,krasno,25,understands,0.04
Croatian,All,10,krasno,22,produces,0
Croatian,All,10,krasno,22,understands,0
Croatian,All,11,krasno,25,produces,0
Croatian,All,11,krasno,25,understands,0.04
Croatian,All,12,krasno,35,produces,0
Croatian,All,12,krasno,35,understands,0.0571
Croatian,All,13,krasno,34,produces,0
Croatian,All,13,krasno,34,understands,0.0588
Croatian,All,14,krasno,28,produces,0
Croatian,All,14,krasno,28,understands,0.1071
Croatian,All,15,krasno,24,produces,0
Croatian,All,15,krasno,24,understands,0.25
Croatian,All,16,krasno,47,produces,0.0213
Croatian,All,16,krasno,47,understands,0.1064
Croatian,All,17,krasno,25,produces,0
Croatian,All,17,krasno,25,understands,0
Croatian,All,18,krasno,22,produces,0
Croatian,All,18,krasno,22,understands,0
Croatian,All,19,krasno,21,produces,0
Croatian,All,19,krasno,21,understands,0
Croatian,All,20,krasno,26,produces,0.0385
Croatian,All,20,krasno,26,understands,0
Croatian,All,21,krasno,29,produces,0.0345
Croatian,All,21,krasno,29,understands,0
Croatian,All,22,krasno,24,produces,0
Croatian,All,22,krasno,24,understands,0
Croatian,All,23,krasno,26,produces,0.1154
Croatian,All,23,krasno,26,understands,0
Croatian,All,24,krasno,30,produces,0.1333
Croatian,All,24,krasno,30,understands,0
Croatian,All,25,krasno,30,produces,0.1
Croatian,All,25,krasno,30,understands,0
Croatian,All,26,krasno,29,produces,0.1379
Croatian,All,26,krasno,29,understands,0
Croatian,All,27,krasno,25,produces,0.16
Croatian,All,27,krasno,25,understands,0
Croatian,All,28,krasno,21,produces,0.1429
Croatian,All,28,krasno,21,understands,0
Croatian,All,29,krasno,28,produces,0.1071
Croatian,All,29,krasno,28,understands,0
Croatian,All,30,krasno,28,produces,0.2857
Croatian,All,30,krasno,28,understands,0
Dutch,All,8,mooi,7,produces,0
Dutch,All,8,mooi,7,understands,0
Dutch,All,9,mooi,94,produces,0
Dutch,All,9,mooi,94,understands,0.0426
Dutch,All,10,mooi,128,produces,0
Dutch,All,10,mooi,128,understands,0.0312
Dutch,All,11,mooi,9,produces,0
Dutch,All,11,mooi,9,understands,0
Dutch,All,12,mooi,7,produces,0
Dutch,All,12,mooi,7,understands,0
Dutch,All,13,mooi,6,produces,0
Dutch,All,13,mooi,6,understands,0
Dutch,All,14,mooi,35,produces,0
Dutch,All,14,mooi,35,understands,0.1143
Dutch,All,15,mooi,9,produces,0
Dutch,All,15,mooi,9,understands,0.3333
Dutch,All,16,mooi,12,produces,0.0833
Dutch,All,16,mooi,12,understands,0.1667
Dutch,All,17,mooi,55,produces,0.1273
Dutch,All,17,mooi,55,understands,0
Dutch,All,18,mooi,198,produces,0.1818
Dutch,All,18,mooi,198,understands,0.2828
Dutch,All,19,mooi,101,produces,0.1584
Dutch,All,19,mooi,101,understands,0.2772
Dutch,All,20,mooi,33,produces,0.2727
Dutch,All,20,mooi,33,understands,0.2727
Dutch,All,21,mooi,13,produces,0.5385
Dutch,All,21,mooi,13,understands,0.4615
Dutch,All,22,mooi,7,produces,0.2857
Dutch,All,22,mooi,7,understands,0
Dutch,All,23,mooi,51,produces,0.6667
Dutch,All,23,mooi,51,understands,0
Dutch,All,24,mooi,31,produces,0.8065
Dutch,All,24,mooi,31,understands,0
Dutch,All,25,mooi,6,produces,1
Dutch,All,25,mooi,6,understands,0
Dutch,All,26,mooi,6,produces,0.5
Dutch,All,26,mooi,6,understands,0
Dutch,All,27,mooi,5,produces,0.8
Dutch,All,27,mooi,5,understands,0
Dutch,All,28,mooi,6,produces,1
Dutch,All,28,mooi,6,understands,0
Dutch,All,29,mooi,23,produces,0.9565
Dutch,All,29,mooi,23,understands,0
Dutch,All,30,mooi,24,produces,0.9583
Dutch,All,30,mooi,24,understands,0
Dutch,All,31,mooi,2,produces,1
Dutch,All,31,mooi,2,understands,0
Estonian,All,16,ilus,36,produces,0.1111
Estonian,All,16,ilus,36,understands,0
Estonian,All,17,ilus,89,produces,0.0449
Estonian,All,17,ilus,89,understands,0
Estonian,All,18,ilus,103,produces,0.1359
Estonian,All,18,ilus,103,understands,0
Estonian,All,19,ilus,85,produces,0.2353
Estonian,All,19,ilus,85,understands,0
Estonian,All,20,ilus,60,produces,0.3667
Estonian,All,20,ilus,60,understands,0
Estonian,All,21,ilus,66,produces,0.303
Estonian,All,21,ilus,66,understands,0
Estonian,All,22,ilus,76,produces,0.3289
Estonian,All,22,ilus,76,understands,0
Estonian,All,23,ilus,95,produces,0.5474
Estonian,All,23,ilus,95,understands,0
Estonian,All,24,ilus,116,produces,0.5172
Estonian,All,24,ilus,116,understands,0
Estonian,All,25,ilus,82,produces,0.622
Estonian,All,25,ilus,82,understands,0
Estonian,All,26,ilus,84,produces,0.5833
Estonian,All,26,ilus,84,understands,0
Estonian,All,27,ilus,80,produces,0.7125
Estonian,All,27,ilus,80,understands,0
Estonian,All,28,ilus,92,produces,0.7717
Estonian,All,28,ilus,92,understands,0
Estonian,All,29,ilus,100,produces,0.85
Estonian,All,29,ilus,100,understands,0
Estonian,All,30,ilus,71,produces,0.8451
Estonian,All,30,ilus,71,understands,0
Finnish,All,9,kaunis ,82,produces,0
Finnish,All,9,kaunis ,82,understands,0
Finnish,All,12,kaunis ,117,produces,0
Finnish,All,12,kaunis ,117,understands,0
Finnish,All,15,kaunis ,117,produces,0
Finnish,All,15,kaunis ,117,understands,0
Finnish,All,18,kaunis,35,produces,0
Finnish,All,18,kaunis,35,understands,0
Finnish,All,24,kaunis,35,produces,0.3429
Finnish,All,24,kaunis,35,understands,0
French (French),All,8,beau/belle,54,produces,0
French (French),All,8,beau/belle,54,understands,0.1296
French (French),All,9,beau/belle,11,produces,0
French (French),All,9,beau/belle,11,understands,0
French (French),All,10,beau/belle,13,produces,0.0769
French (French),All,10,beau/belle,13,understands,0.0769
French (French),All,11,beau/belle,42,produces,0.0238
French (French),All,11,beau/belle,42,understands,0.1905
French (French),All,12,beau/belle,64,produces,0.0781
French (French),All,12,beau/belle,64,understands,0.1562
French (French),All,13,beau/belle,116,produces,0.0345
French (French),All,13,beau/belle,116,understands,0.181
French (French),All,14,beau/belle,40,produces,0.075
French (French),All,14,beau/belle,40,understands,0.075
French (French),All,15,beau/belle,26,produces,0.2308
French (French),All,15,beau/belle,26,understands,0.3077
French (French),All,16,beau/belle,98,produces,0.0612
French (French),All,16,beau/belle,98,understands,0.0102
French (French),All,17,beau/belle,52,produces,0.0577
French (French),All,17,beau/belle,52,understands,0
French (French),All,18,beau/belle,54,produces,0.2593
French (French),All,18,beau/belle,54,understands,0
French (French),All,19,beau/belle,42,produces,0.1429
French (French),All,19,beau/belle,42,understands,0
French (French),All,20,beau/belle,81,produces,0.4198
French (French),All,20,beau/belle,81,understands,0
French (French),All,21,beau/belle,102,produces,0.3922
French (French),All,21,beau/belle,102,understands,0
French (French),All,22,beau/belle,103,produces,0.4175
French (French),All,22,beau/belle,103,understands,0
French (French),All,23,beau/belle,118,produces,0.4492
French (French),All,23,beau/belle,118,understands,0
French (French),All,24,beau/belle,173,produces,0.5087
French (French),All,24,beau/belle,173,understands,0
French (French),All,25,beau/belle,87,produces,0.6092
French (French),All,25,beau/belle,87,understands,0
French (French),All,26,beau/belle,64,produces,0.6562
French (French),All,26,beau/belle,64,understands,0
French (French),All,27,beau/belle,54,produces,0.6296
French (French),All,27,beau/belle,54,understands,0
French (French),All,28,beau/belle,76,produces,0.6711
French (French),All,28,beau/belle,76,understands,0
French (French),All,29,beau/belle,67,produces,0.6866
French (French),All,29,beau/belle,67,understands,0
French (French),All,30,beau/belle,68,produces,0.6618
French (French),All,30,beau/belle,68,understands,0
French (Quebecois),All,8,beau/belle,103,produces,0
French (Quebecois),All,8,beau/belle,103,understands,0.165
French (Quebecois),All,9,beau/belle,167,produces,0.006
French (Quebecois),All,9,beau/belle,167,understands,0.1677
French (Quebecois),All,10,beau/belle,86,produces,0
French (Quebecois),All,10,beau/belle,86,understands,0.2326
French (Quebecois),All,11,beau/belle,81,produces,0
French (Quebecois),All,11,beau/belle,81,understands,0.2716
French (Quebecois),All,12,beau/belle,166,produces,0.0181
French (Quebecois),All,12,beau/belle,166,understands,0.2771
French (Quebecois),All,13,beau/belle,126,produces,0.0714
French (Quebecois),All,13,beau/belle,126,understands,0.3492
French (Quebecois),All,14,beau/belle,228,produces,0.0482
French (Quebecois),All,14,beau/belle,228,understands,0.2982
French (Quebecois),All,15,beau/belle,101,produces,0.1188
French (Quebecois),All,15,beau/belle,101,understands,0.3366
French (Quebecois),All,16,"beau/belle, joli",108,produces,0.1677
French (Quebecois),All,16,"beau/belle, joli",108,understands,0.2581
French (Quebecois),All,17,"beau/belle, joli",62,produces,0.1774
French (Quebecois),All,17,"beau/belle, joli",62,understands,0
French (Quebecois),All,18,"beau/belle, joli",99,produces,0.1818
French (Quebecois),All,18,"beau/belle, joli",99,understands,0
