language,age,words,n,measure,prop
Kiswahili,8,Chumba/Bedroom,1,produces,0
Kiswahili,8,Chumba/Bedroom,1,understands,0
Kiswahili,9,Chumba/Bedroom,5,produces,0
Kiswahili,9,Chumba/Bedroom,5,understands,0
Kiswahili,10,Chumba/Bedroom,5,produces,0
Kiswahili,10,Chumba/Bedroom,5,understands,0
Kiswahili,11,Chumba/Bedroom,9,produces,0
Kiswahili,11,Chumba/Bedroom,9,understands,0
Kiswahili,12,Chumba/Bedroom,6,produces,0
Kiswahili,12,Chumba/Bedroom,6,understands,0
Kiswahili,13,Chumba/Bedroom,6,produces,0
Kiswahili,13,Chumba/Bedroom,6,understands,0.5
Kiswahili,14,Chumba/Bedroom,4,produces,0
Kiswahili,14,Chumba/Bedroom,4,understands,0.25
Kiswahili,15,Chumba/Bedroom,5,produces,0.2
Kiswahili,15,Chumba/Bedroom,5,understands,0.6
Kiswahili,23,Chumba/Bedroom,2,produces,0
Kiswahili,23,Chumba/Bedroom,2,understands,0
Kiswahili,24,Chumba/Bedroom,12,produces,0.1667
Kiswahili,24,Chumba/Bedroom,12,understands,0
Kiswahili,25,Chumba/Bedroom,10,produces,0.2
Kiswahili,25,Chumba/Bedroom,10,understands,0
Kiswahili,26,Chumba/Bedroom,13,produces,0.2308
Kiswahili,26,Chumba/Bedroom,13,understands,0
Kiswahili,27,Chumba/Bedroom,8,produces,0.375
Kiswahili,27,Chumba/Bedroom,8,understands,0
Kiswahili,28,Chumba/Bedroom,6,produces,0
Kiswahili,28,Chumba/Bedroom,6,understands,0
Kiswahili,29,Chumba/Bedroom,6,produces,0.5
Kiswahili,29,Chumba/Bedroom,6,understands,0
Kiswahili,30,Chumba/Bedroom,5,produces,0.6
Kiswahili,30,Chumba/Bedroom,5,understands,0
Mandarin (Beijing),17,卧室,40,produces,0
Mandarin (Beijing),17,卧室,40,understands,0
Mandarin (Beijing),18,卧室,50,produces,0
Mandarin (Beijing),18,卧室,50,understands,0
Mandarin (Beijing),19,卧室,50,produces,0.1
Mandarin (Beijing),19,卧室,50,understands,0
Mandarin (Beijing),20,卧室,50,produces,0.08
Mandarin (Beijing),20,卧室,50,understands,0
Mandarin (Beijing),21,卧室,49,produces,0.102
Mandarin (Beijing),21,卧室,49,understands,0
Mandarin (Beijing),22,卧室,46,produces,0.1522
Mandarin (Beijing),22,卧室,46,understands,0
Mandarin (Beijing),23,卧室,50,produces,0.34
Mandarin (Beijing),23,卧室,50,understands,0
Mandarin (Beijing),24,卧室,50,produces,0.28
Mandarin (Beijing),24,卧室,50,understands,0
Mandarin (Beijing),25,卧室,43,produces,0.3023
Mandarin (Beijing),25,卧室,43,understands,0
Mandarin (Beijing),26,卧室,47,produces,0.3191
Mandarin (Beijing),26,卧室,47,understands,0
Mandarin (Beijing),27,卧室,44,produces,0.4545
Mandarin (Beijing),27,卧室,44,understands,0
Mandarin (Beijing),28,卧室,44,produces,0.4091
Mandarin (Beijing),28,卧室,44,understands,0
Mandarin (Beijing),29,卧室,49,produces,0.5918
Mandarin (Beijing),29,卧室,49,understands,0
Mandarin (Beijing),30,卧室,40,produces,0.55
Mandarin (Beijing),30,卧室,40,understands,0
Mandarin (Taiwanese),8,臥(房)室,86,produces,0
Mandarin (Taiwanese),8,臥(房)室,86,understands,0.3023
Mandarin (Taiwanese),9,臥(房)室,79,produces,0
Mandarin (Taiwanese),9,臥(房)室,79,understands,0.4051
Mandarin (Taiwanese),10,臥(房)室,78,produces,0
Mandarin (Taiwanese),10,臥(房)室,78,understands,0.1923
Mandarin (Taiwanese),11,臥(房)室,79,produces,0
Mandarin (Taiwanese),11,臥(房)室,79,understands,0.1772
Mandarin (Taiwanese),12,臥(房)室,80,produces,0.0125
Mandarin (Taiwanese),12,臥(房)室,80,understands,0.1625
Mandarin (Taiwanese),13,臥(房)室,78,produces,0
Mandarin (Taiwanese),13,臥(房)室,78,understands,0.1795
Mandarin (Taiwanese),14,臥(房)室,81,produces,0.0123
Mandarin (Taiwanese),14,臥(房)室,81,understands,0.1728
Mandarin (Taiwanese),15,臥(房)室,106,produces,0.0566
Mandarin (Taiwanese),15,臥(房)室,106,understands,0.3208
Mandarin (Taiwanese),16,臥(房)室,170,produces,0.0235
Mandarin (Taiwanese),16,臥(房)室,170,understands,0.1765
Mandarin (Taiwanese),17,臥(房)室,87,produces,0.0115
Mandarin (Taiwanese),17,臥(房)室,87,understands,0
Mandarin (Taiwanese),18,臥(房)室,84,produces,0.0119
Mandarin (Taiwanese),18,臥(房)室,84,understands,0
Mandarin (Taiwanese),19,臥(房)室,84,produces,0.0476
Mandarin (Taiwanese),19,臥(房)室,84,understands,0
Mandarin (Taiwanese),20,臥(房)室,84,produces,0.0476
Mandarin (Taiwanese),20,臥(房)室,84,understands,0
Mandarin (Taiwanese),21,臥(房)室,88,produces,0.0795
Mandarin (Taiwanese),21,臥(房)室,88,understands,0
Mandarin (Taiwanese),22,臥(房)室,96,produces,0.1042
Mandarin (Taiwanese),22,臥(房)室,96,understands,0
Mandarin (Taiwanese),23,臥(房)室,105,produces,0.181
Mandarin (Taiwanese),23,臥(房)室,105,understands,0
Mandarin (Taiwanese),24,臥(房)室,124,produces,0.1613
Mandarin (Taiwanese),24,臥(房)室,124,understands,0
Mandarin (Taiwanese),25,臥(房)室,110,produces,0.1727
Mandarin (Taiwanese),25,臥(房)室,110,understands,0
Mandarin (Taiwanese),26,臥(房)室,87,produces,0.2184
Mandarin (Taiwanese),26,臥(房)室,87,understands,0
Mandarin (Taiwanese),27,臥(房)室,92,produces,0.2174
Mandarin (Taiwanese),27,臥(房)室,92,understands,0
Mandarin (Taiwanese),28,臥(房)室,100,produces,0.44
Mandarin (Taiwanese),28,臥(房)室,100,understands,0
Mandarin (Taiwanese),29,臥(房)室,88,produces,0.2955
Mandarin (Taiwanese),29,臥(房)室,88,understands,0
Mandarin (Taiwanese),30,臥(房)室,94,produces,0.4574
Mandarin (Taiwanese),30,臥(房)室,94,understands,0
Mandarin (Taiwanese),31,臥(房)室,88,produces,0.5227
Mandarin (Taiwanese),31,臥(房)室,88,understands,0
Mandarin (Taiwanese),32,臥(房)室,82,produces,0.4756
Mandarin (Taiwanese),32,臥(房)室,82,understands,0
Mandarin (Taiwanese),33,臥(房)室,85,produces,0.6
Mandarin (Taiwanese),33,臥(房)室,85,understands,0
Mandarin (Taiwanese),34,臥(房)室,77,produces,0.5714
Mandarin (Taiwanese),34,臥(房)室,77,understands,0
Mandarin (Taiwanese),35,臥(房)室,81,produces,0.5802
Mandarin (Taiwanese),35,臥(房)室,81,understands,0
Mandarin (Taiwanese),36,臥(房)室,81,produces,0.6173
Mandarin (Taiwanese),36,臥(房)室,81,understands,0
Norwegian,8,soverom,77,produces,0.026
Norwegian,8,soverom,77,understands,0.039
Norwegian,9,soverom,138,produces,0
Norwegian,9,soverom,138,understands,0.0217
Norwegian,10,soverom,203,produces,0
Norwegian,10,soverom,203,understands,0.0591
Norwegian,11,soverom,241,produces,0.0041
Norwegian,11,soverom,241,understands,0.0788
Norwegian,12,soverom,221,produces,0
Norwegian,12,soverom,221,understands,0.1176
Norwegian,13,soverom,246,produces,0
Norwegian,13,soverom,246,understands,0.2154
Norwegian,14,soverom,269,produces,0
Norwegian,14,soverom,269,understands,0.2454
Norwegian,15,soverom,239,produces,0.0042
Norwegian,15,soverom,239,understands,0.3013
Norwegian,16,soverom,346,produces,0.0087
Norwegian,16,soverom,346,understands,0.2746
Norwegian,17,soverom,435,produces,0.0115
Norwegian,17,soverom,435,understands,0.2391
Norwegian,18,soverom,494,produces,0.0162
Norwegian,18,soverom,494,understands,0.2713
Norwegian,19,soverom,504,produces,0.0317
Norwegian,19,soverom,504,understands,0.2837
Norwegian,20,soverom,601,produces,0.0499
Norwegian,20,soverom,601,understands,0.2928
Norwegian,21,soverom,418,produces,0.0646
Norwegian,21,soverom,418,understands,0
Norwegian,22,soverom,596,produces,0.104
Norwegian,22,soverom,596,understands,0
Norwegian,23,soverom,566,produces,0.1696
Norwegian,23,soverom,566,understands,0
Norwegian,24,soverom,538,produces,0.2546
Norwegian,24,soverom,538,understands,0
Norwegian,25,soverom,656,produces,0.3095
Norwegian,25,soverom,656,understands,0
Norwegian,26,soverom,644,produces,0.4425
Norwegian,26,soverom,644,understands,0
Norwegian,27,soverom,525,produces,0.5048
Norwegian,27,soverom,525,understands,0
Norwegian,28,soverom,544,produces,0.5404
Norwegian,28,soverom,544,understands,0
Norwegian,29,soverom,536,produces,0.6082
Norwegian,29,soverom,536,understands,0
Norwegian,30,soverom,457,produces,0.6236
Norwegian,30,soverom,457,understands,0
Norwegian,31,soverom,479,produces,0.6994
Norwegian,31,soverom,479,understands,0
Norwegian,32,soverom,451,produces,0.7384
Norwegian,32,soverom,451,understands,0
Norwegian,33,soverom,430,produces,0.8023
Norwegian,33,soverom,430,understands,0
Norwegian,34,soverom,424,produces,0.8373
Norwegian,34,soverom,424,understands,0
Norwegian,35,soverom,422,produces,0.8246
Norwegian,35,soverom,422,understands,0
Norwegian,36,soverom,329,produces,0.8389
Norwegian,36,soverom,329,understands,0
Persian,8,اتاق خواب,7,produces,0
Persian,8,اتاق خواب,7,understands,0.4286
Persian,9,اتاق خواب,21,produces,0
Persian,9,اتاق خواب,21,understands,0.1905
Persian,10,اتاق خواب,16,produces,0.0625
Persian,10,اتاق خواب,16,understands,0.5625
Persian,11,اتاق خواب,13,produces,0
Persian,11,اتاق خواب,13,understands,0.1538
Persian,12,اتاق خواب,11,produces,0
Persian,12,اتاق خواب,11,understands,0.2727
Persian,13,اتاق خواب,14,produces,0
Persian,13,اتاق خواب,14,understands,0.6429
Persian,14,اتاق خواب,15,produces,0
Persian,14,اتاق خواب,15,understands,0.5333
Persian,15,اتاق خواب,12,produces,0.0833
Persian,15,اتاق خواب,12,understands,0.75
Persian,16,اتاق خواب,4,produces,0
Persian,16,اتاق خواب,4,understands,0.75
Portuguese (European),8,Quarto,126,produces,0.0079
Portuguese (European),8,Quarto,126,understands,0.0714
Portuguese (European),9,Quarto,148,produces,0.0068
Portuguese (European),9,Quarto,148,understands,0.0946
Portuguese (European),10,Quarto,168,produces,0
Portuguese (European),10,Quarto,168,understands,0.1071
Portuguese (European),11,Quarto,179,produces,0
Portuguese (European),11,Quarto,179,understands,0.095
Portuguese (European),12,Quarto,161,produces,0
Portuguese (European),12,Quarto,161,understands,0.2733
Portuguese (European),13,Quarto,176,produces,0
Portuguese (European),13,Quarto,176,understands,0.2727
Portuguese (European),14,Quarto,183,produces,0.0055
Portuguese (European),14,Quarto,183,understands,0.3607
Portuguese (European),15,Quarto,173,produces,0.0058
Portuguese (European),15,Quarto,173,understands,0.4451
Portuguese (European),16,Quarto,144,produces,0
Portuguese (European),16,Quarto,144,understands,0
Portuguese (European),17,Quarto,158,produces,0.0506
Portuguese (European),17,Quarto,158,understands,0
Portuguese (European),18,Quarto,203,produces,0.069
Portuguese (European),18,Quarto,203,understands,0
Portuguese (European),19,Quarto,196,produces,0.0867
Portuguese (European),19,Quarto,196,understands,0
Portuguese (European),20,Quarto,218,produces,0.1468
Portuguese (European),20,Quarto,218,understands,0
Portuguese (European),21,Quarto,208,produces,0.1923
Portuguese (European),21,Quarto,208,understands,0
Portuguese (European),22,Quarto,213,produces,0.2958
Portuguese (European),22,Quarto,213,understands,0
Portuguese (European),23,Quarto,199,produces,0.3467
Portuguese (European),23,Quarto,199,understands,0
Portuguese (European),24,Quarto,215,produces,0.4605
Portuguese (European),24,Quarto,215,understands,0
Portuguese (European),25,Quarto,213,produces,0.5869
Portuguese (European),25,Quarto,213,understands,0
Portuguese (European),26,Quarto,218,produces,0.6193
Portuguese (European),26,Quarto,218,understands,0
Portuguese (European),27,Quarto,238,produces,0.6933
Portuguese (European),27,Quarto,238,understands,0
Portuguese (European),28,Quarto,219,produces,0.7626
Portuguese (European),28,Quarto,219,understands,0
Portuguese (European),29,Quarto,207,produces,0.6763
Portuguese (European),29,Quarto,207,understands,0
Portuguese (European),30,Quarto,163,produces,0.7546
Portuguese (European),30,Quarto,163,understands,0
Spanish (Chilean),8,dormitorio,9,produces,0
Spanish (Chilean),8,dormitorio,9,understands,0.1111
Spanish (Chilean),9,dormitorio,4,produces,0
Spanish (Chilean),9,dormitorio,4,understands,0
Spanish (Chilean),10,dormitorio,9,produces,0
Spanish (Chilean),10,dormitorio,9,understands,0.2222
Spanish (Chilean),11,dormitorio,8,produces,0
Spanish (Chilean),11,dormitorio,8,understands,0.125
