language,sex,age,words,n,measure,prop
American Sign Language,All,8,BLACK,1,produces,0
American Sign Language,All,8,BLACK,1,understands,0
American Sign Language,All,9,BLACK,4,produces,0
American Sign Language,All,9,BLACK,4,understands,0.25
American Sign Language,All,10,BLACK,5,produces,0
American Sign Language,All,10,BLACK,5,understands,0
American Sign Language,All,11,BLACK,3,produces,0
American Sign Language,All,11,BLACK,3,understands,0
American Sign Language,All,12,BLACK,4,produces,0
American Sign Language,All,12,BLACK,4,understands,0.25
American Sign Language,All,13,BLACK,4,produces,0.2
American Sign Language,All,13,BLACK,4,understands,0
American Sign Language,All,14,BLACK,1,produces,1
American Sign Language,All,14,BLACK,1,understands,0
American Sign Language,All,15,BLACK,3,produces,0
American Sign Language,All,15,BLACK,3,understands,0
American Sign Language,All,16,BLACK,2,produces,0
American Sign Language,All,16,BLACK,2,understands,0
American Sign Language,All,17,BLACK,5,produces,0
American Sign Language,All,17,BLACK,5,understands,0.4
American Sign Language,All,18,BLACK,11,produces,0.2727
American Sign Language,All,18,BLACK,11,understands,0.3636
American Sign Language,All,19,BLACK,6,produces,0.1429
American Sign Language,All,19,BLACK,6,understands,0.1429
American Sign Language,All,20,BLACK,3,produces,0.25
American Sign Language,All,20,BLACK,3,understands,0
American Sign Language,All,21,BLACK,4,produces,0.4
American Sign Language,All,21,BLACK,4,understands,0.6
American Sign Language,All,22,BLACK,10,produces,0.1667
American Sign Language,All,22,BLACK,10,understands,0.3333
American Sign Language,All,23,BLACK,5,produces,0.3333
American Sign Language,All,23,BLACK,5,understands,0.3333
American Sign Language,All,24,BLACK,9,produces,0.0833
American Sign Language,All,24,BLACK,9,understands,0.1667
American Sign Language,All,25,BLACK,13,produces,0.3846
American Sign Language,All,25,BLACK,13,understands,0.6154
American Sign Language,All,26,BLACK,4,produces,0.25
American Sign Language,All,26,BLACK,4,understands,0.75
American Sign Language,All,27,BLACK,7,produces,0.375
American Sign Language,All,27,BLACK,7,understands,0.375
American Sign Language,All,28,BLACK,7,produces,1
American Sign Language,All,28,BLACK,7,understands,0.5
American Sign Language,All,29,BLACK,6,produces,0.8333
American Sign Language,All,29,BLACK,6,understands,0.8333
American Sign Language,All,30,BLACK,7,produces,0.625
American Sign Language,All,30,BLACK,7,understands,0.5
American Sign Language,All,31,BLACK,9,produces,0.3
American Sign Language,All,31,BLACK,9,understands,0.3
American Sign Language,All,32,BLACK,15,produces,0.8824
American Sign Language,All,32,BLACK,15,understands,0.4706
American Sign Language,All,33,BLACK,6,produces,0.8333
American Sign Language,All,33,BLACK,6,understands,0.6667
American Sign Language,All,34,BLACK,7,produces,0.625
American Sign Language,All,34,BLACK,7,understands,0.625
American Sign Language,All,35,BLACK,7,produces,0.7143
American Sign Language,All,35,BLACK,7,understands,0.5714
American Sign Language,All,36,BLACK,3,produces,0
American Sign Language,All,36,BLACK,3,understands,0.3333
Arabic (Saudi),All,8,اسود,24,produces,0
Arabic (Saudi),All,8,اسود,24,understands,0.0833
Arabic (Saudi),All,9,اسود,27,produces,0
