language,sex,age,words,n,measure,prop
American Sign Language,All,8,BLANKET,1,produces,0
American Sign Language,All,8,BLANKET,1,understands,0
American Sign Language,All,9,BLANKET,4,produces,0
American Sign Language,All,9,BLANKET,4,understands,0
American Sign Language,All,10,BLANKET,5,produces,0
American Sign Language,All,10,BLANKET,5,understands,0
American Sign Language,All,11,BLANKET,3,produces,0.3333
American Sign Language,All,11,BLANKET,3,understands,0.3333
American Sign Language,All,12,BLANKET,4,produces,0.25
American Sign Language,All,12,BLANKET,4,understands,0.25
American Sign Language,All,13,BLANKET,4,produces,0
American Sign Language,All,13,BLANKET,4,understands,0
American Sign Language,All,14,BLANKET,1,produces,0
American Sign Language,All,14,BLANKET,1,understands,0
American Sign Language,All,15,BLANKET,3,produces,0
American Sign Language,All,15,BLANKET,3,understands,0.3333
American Sign Language,All,16,BLANKET,2,produces,0
American Sign Language,All,16,BLANKET,2,understands,0.5
American Sign Language,All,17,BLANKET,5,produces,0.2
American Sign Language,All,17,BLANKET,5,understands,0.4
American Sign Language,All,18,BLANKET,11,produces,0.2727
American Sign Language,All,18,BLANKET,11,understands,0.4545
American Sign Language,All,19,BLANKET,6,produces,0.1667
American Sign Language,All,19,BLANKET,6,understands,0.5
American Sign Language,All,20,BLANKET,3,produces,0.3333
American Sign Language,All,20,BLANKET,3,understands,0.3333
American Sign Language,All,21,BLANKET,4,produces,0.25
American Sign Language,All,21,BLANKET,4,understands,0.5
American Sign Language,All,22,BLANKET,10,produces,0.4
American Sign Language,All,22,BLANKET,10,understands,0.7
American Sign Language,All,23,BLANKET,5,produces,0.6
American Sign Language,All,23,BLANKET,5,understands,0.4
American Sign Language,All,24,BLANKET,9,produces,0.2222
American Sign Language,All,24,BLANKET,9,understands,0.2222
American Sign Language,All,25,BLANKET,13,produces,0.3846
American Sign Language,All,25,BLANKET,13,understands,0.4615
American Sign Language,All,26,BLANKET,4,produces,0.75
American Sign Language,All,26,BLANKET,4,understands,1
American Sign Language,All,27,BLANKET,7,produces,0.5714
American Sign Language,All,27,BLANKET,7,understands,0.4286
American Sign Language,All,28,BLANKET,7,produces,1
American Sign Language,All,28,BLANKET,7,understands,0.5714
American Sign Language,All,29,BLANKET,6,produces,0.5
American Sign Language,All,29,BLANKET,6,understands,1
American Sign Language,All,30,BLANKET,7,produces,0.7143
American Sign Language,All,30,BLANKET,7,understands,0.5714
American Sign Language,All,31,BLANKET,9,produces,0.3333
American Sign Language,All,31,BLANKET,9,understands,0.3333
American Sign Language,All,32,BLANKET,15,produces,0.7333
American Sign Language,All,32,BLANKET,15,understands,0.4
American Sign Language,All,33,BLANKET,6,produces,0.6667
American Sign Language,All,33,BLANKET,6,understands,0.5
American Sign Language,All,34,BLANKET,7,produces,1
American Sign Language,All,34,BLANKET,7,understands,0.7143
American Sign Language,All,35,BLANKET,7,produces,0.7143
American Sign Language,All,35,BLANKET,7,understands,0.5714
American Sign Language,All,36,BLANKET,3,produces,0.6667
American Sign Language,All,36,BLANKET,3,understands,0.6667
Arabic (Saudi),All,8,بطانية/ لحاف,24,produces,0
Arabic (Saudi),All,8,بطانية/ لحاف,24,understands,0.0833
Arabic (Saudi),All,9,بطانية/ لحاف,27,produces,0
Arabic (Saudi),All,9,بطانية/ لحاف,27,understands,0
Arabic (Saudi),All,10,بطانية/ لحاف,35,produces,0
Arabic (Saudi),All,10,بطانية/ لحاف,35,understands,0.0571
Arabic (Saudi),All,11,بطانية/ لحاف,30,produces,0
Arabic (Saudi),All,11,بطانية/ لحاف,30,understands,0.0333
Arabic (Saudi),All,12,بطانية/ لحاف,30,produces,0
Arabic (Saudi),All,12,بطانية/ لحاف,30,understands,0.1333
Arabic (Saudi),All,13,بطانية/ لحاف,39,produces,0.0513
Arabic (Saudi),All,13,بطانية/ لحاف,39,understands,0
Arabic (Saudi),All,14,بطانية/ لحاف,25,produces,0
Arabic (Saudi),All,14,بطانية/ لحاف,25,understands,0.04
Arabic (Saudi),All,15,بطانية/ لحاف,27,produces,0.1111
Arabic (Saudi),All,15,بطانية/ لحاف,27,understands,0.1852
Arabic (Saudi),All,16,بطانية/ لحاف,21,produces,0.0476
Arabic (Saudi),All,16,بطانية/ لحاف,21,understands,0.0952
British Sign Language,All,8,blanket,4,produces,0
British Sign Language,All,8,blanket,4,understands,0
British Sign Language,All,9,blanket,4,produces,0
British Sign Language,All,9,blanket,4,understands,0
British Sign Language,All,10,blanket,4,produces,0
British Sign Language,All,10,blanket,4,understands,0
British Sign Language,All,11,blanket,6,produces,0
British Sign Language,All,11,blanket,6,understands,0
British Sign Language,All,12,blanket,6,produces,0
British Sign Language,All,12,blanket,6,understands,0
British Sign Language,All,13,blanket,6,produces,0
British Sign Language,All,13,blanket,6,understands,0
British Sign Language,All,14,blanket,7,produces,0
British Sign Language,All,14,blanket,7,understands,0.1429
British Sign Language,All,15,blanket,6,produces,0
British Sign Language,All,15,blanket,6,understands,0
British Sign Language,All,16,blanket,7,produces,0
British Sign Language,All,16,blanket,7,understands,0
British Sign Language,All,17,blanket,7,produces,0
British Sign Language,All,17,blanket,7,understands,0.2857
British Sign Language,All,18,blanket,8,produces,0
British Sign Language,All,18,blanket,8,understands,0.125
British Sign Language,All,19,blanket,8,produces,0
British Sign Language,All,19,blanket,8,understands,0
British Sign Language,All,20,blanket,11,produces,0.1818
British Sign Language,All,20,blanket,11,understands,0.4545
British Sign Language,All,21,blanket,5,produces,0.2
British Sign Language,All,21,blanket,5,understands,0.2
British Sign Language,All,22,blanket,6,produces,0.1667
British Sign Language,All,22,blanket,6,understands,0.3333
British Sign Language,All,23,blanket,7,produces,0.2857
British Sign Language,All,23,blanket,7,understands,0.2857
British Sign Language,All,24,blanket,5,produces,0.2
British Sign Language,All,24,blanket,5,understands,0.2
British Sign Language,All,25,blanket,7,produces,0.2857
British Sign Language,All,25,blanket,7,understands,0.4286
British Sign Language,All,26,blanket,6,produces,0.5
British Sign Language,All,26,blanket,6,understands,0.5
British Sign Language,All,27,blanket,6,produces,0
British Sign Language,All,27,blanket,6,understands,0.3333
British Sign Language,All,28,blanket,3,produces,0.3333
British Sign Language,All,28,blanket,3,understands,0.3333
British Sign Language,All,29,blanket,7,produces,0.5714
British Sign Language,All,29,blanket,7,understands,0.7143
British Sign Language,All,30,blanket,5,produces,0.4
British Sign Language,All,30,blanket,5,understands,0.8
British Sign Language,All,31,blanket,2,produces,0.5
British Sign Language,All,31,blanket,2,understands,0.5
British Sign Language,All,32,blanket,6,produces,0.6667
British Sign Language,All,32,blanket,6,understands,0.6667
British Sign Language,All,33,blanket,5,produces,0.4
British Sign Language,All,33,blanket,5,understands,1
British Sign Language,All,34,blanket,2,produces,0.5
British Sign Language,All,34,blanket,2,understands,0.5
British Sign Language,All,35,blanket,2,produces,1
British Sign Language,All,35,blanket,2,understands,1
British Sign Language,All,36,blanket,3,produces,1
British Sign Language,All,36,blanket,3,understands,1
Cantonese,All,16,被,46,produces,0.1304
Cantonese,All,16,被,46,understands,0
