language,age,words,n,measure,prop
Spanish (Argentinian),16,salud_chin_chin,47,produces,0.0638
Spanish (Argentinian),16,salud_chin_chin,47,understands,0
Spanish (Argentinian),17,salud_chin_chin,49,produces,0.1429
Spanish (Argentinian),17,salud_chin_chin,49,understands,0
Spanish (Argentinian),18,salud_chin_chin,62,produces,0.1774
Spanish (Argentinian),18,salud_chin_chin,62,understands,0
Spanish (Argentinian),19,salud_chin_chin,44,produces,0.2045
Spanish (Argentinian),19,salud_chin_chin,44,understands,0
Spanish (Argentinian),20,salud_chin_chin,46,produces,0.2174
Spanish (Argentinian),20,salud_chin_chin,46,understands,0
Spanish (Argentinian),21,salud_chin_chin,41,produces,0.3171
Spanish (Argentinian),21,salud_chin_chin,41,understands,0
Spanish (Argentinian),22,salud_chin_chin,57,produces,0.3333
Spanish (Argentinian),22,salud_chin_chin,57,understands,0
Spanish (Argentinian),23,salud_chin_chin,49,produces,0.4082
Spanish (Argentinian),23,salud_chin_chin,49,understands,0
Spanish (Argentinian),24,salud_chin_chin,75,produces,0.4133
Spanish (Argentinian),24,salud_chin_chin,75,understands,0
Spanish (Argentinian),25,salud_chin_chin,43,produces,0.5116
Spanish (Argentinian),25,salud_chin_chin,43,understands,0
Spanish (Argentinian),26,salud_chin_chin,45,produces,0.3778
Spanish (Argentinian),26,salud_chin_chin,45,understands,0
Spanish (Argentinian),27,salud_chin_chin,44,produces,0.6136
Spanish (Argentinian),27,salud_chin_chin,44,understands,0
Spanish (Argentinian),28,salud_chin_chin,42,produces,0.5238
Spanish (Argentinian),28,salud_chin_chin,42,understands,0
Spanish (Argentinian),29,salud_chin_chin,65,produces,0.6462
Spanish (Argentinian),29,salud_chin_chin,65,understands,0
Spanish (Argentinian),30,salud_chin_chin,69,produces,0.7246
Spanish (Argentinian),30,salud_chin_chin,69,understands,0
Spanish (Argentinian),31,salud_chin_chin,2,produces,0
Spanish (Argentinian),31,salud_chin_chin,2,understands,0
Spanish (Argentinian),32,salud_chin_chin,1,produces,1
Spanish (Argentinian),32,salud_chin_chin,1,understands,0
Spanish (Argentinian),33,salud_chin_chin,2,produces,0.5
Spanish (Argentinian),33,salud_chin_chin,2,understands,0
Spanish (Mexican),8,¡salud!,40,produces,0
Spanish (Mexican),8,¡salud!,40,understands,0.1
Spanish (Mexican),9,¡salud!,64,produces,0
Spanish (Mexican),9,¡salud!,64,understands,0.1875
Spanish (Mexican),10,¡salud!,71,produces,0
Spanish (Mexican),10,¡salud!,71,understands,0.1268
Spanish (Mexican),11,¡salud!,67,produces,0.0448
Spanish (Mexican),11,¡salud!,67,understands,0.1642
Spanish (Mexican),12,¡salud!,89,produces,0
Spanish (Mexican),12,¡salud!,89,understands,0.2135
Spanish (Mexican),13,¡salud!,83,produces,0.0361
Spanish (Mexican),13,¡salud!,83,understands,0.2289
Spanish (Mexican),14,¡salud!,76,produces,0.0132
Spanish (Mexican),14,¡salud!,76,understands,0.2105
Spanish (Mexican),15,¡salud!,61,produces,0.0164
Spanish (Mexican),15,¡salud!,61,understands,0.3115
Spanish (Mexican),16,"¡salud!, salud",152,produces,0.1447
Spanish (Mexican),16,"¡salud!, salud",152,understands,0.2237
Spanish (Mexican),17,"¡salud!, salud",124,produces,0.2258
Spanish (Mexican),17,"¡salud!, salud",124,understands,0.2661
Spanish (Mexican),18,"¡salud!, salud",163,produces,0.184
Spanish (Mexican),18,"¡salud!, salud",163,understands,0.2638
Spanish (Mexican),19,salud,100,produces,0.31
Spanish (Mexican),19,salud,100,understands,0
Spanish (Mexican),20,salud,107,produces,0.3645
Spanish (Mexican),20,salud,107,understands,0
Spanish (Mexican),21,salud,84,produces,0.369
Spanish (Mexican),21,salud,84,understands,0
Spanish (Mexican),22,salud,141,produces,0.2908
Spanish (Mexican),22,salud,141,understands,0
Spanish (Mexican),23,salud,91,produces,0.4725
Spanish (Mexican),23,salud,91,understands,0
Spanish (Mexican),24,salud,126,produces,0.5317
Spanish (Mexican),24,salud,126,understands,0
Spanish (Mexican),25,salud,177,produces,0.4181
Spanish (Mexican),25,salud,177,understands,0
Spanish (Mexican),26,salud,83,produces,0.5904
Spanish (Mexican),26,salud,83,understands,0
Spanish (Mexican),27,salud,85,produces,0.6706
Spanish (Mexican),27,salud,85,understands,0
Spanish (Mexican),28,salud,89,produces,0.5843
Spanish (Mexican),28,salud,89,understands,0
Spanish (Mexican),29,salud,89,produces,0.7191
Spanish (Mexican),29,salud,89,understands,0
Spanish (Mexican),30,salud,308,produces,0.4643
Spanish (Mexican),30,salud,308,understands,0
