language,sex,age,words,n,measure,prop
English (Irish),All,17,blocks,2,produces,0
English (Irish),All,17,blocks,2,understands,0
English (Irish),All,18,blocks,1,produces,0
English (Irish),All,18,blocks,1,understands,0
English (Irish),All,19,blocks,2,produces,0
English (Irish),All,19,blocks,2,understands,0
English (Irish),All,20,blocks,1,produces,0
English (Irish),All,20,blocks,1,understands,0
English (Irish),All,21,blocks,3,produces,0
English (Irish),All,21,blocks,3,understands,0
English (Irish),All,22,blocks,4,produces,0.25
English (Irish),All,22,blocks,4,understands,0
English (Irish),All,23,blocks,4,produces,0.25
English (Irish),All,23,blocks,4,understands,0
English (Irish),All,24,blocks,4,produces,0.5
English (Irish),All,24,blocks,4,understands,0
English (Irish),All,25,blocks,6,produces,0.3333
English (Irish),All,25,blocks,6,understands,0
English (Irish),All,26,blocks,10,produces,0
English (Irish),All,26,blocks,10,understands,0
English (Irish),All,27,blocks,5,produces,0.2
English (Irish),All,27,blocks,5,understands,0
English (Irish),All,28,blocks,7,produces,0.5714
English (Irish),All,28,blocks,7,understands,0
English (Irish),All,29,blocks,4,produces,0.75
English (Irish),All,29,blocks,4,understands,0
English (Irish),All,30,blocks,9,produces,0.1111
English (Irish),All,30,blocks,9,understands,0
English (Irish),All,31,blocks,8,produces,0.125
English (Irish),All,31,blocks,8,understands,0
English (Irish),All,32,blocks,4,produces,0
English (Irish),All,32,blocks,4,understands,0
English (Irish),All,33,blocks,5,produces,0.8
English (Irish),All,33,blocks,5,understands,0
English (Irish),All,34,blocks,4,produces,0.25
English (Irish),All,34,blocks,4,understands,0
English (Irish),All,35,blocks,11,produces,0.2727
English (Irish),All,35,blocks,11,understands,0
English (Irish),All,36,blocks,5,produces,0.8
English (Irish),All,36,blocks,5,understands,0
Estonian,All,16,klots,36,produces,0.1111
Estonian,All,16,klots,36,understands,0
Estonian,All,17,klots,89,produces,0.1573
Estonian,All,17,klots,89,understands,0
Estonian,All,18,klots,103,produces,0.1845
Estonian,All,18,klots,103,understands,0
Estonian,All,19,klots,85,produces,0.2471
Estonian,All,19,klots,85,understands,0
Estonian,All,20,klots,60,produces,0.4667
Estonian,All,20,klots,60,understands,0
Estonian,All,21,klots,66,produces,0.303
Estonian,All,21,klots,66,understands,0
Estonian,All,22,klots,76,produces,0.3553
Estonian,All,22,klots,76,understands,0
Estonian,All,23,klots,95,produces,0.5368
Estonian,All,23,klots,95,understands,0
Estonian,All,24,klots,116,produces,0.6466
Estonian,All,24,klots,116,understands,0
