language,sex,age,words,n,measure,prop
American Sign Language,All,8,BOTTLE,1,produces,0
American Sign Language,All,8,BOTTLE,1,understands,0
American Sign Language,All,9,BOTTLE,4,produces,0
American Sign Language,All,9,BOTTLE,4,understands,0
American Sign Language,All,10,BOTTLE,5,produces,0
American Sign Language,All,10,BOTTLE,5,understands,0.2
American Sign Language,All,11,BOTTLE,3,produces,0
American Sign Language,All,11,BOTTLE,3,understands,0
American Sign Language,All,12,BOTTLE,4,produces,0.25
American Sign Language,All,12,BOTTLE,4,understands,0.25
American Sign Language,All,13,BOTTLE,4,produces,0.25
American Sign Language,All,13,BOTTLE,4,understands,0
American Sign Language,All,14,BOTTLE,1,produces,1
American Sign Language,All,14,BOTTLE,1,understands,0
American Sign Language,All,15,BOTTLE,3,produces,0.3333
American Sign Language,All,15,BOTTLE,3,understands,0.3333
American Sign Language,All,16,BOTTLE,2,produces,0
American Sign Language,All,16,BOTTLE,2,understands,0
American Sign Language,All,17,BOTTLE,5,produces,0.2
American Sign Language,All,17,BOTTLE,5,understands,0.4
American Sign Language,All,18,BOTTLE,11,produces,0.1818
American Sign Language,All,18,BOTTLE,11,understands,0.2727
American Sign Language,All,19,BOTTLE,6,produces,0.1667
American Sign Language,All,19,BOTTLE,6,understands,0.1667
American Sign Language,All,20,BOTTLE,3,produces,0.3333
American Sign Language,All,20,BOTTLE,3,understands,0.3333
American Sign Language,All,21,BOTTLE,4,produces,0.25
American Sign Language,All,21,BOTTLE,4,understands,0.5
American Sign Language,All,22,BOTTLE,10,produces,0.2
American Sign Language,All,22,BOTTLE,10,understands,0.2
American Sign Language,All,23,BOTTLE,5,produces,0.2
American Sign Language,All,23,BOTTLE,5,understands,0.2
American Sign Language,All,24,BOTTLE,9,produces,0.2222
American Sign Language,All,24,BOTTLE,9,understands,0.1111
American Sign Language,All,25,BOTTLE,13,produces,0
American Sign Language,All,25,BOTTLE,13,understands,0.4615
American Sign Language,All,26,BOTTLE,4,produces,0.25
American Sign Language,All,26,BOTTLE,4,understands,0.5
American Sign Language,All,27,BOTTLE,7,produces,0.2857
American Sign Language,All,27,BOTTLE,7,understands,0.5714
American Sign Language,All,28,BOTTLE,7,produces,0.4286
American Sign Language,All,28,BOTTLE,7,understands,0.4286
American Sign Language,All,29,BOTTLE,6,produces,0.3333
American Sign Language,All,29,BOTTLE,6,understands,0.6667
American Sign Language,All,30,BOTTLE,7,produces,0.5714
American Sign Language,All,30,BOTTLE,7,understands,0.5714
American Sign Language,All,31,BOTTLE,9,produces,0.4444
American Sign Language,All,31,BOTTLE,9,understands,0.3333
American Sign Language,All,32,BOTTLE,15,produces,0.6
American Sign Language,All,32,BOTTLE,15,understands,0.3333
American Sign Language,All,33,BOTTLE,6,produces,0.1667
American Sign Language,All,33,BOTTLE,6,understands,0.5
American Sign Language,All,34,BOTTLE,7,produces,0.5714
American Sign Language,All,34,BOTTLE,7,understands,0.4286
American Sign Language,All,35,BOTTLE,7,produces,0.4286
American Sign Language,All,35,BOTTLE,7,understands,0.5714
American Sign Language,All,36,BOTTLE,3,produces,0.3333
American Sign Language,All,36,BOTTLE,3,understands,0.6667
Arabic (Saudi),All,8,"رضاعة, قارورة, قارورة/ زجاجة",24,produces,0
Arabic (Saudi),All,8,"رضاعة, قارورة, قارورة/ زجاجة",24,understands,0.0833
Arabic (Saudi),All,9,"رضاعة, قارورة, قارورة/ زجاجة",27,produces,0
Arabic (Saudi),All,9,"رضاعة, قارورة, قارورة/ زجاجة",27,understands,0.037
Arabic (Saudi),All,10,"رضاعة, قارورة, قارورة/ زجاجة",35,produces,0.0143
Arabic (Saudi),All,10,"رضاعة, قارورة, قارورة/ زجاجة",35,understands,0.1143
Arabic (Saudi),All,11,"رضاعة, قارورة, قارورة/ زجاجة",30,produces,0.0167
