language,age,words,n,measure,prop
Italian,7,ragazzo/a,5,produces,0
Italian,7,ragazzo/a,5,understands,0
Italian,8,ragazzo/a,34,produces,0
Italian,8,ragazzo/a,34,understands,0.0294
Italian,9,ragazzo/a,38,produces,0
Italian,9,ragazzo/a,38,understands,0.0263
Italian,10,ragazzo/a,53,produces,0
Italian,10,ragazzo/a,53,understands,0
Italian,11,ragazzo/a,42,produces,0
Italian,11,ragazzo/a,42,understands,0.0238
Italian,12,ragazzo/a,69,produces,0
Italian,12,ragazzo/a,69,understands,0.058
Italian,13,ragazzo/a,48,produces,0
Italian,13,ragazzo/a,48,understands,0.0417
Italian,14,ragazzo/a,40,produces,0
Italian,14,ragazzo/a,40,understands,0.1
Italian,15,ragazzo/a,68,produces,0
Italian,15,ragazzo/a,68,understands,0.0294
Italian,16,ragazzo/a,56,produces,0
Italian,16,ragazzo/a,56,understands,0.1429
Italian,17,ragazzo/a,48,produces,0.0208
Italian,17,ragazzo/a,48,understands,0.0833
Italian,18,ragazzo/a,75,produces,0
Italian,18,ragazzo/a,75,understands,0.08
Italian,19,ragazzo/a,58,produces,0.0517
Italian,19,ragazzo/a,58,understands,0.0517
Italian,20,ragazzo/a,83,produces,0.012
Italian,20,ragazzo/a,83,understands,0.0361
Italian,21,ragazzo/a,67,produces,0.0299
Italian,21,ragazzo/a,67,understands,0.0597
Italian,22,ragazzo/a,77,produces,0.0909
Italian,22,ragazzo/a,77,understands,0.0649
Italian,23,ragazzo/a,70,produces,0.1
Italian,23,ragazzo/a,70,understands,0.0857
Italian,24,ragazzo/a,85,produces,0.1647
Italian,24,ragazzo/a,85,understands,0.0471
Italian,25,ragazzo/a,39,produces,0.1538
Italian,25,ragazzo/a,39,understands,0
Italian,26,ragazzo/a,41,produces,0.3659
Italian,26,ragazzo/a,41,understands,0
Italian,27,ragazzo/a,43,produces,0.2093
Italian,27,ragazzo/a,43,understands,0
Italian,28,ragazzo/a,44,produces,0.25
Italian,28,ragazzo/a,44,understands,0
Italian,29,ragazzo/a,37,produces,0.3243
Italian,29,ragazzo/a,37,understands,0
Italian,30,ragazzo/a,67,produces,0.4776
Italian,30,ragazzo/a,67,understands,0
Italian,31,ragazzo/a,19,produces,0.4211
Italian,31,ragazzo/a,19,understands,0
Italian,32,ragazzo/a,23,produces,0.5217
Italian,32,ragazzo/a,23,understands,0
Italian,33,ragazzo/a,16,produces,0.4375
Italian,33,ragazzo/a,16,understands,0
Italian,34,ragazzo/a,19,produces,0.7368
Italian,34,ragazzo/a,19,understands,0
Italian,35,ragazzo/a,15,produces,0.6
Italian,35,ragazzo/a,15,understands,0
Italian,36,ragazzo/a,21,produces,0.4762
Italian,36,ragazzo/a,21,understands,0
Kigiriama,16,Muvulana/ muthana,1,produces,0
Kigiriama,16,Muvulana/ muthana,1,understands,0
Kigiriama,17,Muvulana/ muthana,6,produces,0
Kigiriama,17,Muvulana/ muthana,6,understands,0
Kigiriama,18,Muvulana/ muthana,13,produces,0
Kigiriama,18,Muvulana/ muthana,13,understands,0
Kigiriama,19,Muvulana/ muthana,8,produces,0
Kigiriama,19,Muvulana/ muthana,8,understands,0
Kigiriama,20,Muvulana/ muthana,14,produces,0.0714
Kigiriama,20,Muvulana/ muthana,14,understands,0
Kigiriama,21,Muvulana/ muthana,6,produces,0
Kigiriama,21,Muvulana/ muthana,6,understands,0
Kigiriama,22,Muvulana/ muthana,9,produces,0
Kigiriama,22,Muvulana/ muthana,9,understands,0
Kigiriama,23,Muvulana/ muthana,4,produces,0
Kigiriama,23,Muvulana/ muthana,4,understands,0
Kigiriama,24,Muvulana/ muthana,7,produces,0
Kigiriama,24,Muvulana/ muthana,7,understands,0
Kigiriama,25,Muvulana/ muthana,3,produces,0
Kigiriama,25,Muvulana/ muthana,3,understands,0
Kigiriama,26,Muvulana/ muthana,6,produces,0
Kigiriama,26,Muvulana/ muthana,6,understands,0
Kigiriama,27,Muvulana/ muthana,4,produces,0.5
