language,sex,age,words,n,measure,prop
American Sign Language,All,8,BREAD,1,produces,0
American Sign Language,All,8,BREAD,1,understands,0
American Sign Language,All,9,BREAD,4,produces,0
American Sign Language,All,9,BREAD,4,understands,0
American Sign Language,All,10,BREAD,5,produces,0
American Sign Language,All,10,BREAD,5,understands,0
American Sign Language,All,11,BREAD,3,produces,0
American Sign Language,All,11,BREAD,3,understands,0
American Sign Language,All,12,BREAD,4,produces,0
American Sign Language,All,12,BREAD,4,understands,0.5
American Sign Language,All,13,BREAD,4,produces,0.5
American Sign Language,All,13,BREAD,4,understands,0
American Sign Language,All,14,BREAD,1,produces,1
American Sign Language,All,14,BREAD,1,understands,0
American Sign Language,All,15,BREAD,3,produces,0.6667
American Sign Language,All,15,BREAD,3,understands,0.3333
American Sign Language,All,16,BREAD,2,produces,0
American Sign Language,All,16,BREAD,2,understands,0
American Sign Language,All,17,BREAD,5,produces,0.2
American Sign Language,All,17,BREAD,5,understands,0.2
American Sign Language,All,18,BREAD,11,produces,0.3636
American Sign Language,All,18,BREAD,11,understands,0.5455
American Sign Language,All,19,BREAD,6,produces,0.1667
American Sign Language,All,19,BREAD,6,understands,0.3333
American Sign Language,All,20,BREAD,3,produces,0.3333
American Sign Language,All,20,BREAD,3,understands,0.6667
American Sign Language,All,21,BREAD,4,produces,0
American Sign Language,All,21,BREAD,4,understands,0.75
American Sign Language,All,22,BREAD,10,produces,0.1
American Sign Language,All,22,BREAD,10,understands,0.4
American Sign Language,All,23,BREAD,5,produces,0.6
American Sign Language,All,23,BREAD,5,understands,0.4
American Sign Language,All,24,BREAD,9,produces,0.3333
American Sign Language,All,24,BREAD,9,understands,0.2222
American Sign Language,All,25,BREAD,13,produces,0.3846
American Sign Language,All,25,BREAD,13,understands,0.6154
American Sign Language,All,26,BREAD,4,produces,0.25
American Sign Language,All,26,BREAD,4,understands,0.75
American Sign Language,All,27,BREAD,7,produces,0.2857
American Sign Language,All,27,BREAD,7,understands,0.4286
American Sign Language,All,28,BREAD,7,produces,1
American Sign Language,All,28,BREAD,7,understands,0.5714
American Sign Language,All,29,BREAD,6,produces,0.5
American Sign Language,All,29,BREAD,6,understands,1
American Sign Language,All,30,BREAD,7,produces,0.7143
American Sign Language,All,30,BREAD,7,understands,0.5714
American Sign Language,All,31,BREAD,9,produces,0.6667
American Sign Language,All,31,BREAD,9,understands,0.4444
American Sign Language,All,32,BREAD,15,produces,0.7333
American Sign Language,All,32,BREAD,15,understands,0.5333
American Sign Language,All,33,BREAD,6,produces,0.6667
American Sign Language,All,33,BREAD,6,understands,0.6667
American Sign Language,All,34,BREAD,7,produces,0.8571
American Sign Language,All,34,BREAD,7,understands,0.7143
American Sign Language,All,35,BREAD,7,produces,0.5714
American Sign Language,All,35,BREAD,7,understands,0.5714
American Sign Language,All,36,BREAD,3,produces,0
American Sign Language,All,36,BREAD,3,understands,0.6667
Arabic (Saudi),All,8,عيش/ خبز,24,produces,0
Arabic (Saudi),All,8,عيش/ خبز,24,understands,0.0833
Arabic (Saudi),All,9,عيش/ خبز,27,produces,0
Arabic (Saudi),All,9,عيش/ خبز,27,understands,0.037
Arabic (Saudi),All,10,عيش/ خبز,35,produces,0
Arabic (Saudi),All,10,عيش/ خبز,35,understands,0.0571
Arabic (Saudi),All,11,عيش/ خبز,30,produces,0
Arabic (Saudi),All,11,عيش/ خبز,30,understands,0.0667
Arabic (Saudi),All,12,عيش/ خبز,30,produces,0
Arabic (Saudi),All,12,عيش/ خبز,30,understands,0.1
Arabic (Saudi),All,13,عيش/ خبز,39,produces,0.0256
Arabic (Saudi),All,13,عيش/ خبز,39,understands,0
Arabic (Saudi),All,14,عيش/ خبز,25,produces,0
Arabic (Saudi),All,14,عيش/ خبز,25,understands,0
Arabic (Saudi),All,15,عيش/ خبز,27,produces,0
Arabic (Saudi),All,15,عيش/ خبز,27,understands,0.1481
Arabic (Saudi),All,16,عيش/ خبز,21,produces,0.1429
Arabic (Saudi),All,16,عيش/ خبز,21,understands,0.0476
British Sign Language,All,8,bread,4,produces,0
British Sign Language,All,8,bread,4,understands,0
British Sign Language,All,9,bread,4,produces,0
British Sign Language,All,9,bread,4,understands,0
British Sign Language,All,10,bread,4,produces,0
British Sign Language,All,10,bread,4,understands,0
British Sign Language,All,11,bread,6,produces,0
British Sign Language,All,11,bread,6,understands,0.1667
British Sign Language,All,12,bread,6,produces,0
British Sign Language,All,12,bread,6,understands,0.1667
British Sign Language,All,13,bread,6,produces,0
British Sign Language,All,13,bread,6,understands,0
British Sign Language,All,14,bread,7,produces,0
