language,age,words,n,measure,prop
Italian,7,rotto,5,produces,0
Italian,7,rotto,5,understands,0
Italian,8,rotto,34,produces,0
Italian,8,rotto,34,understands,0
Italian,9,rotto,38,produces,0
Italian,9,rotto,38,understands,0
Italian,10,rotto,53,produces,0
Italian,10,rotto,53,understands,0
Italian,11,rotto,42,produces,0
Italian,11,rotto,42,understands,0.119
Italian,12,rotto,69,produces,0
Italian,12,rotto,69,understands,0.1884
Italian,13,rotto,48,produces,0
Italian,13,rotto,48,understands,0.1458
Italian,14,rotto,40,produces,0
Italian,14,rotto,40,understands,0.275
Italian,15,rotto,68,produces,0.0147
Italian,15,rotto,68,understands,0.3824
Italian,16,rotto,56,produces,0.0714
Italian,16,rotto,56,understands,0.5536
Italian,17,rotto,48,produces,0.1458
Italian,17,rotto,48,understands,0.6042
Italian,18,rotto,75,produces,0.3333
Italian,18,rotto,75,understands,0.32
Italian,19,rotto,58,produces,0.3966
Italian,19,rotto,58,understands,0.2414
Italian,20,rotto,83,produces,0.4096
Italian,20,rotto,83,understands,0.1928
Italian,21,rotto,67,produces,0.5224
Italian,21,rotto,67,understands,0.1642
Italian,22,rotto,77,produces,0.5325
Italian,22,rotto,77,understands,0.1558
Italian,23,rotto,70,produces,0.6714
Italian,23,rotto,70,understands,0.2429
Italian,24,rotto,85,produces,0.7647
Italian,24,rotto,85,understands,0.1412
Italian,25,rotto,39,produces,0.8462
Italian,25,rotto,39,understands,0
Italian,26,rotto,41,produces,0.8537
Italian,26,rotto,41,understands,0
Italian,27,rotto,43,produces,0.814
Italian,27,rotto,43,understands,0
Italian,28,rotto,44,produces,0.8182
Italian,28,rotto,44,understands,0
Italian,29,rotto,37,produces,0.7297
Italian,29,rotto,37,understands,0
Italian,30,rotto,67,produces,0.9104
Italian,30,rotto,67,understands,0
Italian,31,rotto,19,produces,0.8421
Italian,31,rotto,19,understands,0
Italian,32,rotto,23,produces,0.8696
Italian,32,rotto,23,understands,0
Italian,33,rotto,16,produces,1
Italian,33,rotto,16,understands,0
Italian,34,rotto,19,produces,1
Italian,34,rotto,19,understands,0
Italian,35,rotto,15,produces,0.9333
Italian,35,rotto,15,understands,0
Italian,36,rotto,21,produces,0.9048
Italian,36,rotto,21,understands,0
Kigiriama,16,Idziyovunzika/ Bandika,1,produces,0
Kigiriama,16,Idziyovunzika/ Bandika,1,understands,0
Kigiriama,17,Idziyovunzika/ Bandika,6,produces,0
Kigiriama,17,Idziyovunzika/ Bandika,6,understands,0
Kigiriama,18,Idziyovunzika/ Bandika,13,produces,0.0769
Kigiriama,18,Idziyovunzika/ Bandika,13,understands,0
Kigiriama,19,Idziyovunzika/ Bandika,8,produces,0
Kigiriama,19,Idziyovunzika/ Bandika,8,understands,0
Kigiriama,20,Idziyovunzika/ Bandika,14,produces,0
Kigiriama,20,Idziyovunzika/ Bandika,14,understands,0
Kigiriama,21,Idziyovunzika/ Bandika,6,produces,0.1667
Kigiriama,21,Idziyovunzika/ Bandika,6,understands,0
Kigiriama,22,Idziyovunzika/ Bandika,9,produces,0.2222
Kigiriama,22,Idziyovunzika/ Bandika,9,understands,0
Kigiriama,23,Idziyovunzika/ Bandika,4,produces,0
Kigiriama,23,Idziyovunzika/ Bandika,4,understands,0
Kigiriama,24,Idziyovunzika/ Bandika,7,produces,0.1429
Kigiriama,24,Idziyovunzika/ Bandika,7,understands,0
Kigiriama,25,Idziyovunzika/ Bandika,3,produces,0.6667
Kigiriama,25,Idziyovunzika/ Bandika,3,understands,0
Kigiriama,26,Idziyovunzika/ Bandika,6,produces,0.3333
Kigiriama,26,Idziyovunzika/ Bandika,6,understands,0
Kigiriama,27,Idziyovunzika/ Bandika,4,produces,0.75
Kigiriama,27,Idziyovunzika/ Bandika,4,understands,0
Kigiriama,28,Idziyovunzika/ Bandika,1,produces,0
Kigiriama,28,Idziyovunzika/ Bandika,1,understands,0
Kigiriama,29,Idziyovunzika/ Bandika,5,produces,0.6
Kigiriama,29,Idziyovunzika/ Bandika,5,understands,0
Kigiriama,30,Idziyovunzika/ Bandika,1,produces,1
Kigiriama,30,Idziyovunzika/ Bandika,1,understands,0
Kiswahili,23,"Vunjika, Iliyovunjika",2,produces,0
Kiswahili,23,"Vunjika, Iliyovunjika",2,understands,0
Kiswahili,24,"Vunjika, Iliyovunjika",12,produces,0.125
Kiswahili,24,"Vunjika, Iliyovunjika",12,understands,0
Kiswahili,25,"Vunjika, Iliyovunjika",10,produces,0.15
Kiswahili,25,"Vunjika, Iliyovunjika",10,understands,0
Kiswahili,26,"Vunjika, Iliyovunjika",13,produces,0.1923
Kiswahili,26,"Vunjika, Iliyovunjika",13,understands,0
Kiswahili,27,"Vunjika, Iliyovunjika",8,produces,0.0625
Kiswahili,27,"Vunjika, Iliyovunjika",8,understands,0
Kiswahili,28,"Vunjika, Iliyovunjika",6,produces,0
Kiswahili,28,"Vunjika, Iliyovunjika",6,understands,0
Kiswahili,29,"Vunjika, Iliyovunjika",6,produces,0.0833
Kiswahili,29,"Vunjika, Iliyovunjika",6,understands,0
Kiswahili,30,"Vunjika, Iliyovunjika",5,produces,0.5
Kiswahili,30,"Vunjika, Iliyovunjika",5,understands,0
Latvian,8,"salauzts, salūzis",16,produces,0
Latvian,8,"salauzts, salūzis",16,understands,0
Latvian,9,"salauzts, salūzis",18,produces,0
Latvian,9,"salauzts, salūzis",18,understands,0
Latvian,10,"salauzts, salūzis",26,produces,0
Latvian,10,"salauzts, salūzis",26,understands,0.0385
Latvian,11,"salauzts, salūzis",15,produces,0
Latvian,11,"salauzts, salūzis",15,understands,0.2667
Latvian,12,"salauzts, salūzis",16,produces,0.0625
Latvian,12,"salauzts, salūzis",16,understands,0.125
Latvian,13,"salauzts, salūzis",22,produces,0
Latvian,13,"salauzts, salūzis",22,understands,0.3182
Latvian,14,"salauzts, salūzis",25,produces,0.04
Latvian,14,"salauzts, salūzis",25,understands,0.28
Latvian,15,"salauzts, salūzis",29,produces,0.0345
Latvian,15,"salauzts, salūzis",29,understands,0.2759
Latvian,16,"salauzts, salūzis",16,produces,0
Latvian,16,"salauzts, salūzis",16,understands,0.4375
Latvian,17,salauzts/ salūzis,27,produces,0.037
Latvian,17,salauzts/ salūzis,27,understands,0
Latvian,18,salauzts/ salūzis,21,produces,0
Latvian,18,salauzts/ salūzis,21,understands,0
Latvian,19,salauzts/ salūzis,28,produces,0.1071
Latvian,19,salauzts/ salūzis,28,understands,0
Latvian,20,salauzts/ salūzis,34,produces,0.2647
Latvian,20,salauzts/ salūzis,34,understands,0
Latvian,21,salauzts/ salūzis,26,produces,0.2692
Latvian,21,salauzts/ salūzis,26,understands,0
Latvian,22,salauzts/ salūzis,32,produces,0.125
Latvian,22,salauzts/ salūzis,32,understands,0
Latvian,23,salauzts/ salūzis,25,produces,0.44
Latvian,23,salauzts/ salūzis,25,understands,0
Latvian,24,salauzts/ salūzis,30,produces,0.6333
Latvian,24,salauzts/ salūzis,30,understands,0
Latvian,25,salauzts/ salūzis,29,produces,0.4828
Latvian,25,salauzts/ salūzis,29,understands,0
Latvian,26,salauzts/ salūzis,22,produces,0.5
Latvian,26,salauzts/ salūzis,22,understands,0
Latvian,27,salauzts/ salūzis,18,produces,0.6667
Latvian,27,salauzts/ salūzis,18,understands,0
Latvian,28,salauzts/ salūzis,23,produces,0.6957
Latvian,28,salauzts/ salūzis,23,understands,0
Latvian,29,salauzts/ salūzis,24,produces,0.6667
Latvian,29,salauzts/ salūzis,24,understands,0
Latvian,30,salauzts/ salūzis,26,produces,0.7692
Latvian,30,salauzts/ salūzis,26,understands,0
Latvian,31,salauzts/ salūzis,19,produces,0.6842
Latvian,31,salauzts/ salūzis,19,understands,0
Latvian,32,salauzts/ salūzis,25,produces,0.68
Latvian,32,salauzts/ salūzis,25,understands,0
Latvian,33,salauzts/ salūzis,31,produces,0.7742
Latvian,33,salauzts/ salūzis,31,understands,0
Latvian,34,salauzts/ salūzis,17,produces,0.8824
Latvian,34,salauzts/ salūzis,17,understands,0
Latvian,35,salauzts/ salūzis,21,produces,0.9048
Latvian,35,salauzts/ salūzis,21,understands,0
Latvian,36,salauzts/ salūzis,22,produces,0.6364
