language,age,words,n,measure,prop
Kigiriama,8,Kaimati,5,produces,0.2
Kigiriama,8,Kaimati,5,understands,0.4
Kigiriama,9,Kaimati,22,produces,0
Kigiriama,9,Kaimati,22,understands,0.1364
Kigiriama,10,Kaimati,5,produces,0
Kigiriama,10,Kaimati,5,understands,0
Kigiriama,11,Kaimati,7,produces,0
Kigiriama,11,Kaimati,7,understands,0.5714
Kigiriama,12,Kaimati,30,produces,0
Kigiriama,12,Kaimati,30,understands,0.3
Kigiriama,13,Kaimati,18,produces,0
Kigiriama,13,Kaimati,18,understands,0.3889
Kigiriama,14,Kaimati,16,produces,0
Kigiriama,14,Kaimati,16,understands,0.1875
Kigiriama,15,Kaimati,16,produces,0
Kigiriama,15,Kaimati,16,understands,0.125
Kigiriama,16,Kaimati,1,produces,1
Kigiriama,16,Kaimati,1,understands,0
Kigiriama,17,Kaimati,6,produces,0
Kigiriama,17,Kaimati,6,understands,0
Kigiriama,18,Kaimati,13,produces,0.0769
Kigiriama,18,Kaimati,13,understands,0
Kigiriama,19,Kaimati,8,produces,0.125
Kigiriama,19,Kaimati,8,understands,0
Kigiriama,20,Kaimati,14,produces,0.1429
Kigiriama,20,Kaimati,14,understands,0
Kigiriama,21,Kaimati,6,produces,0.3333
Kigiriama,21,Kaimati,6,understands,0
Kigiriama,22,Kaimati,9,produces,0.6667
Kigiriama,22,Kaimati,9,understands,0
Kigiriama,23,Kaimati,4,produces,0.25
Kigiriama,23,Kaimati,4,understands,0
Kigiriama,24,Kaimati,7,produces,0.7143
Kigiriama,24,Kaimati,7,understands,0
Kigiriama,25,Kaimati,3,produces,0.6667
Kigiriama,25,Kaimati,3,understands,0
Kigiriama,26,Kaimati,6,produces,0.6667
Kigiriama,26,Kaimati,6,understands,0
Kigiriama,27,Kaimati,4,produces,0.75
Kigiriama,27,Kaimati,4,understands,0
Kigiriama,28,Kaimati,1,produces,0
Kigiriama,28,Kaimati,1,understands,0
Kigiriama,29,Kaimati,5,produces,0.6
Kigiriama,29,Kaimati,5,understands,0
Kigiriama,30,Kaimati,1,produces,1
Kigiriama,30,Kaimati,1,understands,0
Kiswahili,8,"Kaimati, maandazi/mahamri",1,produces,0
Kiswahili,8,"Kaimati, maandazi/mahamri",1,understands,0
Kiswahili,9,"Kaimati, maandazi/mahamri",5,produces,0
Kiswahili,9,"Kaimati, maandazi/mahamri",5,understands,0.1
Kiswahili,10,"Kaimati, maandazi/mahamri",5,produces,0
Kiswahili,10,"Kaimati, maandazi/mahamri",5,understands,0.1
Kiswahili,11,"Kaimati, maandazi/mahamri",9,produces,0
Kiswahili,11,"Kaimati, maandazi/mahamri",9,understands,0.2222
Kiswahili,12,"Kaimati, maandazi/mahamri",6,produces,0
Kiswahili,12,"Kaimati, maandazi/mahamri",6,understands,0.0833
Kiswahili,13,"Kaimati, maandazi/mahamri",6,produces,0
Kiswahili,13,"Kaimati, maandazi/mahamri",6,understands,0.3333
Kiswahili,14,"Kaimati, maandazi/mahamri",4,produces,0
Kiswahili,14,"Kaimati, maandazi/mahamri",4,understands,0.375
Kiswahili,15,"Kaimati, maandazi/mahamri",5,produces,0.2
Kiswahili,15,"Kaimati, maandazi/mahamri",5,understands,0.5
Kiswahili,23,"Kaimati, kitumbua, mahamri/maandazi",2,produces,0.3333
Kiswahili,23,"Kaimati, kitumbua, mahamri/maandazi",2,understands,0
Kiswahili,24,"Kaimati, kitumbua, mahamri/maandazi",12,produces,0.4722
Kiswahili,24,"Kaimati, kitumbua, mahamri/maandazi",12,understands,0
Kiswahili,25,"Kaimati, kitumbua, mahamri/maandazi",10,produces,0.2333
Kiswahili,25,"Kaimati, kitumbua, mahamri/maandazi",10,understands,0
Kiswahili,26,"Kaimati, kitumbua, mahamri/maandazi",13,produces,0.359
Kiswahili,26,"Kaimati, kitumbua, mahamri/maandazi",13,understands,0
Kiswahili,27,"Kaimati, kitumbua, mahamri/maandazi",8,produces,0.2083
Kiswahili,27,"Kaimati, kitumbua, mahamri/maandazi",8,understands,0
Kiswahili,28,"Kaimati, kitumbua, mahamri/maandazi",6,produces,0.6111
Kiswahili,28,"Kaimati, kitumbua, mahamri/maandazi",6,understands,0
Kiswahili,29,"Kaimati, kitumbua, mahamri/maandazi",6,produces,0.2778
Kiswahili,29,"Kaimati, kitumbua, mahamri/maandazi",6,understands,0
Kiswahili,30,"Kaimati, kitumbua, mahamri/maandazi",5,produces,0.6
Kiswahili,30,"Kaimati, kitumbua, mahamri/maandazi",5,understands,0
Mandarin (Beijing),12,"馒头, 包子",45,produces,0.0444
Mandarin (Beijing),12,"馒头, 包子",45,understands,0.3556
Mandarin (Beijing),13,"馒头, 包子",50,produces,0.03
Mandarin (Beijing),13,"馒头, 包子",50,understands,0.35
Mandarin (Beijing),14,"馒头, 包子",48,produces,0.0312
Mandarin (Beijing),14,"馒头, 包子",48,understands,0.2917
Mandarin (Beijing),15,"馒头, 包子",46,produces,0.0109
Mandarin (Beijing),15,"馒头, 包子",46,understands,0.3696
Mandarin (Beijing),16,"馒头, 包子",111,produces,0.1486
Mandarin (Beijing),16,"馒头, 包子",111,understands,0.1577
Mandarin (Beijing),17,"包子, 花卷, 馒头",112,produces,0.2917
Mandarin (Beijing),17,"包子, 花卷, 馒头",112,understands,0
Mandarin (Beijing),18,"包子, 花卷, 馒头",121,produces,0.3185
Mandarin (Beijing),18,"包子, 花卷, 馒头",121,understands,0
Mandarin (Beijing),19,"包子, 花卷, 馒头",120,produces,0.3966
Mandarin (Beijing),19,"包子, 花卷, 馒头",120,understands,0
Mandarin (Beijing),20,"包子, 花卷, 馒头",121,produces,0.476
Mandarin (Beijing),20,"包子, 花卷, 馒头",121,understands,0
Mandarin (Beijing),21,"包子, 花卷, 馒头",119,produces,0.5436
