language,age,words,n,measure,prop
Italian,18,burro,31,produces,0.0323
Italian,18,burro,31,understands,0
Italian,19,burro,39,produces,0.0256
Italian,19,burro,39,understands,0
Italian,20,burro,64,produces,0.0625
Italian,20,burro,64,understands,0
Italian,21,burro,55,produces,0.1273
Italian,21,burro,55,understands,0
Italian,22,burro,55,produces,0.2
Italian,22,burro,55,understands,0
Italian,23,burro,53,produces,0.2264
Italian,23,burro,53,understands,0
Italian,24,burro,71,produces,0.2254
Italian,24,burro,71,understands,0
Italian,25,burro,39,produces,0.359
Italian,25,burro,39,understands,0
Italian,26,burro,41,produces,0.4146
Italian,26,burro,41,understands,0
Italian,27,burro,43,produces,0.3256
Italian,27,burro,43,understands,0
Italian,28,burro,44,produces,0.3636
Italian,28,burro,44,understands,0
Italian,29,burro,37,produces,0.5676
Italian,29,burro,37,understands,0
Italian,30,burro,67,produces,0.5821
Italian,30,burro,67,understands,0
Italian,31,burro,19,produces,0.7895
Italian,31,burro,19,understands,0
Italian,32,burro,23,produces,0.5652
Italian,32,burro,23,understands,0
Italian,33,burro,16,produces,0.5
Italian,33,burro,16,understands,0
Italian,34,burro,19,produces,0.6842
Italian,34,burro,19,understands,0
Italian,35,burro,15,produces,0.5333
Italian,35,burro,15,understands,0
Italian,36,burro,21,produces,0.4762
Italian,36,burro,21,understands,0
Japanese,16,バター,11,produces,0
Japanese,16,バター,11,understands,0
Japanese,17,バター,17,produces,0
Japanese,17,バター,17,understands,0
Japanese,18,バター,56,produces,0
Japanese,18,バター,56,understands,0
Japanese,19,バター,35,produces,0
Japanese,19,バター,35,understands,0
Japanese,20,バター,59,produces,0.0339
Japanese,20,バター,59,understands,0
Japanese,21,バター,62,produces,0
Japanese,21,バター,62,understands,0
Japanese,22,バター,31,produces,0.0323
Japanese,22,バター,31,understands,0
Japanese,23,バター,67,produces,0.0448
Japanese,23,バター,67,understands,0
Japanese,24,バター,33,produces,0.0909
Japanese,24,バター,33,understands,0
Japanese,25,バター,34,produces,0.2059
Japanese,25,バター,34,understands,0
Japanese,26,バター,33,produces,0.2727
Japanese,26,バター,33,understands,0
Japanese,27,バター,15,produces,0.0667
Japanese,27,バター,15,understands,0
Japanese,28,バター,18,produces,0.2222
Japanese,28,バター,18,understands,0
Japanese,29,バター,17,produces,0.3529
Japanese,29,バター,17,understands,0
Japanese,30,バター,18,produces,0.3333
Japanese,30,バター,18,understands,0
Japanese,31,バター,18,produces,0.5
Japanese,31,バター,18,understands,0
