language,age,words,n,measure,prop
Italian,7,da,5,produces,0
Italian,7,da,5,understands,0
Italian,8,da,34,produces,0
Italian,8,da,34,understands,0
Italian,9,da,38,produces,0
Italian,9,da,38,understands,0.0526
Italian,10,da,53,produces,0
Italian,10,da,53,understands,0.0377
Italian,11,da,42,produces,0
Italian,11,da,42,understands,0.119
Italian,12,da,69,produces,0
Italian,12,da,69,understands,0.2754
Italian,13,da,48,produces,0
Italian,13,da,48,understands,0.1458
Italian,14,da,40,produces,0.025
Italian,14,da,40,understands,0.425
Italian,15,da,68,produces,0.0294
Italian,15,da,68,understands,0.2794
Italian,16,da,56,produces,0.0179
Italian,16,da,56,understands,0.375
Italian,17,da,48,produces,0.0208
Italian,17,da,48,understands,0.375
Italian,18,da,75,produces,0.0533
Italian,18,da,75,understands,0.1467
Italian,19,da,58,produces,0.069
Italian,19,da,58,understands,0.0345
Italian,20,da,83,produces,0.0723
Italian,20,da,83,understands,0.0602
Italian,21,da,67,produces,0.1045
Italian,21,da,67,understands,0.0746
Italian,22,da,77,produces,0.1688
Italian,22,da,77,understands,0.013
Italian,23,da,70,produces,0.2286
Italian,23,da,70,understands,0.1143
Italian,24,da,85,produces,0.3059
Italian,24,da,85,understands,0.0353
Italian,25,da,39,produces,0.4615
Italian,25,da,39,understands,0
Italian,26,da,41,produces,0.5854
Italian,26,da,41,understands,0
Italian,27,da,43,produces,0.5116
Italian,27,da,43,understands,0
Italian,28,da,44,produces,0.7045
Italian,28,da,44,understands,0
Italian,29,da,37,produces,0.7027
Italian,29,da,37,understands,0
Italian,30,da,67,produces,0.6567
Italian,30,da,67,understands,0
Italian,31,da,19,produces,0.8947
Italian,31,da,19,understands,0
Italian,32,da,23,produces,0.8261
Italian,32,da,23,understands,0
Italian,33,da,16,produces,0.8125
Italian,33,da,16,understands,0
Italian,34,da,19,produces,0.8947
Italian,34,da,19,understands,0
Italian,35,da,15,produces,0.8667
Italian,35,da,15,understands,0
Italian,36,da,21,produces,0.8571
Italian,36,da,21,understands,0
Korean,18,옆,88,produces,0.0455
Korean,18,옆,88,understands,0
Korean,19,옆,77,produces,0.0519
Korean,19,옆,77,understands,0
Korean,20,옆,88,produces,0.0568
Korean,20,옆,88,understands,0
Korean,21,옆,79,produces,0.0506
Korean,21,옆,79,understands,0
Korean,22,옆,87,produces,0.1839
Korean,22,옆,87,understands,0
Korean,23,옆,87,produces,0.1264
Korean,23,옆,87,understands,0
Korean,24,옆,107,produces,0.2336
Korean,24,옆,107,understands,0
Korean,25,옆,95,produces,0.3053
Korean,25,옆,95,understands,0
Korean,26,옆,91,produces,0.4066
Korean,26,옆,91,understands,0
Korean,27,옆,104,produces,0.3462
Korean,27,옆,104,understands,0
Korean,28,옆,89,produces,0.5281
Korean,28,옆,89,understands,0
Korean,29,옆,101,produces,0.5149
Korean,29,옆,101,understands,0
Korean,30,옆,81,produces,0.5062
Korean,30,옆,81,understands,0
Korean,31,옆,79,produces,0.49370000000000003
Korean,31,옆,79,understands,0
Korean,32,옆,70,produces,0.4857
Korean,32,옆,70,understands,0
Korean,33,옆,79,produces,0.49370000000000003
Korean,33,옆,79,understands,0
Korean,34,옆,79,produces,0.6962
Korean,34,옆,79,understands,0
Korean,35,옆,74,produces,0.6486
Korean,35,옆,74,understands,0
Korean,36,옆,75,produces,0.64
Korean,36,옆,75,understands,0
Latvian,17,pie (pie gultas),27,produces,0
Latvian,17,pie (pie gultas),27,understands,0
Latvian,18,pie (pie gultas),21,produces,0
Latvian,18,pie (pie gultas),21,understands,0
Latvian,19,pie (pie gultas),28,produces,0.0357
Latvian,19,pie (pie gultas),28,understands,0
Latvian,20,pie (pie gultas),34,produces,0.0882
Latvian,20,pie (pie gultas),34,understands,0
Latvian,21,pie (pie gultas),26,produces,0.1154
Latvian,21,pie (pie gultas),26,understands,0
Latvian,22,pie (pie gultas),32,produces,0.1562
Latvian,22,pie (pie gultas),32,understands,0
Latvian,23,pie (pie gultas),25,produces,0.2
Latvian,23,pie (pie gultas),25,understands,0
Latvian,24,pie (pie gultas),30,produces,0.3333
Latvian,24,pie (pie gultas),30,understands,0
Latvian,25,pie (pie gultas),29,produces,0.2759
Latvian,25,pie (pie gultas),29,understands,0
Latvian,26,pie (pie gultas),22,produces,0.3636
Latvian,26,pie (pie gultas),22,understands,0
Latvian,27,pie (pie gultas),18,produces,0.5556
Latvian,27,pie (pie gultas),18,understands,0
Latvian,28,pie (pie gultas),23,produces,0.4783
Latvian,28,pie (pie gultas),23,understands,0
Latvian,29,pie (pie gultas),24,produces,0.3333
Latvian,29,pie (pie gultas),24,understands,0
Latvian,30,pie (pie gultas),26,produces,0.4615
Latvian,30,pie (pie gultas),26,understands,0
Latvian,31,pie (pie gultas),19,produces,0.5789
Latvian,31,pie (pie gultas),19,understands,0
Latvian,32,pie (pie gultas),25,produces,0.68
Latvian,32,pie (pie gultas),25,understands,0
Latvian,33,pie (pie gultas),31,produces,0.7097
Latvian,33,pie (pie gultas),31,understands,0
Latvian,34,pie (pie gultas),17,produces,0.8824
Latvian,34,pie (pie gultas),17,understands,0
Latvian,35,pie (pie gultas),21,produces,0.7619
Latvian,35,pie (pie gultas),21,understands,0
Latvian,36,pie (pie gultas),22,produces,0.7273
Latvian,36,pie (pie gultas),22,understands,0
Mandarin (Taiwanese),16,旁邊,80,produces,0.0125
Mandarin (Taiwanese),16,旁邊,80,understands,0
Mandarin (Taiwanese),17,旁邊,87,produces,0
Mandarin (Taiwanese),17,旁邊,87,understands,0
Mandarin (Taiwanese),18,旁邊,84,produces,0.0357
Mandarin (Taiwanese),18,旁邊,84,understands,0
Mandarin (Taiwanese),19,旁邊,84,produces,0.0476
Mandarin (Taiwanese),19,旁邊,84,understands,0
Mandarin (Taiwanese),20,旁邊,84,produces,0.0595
Mandarin (Taiwanese),20,旁邊,84,understands,0
Mandarin (Taiwanese),21,旁邊,88,produces,0.0568
Mandarin (Taiwanese),21,旁邊,88,understands,0
Mandarin (Taiwanese),22,旁邊,96,produces,0.1146
Mandarin (Taiwanese),22,旁邊,96,understands,0
Mandarin (Taiwanese),23,旁邊,105,produces,0.1619
Mandarin (Taiwanese),23,旁邊,105,understands,0
Mandarin (Taiwanese),24,旁邊,124,produces,0.2016
Mandarin (Taiwanese),24,旁邊,124,understands,0
Mandarin (Taiwanese),25,旁邊,110,produces,0.2364
Mandarin (Taiwanese),25,旁邊,110,understands,0
Mandarin (Taiwanese),26,旁邊,87,produces,0.3793
Mandarin (Taiwanese),26,旁邊,87,understands,0
Mandarin (Taiwanese),27,旁邊,92,produces,0.3804
Mandarin (Taiwanese),27,旁邊,92,understands,0
Mandarin (Taiwanese),28,旁邊,100,produces,0.46
Mandarin (Taiwanese),28,旁邊,100,understands,0
Mandarin (Taiwanese),29,旁邊,88,produces,0.4318
Mandarin (Taiwanese),29,旁邊,88,understands,0
Mandarin (Taiwanese),30,旁邊,94,produces,0.5319
Mandarin (Taiwanese),30,旁邊,94,understands,0
Mandarin (Taiwanese),31,旁邊,88,produces,0.6136
Mandarin (Taiwanese),31,旁邊,88,understands,0
Mandarin (Taiwanese),32,旁邊,82,produces,0.5244
Mandarin (Taiwanese),32,旁邊,82,understands,0
Mandarin (Taiwanese),33,旁邊,85,produces,0.7176
Mandarin (Taiwanese),33,旁邊,85,understands,0
Mandarin (Taiwanese),34,旁邊,77,produces,0.5714
Mandarin (Taiwanese),34,旁邊,77,understands,0
Mandarin (Taiwanese),35,旁邊,81,produces,0.7531
Mandarin (Taiwanese),35,旁邊,81,understands,0
Mandarin (Taiwanese),36,旁邊,81,produces,0.7284
Mandarin (Taiwanese),36,旁邊,81,understands,0
Spanish (European),16,por,39,produces,0
Spanish (European),16,por,39,understands,0
Spanish (European),17,por,39,produces,0
Spanish (European),17,por,39,understands,0
Spanish (European),18,por,50,produces,0
Spanish (European),18,por,50,understands,0
Spanish (European),19,por,27,produces,0
Spanish (European),19,por,27,understands,0
Spanish (European),20,por,36,produces,0
Spanish (European),20,por,36,understands,0
Spanish (European),21,por,41,produces,0.0244
Spanish (European),21,por,41,understands,0
Spanish (European),22,por,38,produces,0.0526
Spanish (European),22,por,38,understands,0
Spanish (European),23,por,30,produces,0.0333
Spanish (European),23,por,30,understands,0
Spanish (European),24,por,55,produces,0.0182
Spanish (European),24,por,55,understands,0
Spanish (European),25,por,35,produces,0.2
Spanish (European),25,por,35,understands,0
Spanish (European),26,por,49,produces,0.1224
Spanish (European),26,por,49,understands,0
Spanish (European),27,por,34,produces,0.3529
Spanish (European),27,por,34,understands,0
Spanish (European),28,por,38,produces,0.2632
Spanish (European),28,por,38,understands,0
Spanish (European),29,por,41,produces,0.5366
Spanish (European),29,por,41,understands,0
Spanish (European),30,por,41,produces,0.4146
Spanish (European),30,por,41,understands,0
Croatian,16,"pored, uz",13,produces,0
Croatian,16,"pored, uz",13,understands,0
Croatian,17,"pored, uz",25,produces,0.02
Croatian,17,"pored, uz",25,understands,0
Croatian,18,"pored, uz",22,produces,0
Croatian,18,"pored, uz",22,understands,0
Croatian,19,"pored, uz",21,produces,0
Croatian,19,"pored, uz",21,understands,0
Croatian,20,"pored, uz",26,produces,0.0192
Croatian,20,"pored, uz",26,understands,0
Croatian,21,"pored, uz",29,produces,0
Croatian,21,"pored, uz",29,understands,0
Croatian,22,"pored, uz",24,produces,0
Croatian,22,"pored, uz",24,understands,0
Croatian,23,"pored, uz",26,produces,0.0192
Croatian,23,"pored, uz",26,understands,0
Croatian,24,"pored, uz",30,produces,0.1
Croatian,24,"pored, uz",30,understands,0
Croatian,25,"pored, uz",30,produces,0.0667
Croatian,25,"pored, uz",30,understands,0
Croatian,26,"pored, uz",29,produces,0.0517
Croatian,26,"pored, uz",29,understands,0
Croatian,27,"pored, uz",25,produces,0.08
Croatian,27,"pored, uz",25,understands,0
Croatian,28,"pored, uz",21,produces,0.2381
Croatian,28,"pored, uz",21,understands,0
Croatian,29,"pored, uz",28,produces,0.1071
Croatian,29,"pored, uz",28,understands,0
Croatian,30,"pored, uz",28,produces,0.2143
Croatian,30,"pored, uz",28,understands,0
Czech,16,u,29,produces,0
Czech,16,u,29,understands,0
Czech,17,u,29,produces,0
Czech,17,u,29,understands,0
Czech,18,u,45,produces,0
Czech,18,u,45,understands,0
Czech,19,u,27,produces,0
Czech,19,u,27,understands,0
Czech,20,u,26,produces,0.0385
Czech,20,u,26,understands,0
Czech,21,u,34,produces,0
Czech,21,u,34,understands,0
Czech,22,u,36,produces,0.0833
Czech,22,u,36,understands,0
Czech,23,u,46,produces,0.087
Czech,23,u,46,understands,0
Czech,24,u,35,produces,0.0571
Czech,24,u,35,understands,0
Czech,25,u,35,produces,0.1429
Czech,25,u,35,understands,0
Czech,26,u,22,produces,0.2727
Czech,26,u,22,understands,0
Czech,27,u,37,produces,0.2973
Czech,27,u,37,understands,0
Czech,28,u,26,produces,0.5385
Czech,28,u,26,understands,0
Czech,29,u,39,produces,0.4359
Czech,29,u,39,understands,0
Czech,30,u,27,produces,0.5185
Czech,30,u,27,understands,0
Danish,16,ved,184,produces,0.0054
Danish,16,ved,184,understands,0
Danish,17,ved,176,produces,0
Danish,17,ved,176,understands,0
Danish,18,ved,160,produces,0.0063
Danish,18,ved,160,understands,0
Danish,19,ved,205,produces,0
Danish,19,ved,205,understands,0
Danish,20,ved,196,produces,0.0102
Danish,20,ved,196,understands,0
Danish,21,ved,236,produces,0.0169
Danish,21,ved,236,understands,0
Danish,22,ved,235,produces,0.0213
Danish,22,ved,235,understands,0
Danish,23,ved,190,produces,0
Danish,23,ved,190,understands,0
Danish,24,ved,216,produces,0.0602
Danish,24,ved,216,understands,0
Danish,25,ved,138,produces,0.0725
Danish,25,ved,138,understands,0
Danish,26,ved,206,produces,0.1359
Danish,26,ved,206,understands,0
Danish,27,ved,176,produces,0.1534
Danish,27,ved,176,understands,0
Danish,28,ved,190,produces,0.1526
Danish,28,ved,190,understands,0
Danish,29,ved,182,produces,0.2473
Danish,29,ved,182,understands,0
Danish,30,ved,173,produces,0.3121
Danish,30,ved,173,understands,0
Danish,31,ved,175,produces,0.28
Danish,31,ved,175,understands,0
Danish,32,ved,143,produces,0.3916
Danish,32,ved,143,understands,0
Danish,33,ved,151,produces,0.4503
Danish,33,ved,151,understands,0
Danish,34,ved,143,produces,0.4965
Danish,34,ved,143,understands,0
Danish,35,ved,113,produces,0.5133
Danish,35,ved,113,understands,0
Danish,36,ved,126,produces,0.5714
Danish,36,ved,126,understands,0
Dutch,16,bij(vz),4,produces,0.25
Dutch,16,bij(vz),4,understands,0
Dutch,17,bij(vz),135,produces,0.0444
Dutch,17,bij(vz),135,understands,0.1704
Dutch,18,bij(vz),162,produces,0.0494
Dutch,18,bij(vz),162,understands,0.1358
Dutch,19,bij(vz),8,produces,0.25
Dutch,19,bij(vz),8,understands,0
Dutch,20,bij(vz),7,produces,0.7143
Dutch,20,bij(vz),7,understands,0
Dutch,21,bij(vz),7,produces,0.5714
Dutch,21,bij(vz),7,understands,0
Dutch,22,bij(vz),7,produces,0.5714
Dutch,22,bij(vz),7,understands,0
Dutch,23,bij(vz),52,produces,0.2115
Dutch,23,bij(vz),52,understands,0.0192
Dutch,24,bij(vz),190,produces,0.3526
Dutch,24,bij(vz),190,understands,0.5053
Dutch,25,bij(vz),11,produces,0.7273
Dutch,25,bij(vz),11,understands,0.2727
Dutch,26,bij(vz),6,produces,0.6667
Dutch,26,bij(vz),6,understands,0
Dutch,27,bij(vz),5,produces,1
Dutch,27,bij(vz),5,understands,0
Dutch,28,bij(vz),6,produces,1
Dutch,28,bij(vz),6,understands,0
Dutch,29,bij(vz),23,produces,0.6087
Dutch,29,bij(vz),23,understands,0
Dutch,30,bij(vz),51,produces,0.6667
Dutch,30,bij(vz),51,understands,0.4118
Dutch,31,bij(vz),3,produces,0.6667
Dutch,31,bij(vz),3,understands,0.3333
English (American),16,by,930,produces,0.0086
English (American),16,by,930,understands,0
English (American),17,by,458,produces,0.0415
English (American),17,by,458,understands,0
English (American),18,by,641,produces,0.0281
English (American),18,by,641,understands,0
English (American),19,by,570,produces,0.0421
English (American),19,by,570,understands,0
English (American),20,by,537,produces,0.0447
English (American),20,by,537,understands,0
English (American),21,by,366,produces,0.071
English (American),21,by,366,understands,0
English (American),22,by,454,produces,0.0837
English (American),22,by,454,understands,0
English (American),23,by,470,produces,0.1319
English (American),23,by,470,understands,0
English (American),24,by,985,produces,0.1574
English (American),24,by,985,understands,0
English (American),25,by,757,produces,0.2193
English (American),25,by,757,understands,0
English (American),26,by,435,produces,0.2598
English (American),26,by,435,understands,0
English (American),27,by,361,produces,0.349
English (American),27,by,361,understands,0
English (American),28,by,954,produces,0.4748
English (American),28,by,954,understands,0
English (American),29,by,390,produces,0.4077
English (American),29,by,390,understands,0
English (American),30,by,785,produces,0.4166
English (American),30,by,785,understands,0
Estonian,16,juures,36,produces,0.0278
Estonian,16,juures,36,understands,0
Estonian,17,juures,89,produces,0
Estonian,17,juures,89,understands,0
Estonian,18,juures,103,produces,0.0097
Estonian,18,juures,103,understands,0
Estonian,19,juures,85,produces,0.0824
Estonian,19,juures,85,understands,0
Estonian,20,juures,60,produces,0.1167
Estonian,20,juures,60,understands,0
Estonian,21,juures,66,produces,0.1515
Estonian,21,juures,66,understands,0
Estonian,22,juures,76,produces,0.1447
Estonian,22,juures,76,understands,0
Estonian,23,juures,95,produces,0.2737
Estonian,23,juures,95,understands,0
Estonian,24,juures,116,produces,0.2845
Estonian,24,juures,116,understands,0
Estonian,25,juures,82,produces,0.3049
Estonian,25,juures,82,understands,0
Estonian,26,juures,84,produces,0.2857
Estonian,26,juures,84,understands,0
Estonian,27,juures,80,produces,0.3
Estonian,27,juures,80,understands,0
Estonian,28,juures,92,produces,0.4674
Estonian,28,juures,92,understands,0
Estonian,29,juures,100,produces,0.53
Estonian,29,juures,100,understands,0
Estonian,30,juures,71,produces,0.6479
Estonian,30,juures,71,understands,0
French (Quebecois),16,par,47,produces,0
French (Quebecois),16,par,47,understands,0
French (Quebecois),17,par,62,produces,0
French (Quebecois),17,par,62,understands,0
French (Quebecois),18,par,99,produces,0
French (Quebecois),18,par,99,understands,0
French (Quebecois),19,par,91,produces,0
French (Quebecois),19,par,91,understands,0
French (Quebecois),20,par,196,produces,0.0153
French (Quebecois),20,par,196,understands,0
French (Quebecois),21,par,109,produces,0.0367
French (Quebecois),21,par,109,understands,0
French (Quebecois),22,par,86,produces,0
French (Quebecois),22,par,86,understands,0
French (Quebecois),23,par,86,produces,0.0698
French (Quebecois),23,par,86,understands,0
French (Quebecois),24,par,132,produces,0.1061
French (Quebecois),24,par,132,understands,0
French (Quebecois),25,par,87,produces,0.0805
French (Quebecois),25,par,87,understands,0
French (Quebecois),26,par,95,produces,0.1053
French (Quebecois),26,par,95,understands,0
French (Quebecois),27,par,74,produces,0.1622
French (Quebecois),27,par,74,understands,0
French (Quebecois),28,par,61,produces,0.1639
French (Quebecois),28,par,61,understands,0
French (Quebecois),29,par,70,produces,0.3
French (Quebecois),29,par,70,understands,0
French (Quebecois),30,par,100,produces,0.24
French (Quebecois),30,par,100,understands,0
