language,age,words,n,measure,prop
Arabic (Saudi),8,يتصل,24,produces,0
Arabic (Saudi),8,يتصل,24,understands,0.0833
Arabic (Saudi),9,يتصل,27,produces,0
Arabic (Saudi),9,يتصل,27,understands,0
Arabic (Saudi),10,يتصل,35,produces,0.0286
Arabic (Saudi),10,يتصل,35,understands,0.0857
Arabic (Saudi),11,يتصل,30,produces,0
Arabic (Saudi),11,يتصل,30,understands,0.0667
Arabic (Saudi),12,يتصل,30,produces,0.1
Arabic (Saudi),12,يتصل,30,understands,0.1667
Arabic (Saudi),13,يتصل,39,produces,0.0513
Arabic (Saudi),13,يتصل,39,understands,0
Arabic (Saudi),14,يتصل,25,produces,0
Arabic (Saudi),14,يتصل,25,understands,0
Arabic (Saudi),15,يتصل,27,produces,0.037
Arabic (Saudi),15,يتصل,27,understands,0.0741
Arabic (Saudi),16,يتصل,21,produces,0.0476
Arabic (Saudi),16,يتصل,21,understands,0.0476
Greek (Cypriot),18,τηλεφωνώ,45,produces,0.0222
Greek (Cypriot),18,τηλεφωνώ,45,understands,0
Greek (Cypriot),21,τηλεφωνώ,36,produces,0.0833
Greek (Cypriot),21,τηλεφωνώ,36,understands,0
Greek (Cypriot),24,τηλεφωνώ,32,produces,0.25
Greek (Cypriot),24,τηλεφωνώ,32,understands,0
Greek (Cypriot),27,τηλεφωνώ,29,produces,0.4483
Greek (Cypriot),27,τηλεφωνώ,29,understands,0
Greek (Cypriot),30,τηλεφωνώ,34,produces,0.5
Greek (Cypriot),30,τηλεφωνώ,34,understands,0
