language,age,words,n,measure,prop
Japanese,8,カメラ,6,produces,0
Japanese,8,カメラ,6,understands,0
Japanese,9,カメラ,10,produces,0
Japanese,9,カメラ,10,understands,0
Japanese,10,カメラ,8,produces,0
Japanese,10,カメラ,8,understands,0
Japanese,11,カメラ,87,produces,0
Japanese,11,カメラ,87,understands,0
Japanese,12,カメラ,118,produces,0
Japanese,12,カメラ,118,understands,0.0085
Japanese,13,カメラ,23,produces,0
Japanese,13,カメラ,23,understands,0.087
Japanese,14,カメラ,26,produces,0
Japanese,14,カメラ,26,understands,0.0385
Japanese,15,カメラ,72,produces,0
Japanese,15,カメラ,72,understands,0.0833
Japanese,16,カメラ,46,produces,0
Japanese,16,カメラ,46,understands,0
Japanese,17,カメラ,77,produces,0
Japanese,17,カメラ,77,understands,0.0779
Japanese,18,カメラ,94,produces,0.0319
Japanese,18,カメラ,94,understands,0.0745
Japanese,19,カメラ,35,produces,0.0286
Japanese,19,カメラ,35,understands,0
Japanese,20,カメラ,59,produces,0.0339
Japanese,20,カメラ,59,understands,0
Japanese,21,カメラ,62,produces,0.0484
Japanese,21,カメラ,62,understands,0
Japanese,22,カメラ,31,produces,0.129
Japanese,22,カメラ,31,understands,0
Japanese,23,カメラ,67,produces,0.1194
Japanese,23,カメラ,67,understands,0
Japanese,24,カメラ,33,produces,0.2424
Japanese,24,カメラ,33,understands,0
Japanese,25,カメラ,34,produces,0.3824
Japanese,25,カメラ,34,understands,0
Japanese,26,カメラ,33,produces,0.3939
Japanese,26,カメラ,33,understands,0
Japanese,27,カメラ,15,produces,0.2
Japanese,27,カメラ,15,understands,0
Japanese,28,カメラ,18,produces,0.5
Japanese,28,カメラ,18,understands,0
Japanese,29,カメラ,17,produces,0.5294
Japanese,29,カメラ,17,understands,0
Japanese,30,カメラ,18,produces,0.6111
Japanese,30,カメラ,18,understands,0
Japanese,31,カメラ,18,produces,0.5
Japanese,31,カメラ,18,understands,0
Japanese,32,カメラ,13,produces,0.6154
Japanese,32,カメラ,13,understands,0
Japanese,33,カメラ,16,produces,0.5625
Japanese,33,カメラ,16,understands,0
Japanese,34,カメラ,13,produces,0.6154
Japanese,34,カメラ,13,understands,0
Japanese,35,カメラ,31,produces,0.7419
Japanese,35,カメラ,31,understands,0
Japanese,36,カメラ,18,produces,0.7778
Japanese,36,カメラ,18,understands,0
Kigiriama,16,Picha/Kamera,1,produces,0
Kigiriama,16,Picha/Kamera,1,understands,0
