language,age,words,n,measure,prop
Italian,7,tappo,5,produces,0
Italian,7,tappo,5,understands,0
Italian,8,tappo,34,produces,0
Italian,8,tappo,34,understands,0.0294
Italian,9,tappo,38,produces,0
Italian,9,tappo,38,understands,0.0263
Italian,10,tappo,53,produces,0
Italian,10,tappo,53,understands,0.0189
Italian,11,tappo,42,produces,0
Italian,11,tappo,42,understands,0.0952
Italian,12,tappo,69,produces,0.0145
Italian,12,tappo,69,understands,0.1884
Italian,13,tappo,48,produces,0
Italian,13,tappo,48,understands,0.2708
Italian,14,tappo,40,produces,0.075
Italian,14,tappo,40,understands,0.225
Italian,15,tappo,68,produces,0.0441
Italian,15,tappo,68,understands,0.3088
Italian,16,tappo,56,produces,0.1071
Italian,16,tappo,56,understands,0.4464
Italian,17,tappo,48,produces,0.2292
Italian,17,tappo,48,understands,0.5208
Italian,18,tappo,75,produces,0.1733
Italian,18,tappo,75,understands,0.2933
Italian,19,tappo,58,produces,0.2759
Italian,19,tappo,58,understands,0.2241
Italian,20,tappo,83,produces,0.241
Italian,20,tappo,83,understands,0.1566
Italian,21,tappo,67,produces,0.5373
Italian,21,tappo,67,understands,0.1642
Italian,22,tappo,77,produces,0.4545
Italian,22,tappo,77,understands,0.1688
Italian,23,tappo,70,produces,0.5429
Italian,23,tappo,70,understands,0.1857
Italian,24,tappo,85,produces,0.5765
Italian,24,tappo,85,understands,0.1412
Italian,25,tappo,39,produces,0.7436
Italian,25,tappo,39,understands,0
Italian,26,tappo,41,produces,0.6585
Italian,26,tappo,41,understands,0
Italian,27,tappo,43,produces,0.6977
Italian,27,tappo,43,understands,0
Italian,28,tappo,44,produces,0.7727
Italian,28,tappo,44,understands,0
Italian,29,tappo,37,produces,0.8378
Italian,29,tappo,37,understands,0
Italian,30,tappo,67,produces,0.8358
Italian,30,tappo,67,understands,0
Italian,31,tappo,19,produces,0.8947
Italian,31,tappo,19,understands,0
Italian,32,tappo,23,produces,0.6957
Italian,32,tappo,23,understands,0
Italian,33,tappo,16,produces,0.875
Italian,33,tappo,16,understands,0
Italian,34,tappo,19,produces,0.8947
Italian,34,tappo,19,understands,0
Italian,35,tappo,15,produces,0.9333
Italian,35,tappo,15,understands,0
Italian,36,tappo,21,produces,0.8095
Italian,36,tappo,21,understands,0
Arabic (Saudi),8,"قبعة (كاب), قبعة",24,produces,0
Arabic (Saudi),8,"قبعة (كاب), قبعة",24,understands,0.0833
Arabic (Saudi),9,"قبعة (كاب), قبعة",27,produces,0.037
Arabic (Saudi),9,"قبعة (كاب), قبعة",27,understands,0.037
Arabic (Saudi),10,"قبعة (كاب), قبعة",35,produces,0
Arabic (Saudi),10,"قبعة (كاب), قبعة",35,understands,0.0571
Arabic (Saudi),11,"قبعة (كاب), قبعة",30,produces,0.0333
Arabic (Saudi),11,"قبعة (كاب), قبعة",30,understands,0.0333
Arabic (Saudi),12,"قبعة (كاب), قبعة",30,produces,0
Arabic (Saudi),12,"قبعة (كاب), قبعة",30,understands,0
Arabic (Saudi),13,"قبعة (كاب), قبعة",39,produces,0
Arabic (Saudi),13,"قبعة (كاب), قبعة",39,understands,0
Arabic (Saudi),14,"قبعة (كاب), قبعة",25,produces,0
Arabic (Saudi),14,"قبعة (كاب), قبعة",25,understands,0
Arabic (Saudi),15,"قبعة (كاب), قبعة",27,produces,0.037
Arabic (Saudi),15,"قبعة (كاب), قبعة",27,understands,0.1111
Arabic (Saudi),16,"قبعة (كاب), قبعة",21,produces,0.0476
Arabic (Saudi),16,"قبعة (كاب), قبعة",21,understands,0.0476
Catalan,8,gorra/o,39,produces,0
Catalan,8,gorra/o,39,understands,0.0513
Catalan,9,gorra/o,46,produces,0
Catalan,9,gorra/o,46,understands,0.0652
Catalan,10,gorra/o,43,produces,0
Catalan,10,gorra/o,43,understands,0.093
Catalan,11,gorra/o,43,produces,0
Catalan,11,gorra/o,43,understands,0.0465
Catalan,12,gorra/o,59,produces,0
Catalan,12,gorra/o,59,understands,0.1356
Catalan,13,gorra/o,44,produces,0
Catalan,13,gorra/o,44,understands,0.1818
Catalan,14,gorra/o,60,produces,0.0167
Catalan,14,gorra/o,60,understands,0.4
Catalan,15,gorra/o,70,produces,0.0143
Catalan,15,gorra/o,70,understands,0.3714
Catalan,16,"gorra/o, gorra",73,produces,0.0274
Catalan,16,"gorra/o, gorra",73,understands,0.3014
Catalan,17,"gorra/o, gorra",110,produces,0.1
Catalan,17,"gorra/o, gorra",110,understands,0.3091
Catalan,18,"gorra/o, gorra",102,produces,0.10780000000000001
Catalan,18,"gorra/o, gorra",102,understands,0.3235
Catalan,19,gorra,45,produces,0.2222
Catalan,19,gorra,45,understands,0
Catalan,20,gorra,56,produces,0.1786
Catalan,20,gorra,56,understands,0
Catalan,21,gorra,58,produces,0.3448
Catalan,21,gorra,58,understands,0
Catalan,22,gorra,50,produces,0.5
Catalan,22,gorra,50,understands,0
Catalan,23,gorra,66,produces,0.4394
Catalan,23,gorra,66,understands,0
Catalan,24,gorra,79,produces,0.6709
Catalan,24,gorra,79,understands,0
Catalan,25,gorra,60,produces,0.55
Catalan,25,gorra,60,understands,0
Catalan,26,gorra,65,produces,0.6154
Catalan,26,gorra,65,understands,0
Catalan,27,gorra,63,produces,0.7302
Catalan,27,gorra,63,understands,0
Catalan,28,gorra,81,produces,0.6543
Catalan,28,gorra,81,understands,0
Catalan,29,gorra,50,produces,0.8
Catalan,29,gorra,50,understands,0
Catalan,30,gorra,75,produces,0.88
Catalan,30,gorra,75,understands,0
Dutch,16,pet,4,produces,0
Dutch,16,pet,4,understands,0
Dutch,17,pet,49,produces,0.0816
Dutch,17,pet,49,understands,0
Dutch,18,pet,68,produces,0.0882
Dutch,18,pet,68,understands,0
Dutch,19,pet,7,produces,0
Dutch,19,pet,7,understands,0
Dutch,20,pet,7,produces,0.2857
Dutch,20,pet,7,understands,0
Dutch,21,pet,7,produces,0.4286
Dutch,21,pet,7,understands,0
Dutch,22,pet,7,produces,0.5714
Dutch,22,pet,7,understands,0
Dutch,23,pet,51,produces,0.5098
Dutch,23,pet,51,understands,0
Dutch,24,pet,31,produces,0.4194
Dutch,24,pet,31,understands,0
Dutch,25,pet,6,produces,0.6667
Dutch,25,pet,6,understands,0
Dutch,26,pet,6,produces,0.6667
Dutch,26,pet,6,understands,0
Dutch,27,pet,5,produces,0.6
Dutch,27,pet,5,understands,0
Dutch,28,pet,6,produces,0.8333
Dutch,28,pet,6,understands,0
Dutch,29,pet,23,produces,0.913
Dutch,29,pet,23,understands,0
Dutch,30,pet,24,produces,0.7917
Dutch,30,pet,24,understands,0
Dutch,31,pet,2,produces,0.5
Dutch,31,pet,2,understands,0
English (Australian),12,beanie,71,produces,0
English (Australian),12,beanie,71,understands,0
English (Australian),13,beanie,64,produces,0
English (Australian),13,beanie,64,understands,0
English (Australian),14,beanie,111,produces,0.009
English (Australian),14,beanie,111,understands,0
English (Australian),15,beanie,69,produces,0.0145
English (Australian),15,beanie,69,understands,0
English (Australian),16,beanie,60,produces,0.0167
English (Australian),16,beanie,60,understands,0
English (Australian),17,beanie,104,produces,0.0288
English (Australian),17,beanie,104,understands,0
English (Australian),18,beanie,109,produces,0
English (Australian),18,beanie,109,understands,0
English (Australian),19,beanie,124,produces,0
English (Australian),19,beanie,124,understands,0
English (Australian),20,beanie,78,produces,0.0641
English (Australian),20,beanie,78,understands,0
English (Australian),21,beanie,68,produces,0.0588
English (Australian),21,beanie,68,understands,0
English (Australian),22,beanie,73,produces,0.2055
English (Australian),22,beanie,73,understands,0
English (Australian),23,beanie,71,produces,0.2254
English (Australian),23,beanie,71,understands,0
English (Australian),24,beanie,76,produces,0.2763
English (Australian),24,beanie,76,understands,0
English (Australian),25,beanie,85,produces,0.2471
English (Australian),25,beanie,85,understands,0
English (Australian),26,beanie,77,produces,0.2208
English (Australian),26,beanie,77,understands,0
English (Australian),27,beanie,72,produces,0.3472
English (Australian),27,beanie,72,understands,0
English (Australian),28,beanie,67,produces,0.2388
English (Australian),28,beanie,67,understands,0
English (Australian),29,beanie,65,produces,0.3077
English (Australian),29,beanie,65,understands,0
English (Australian),30,beanie,53,produces,0.3774
English (Australian),30,beanie,53,understands,0
Greek (Cypriot),18,σκούφος,45,produces,0.0667
Greek (Cypriot),18,σκούφος,45,understands,0
Greek (Cypriot),21,σκούφος,36,produces,0.1111
Greek (Cypriot),21,σκούφος,36,understands,0
Greek (Cypriot),24,σκούφος,32,produces,0.3438
Greek (Cypriot),24,σκούφος,32,understands,0
Greek (Cypriot),27,σκούφος,29,produces,0.4828
Greek (Cypriot),27,σκούφος,29,understands,0
Greek (Cypriot),30,σκούφος,34,produces,0.4118
Greek (Cypriot),30,σκούφος,34,understands,0
