language,sex,age,words,n,measure,prop
Cantonese,All,16,"拎, 孭",46,produces,0.0326
Cantonese,All,16,"拎, 孭",46,understands,0
Cantonese,All,17,"拎, 孭",61,produces,0.0984
Cantonese,All,17,"拎, 孭",61,understands,0
Cantonese,All,18,"拎, 孭",68,produces,0.1471
Cantonese,All,18,"拎, 孭",68,understands,0
Cantonese,All,19,"拎, 孭",66,produces,0.1061
Cantonese,All,19,"拎, 孭",66,understands,0
Cantonese,All,20,"拎, 孭",140,produces,0.2464
Cantonese,All,20,"拎, 孭",140,understands,0
Cantonese,All,21,"拎, 孭",120,produces,0.2833
Cantonese,All,21,"拎, 孭",120,understands,0
Cantonese,All,22,"拎, 孭",68,produces,0.3309
Cantonese,All,22,"拎, 孭",68,understands,0
Cantonese,All,23,"拎, 孭",74,produces,0.4054
Cantonese,All,23,"拎, 孭",74,understands,0
Cantonese,All,24,"拎, 孭",68,produces,0.4706
Cantonese,All,24,"拎, 孭",68,understands,0
Cantonese,All,25,"拎, 孭",65,produces,0.6
Cantonese,All,25,"拎, 孭",65,understands,0
Cantonese,All,26,"拎, 孭",68,produces,0.5809
Cantonese,All,26,"拎, 孭",68,understands,0
Cantonese,All,27,"拎, 孭",62,produces,0.6935
Cantonese,All,27,"拎, 孭",62,understands,0
Cantonese,All,28,"拎, 孭",66,produces,0.6742
Cantonese,All,28,"拎, 孭",66,understands,0
Cantonese,All,29,"拎, 孭",72,produces,0.75
Cantonese,All,29,"拎, 孭",72,understands,0
Cantonese,All,30,"拎, 孭",164,produces,0.7409
Cantonese,All,30,"拎, 孭",164,understands,0
Croatian,All,16,nositi,13,produces,0
Croatian,All,16,nositi,13,understands,0
Croatian,All,17,nositi,25,produces,0.04
Croatian,All,17,nositi,25,understands,0
Croatian,All,18,nositi,22,produces,0.0909
Croatian,All,18,nositi,22,understands,0
Croatian,All,19,nositi,21,produces,0.1905
Croatian,All,19,nositi,21,understands,0
Croatian,All,20,nositi,26,produces,0.2692
Croatian,All,20,nositi,26,understands,0
Croatian,All,21,nositi,29,produces,0.2069
Croatian,All,21,nositi,29,understands,0
Croatian,All,22,nositi,24,produces,0.2917
Croatian,All,22,nositi,24,understands,0
Croatian,All,23,nositi,26,produces,0.3846
Croatian,All,23,nositi,26,understands,0
Croatian,All,24,nositi,30,produces,0.4333
Croatian,All,24,nositi,30,understands,0
Croatian,All,25,nositi,30,produces,0.4333
Croatian,All,25,nositi,30,understands,0
Croatian,All,26,nositi,29,produces,0.6552
Croatian,All,26,nositi,29,understands,0
Croatian,All,27,nositi,25,produces,0.6
Croatian,All,27,nositi,25,understands,0
Croatian,All,28,nositi,21,produces,0.619
Croatian,All,28,nositi,21,understands,0
Croatian,All,29,nositi,28,produces,0.5714
Croatian,All,29,nositi,28,understands,0
Croatian,All,30,nositi,28,produces,0.75
Croatian,All,30,nositi,28,understands,0
Czech,All,16,nést,29,produces,0
Czech,All,16,nést,29,understands,0
Czech,All,17,nést,29,produces,0
