language,age,words,n,measure,prop
Arabic (Saudi),8,قلعة,19,produces,0
Arabic (Saudi),8,قلعة,19,understands,0
Arabic (Saudi),9,قلعة,18,produces,0
Arabic (Saudi),9,قلعة,18,understands,0
Arabic (Saudi),10,قلعة,25,produces,0
Arabic (Saudi),10,قلعة,25,understands,0
Arabic (Saudi),11,قلعة,21,produces,0
Arabic (Saudi),11,قلعة,21,understands,0
Arabic (Saudi),12,قلعة,19,produces,0
Arabic (Saudi),12,قلعة,19,understands,0
Arabic (Saudi),13,قلعة,36,produces,0
Arabic (Saudi),13,قلعة,36,understands,0
Arabic (Saudi),14,قلعة,20,produces,0
Arabic (Saudi),14,قلعة,20,understands,0
Arabic (Saudi),15,قلعة,19,produces,0
Arabic (Saudi),15,قلعة,19,understands,0
Arabic (Saudi),16,قلعة,18,produces,0
Arabic (Saudi),16,قلعة,18,understands,0
Dutch,28,kasteel,1,produces,1
Dutch,28,kasteel,1,understands,0
Dutch,29,kasteel,48,produces,0.7292
Dutch,29,kasteel,48,understands,0
Dutch,30,kasteel,21,produces,0.7143
Dutch,30,kasteel,21,understands,0
Dutch,31,kasteel,5,produces,0.6
Dutch,31,kasteel,5,understands,0
Dutch,32,kasteel,5,produces,1
Dutch,32,kasteel,5,understands,0
Dutch,33,kasteel,3,produces,1
Dutch,33,kasteel,3,understands,0
Dutch,34,kasteel,5,produces,1
Dutch,34,kasteel,5,understands,0
Dutch,35,kasteel,3,produces,0.6667
Dutch,35,kasteel,3,understands,0
Dutch,36,kasteel,6,produces,1
Dutch,36,kasteel,6,understands,0
English (British),34,castle,443,produces,0.7156
English (British),34,castle,443,understands,0
English (British),35,castle,3693,produces,0.7257
English (British),35,castle,3693,understands,0
English (British),36,castle,5244,produces,0.7777
English (British),36,castle,5244,understands,0
English (British),37,castle,906,produces,0.7649
English (British),37,castle,906,understands,0
English (British),38,castle,264,produces,0.7083
English (British),38,castle,264,understands,0
English (British),39,castle,99,produces,0.8485
English (British),39,castle,99,understands,0
English (British),40,castle,48,produces,0.6875
English (British),40,castle,48,understands,0
English (British),41,castle,24,produces,0.7917
English (British),41,castle,24,understands,0
English (British),42,castle,23,produces,0.7391
English (British),42,castle,23,understands,0
English (British),43,castle,12,produces,0.75
English (British),43,castle,12,understands,0
English (British),44,castle,9,produces,0.6667
English (British),44,castle,9,understands,0
English (British),45,castle,12,produces,0.75
English (British),45,castle,12,understands,0
English (British),46,castle,5,produces,0.2
English (British),46,castle,5,understands,0
English (British),47,castle,8,produces,0.75
English (British),47,castle,8,understands,0
