language,age,words,n,measure,prop
Mandarin (Taiwanese),16,毛毛蟲,80,produces,0
Mandarin (Taiwanese),16,毛毛蟲,80,understands,0
Mandarin (Taiwanese),17,毛毛蟲,87,produces,0.046
Mandarin (Taiwanese),17,毛毛蟲,87,understands,0
Mandarin (Taiwanese),18,毛毛蟲,84,produces,0.0714
Mandarin (Taiwanese),18,毛毛蟲,84,understands,0
Mandarin (Taiwanese),19,毛毛蟲,84,produces,0.119
Mandarin (Taiwanese),19,毛毛蟲,84,understands,0
Mandarin (Taiwanese),20,毛毛蟲,84,produces,0.1429
Mandarin (Taiwanese),20,毛毛蟲,84,understands,0
Mandarin (Taiwanese),21,毛毛蟲,88,produces,0.1591
Mandarin (Taiwanese),21,毛毛蟲,88,understands,0
Mandarin (Taiwanese),22,毛毛蟲,96,produces,0.2604
Mandarin (Taiwanese),22,毛毛蟲,96,understands,0
Mandarin (Taiwanese),23,毛毛蟲,105,produces,0.3143
Mandarin (Taiwanese),23,毛毛蟲,105,understands,0
Mandarin (Taiwanese),24,毛毛蟲,124,produces,0.3629
Mandarin (Taiwanese),24,毛毛蟲,124,understands,0
Mandarin (Taiwanese),25,毛毛蟲,110,produces,0.3273
Mandarin (Taiwanese),25,毛毛蟲,110,understands,0
Mandarin (Taiwanese),26,毛毛蟲,87,produces,0.3448
Mandarin (Taiwanese),26,毛毛蟲,87,understands,0
Mandarin (Taiwanese),27,毛毛蟲,92,produces,0.4348
Mandarin (Taiwanese),27,毛毛蟲,92,understands,0
Mandarin (Taiwanese),28,毛毛蟲,100,produces,0.54
Mandarin (Taiwanese),28,毛毛蟲,100,understands,0
Mandarin (Taiwanese),29,毛毛蟲,88,produces,0.5227
Mandarin (Taiwanese),29,毛毛蟲,88,understands,0
Mandarin (Taiwanese),30,毛毛蟲,94,produces,0.5426
Mandarin (Taiwanese),30,毛毛蟲,94,understands,0
Mandarin (Taiwanese),31,毛毛蟲,88,produces,0.6932
