language,age,words,n,measure,prop
Mandarin (Beijing),16,嚼,70,produces,0.0429
Mandarin (Beijing),16,嚼,70,understands,0
Mandarin (Beijing),17,嚼,72,produces,0.1528
Mandarin (Beijing),17,嚼,72,understands,0
Mandarin (Beijing),18,嚼,71,produces,0.1268
Mandarin (Beijing),18,嚼,71,understands,0
Mandarin (Beijing),19,嚼,70,produces,0.2714
Mandarin (Beijing),19,嚼,70,understands,0
Mandarin (Beijing),20,嚼,71,produces,0.3662
Mandarin (Beijing),20,嚼,71,understands,0
Mandarin (Beijing),21,嚼,70,produces,0.5714
Mandarin (Beijing),21,嚼,70,understands,0
Mandarin (Beijing),22,嚼,71,produces,0.6338
Mandarin (Beijing),22,嚼,71,understands,0
Mandarin (Beijing),23,嚼,70,produces,0.6857
Mandarin (Beijing),23,嚼,70,understands,0
Mandarin (Beijing),24,嚼,70,produces,0.6714
Mandarin (Beijing),24,嚼,70,understands,0
Mandarin (Beijing),25,嚼,70,produces,0.7857
Mandarin (Beijing),25,嚼,70,understands,0
Mandarin (Beijing),26,嚼,71,produces,0.831
Mandarin (Beijing),26,嚼,71,understands,0
Mandarin (Beijing),27,嚼,70,produces,0.8286
Mandarin (Beijing),27,嚼,70,understands,0
Mandarin (Beijing),28,嚼,70,produces,0.8429
Mandarin (Beijing),28,嚼,70,understands,0
Mandarin (Beijing),29,嚼,70,produces,0.8857
Mandarin (Beijing),29,嚼,70,understands,0
Mandarin (Beijing),30,嚼,70,produces,0.8
Mandarin (Beijing),30,嚼,70,understands,0
Cantonese,16,噍*,46,produces,0
Cantonese,16,噍*,46,understands,0
Cantonese,17,噍*,61,produces,0
Cantonese,17,噍*,61,understands,0
Cantonese,18,噍*,68,produces,0.0147
Cantonese,18,噍*,68,understands,0
Cantonese,19,噍*,66,produces,0.0152
Cantonese,19,噍*,66,understands,0
Cantonese,20,噍*,140,produces,0.05
Cantonese,20,噍*,140,understands,0
Cantonese,21,噍*,120,produces,0.05
Cantonese,21,噍*,120,understands,0
Cantonese,22,噍*,68,produces,0.0147
Cantonese,22,噍*,68,understands,0
Cantonese,23,噍*,74,produces,0.0541
Cantonese,23,噍*,74,understands,0
Cantonese,24,噍*,68,produces,0.0441
Cantonese,24,噍*,68,understands,0
Cantonese,25,噍*,65,produces,0.0462
Cantonese,25,噍*,65,understands,0
Cantonese,26,噍*,68,produces,0.1029
Cantonese,26,噍*,68,understands,0
Cantonese,27,噍*,62,produces,0.0806
Cantonese,27,噍*,62,understands,0
Cantonese,28,噍*,66,produces,0.2273
Cantonese,28,噍*,66,understands,0
Cantonese,29,噍*,72,produces,0.1389
Cantonese,29,噍*,72,understands,0
Cantonese,30,噍*,164,produces,0.1829
Cantonese,30,噍*,164,understands,0
