language,sex,age,words,n,measure,prop
Arabic (Saudi),All,8,صوص,19,produces,0
Arabic (Saudi),All,8,صوص,19,understands,0
Arabic (Saudi),All,9,صوص,18,produces,0
Arabic (Saudi),All,9,صوص,18,understands,0
Arabic (Saudi),All,10,صوص,25,produces,0.04
Arabic (Saudi),All,10,صوص,25,understands,0
Arabic (Saudi),All,11,صوص,21,produces,0
Arabic (Saudi),All,11,صوص,21,understands,0
Arabic (Saudi),All,12,صوص,19,produces,0
Arabic (Saudi),All,12,صوص,19,understands,0
Arabic (Saudi),All,13,صوص,36,produces,0
Arabic (Saudi),All,13,صوص,36,understands,0
Arabic (Saudi),All,14,صوص,20,produces,0
Arabic (Saudi),All,14,صوص,20,understands,0
Arabic (Saudi),All,15,صوص,19,produces,0
Arabic (Saudi),All,15,صوص,19,understands,0
Arabic (Saudi),All,16,صوص,18,produces,0.0556
Arabic (Saudi),All,16,صوص,18,understands,0
Czech,All,16,kuře,29,produces,0
Czech,All,16,kuře,29,understands,0
Czech,All,17,kuře,29,produces,0
Czech,All,17,kuře,29,understands,0
Czech,All,18,kuře,45,produces,0.0222
Czech,All,18,kuře,45,understands,0
Czech,All,19,kuře,27,produces,0.037
Czech,All,19,kuře,27,understands,0
Czech,All,20,kuře,26,produces,0.1923
Czech,All,20,kuře,26,understands,0
Czech,All,21,kuře,34,produces,0.1176
Czech,All,21,kuře,34,understands,0
Czech,All,22,kuře,36,produces,0.2222
Czech,All,22,kuře,36,understands,0
Czech,All,23,kuře,46,produces,0.1957
Czech,All,23,kuře,46,understands,0
Czech,All,24,kuře,35,produces,0.2
Czech,All,24,kuře,35,understands,0
Czech,All,25,kuře,35,produces,0.2571
Czech,All,25,kuře,35,understands,0
Czech,All,26,kuře,22,produces,0.5455
Czech,All,26,kuře,22,understands,0
Czech,All,27,kuře,37,produces,0.5135
Czech,All,27,kuře,37,understands,0
Czech,All,28,kuře,26,produces,0.5769
Czech,All,28,kuře,26,understands,0
Czech,All,29,kuře,39,produces,0.5128
Czech,All,29,kuře,39,understands,0
Czech,All,30,kuře,27,produces,0.7037
Czech,All,30,kuře,27,understands,0
Dutch,All,8,kuiken,7,produces,0
Dutch,All,8,kuiken,7,understands,0
Dutch,All,9,kuiken,94,produces,0
Dutch,All,9,kuiken,94,understands,0
Dutch,All,10,kuiken,128,produces,0
Dutch,All,10,kuiken,128,understands,0.0234
Dutch,All,11,kuiken,9,produces,0
Dutch,All,11,kuiken,9,understands,0
Dutch,All,12,kuiken,7,produces,0
Dutch,All,12,kuiken,7,understands,0
Dutch,All,13,kuiken,6,produces,0
Dutch,All,13,kuiken,6,understands,0
Dutch,All,14,kuiken,35,produces,0
Dutch,All,14,kuiken,35,understands,0.0286
Dutch,All,15,kuiken,6,produces,0
Dutch,All,15,kuiken,6,understands,0.1667
Dutch,All,16,kuiken,5,produces,0
Dutch,All,16,kuiken,5,understands,0
Estonian,All,16,tibu,36,produces,0.1389
Estonian,All,16,tibu,36,understands,0
Estonian,All,17,tibu,89,produces,0.1685
Estonian,All,17,tibu,89,understands,0
Estonian,All,18,tibu,103,produces,0.2816
Estonian,All,18,tibu,103,understands,0
Estonian,All,19,tibu,85,produces,0.4
Estonian,All,19,tibu,85,understands,0
Estonian,All,20,tibu,60,produces,0.45
Estonian,All,20,tibu,60,understands,0
Estonian,All,21,tibu,66,produces,0.3788
Estonian,All,21,tibu,66,understands,0
Estonian,All,22,tibu,76,produces,0.5132
Estonian,All,22,tibu,76,understands,0
Estonian,All,23,tibu,95,produces,0.6105
Estonian,All,23,tibu,95,understands,0
Estonian,All,24,tibu,116,produces,0.6638
Estonian,All,24,tibu,116,understands,0
Estonian,All,25,tibu,82,produces,0.6951
Estonian,All,25,tibu,82,understands,0
Estonian,All,26,tibu,84,produces,0.6071
Estonian,All,26,tibu,84,understands,0
Estonian,All,27,tibu,80,produces,0.7375
Estonian,All,27,tibu,80,understands,0
Estonian,All,28,tibu,92,produces,0.7609
Estonian,All,28,tibu,92,understands,0
Estonian,All,29,tibu,100,produces,0.8
Estonian,All,29,tibu,100,understands,0
Estonian,All,30,tibu,71,produces,0.831
Estonian,All,30,tibu,71,understands,0
Finnish,All,12,tipu,35,produces,0
Finnish,All,12,tipu,35,understands,0
Finnish,All,15,tipu,35,produces,0
Finnish,All,15,tipu,35,understands,0
Finnish,All,18,tipu,35,produces,0.1143
Finnish,All,18,tipu,35,understands,0
Finnish,All,24,tipu,35,produces,0.7143
Finnish,All,24,tipu,35,understands,0
German,All,18,Küken,85,produces,0.0941
German,All,18,Küken,85,understands,0
German,All,19,Küken,79,produces,0.0506
German,All,19,Küken,79,understands,0
German,All,20,Küken,96,produces,0.0833
German,All,20,Küken,96,understands,0
German,All,21,Küken,77,produces,0.1948
German,All,21,Küken,77,understands,0
German,All,22,Küken,95,produces,0.2316
German,All,22,Küken,95,understands,0
German,All,23,Küken,95,produces,0.3368
German,All,23,Küken,95,understands,0
German,All,24,Küken,103,produces,0.2427
German,All,24,Küken,103,understands,0
German,All,25,Küken,95,produces,0.3895
German,All,25,Küken,95,understands,0
