language,sex,age,words,n,measure,prop
Catalan,All,8,nom del nen/a,39,produces,0.0256
Catalan,All,8,nom del nen/a,39,understands,0.4103
Catalan,All,9,nom del nen/a,46,produces,0
Catalan,All,9,nom del nen/a,46,understands,0.3043
Catalan,All,10,nom del nen/a,43,produces,0
Catalan,All,10,nom del nen/a,43,understands,0.4419
Catalan,All,11,nom del nen/a,43,produces,0.0233
Catalan,All,11,nom del nen/a,43,understands,0.4419
Catalan,All,12,nom del nen/a,59,produces,0.0508
Catalan,All,12,nom del nen/a,59,understands,0.3898
Catalan,All,13,nom del nen/a,44,produces,0.0909
Catalan,All,13,nom del nen/a,44,understands,0.5
Catalan,All,14,nom del nen/a,60,produces,0.1833
Catalan,All,14,nom del nen/a,60,understands,0.6
Catalan,All,15,nom del nen/a,70,produces,0.1143
Catalan,All,15,nom del nen/a,70,understands,0.5286
Catalan,All,16,nom del nen/a,73,produces,0.1233
Catalan,All,16,nom del nen/a,73,understands,0.3973
Catalan,All,17,nom del nen/a,110,produces,0.3364
Catalan,All,17,nom del nen/a,110,understands,0.5455
Catalan,All,18,nom del nen/a,102,produces,0.3235
Catalan,All,18,nom del nen/a,102,understands,0.4118
Catalan,All,19,nom del nen/a,45,produces,0.4889
Catalan,All,19,nom del nen/a,45,understands,0
Catalan,All,20,nom del nen/a,56,produces,0.4821
Catalan,All,20,nom del nen/a,56,understands,0
Catalan,All,21,nom del nen/a,58,produces,0.6207
Catalan,All,21,nom del nen/a,58,understands,0
Catalan,All,22,nom del nen/a,50,produces,0.68
Catalan,All,22,nom del nen/a,50,understands,0
Catalan,All,23,nom del nen/a,66,produces,0.697
Catalan,All,23,nom del nen/a,66,understands,0
Catalan,All,24,nom del nen/a,79,produces,0.7595
Catalan,All,24,nom del nen/a,79,understands,0
Catalan,All,25,nom del nen/a,60,produces,0.75
Catalan,All,25,nom del nen/a,60,understands,0
Catalan,All,26,nom del nen/a,65,produces,0.7846
Catalan,All,26,nom del nen/a,65,understands,0
Catalan,All,27,nom del nen/a,63,produces,0.8254
Catalan,All,27,nom del nen/a,63,understands,0
Catalan,All,28,nom del nen/a,81,produces,0.8148
Catalan,All,28,nom del nen/a,81,understands,0
Catalan,All,29,nom del nen/a,50,produces,0.86
Catalan,All,29,nom del nen/a,50,understands,0
Catalan,All,30,nom del nen/a,75,produces,0.92
Catalan,All,30,nom del nen/a,75,understands,0
Dutch,All,8,naamvankind,37,produces,0
Dutch,All,8,naamvankind,37,understands,0.4324
Dutch,All,9,naamvankind,115,produces,0
Dutch,All,9,naamvankind,115,understands,0.3391
Dutch,All,10,naamvankind,196,produces,0.0102
Dutch,All,10,naamvankind,196,understands,0.4847
Dutch,All,11,naamvankind,64,produces,0.0312
Dutch,All,11,naamvankind,64,understands,0.8438
Dutch,All,12,naamvankind,35,produces,0
Dutch,All,12,naamvankind,35,understands,0.6571
Dutch,All,13,naamvankind,18,produces,0
Dutch,All,13,naamvankind,18,understands,0.7222
Dutch,All,14,naamvankind,94,produces,0.0319
Dutch,All,14,naamvankind,94,understands,0.6277
Dutch,All,15,naamvankind,63,produces,0.2063
Dutch,All,15,naamvankind,63,understands,0.8095
Dutch,All,16,naamvankind,71,produces,0.169
Dutch,All,16,naamvankind,71,understands,0.7606
Dutch,All,17,naamvankind,49,produces,0.2449
Dutch,All,17,naamvankind,49,understands,0
Dutch,All,18,naamvankind,68,produces,0.2794
Dutch,All,18,naamvankind,68,understands,0
Dutch,All,19,naamvankind,7,produces,0.7143
Dutch,All,19,naamvankind,7,understands,0
Dutch,All,20,naamvankind,7,produces,0.5714
Dutch,All,20,naamvankind,7,understands,0
Dutch,All,21,naamvankind,7,produces,0.4286
Dutch,All,21,naamvankind,7,understands,0
Dutch,All,22,naamvankind,7,produces,0.7143
Dutch,All,22,naamvankind,7,understands,0
Dutch,All,23,naamvankind,51,produces,0.7843
Dutch,All,23,naamvankind,51,understands,0
Dutch,All,24,naamvankind,31,produces,0.8387
Dutch,All,24,naamvankind,31,understands,0
Dutch,All,25,naamvankind,6,produces,0.8333
Dutch,All,25,naamvankind,6,understands,0
Dutch,All,26,naamvankind,6,produces,0.8333
Dutch,All,26,naamvankind,6,understands,0
Dutch,All,27,naamvankind,5,produces,0.8
Dutch,All,27,naamvankind,5,understands,0
Dutch,All,28,naamvankind,6,produces,1
Dutch,All,28,naamvankind,6,understands,0
Dutch,All,29,naamvankind,23,produces,0.9565
Dutch,All,29,naamvankind,23,understands,0
Dutch,All,30,naamvankind,24,produces,1
Dutch,All,30,naamvankind,24,understands,0
Dutch,All,31,naamvankind,2,produces,1
Dutch,All,31,naamvankind,2,understands,0
Catalan,Female,8,nom del nen/a,17,produces,0.0588
Catalan,Female,8,nom del nen/a,17,understands,0.2941
Catalan,Male,8,nom del nen/a,22,produces,0
Catalan,Male,8,nom del nen/a,22,understands,0.5
Catalan,Female,9,nom del nen/a,19,produces,0
Catalan,Female,9,nom del nen/a,19,understands,0.2105
Catalan,Male,9,nom del nen/a,27,produces,0
Catalan,Male,9,nom del nen/a,27,understands,0.3704
Catalan,Female,10,nom del nen/a,23,produces,0
Catalan,Female,10,nom del nen/a,23,understands,0.3478
Catalan,Male,10,nom del nen/a,20,produces,0
Catalan,Male,10,nom del nen/a,20,understands,0.55
Catalan,Female,11,nom del nen/a,23,produces,0.0435
Catalan,Female,11,nom del nen/a,23,understands,0.5217
Catalan,Male,11,nom del nen/a,20,produces,0
Catalan,Male,11,nom del nen/a,20,understands,0.35
Catalan,Female,12,nom del nen/a,29,produces,0.069
Catalan,Female,12,nom del nen/a,29,understands,0.4828
Catalan,Male,12,nom del nen/a,30,produces,0.0333
Catalan,Male,12,nom del nen/a,30,understands,0.3
Catalan,Female,13,nom del nen/a,18,produces,0.1111
Catalan,Female,13,nom del nen/a,18,understands,0.5
Catalan,Male,13,nom del nen/a,26,produces,0.0769
Catalan,Male,13,nom del nen/a,26,understands,0.5
Catalan,Female,14,nom del nen/a,31,produces,0.1935
Catalan,Female,14,nom del nen/a,31,understands,0.5484
Catalan,Male,14,nom del nen/a,29,produces,0.1724
Catalan,Male,14,nom del nen/a,29,understands,0.6552
Catalan,Female,15,nom del nen/a,35,produces,0.1429
Catalan,Female,15,nom del nen/a,35,understands,0.4571
Catalan,Male,15,nom del nen/a,35,produces,0.0857
Catalan,Male,15,nom del nen/a,35,understands,0.6
Catalan,Female,16,nom del nen/a,33,produces,0.1515
Catalan,Female,16,nom del nen/a,33,understands,0.4848
Catalan,Male,16,nom del nen/a,40,produces,0.1
Catalan,Male,16,nom del nen/a,40,understands,0.325
Catalan,Female,17,nom del nen/a,64,produces,0.4219
Catalan,Female,17,nom del nen/a,64,understands,0.5625
Catalan,Male,17,nom del nen/a,46,produces,0.2174
Catalan,Male,17,nom del nen/a,46,understands,0.5217
Catalan,Female,18,nom del nen/a,47,produces,0.3617
Catalan,Female,18,nom del nen/a,47,understands,0.4468
Catalan,Male,18,nom del nen/a,55,produces,0.2909
Catalan,Male,18,nom del nen/a,55,understands,0.3818
Catalan,Female,19,nom del nen/a,25,produces,0.52
Catalan,Female,19,nom del nen/a,25,understands,0
Catalan,Male,19,nom del nen/a,20,produces,0.45
Catalan,Male,19,nom del nen/a,20,understands,0
Catalan,Female,20,nom del nen/a,28,produces,0.5
Catalan,Female,20,nom del nen/a,28,understands,0
Catalan,Male,20,nom del nen/a,28,produces,0.4643
Catalan,Male,20,nom del nen/a,28,understands,0
Catalan,Female,21,nom del nen/a,32,produces,0.625
Catalan,Female,21,nom del nen/a,32,understands,0
Catalan,Male,21,nom del nen/a,26,produces,0.6154
Catalan,Male,21,nom del nen/a,26,understands,0
Catalan,Female,22,nom del nen/a,26,produces,0.6923
Catalan,Female,22,nom del nen/a,26,understands,0
Catalan,Male,22,nom del nen/a,24,produces,0.6667
Catalan,Male,22,nom del nen/a,24,understands,0
Catalan,Female,23,nom del nen/a,35,produces,0.6857
Catalan,Female,23,nom del nen/a,35,understands,0
Catalan,Male,23,nom del nen/a,31,produces,0.7097
Catalan,Male,23,nom del nen/a,31,understands,0
Catalan,Female,24,nom del nen/a,41,produces,0.7561
Catalan,Female,24,nom del nen/a,41,understands,0
Catalan,Male,24,nom del nen/a,38,produces,0.7632
Catalan,Male,24,nom del nen/a,38,understands,0
Catalan,Female,25,nom del nen/a,30,produces,0.7667
Catalan,Female,25,nom del nen/a,30,understands,0
Catalan,Male,25,nom del nen/a,30,produces,0.7333
Catalan,Male,25,nom del nen/a,30,understands,0
Catalan,Female,26,nom del nen/a,35,produces,0.7714
Catalan,Female,26,nom del nen/a,35,understands,0
Catalan,Male,26,nom del nen/a,30,produces,0.8
