language,age,words,n,measure,prop
Italian,7,pulire,5,produces,0
Italian,7,pulire,5,understands,0.2
Italian,8,pulire,34,produces,0
Italian,8,pulire,34,understands,0.0294
Italian,9,pulire,38,produces,0
Italian,9,pulire,38,understands,0.0263
Italian,10,pulire,53,produces,0
Italian,10,pulire,53,understands,0.0189
Italian,11,pulire,42,produces,0
Italian,11,pulire,42,understands,0.1429
Italian,12,pulire,69,produces,0
Italian,12,pulire,69,understands,0.3043
Italian,13,pulire,48,produces,0
Italian,13,pulire,48,understands,0.4167
Italian,14,pulire,40,produces,0
Italian,14,pulire,40,understands,0.575
Italian,15,pulire,68,produces,0
Italian,15,pulire,68,understands,0.5
Italian,16,pulire,56,produces,0
Italian,16,pulire,56,understands,0.6786
Italian,17,pulire,48,produces,0.0417
Italian,17,pulire,48,understands,0.6667
Italian,18,pulire,75,produces,0.0533
Italian,18,pulire,75,understands,0.44
Italian,19,pulire,58,produces,0.1379
Italian,19,pulire,58,understands,0.2759
Italian,20,pulire,83,produces,0.0964
Italian,20,pulire,83,understands,0.1928
Italian,21,pulire,67,produces,0.2239
Italian,21,pulire,67,understands,0.1642
Italian,22,pulire,77,produces,0.3247
Italian,22,pulire,77,understands,0.2208
Italian,23,pulire,70,produces,0.3714
Italian,23,pulire,70,understands,0.2286
Italian,24,pulire,85,produces,0.4471
Italian,24,pulire,85,understands,0.1529
Italian,25,pulire,39,produces,0.6667
Italian,25,pulire,39,understands,0
Italian,26,pulire,41,produces,0.6585
Italian,26,pulire,41,understands,0
Italian,27,pulire,43,produces,0.6047
Italian,27,pulire,43,understands,0
Italian,28,pulire,44,produces,0.7727
Italian,28,pulire,44,understands,0
Italian,29,pulire,37,produces,0.7297
Italian,29,pulire,37,understands,0
Italian,30,pulire,67,produces,0.791
Italian,30,pulire,67,understands,0
Italian,31,pulire,19,produces,0.9474
Italian,31,pulire,19,understands,0
Italian,32,pulire,23,produces,0.8696
Italian,32,pulire,23,understands,0
Italian,33,pulire,16,produces,0.875
Italian,33,pulire,16,understands,0
Italian,34,pulire,19,produces,0.9474
Italian,34,pulire,19,understands,0
Italian,35,pulire,15,produces,0.9333
Italian,35,pulire,15,understands,0
Italian,36,pulire,21,produces,0.8095
Italian,36,pulire,21,understands,0
Japanese,8,かたづける,6,produces,0
Japanese,8,かたづける,6,understands,0
Japanese,9,かたづける,10,produces,0
Japanese,9,かたづける,10,understands,0
Japanese,10,かたづける,8,produces,0
Japanese,10,かたづける,8,understands,0
Japanese,11,かたづける,87,produces,0
Japanese,11,かたづける,87,understands,0.069
Japanese,12,かたづける,118,produces,0
Japanese,12,かたづける,118,understands,0.0763
Japanese,13,かたづける,23,produces,0
Japanese,13,かたづける,23,understands,0.1304
Japanese,14,かたづける,26,produces,0
Japanese,14,かたづける,26,understands,0.3077
Japanese,15,かたづける,72,produces,0.0417
Japanese,15,かたづける,72,understands,0.4028
Japanese,16,かたづける,46,produces,0.0217
Japanese,16,かたづける,46,understands,0.2609
Japanese,17,かたづける,77,produces,0.0649
Japanese,17,かたづける,77,understands,0.4935
Japanese,18,かたづける,94,produces,0.0532
Japanese,18,かたづける,94,understands,0.2766
Japanese,19,かたづける,35,produces,0.0571
Japanese,19,かたづける,35,understands,0
Japanese,20,かたづける,59,produces,0.1017
Japanese,20,かたづける,59,understands,0
Japanese,21,かたづける,62,produces,0.129
Japanese,21,かたづける,62,understands,0
Japanese,22,かたづける,31,produces,0.0968
Japanese,22,かたづける,31,understands,0
Japanese,23,かたづける,67,produces,0.2239
Japanese,23,かたづける,67,understands,0
Japanese,24,かたづける,33,produces,0.2727
Japanese,24,かたづける,33,understands,0
