language,sex,age,words,n,measure,prop
French (French),All,8,clémentine,54,produces,0
French (French),All,8,clémentine,54,understands,0
French (French),All,9,clémentine,11,produces,0
French (French),All,9,clémentine,11,understands,0
French (French),All,10,clémentine,13,produces,0
French (French),All,10,clémentine,13,understands,0
French (French),All,11,clémentine,42,produces,0
French (French),All,11,clémentine,42,understands,0.0238
French (French),All,12,clémentine,64,produces,0.0312
French (French),All,12,clémentine,64,understands,0.0625
French (French),All,13,clémentine,116,produces,0.0172
French (French),All,13,clémentine,116,understands,0.0517
French (French),All,14,clémentine,40,produces,0.025
French (French),All,14,clémentine,40,understands,0.075
French (French),All,15,clémentine,26,produces,0.1154
French (French),All,15,clémentine,26,understands,0.1538
French (French),All,16,clémentine,98,produces,0.0204
French (French),All,16,clémentine,98,understands,0.0102
French (French),All,17,clémentine,52,produces,0.0192
French (French),All,17,clémentine,52,understands,0
French (French),All,18,clémentine,54,produces,0.2222
French (French),All,18,clémentine,54,understands,0
French (French),All,19,clémentine,42,produces,0.1667
French (French),All,19,clémentine,42,understands,0
French (French),All,20,clémentine,81,produces,0.1358
French (French),All,20,clémentine,81,understands,0
French (French),All,21,clémentine,102,produces,0.2353
French (French),All,21,clémentine,102,understands,0
French (French),All,22,clémentine,103,produces,0.3301
French (French),All,22,clémentine,103,understands,0
French (French),All,23,clémentine,118,produces,0.1864
French (French),All,23,clémentine,118,understands,0
French (French),All,24,clémentine,173,produces,0.2139
French (French),All,24,clémentine,173,understands,0
French (French),All,25,clémentine,87,produces,0.3908
French (French),All,25,clémentine,87,understands,0
French (French),All,26,clémentine,64,produces,0.375
French (French),All,26,clémentine,64,understands,0
French (French),All,27,clémentine,54,produces,0.3519
French (French),All,27,clémentine,54,understands,0
French (French),All,28,clémentine,76,produces,0.3684
French (French),All,28,clémentine,76,understands,0
French (French),All,29,clémentine,67,produces,0.4776
French (French),All,29,clémentine,67,understands,0
French (French),All,30,clémentine,68,produces,0.3382
French (French),All,30,clémentine,68,understands,0
Hebrew,All,11,קלמנטינה,1,produces,0
Hebrew,All,11,קלמנטינה,1,understands,0
Hebrew,All,12,קלמנטינה,4,produces,0
Hebrew,All,12,קלמנטינה,4,understands,0
Hebrew,All,13,קלמנטינה,4,produces,0
Hebrew,All,13,קלמנטינה,4,understands,0.25
Hebrew,All,14,קלמנטינה,1,produces,0
Hebrew,All,14,קלמנטינה,1,understands,0
Hebrew,All,15,קלמנטינה,2,produces,0
Hebrew,All,15,קלמנטינה,2,understands,0
Hebrew,All,16,קלמנטינה,6,produces,0
Hebrew,All,16,קלמנטינה,6,understands,0
Hebrew,All,17,קלמנטינה,3,produces,0
Hebrew,All,17,קלמנטינה,3,understands,0
Hebrew,All,19,קלמנטינה,4,produces,0
