language,sex,age,words,n,measure,prop
French (Quebecois),All,16,compote de pommes,47,produces,0.0638
French (Quebecois),All,16,compote de pommes,47,understands,0
French (Quebecois),All,17,compote de pommes,62,produces,0.0968
French (Quebecois),All,17,compote de pommes,62,understands,0
French (Quebecois),All,18,compote de pommes,99,produces,0.0707
French (Quebecois),All,18,compote de pommes,99,understands,0
French (Quebecois),All,19,compote de pommes,91,produces,0.0879
French (Quebecois),All,19,compote de pommes,91,understands,0
French (Quebecois),All,20,compote de pommes,196,produces,0.1582
French (Quebecois),All,20,compote de pommes,196,understands,0
French (Quebecois),All,21,compote de pommes,109,produces,0.1743
French (Quebecois),All,21,compote de pommes,109,understands,0
French (Quebecois),All,22,compote de pommes,86,produces,0.2558
French (Quebecois),All,22,compote de pommes,86,understands,0
French (Quebecois),All,23,compote de pommes,86,produces,0.3372
French (Quebecois),All,23,compote de pommes,86,understands,0
French (Quebecois),All,24,compote de pommes,132,produces,0.2727
French (Quebecois),All,24,compote de pommes,132,understands,0
French (Quebecois),All,25,compote de pommes,87,produces,0.3678
French (Quebecois),All,25,compote de pommes,87,understands,0
French (Quebecois),All,26,compote de pommes,95,produces,0.3579
French (Quebecois),All,26,compote de pommes,95,understands,0
French (Quebecois),All,27,compote de pommes,74,produces,0.4459
French (Quebecois),All,27,compote de pommes,74,understands,0
French (Quebecois),All,28,compote de pommes,61,produces,0.5574
French (Quebecois),All,28,compote de pommes,61,understands,0
French (Quebecois),All,29,compote de pommes,70,produces,0.6143
French (Quebecois),All,29,compote de pommes,70,understands,0
French (Quebecois),All,30,compote de pommes,100,produces,0.51
French (Quebecois),All,30,compote de pommes,100,understands,0
Latvian,All,17,kompots,27,produces,0
Latvian,All,17,kompots,27,understands,0
Latvian,All,18,kompots,21,produces,0
Latvian,All,18,kompots,21,understands,0
Latvian,All,19,kompots,28,produces,0
Latvian,All,19,kompots,28,understands,0
Latvian,All,20,kompots,34,produces,0.0882
Latvian,All,20,kompots,34,understands,0
Latvian,All,21,kompots,26,produces,0.1154
Latvian,All,21,kompots,26,understands,0
Latvian,All,22,kompots,32,produces,0.0312
Latvian,All,22,kompots,32,understands,0
Latvian,All,23,kompots,25,produces,0
Latvian,All,23,kompots,25,understands,0
Latvian,All,24,kompots,30,produces,0.2
Latvian,All,24,kompots,30,understands,0
Latvian,All,25,kompots,29,produces,0.1034
Latvian,All,25,kompots,29,understands,0
Latvian,All,26,kompots,22,produces,0.1364
Latvian,All,26,kompots,22,understands,0
Latvian,All,27,kompots,18,produces,0.1667
Latvian,All,27,kompots,18,understands,0
Latvian,All,28,kompots,23,produces,0.1304
Latvian,All,28,kompots,23,understands,0
Latvian,All,29,kompots,24,produces,0.25
Latvian,All,29,kompots,24,understands,0
Latvian,All,30,kompots,26,produces,0.2308
Latvian,All,30,kompots,26,understands,0
Latvian,All,31,kompots,19,produces,0.2105
Latvian,All,31,kompots,19,understands,0
Latvian,All,32,kompots,25,produces,0.24
Latvian,All,32,kompots,25,understands,0
Latvian,All,33,kompots,31,produces,0.2258
Latvian,All,33,kompots,31,understands,0
Latvian,All,34,kompots,17,produces,0.4706
Latvian,All,34,kompots,17,understands,0
Latvian,All,35,kompots,21,produces,0.4286
Latvian,All,35,kompots,21,understands,0
Latvian,All,36,kompots,22,produces,0.2273
Latvian,All,36,kompots,22,understands,0
Russian,All,8,компот,59,produces,0
Russian,All,8,компот,59,understands,0
Russian,All,9,компот,42,produces,0
Russian,All,9,компот,42,understands,0.0714
Russian,All,10,компот,63,produces,0
Russian,All,10,компот,63,understands,0.0952
Russian,All,11,компот,71,produces,0
Russian,All,11,компот,71,understands,0.1268
Russian,All,12,компот,76,produces,0
Russian,All,12,компот,76,understands,0.0789
Russian,All,13,компот,73,produces,0.0137
Russian,All,13,компот,73,understands,0.2877
Russian,All,14,компот,79,produces,0.0127
Russian,All,14,компот,79,understands,0.2532
Russian,All,15,компот,81,produces,0.0123
Russian,All,15,компот,81,understands,0.3086
Russian,All,16,компот,81,produces,0.037
Russian,All,16,компот,81,understands,0.4198
Russian,All,17,компот,80,produces,0.0625
Russian,All,17,компот,80,understands,0.4125
Russian,All,18,компот,105,produces,0.0857
Russian,All,18,компот,105,understands,0.2381
Russian,All,19,компот,41,produces,0.122
Russian,All,19,компот,41,understands,0
Russian,All,20,компот,45,produces,0.1333
Russian,All,20,компот,45,understands,0
Russian,All,21,компот,43,produces,0.2093
Russian,All,21,компот,43,understands,0
Russian,All,22,компот,51,produces,0.2941
Russian,All,22,компот,51,understands,0
Russian,All,23,компот,56,produces,0.375
Russian,All,23,компот,56,understands,0
Russian,All,24,компот,61,produces,0.5574
Russian,All,24,компот,61,understands,0
Russian,All,25,компот,66,produces,0.4545
Russian,All,25,компот,66,understands,0
Russian,All,26,компот,52,produces,0.4808
Russian,All,26,компот,52,understands,0
Russian,All,27,компот,60,produces,0.5833
Russian,All,27,компот,60,understands,0
Russian,All,28,компот,60,produces,0.6667
Russian,All,28,компот,60,understands,0
Russian,All,29,компот,58,produces,0.7069
Russian,All,29,компот,58,understands,0
Russian,All,30,компот,77,produces,0.7143
Russian,All,30,компот,77,understands,0
Russian,All,31,компот,61,produces,0.7377
Russian,All,31,компот,61,understands,0
Russian,All,32,компот,55,produces,0.7636
Russian,All,32,компот,55,understands,0
Russian,All,33,компот,55,produces,0.8
Russian,All,33,компот,55,understands,0
Russian,All,34,компот,58,produces,0.7759
Russian,All,34,компот,58,understands,0
Russian,All,35,компот,47,produces,0.7872
Russian,All,35,компот,47,understands,0
Russian,All,36,компот,49,produces,0.8571
Russian,All,36,компот,49,understands,0
French (Quebecois),Female,16,compote de pommes,26,produces,0.0385
French (Quebecois),Female,16,compote de pommes,26,understands,0
French (Quebecois),Male,16,compote de pommes,21,produces,0.0952
French (Quebecois),Male,16,compote de pommes,21,understands,0
French (Quebecois),Female,17,compote de pommes,30,produces,0.1333
French (Quebecois),Female,17,compote de pommes,30,understands,0
French (Quebecois),Male,17,compote de pommes,31,produces,0.0645
French (Quebecois),Male,17,compote de pommes,31,understands,0
French (Quebecois),Female,18,compote de pommes,53,produces,0.0755
French (Quebecois),Female,18,compote de pommes,53,understands,0
French (Quebecois),Male,18,compote de pommes,46,produces,0.0652
French (Quebecois),Male,18,compote de pommes,46,understands,0
French (Quebecois),Female,19,compote de pommes,41,produces,0.0976
French (Quebecois),Female,19,compote de pommes,41,understands,0
French (Quebecois),Male,19,compote de pommes,50,produces,0.08
French (Quebecois),Male,19,compote de pommes,50,understands,0
French (Quebecois),Female,20,compote de pommes,90,produces,0.1778
French (Quebecois),Female,20,compote de pommes,90,understands,0
French (Quebecois),Male,20,compote de pommes,105,produces,0.1429
French (Quebecois),Male,20,compote de pommes,105,understands,0
French (Quebecois),Female,21,compote de pommes,56,produces,0.2143
French (Quebecois),Female,21,compote de pommes,56,understands,0
French (Quebecois),Male,21,compote de pommes,53,produces,0.1321
French (Quebecois),Male,21,compote de pommes,53,understands,0
French (Quebecois),Female,22,compote de pommes,42,produces,0.2857
French (Quebecois),Female,22,compote de pommes,42,understands,0
French (Quebecois),Male,22,compote de pommes,44,produces,0.2273
French (Quebecois),Male,22,compote de pommes,44,understands,0
French (Quebecois),Female,23,compote de pommes,41,produces,0.3659
French (Quebecois),Female,23,compote de pommes,41,understands,0
French (Quebecois),Male,23,compote de pommes,45,produces,0.3111
French (Quebecois),Male,23,compote de pommes,45,understands,0
French (Quebecois),Female,24,compote de pommes,56,produces,0.3036
French (Quebecois),Female,24,compote de pommes,56,understands,0
French (Quebecois),Male,24,compote de pommes,76,produces,0.25
French (Quebecois),Male,24,compote de pommes,76,understands,0
French (Quebecois),Female,25,compote de pommes,41,produces,0.4146
French (Quebecois),Female,25,compote de pommes,41,understands,0
French (Quebecois),Male,25,compote de pommes,45,produces,0.3333
French (Quebecois),Male,25,compote de pommes,45,understands,0
French (Quebecois),Female,26,compote de pommes,46,produces,0.4348
French (Quebecois),Female,26,compote de pommes,46,understands,0
French (Quebecois),Male,26,compote de pommes,49,produces,0.2857
French (Quebecois),Male,26,compote de pommes,49,understands,0
French (Quebecois),Female,27,compote de pommes,40,produces,0.525
French (Quebecois),Female,27,compote de pommes,40,understands,0
French (Quebecois),Male,27,compote de pommes,34,produces,0.3529
French (Quebecois),Male,27,compote de pommes,34,understands,0
French (Quebecois),Female,28,compote de pommes,28,produces,0.6429
French (Quebecois),Female,28,compote de pommes,28,understands,0
French (Quebecois),Male,28,compote de pommes,32,produces,0.5
