language,age,words,n,measure,prop
Italian,18,cucinare,31,produces,0.0645
Italian,18,cucinare,31,understands,0
Italian,19,cucinare,39,produces,0.0256
Italian,19,cucinare,39,understands,0
Italian,20,cucinare,64,produces,0.0625
Italian,20,cucinare,64,understands,0
Italian,21,cucinare,55,produces,0.0727
Italian,21,cucinare,55,understands,0
Italian,22,cucinare,55,produces,0.1818
Italian,22,cucinare,55,understands,0
Italian,23,cucinare,53,produces,0.1887
Italian,23,cucinare,53,understands,0
Italian,24,cucinare,71,produces,0.2394
Italian,24,cucinare,71,understands,0
Italian,25,cucinare,39,produces,0.4615
Italian,25,cucinare,39,understands,0
Italian,26,cucinare,41,produces,0.5122
Italian,26,cucinare,41,understands,0
Italian,27,cucinare,43,produces,0.3953
Italian,27,cucinare,43,understands,0
Italian,28,cucinare,44,produces,0.6364
Italian,28,cucinare,44,understands,0
Italian,29,cucinare,37,produces,0.5405
Italian,29,cucinare,37,understands,0
Italian,30,cucinare,67,produces,0.7463
Italian,30,cucinare,67,understands,0
Italian,31,cucinare,19,produces,0.8421
Italian,31,cucinare,19,understands,0
Italian,32,cucinare,23,produces,0.6957
Italian,32,cucinare,23,understands,0
Italian,33,cucinare,16,produces,0.8125
Italian,33,cucinare,16,understands,0
Italian,34,cucinare,19,produces,0.9474
Italian,34,cucinare,19,understands,0
Italian,35,cucinare,15,produces,0.8
Italian,35,cucinare,15,understands,0
Italian,36,cucinare,21,produces,0.7619
Italian,36,cucinare,21,understands,0
Kigiriama,8,Gita,5,produces,0
Kigiriama,8,Gita,5,understands,0.2
Kigiriama,9,Gita,22,produces,0
Kigiriama,9,Gita,22,understands,0
Kigiriama,10,Gita,5,produces,0
Kigiriama,10,Gita,5,understands,0
Kigiriama,11,Gita,7,produces,0
Kigiriama,11,Gita,7,understands,0.1429
Kigiriama,12,Gita,30,produces,0
Kigiriama,12,Gita,30,understands,0
Kigiriama,13,Gita,18,produces,0
Kigiriama,13,Gita,18,understands,0.0556
Kigiriama,14,Gita,16,produces,0
Kigiriama,14,Gita,16,understands,0.0625
Kigiriama,15,Gita,16,produces,0
Kigiriama,15,Gita,16,understands,0
Kigiriama,16,Gita,1,produces,0
Kigiriama,16,Gita,1,understands,0
Kigiriama,17,Gita,6,produces,0
Kigiriama,17,Gita,6,understands,0
Kigiriama,18,Gita,13,produces,0.0769
Kigiriama,18,Gita,13,understands,0
Kigiriama,19,Gita,8,produces,0
Kigiriama,19,Gita,8,understands,0
Kigiriama,20,Gita,14,produces,0.1429
