language,sex,age,words,n,measure,prop
Arabic (Saudi),All,8,"يكح, أكح/ يكح",24,produces,0.0417
Arabic (Saudi),All,8,"يكح, أكح/ يكح",24,understands,0.0833
Arabic (Saudi),All,9,"يكح, أكح/ يكح",27,produces,0
Arabic (Saudi),All,9,"يكح, أكح/ يكح",27,understands,0.037
Arabic (Saudi),All,10,"يكح, أكح/ يكح",35,produces,0
Arabic (Saudi),All,10,"يكح, أكح/ يكح",35,understands,0.0857
Arabic (Saudi),All,11,"يكح, أكح/ يكح",30,produces,0.0333
Arabic (Saudi),All,11,"يكح, أكح/ يكح",30,understands,0.0333
Arabic (Saudi),All,12,"يكح, أكح/ يكح",30,produces,0.0333
Arabic (Saudi),All,12,"يكح, أكح/ يكح",30,understands,0.1333
Arabic (Saudi),All,13,"يكح, أكح/ يكح",39,produces,0
Arabic (Saudi),All,13,"يكح, أكح/ يكح",39,understands,0
Arabic (Saudi),All,14,"أكح/ يكح, يكح",25,produces,0.04
Arabic (Saudi),All,14,"أكح/ يكح, يكح",25,understands,0.08
Arabic (Saudi),All,15,"يكح, أكح/ يكح",27,produces,0.0741
Arabic (Saudi),All,15,"يكح, أكح/ يكح",27,understands,0.1111
Arabic (Saudi),All,16,"يكح, أكح/ يكح",21,produces,0
Arabic (Saudi),All,16,"يكح, أكح/ يكح",21,understands,0.0952
Cantonese,All,16,咳,46,produces,0.087
Cantonese,All,16,咳,46,understands,0
Cantonese,All,17,咳,61,produces,0.2295
Cantonese,All,17,咳,61,understands,0
Cantonese,All,18,咳,68,produces,0.25
Cantonese,All,18,咳,68,understands,0
Cantonese,All,19,咳,66,produces,0.3182
Cantonese,All,19,咳,66,understands,0
Cantonese,All,20,咳,140,produces,0.4429
Cantonese,All,20,咳,140,understands,0
Cantonese,All,21,咳,120,produces,0.4583
Cantonese,All,21,咳,120,understands,0
Cantonese,All,22,咳,68,produces,0.4706
Cantonese,All,22,咳,68,understands,0
Cantonese,All,23,咳,74,produces,0.5405
Cantonese,All,23,咳,74,understands,0
Cantonese,All,24,咳,68,produces,0.7059
Cantonese,All,24,咳,68,understands,0
Cantonese,All,25,咳,65,produces,0.8
Cantonese,All,25,咳,65,understands,0
Cantonese,All,26,咳,68,produces,0.8235
Cantonese,All,26,咳,68,understands,0
Cantonese,All,27,咳,62,produces,0.9355
Cantonese,All,27,咳,62,understands,0
Cantonese,All,28,咳,66,produces,0.8636
Cantonese,All,28,咳,66,understands,0
Cantonese,All,29,咳,72,produces,0.8889
Cantonese,All,29,咳,72,understands,0
Cantonese,All,30,咳,164,produces,0.8841
Cantonese,All,30,咳,164,understands,0
Catalan,All,16,tossir,24,produces,0
Catalan,All,16,tossir,24,understands,0
Catalan,All,17,tossir,36,produces,0.0556
Catalan,All,17,tossir,36,understands,0
Catalan,All,18,tossir,51,produces,0
Catalan,All,18,tossir,51,understands,0
Catalan,All,19,tossir,45,produces,0.0444
Catalan,All,19,tossir,45,understands,0
Catalan,All,20,tossir,56,produces,0
Catalan,All,20,tossir,56,understands,0
Catalan,All,21,tossir,58,produces,0.1379
Catalan,All,21,tossir,58,understands,0
Catalan,All,22,tossir,50,produces,0.26
Catalan,All,22,tossir,50,understands,0
Catalan,All,23,tossir,66,produces,0.1515
Catalan,All,23,tossir,66,understands,0
Catalan,All,24,tossir,79,produces,0.2911
Catalan,All,24,tossir,79,understands,0
Catalan,All,25,tossir,60,produces,0.35
Catalan,All,25,tossir,60,understands,0
Catalan,All,26,tossir,65,produces,0.3846
Catalan,All,26,tossir,65,understands,0
Catalan,All,27,tossir,63,produces,0.4127
Catalan,All,27,tossir,63,understands,0
Catalan,All,28,tossir,81,produces,0.4938
Catalan,All,28,tossir,81,understands,0
Catalan,All,29,tossir,50,produces,0.5
Catalan,All,29,tossir,50,understands,0
Catalan,All,30,tossir,75,produces,0.6267
Catalan,All,30,tossir,75,understands,0
Finnish,All,12,yskittää,35,produces,0
Finnish,All,12,yskittää,35,understands,0
