language,sex,age,words,n,measure,prop
Cantonese,All,16,顏色筆,46,produces,0
Cantonese,All,16,顏色筆,46,understands,0
Cantonese,All,17,顏色筆,61,produces,0
Cantonese,All,17,顏色筆,61,understands,0
Cantonese,All,18,顏色筆,68,produces,0
Cantonese,All,18,顏色筆,68,understands,0
Cantonese,All,19,顏色筆,66,produces,0
Cantonese,All,19,顏色筆,66,understands,0
Cantonese,All,20,顏色筆,140,produces,0.0357
Cantonese,All,20,顏色筆,140,understands,0
Cantonese,All,21,顏色筆,120,produces,0.025
Cantonese,All,21,顏色筆,120,understands,0
Cantonese,All,22,顏色筆,68,produces,0.0588
Cantonese,All,22,顏色筆,68,understands,0
Cantonese,All,23,顏色筆,74,produces,0.0676
Cantonese,All,23,顏色筆,74,understands,0
Cantonese,All,24,顏色筆,68,produces,0.1176
Cantonese,All,24,顏色筆,68,understands,0
Cantonese,All,25,顏色筆,65,produces,0.1231
Cantonese,All,25,顏色筆,65,understands,0
Cantonese,All,26,顏色筆,68,produces,0.1765
Cantonese,All,26,顏色筆,68,understands,0
Cantonese,All,27,顏色筆,62,produces,0.2097
Cantonese,All,27,顏色筆,62,understands,0
Cantonese,All,28,顏色筆,66,produces,0.2727
Cantonese,All,28,顏色筆,66,understands,0
Cantonese,All,29,顏色筆,72,produces,0.4306
Cantonese,All,29,顏色筆,72,understands,0
Cantonese,All,30,顏色筆,164,produces,0.5
Cantonese,All,30,顏色筆,164,understands,0
Croatian,All,16,"bojica, flomaster",13,produces,0
Croatian,All,16,"bojica, flomaster",13,understands,0
Croatian,All,17,"bojica, flomaster",25,produces,0.02
Croatian,All,17,"bojica, flomaster",25,understands,0
Croatian,All,18,"bojica, flomaster",22,produces,0.0682
Croatian,All,18,"bojica, flomaster",22,understands,0
Croatian,All,19,"bojica, flomaster",21,produces,0.0238
Croatian,All,19,"bojica, flomaster",21,understands,0
Croatian,All,20,"bojica, flomaster",26,produces,0.1731
Croatian,All,20,"bojica, flomaster",26,understands,0
Croatian,All,21,"bojica, flomaster",29,produces,0.0862
Croatian,All,21,"bojica, flomaster",29,understands,0
Croatian,All,22,"bojica, flomaster",24,produces,0.2917
Croatian,All,22,"bojica, flomaster",24,understands,0
Croatian,All,23,"bojica, flomaster",26,produces,0.3077
Croatian,All,23,"bojica, flomaster",26,understands,0
Croatian,All,24,"bojica, flomaster",30,produces,0.3167
Croatian,All,24,"bojica, flomaster",30,understands,0
Croatian,All,25,"bojica, flomaster",30,produces,0.2333
Croatian,All,25,"bojica, flomaster",30,understands,0
Croatian,All,26,"bojica, flomaster",29,produces,0.3793
Croatian,All,26,"bojica, flomaster",29,understands,0
Croatian,All,27,"bojica, flomaster",25,produces,0.52
Croatian,All,27,"bojica, flomaster",25,understands,0
Croatian,All,28,"bojica, flomaster",21,produces,0.5714
Croatian,All,28,"bojica, flomaster",21,understands,0
Croatian,All,29,"bojica, flomaster",28,produces,0.3571
Croatian,All,29,"bojica, flomaster",28,understands,0
Croatian,All,30,"bojica, flomaster",28,produces,0.5714
Croatian,All,30,"bojica, flomaster",28,understands,0
Dutch,All,16,krijt,4,produces,0
Dutch,All,16,krijt,4,understands,0
Dutch,All,17,krijt,49,produces,0
Dutch,All,17,krijt,49,understands,0
Dutch,All,18,krijt,68,produces,0
Dutch,All,18,krijt,68,understands,0
Dutch,All,19,krijt,7,produces,0
Dutch,All,19,krijt,7,understands,0
Dutch,All,20,krijt,7,produces,0.2857
Dutch,All,20,krijt,7,understands,0
Dutch,All,21,krijt,7,produces,0.1429
Dutch,All,21,krijt,7,understands,0
Dutch,All,22,krijt,7,produces,0.2857
Dutch,All,22,krijt,7,understands,0
Dutch,All,23,krijt,51,produces,0.1961
Dutch,All,23,krijt,51,understands,0
Dutch,All,24,krijt,31,produces,0.2903
Dutch,All,24,krijt,31,understands,0
Dutch,All,25,krijt,6,produces,0.5
Dutch,All,25,krijt,6,understands,0
Dutch,All,26,krijt,6,produces,0.1667
Dutch,All,26,krijt,6,understands,0
Dutch,All,27,krijt,5,produces,0.8
Dutch,All,27,krijt,5,understands,0
Dutch,All,28,krijt,6,produces,0.6667
Dutch,All,28,krijt,6,understands,0
Dutch,All,29,krijt,23,produces,0.6087
Dutch,All,29,krijt,23,understands,0
Dutch,All,30,krijt,24,produces,0.7083
Dutch,All,30,krijt,24,understands,0
Dutch,All,31,krijt,2,produces,1
Dutch,All,31,krijt,2,understands,0
English (American),All,16,crayon,930,produces,0.0441
English (American),All,16,crayon,930,understands,0
English (American),All,17,crayon,458,produces,0.0873
English (American),All,17,crayon,458,understands,0
English (American),All,18,crayon,641,produces,0.1186
English (American),All,18,crayon,641,understands,0
English (American),All,19,crayon,570,produces,0.2509
English (American),All,19,crayon,570,understands,0
English (American),All,20,crayon,537,produces,0.216
English (American),All,20,crayon,537,understands,0
English (American),All,21,crayon,366,produces,0.3251
English (American),All,21,crayon,366,understands,0
English (American),All,22,crayon,454,produces,0.4163
English (American),All,22,crayon,454,understands,0
English (American),All,23,crayon,470,produces,0.4723
English (American),All,23,crayon,470,understands,0
English (American),All,24,crayon,985,produces,0.5442
English (American),All,24,crayon,985,understands,0
English (American),All,25,crayon,757,produces,0.6486
English (American),All,25,crayon,757,understands,0
English (American),All,26,crayon,435,produces,0.6575
English (American),All,26,crayon,435,understands,0
English (American),All,27,crayon,361,produces,0.6787
English (American),All,27,crayon,361,understands,0
English (American),All,28,crayon,954,produces,0.8449
English (American),All,28,crayon,954,understands,0
