language,sex,age,words,n,measure,prop
Catalan,All,16,croissant,24,produces,0
Catalan,All,16,croissant,24,understands,0
Catalan,All,17,croissant,36,produces,0
Catalan,All,17,croissant,36,understands,0
Catalan,All,18,croissant,51,produces,0.0392
Catalan,All,18,croissant,51,understands,0
Catalan,All,19,croissant,45,produces,0.0667
Catalan,All,19,croissant,45,understands,0
Catalan,All,20,croissant,56,produces,0.0536
Catalan,All,20,croissant,56,understands,0
Catalan,All,21,croissant,58,produces,0.1897
Catalan,All,21,croissant,58,understands,0
Catalan,All,22,croissant,50,produces,0.24
Catalan,All,22,croissant,50,understands,0
Catalan,All,23,croissant,66,produces,0.1364
Catalan,All,23,croissant,66,understands,0
Catalan,All,24,croissant,79,produces,0.4177
Catalan,All,24,croissant,79,understands,0
Catalan,All,25,croissant,60,produces,0.4167
Catalan,All,25,croissant,60,understands,0
Catalan,All,26,croissant,65,produces,0.4615
Catalan,All,26,croissant,65,understands,0
Catalan,All,27,croissant,63,produces,0.6349
Catalan,All,27,croissant,63,understands,0
Catalan,All,28,croissant,81,produces,0.4815
Catalan,All,28,croissant,81,understands,0
Catalan,All,29,croissant,50,produces,0.58
Catalan,All,29,croissant,50,understands,0
Catalan,All,30,croissant,75,produces,0.68
Catalan,All,30,croissant,75,understands,0
Hungarian,All,16,kifli,21,produces,0.1905
Hungarian,All,16,kifli,21,understands,0
Hungarian,All,17,kifli,18,produces,0.2222
Hungarian,All,17,kifli,18,understands,0
Hungarian,All,18,kifli,18,produces,0.2222
Hungarian,All,18,kifli,18,understands,0
Hungarian,All,19,kifli,26,produces,0.3846
Hungarian,All,19,kifli,26,understands,0
Hungarian,All,20,kifli,18,produces,0.3889
Hungarian,All,20,kifli,18,understands,0
Hungarian,All,21,kifli,36,produces,0.4722
Hungarian,All,21,kifli,36,understands,0
Hungarian,All,22,kifli,27,produces,0.5926
Hungarian,All,22,kifli,27,understands,0
Hungarian,All,23,kifli,18,produces,0.6667
Hungarian,All,23,kifli,18,understands,0
Hungarian,All,24,kifli,38,produces,0.7105
Hungarian,All,24,kifli,38,understands,0
Hungarian,All,25,kifli,43,produces,0.7674
Hungarian,All,25,kifli,43,understands,0
Hungarian,All,26,kifli,23,produces,0.7391
Hungarian,All,26,kifli,23,understands,0
Hungarian,All,27,kifli,26,produces,0.8077
Hungarian,All,27,kifli,26,understands,0
Hungarian,All,28,kifli,30,produces,0.8333
Hungarian,All,28,kifli,30,understands,0
Hungarian,All,29,kifli,12,produces,0.8333
Hungarian,All,29,kifli,12,understands,0
Hungarian,All,30,kifli,18,produces,0.8333
Hungarian,All,30,kifli,18,understands,0
Catalan,Female,16,croissant,8,produces,0
Catalan,Female,16,croissant,8,understands,0
Catalan,Male,16,croissant,16,produces,0
Catalan,Male,16,croissant,16,understands,0
Catalan,Female,17,croissant,22,produces,0
Catalan,Female,17,croissant,22,understands,0
Catalan,Male,17,croissant,14,produces,0
Catalan,Male,17,croissant,14,understands,0
Catalan,Female,18,croissant,22,produces,0.0909
Catalan,Female,18,croissant,22,understands,0
Catalan,Male,18,croissant,29,produces,0
Catalan,Male,18,croissant,29,understands,0
Catalan,Female,19,croissant,25,produces,0.08
Catalan,Female,19,croissant,25,understands,0
Catalan,Male,19,croissant,20,produces,0.05
Catalan,Male,19,croissant,20,understands,0
Catalan,Female,20,croissant,28,produces,0.0714
Catalan,Female,20,croissant,28,understands,0
Catalan,Male,20,croissant,28,produces,0.0357
Catalan,Male,20,croissant,28,understands,0
Catalan,Female,21,croissant,32,produces,0.1875
Catalan,Female,21,croissant,32,understands,0
Catalan,Male,21,croissant,26,produces,0.1923
Catalan,Male,21,croissant,26,understands,0
