language,age,words,n,measure,prop
Italian,7,tazza,5,produces,0
Italian,7,tazza,5,understands,0
Italian,8,tazza,34,produces,0
Italian,8,tazza,34,understands,0.0588
Italian,9,tazza,38,produces,0
Italian,9,tazza,38,understands,0
Italian,10,tazza,53,produces,0
Italian,10,tazza,53,understands,0
Italian,11,tazza,42,produces,0
Italian,11,tazza,42,understands,0.1429
Italian,12,tazza,69,produces,0
Italian,12,tazza,69,understands,0.1884
Italian,13,tazza,48,produces,0
Italian,13,tazza,48,understands,0.2083
Italian,14,tazza,40,produces,0.025
Italian,14,tazza,40,understands,0.225
Italian,15,tazza,68,produces,0.0294
Italian,15,tazza,68,understands,0.25
Italian,16,tazza,56,produces,0
Italian,16,tazza,56,understands,0.2857
Italian,17,tazza,48,produces,0.0833
Italian,17,tazza,48,understands,0.4375
Italian,18,tazza,75,produces,0.0533
Italian,18,tazza,75,understands,0.32
Italian,19,tazza,58,produces,0.1207
Italian,19,tazza,58,understands,0.1724
Italian,20,tazza,83,produces,0.1325
Italian,20,tazza,83,understands,0.1566
Italian,21,tazza,67,produces,0.2836
Italian,21,tazza,67,understands,0.1642
Italian,22,tazza,77,produces,0.3506
Italian,22,tazza,77,understands,0.1558
Italian,23,tazza,70,produces,0.3143
Italian,23,tazza,70,understands,0.1714
Italian,24,tazza,85,produces,0.5412
Italian,24,tazza,85,understands,0.1176
Italian,25,tazza,39,produces,0.6154
Italian,25,tazza,39,understands,0
Italian,26,tazza,41,produces,0.5366
Italian,26,tazza,41,understands,0
Italian,27,tazza,43,produces,0.5581
Italian,27,tazza,43,understands,0
Italian,28,tazza,44,produces,0.75
Italian,28,tazza,44,understands,0
Italian,29,tazza,37,produces,0.7568
Italian,29,tazza,37,understands,0
Italian,30,tazza,67,produces,0.8507
Italian,30,tazza,67,understands,0
Italian,31,tazza,19,produces,0.8947
Italian,31,tazza,19,understands,0
Italian,32,tazza,23,produces,0.8696
Italian,32,tazza,23,understands,0
Italian,33,tazza,16,produces,0.875
Italian,33,tazza,16,understands,0
Italian,34,tazza,19,produces,0.9474
Italian,34,tazza,19,understands,0
Italian,35,tazza,15,produces,0.9333
Italian,35,tazza,15,understands,0
