language,sex,age,words,n,measure,prop
British Sign Language,All,8,cupboard,4,produces,0
British Sign Language,All,8,cupboard,4,understands,0
British Sign Language,All,9,cupboard,4,produces,0
British Sign Language,All,9,cupboard,4,understands,0
British Sign Language,All,10,cupboard,4,produces,0
British Sign Language,All,10,cupboard,4,understands,0
British Sign Language,All,11,cupboard,6,produces,0
British Sign Language,All,11,cupboard,6,understands,0
British Sign Language,All,12,cupboard,6,produces,0
British Sign Language,All,12,cupboard,6,understands,0
British Sign Language,All,13,cupboard,6,produces,0
British Sign Language,All,13,cupboard,6,understands,0
British Sign Language,All,14,cupboard,7,produces,0
British Sign Language,All,14,cupboard,7,understands,0.1429
British Sign Language,All,15,cupboard,6,produces,0
British Sign Language,All,15,cupboard,6,understands,0.1667
British Sign Language,All,16,cupboard,7,produces,0
British Sign Language,All,16,cupboard,7,understands,0.1429
British Sign Language,All,17,cupboard,7,produces,0
British Sign Language,All,17,cupboard,7,understands,0
British Sign Language,All,18,cupboard,8,produces,0.125
British Sign Language,All,18,cupboard,8,understands,0.25
British Sign Language,All,19,cupboard,8,produces,0
British Sign Language,All,19,cupboard,8,understands,0.125
British Sign Language,All,20,cupboard,11,produces,0.0909
British Sign Language,All,20,cupboard,11,understands,0.3636
British Sign Language,All,21,cupboard,5,produces,0
British Sign Language,All,21,cupboard,5,understands,0
British Sign Language,All,22,cupboard,6,produces,0.1667
British Sign Language,All,22,cupboard,6,understands,0.3333
British Sign Language,All,23,cupboard,7,produces,0.2857
British Sign Language,All,23,cupboard,7,understands,0.2857
British Sign Language,All,24,cupboard,5,produces,0.2
British Sign Language,All,24,cupboard,5,understands,0.2
British Sign Language,All,25,cupboard,7,produces,0.1429
British Sign Language,All,25,cupboard,7,understands,0.2857
British Sign Language,All,26,cupboard,6,produces,0.6667
British Sign Language,All,26,cupboard,6,understands,0.6667
British Sign Language,All,27,cupboard,6,produces,0
British Sign Language,All,27,cupboard,6,understands,0
British Sign Language,All,28,cupboard,3,produces,0
British Sign Language,All,28,cupboard,3,understands,0
British Sign Language,All,29,cupboard,7,produces,0.4286
British Sign Language,All,29,cupboard,7,understands,0.4286
British Sign Language,All,30,cupboard,5,produces,0.2
British Sign Language,All,30,cupboard,5,understands,0.2
British Sign Language,All,31,cupboard,2,produces,0
