language,sex,age,words,n,measure,prop
American Sign Language,All,8,DADDY,1,produces,0
American Sign Language,All,8,DADDY,1,understands,0
American Sign Language,All,9,FATHER,4,produces,0
American Sign Language,All,9,FATHER,4,understands,0.5
American Sign Language,All,10,"FATHER, DADDY",5,produces,0.2
American Sign Language,All,10,"FATHER, DADDY",5,understands,0
American Sign Language,All,11,"FATHER, DADDY",3,produces,0.25
American Sign Language,All,11,"FATHER, DADDY",3,understands,0.25
American Sign Language,All,12,"FATHER, DADDY",4,produces,0.25
American Sign Language,All,12,"FATHER, DADDY",4,understands,0.5
American Sign Language,All,13,DADDY,4,produces,0.8
American Sign Language,All,13,DADDY,4,understands,0
American Sign Language,All,14,DADDY,1,produces,1
American Sign Language,All,14,DADDY,1,understands,0
American Sign Language,All,15,"DADDY, FATHER",3,produces,0.75
American Sign Language,All,15,"DADDY, FATHER",3,understands,0.25
American Sign Language,All,16,FATHER,2,produces,1
American Sign Language,All,16,FATHER,2,understands,1
American Sign Language,All,17,"FATHER, DADDY",5,produces,0.6
American Sign Language,All,17,"FATHER, DADDY",5,understands,0.2
American Sign Language,All,18,"FATHER, DADDY",11,produces,0.8182
American Sign Language,All,18,"FATHER, DADDY",11,understands,0.6364
American Sign Language,All,19,"FATHER, DADDY",6,produces,0.5714
American Sign Language,All,19,"FATHER, DADDY",6,understands,0.5714
American Sign Language,All,20,"FATHER, DADDY",3,produces,0.25
American Sign Language,All,20,"FATHER, DADDY",3,understands,0.5
American Sign Language,All,21,"FATHER, DADDY",4,produces,0.6
American Sign Language,All,21,"FATHER, DADDY",4,understands,0.6
American Sign Language,All,22,"FATHER, DADDY",10,produces,0.5833
American Sign Language,All,22,"FATHER, DADDY",10,understands,0.5
American Sign Language,All,23,"FATHER, DADDY",5,produces,0.8333
American Sign Language,All,23,"FATHER, DADDY",5,understands,0.3333
American Sign Language,All,24,"FATHER, DADDY",9,produces,0.1667
American Sign Language,All,24,"FATHER, DADDY",9,understands,0.25
American Sign Language,All,25,"FATHER, DADDY",13,produces,0.5385
American Sign Language,All,25,"FATHER, DADDY",13,understands,0.7692
American Sign Language,All,26,FATHER,4,produces,0.75
American Sign Language,All,26,FATHER,4,understands,1
American Sign Language,All,27,"FATHER, DADDY",7,produces,0.625
American Sign Language,All,27,"FATHER, DADDY",7,understands,0.375
American Sign Language,All,28,"FATHER, DADDY",7,produces,0.875
American Sign Language,All,28,"FATHER, DADDY",7,understands,0.5
American Sign Language,All,29,FATHER,6,produces,0.8333
American Sign Language,All,29,FATHER,6,understands,1
American Sign Language,All,30,"FATHER, DADDY",7,produces,0.875
American Sign Language,All,30,"FATHER, DADDY",7,understands,0.5
American Sign Language,All,31,"FATHER, DADDY",9,produces,0.5
American Sign Language,All,31,"FATHER, DADDY",9,understands,0.4
American Sign Language,All,32,"FATHER, DADDY",15,produces,0.7647
American Sign Language,All,32,"FATHER, DADDY",15,understands,0.4118
American Sign Language,All,33,"FATHER, DADDY",6,produces,0.8333
American Sign Language,All,33,"FATHER, DADDY",6,understands,0.6667
American Sign Language,All,34,"FATHER, DADDY",7,produces,0.75
American Sign Language,All,34,"FATHER, DADDY",7,understands,0.625
American Sign Language,All,35,"FATHER, DADDY",7,produces,0.5714
American Sign Language,All,35,"FATHER, DADDY",7,understands,0.5714
American Sign Language,All,36,FATHER,3,produces,0.3333
American Sign Language,All,36,FATHER,3,understands,0.6667
Arabic (Saudi),All,8,بابا,24,produces,0.125
Arabic (Saudi),All,8,بابا,24,understands,0.125
Arabic (Saudi),All,9,بابا,27,produces,0.5185
Arabic (Saudi),All,9,بابا,27,understands,0.2963
Arabic (Saudi),All,10,بابا,35,produces,0.3429
Arabic (Saudi),All,10,بابا,35,understands,0.2571
Arabic (Saudi),All,11,بابا,30,produces,0.3667
Arabic (Saudi),All,11,بابا,30,understands,0.2333
Arabic (Saudi),All,12,بابا,30,produces,0.5667
Arabic (Saudi),All,12,بابا,30,understands,0.3333
Arabic (Saudi),All,13,بابا,39,produces,0.4103
Arabic (Saudi),All,13,بابا,39,understands,0.0769
Arabic (Saudi),All,14,بابا,25,produces,0.48
Arabic (Saudi),All,14,بابا,25,understands,0.2
Arabic (Saudi),All,15,بابا,27,produces,0.7407
Arabic (Saudi),All,15,بابا,27,understands,0.2593
Arabic (Saudi),All,16,بابا,21,produces,0.6667
Arabic (Saudi),All,16,بابا,21,understands,0.1429
British Sign Language,All,8,daddy,4,produces,0
British Sign Language,All,8,daddy,4,understands,0
British Sign Language,All,9,daddy,4,produces,0
British Sign Language,All,9,daddy,4,understands,0.25
British Sign Language,All,10,daddy,4,produces,0.25
British Sign Language,All,10,daddy,4,understands,0.25
British Sign Language,All,11,daddy,6,produces,0
British Sign Language,All,11,daddy,6,understands,0.6667
British Sign Language,All,12,daddy,6,produces,0.1667
British Sign Language,All,12,daddy,6,understands,0.8333
British Sign Language,All,13,daddy,6,produces,0
British Sign Language,All,13,daddy,6,understands,0.3333
British Sign Language,All,14,daddy,7,produces,0.7143
British Sign Language,All,14,daddy,7,understands,0.8571
British Sign Language,All,15,daddy,6,produces,0.6667
British Sign Language,All,15,daddy,6,understands,0.8333
British Sign Language,All,16,daddy,7,produces,0.4286
British Sign Language,All,16,daddy,7,understands,0.8571
British Sign Language,All,17,daddy,7,produces,0.4286
British Sign Language,All,17,daddy,7,understands,0.5714
British Sign Language,All,18,daddy,8,produces,0.75
British Sign Language,All,18,daddy,8,understands,0.875
British Sign Language,All,19,daddy,8,produces,0.375
British Sign Language,All,19,daddy,8,understands,0.875
British Sign Language,All,20,daddy,11,produces,1
British Sign Language,All,20,daddy,11,understands,1
British Sign Language,All,21,daddy,5,produces,0.6
British Sign Language,All,21,daddy,5,understands,0.8
British Sign Language,All,22,daddy,6,produces,0.5
British Sign Language,All,22,daddy,6,understands,0.5
British Sign Language,All,23,daddy,7,produces,0.8571
British Sign Language,All,23,daddy,7,understands,0.8571
British Sign Language,All,24,daddy,5,produces,0.8
British Sign Language,All,24,daddy,5,understands,0.8
British Sign Language,All,25,daddy,7,produces,0.8571
British Sign Language,All,25,daddy,7,understands,1
British Sign Language,All,26,daddy,6,produces,1
British Sign Language,All,26,daddy,6,understands,1
British Sign Language,All,27,daddy,6,produces,0.8333
British Sign Language,All,27,daddy,6,understands,1
British Sign Language,All,28,daddy,3,produces,1
British Sign Language,All,28,daddy,3,understands,1
British Sign Language,All,29,daddy,7,produces,1
British Sign Language,All,29,daddy,7,understands,1
British Sign Language,All,30,daddy,5,produces,1
British Sign Language,All,30,daddy,5,understands,1
British Sign Language,All,31,daddy,2,produces,1
British Sign Language,All,31,daddy,2,understands,1
British Sign Language,All,32,daddy,6,produces,1
British Sign Language,All,32,daddy,6,understands,1
British Sign Language,All,33,daddy,5,produces,1
British Sign Language,All,33,daddy,5,understands,1
British Sign Language,All,34,daddy,2,produces,1
British Sign Language,All,34,daddy,2,understands,1
British Sign Language,All,35,daddy,2,produces,1
British Sign Language,All,35,daddy,2,understands,1
British Sign Language,All,36,daddy,3,produces,1
British Sign Language,All,36,daddy,3,understands,1
Cantonese,All,16,爸爸/爹哋,46,produces,0.8696
Cantonese,All,16,爸爸/爹哋,46,understands,0
Cantonese,All,17,爸爸/爹哋,61,produces,0.918
Cantonese,All,17,爸爸/爹哋,61,understands,0
Cantonese,All,18,爸爸/爹哋,68,produces,0.9118
Cantonese,All,18,爸爸/爹哋,68,understands,0
Cantonese,All,19,爸爸/爹哋,66,produces,0.8939
Cantonese,All,19,爸爸/爹哋,66,understands,0
Cantonese,All,20,爸爸/爹哋,140,produces,0.9857
Cantonese,All,20,爸爸/爹哋,140,understands,0
Cantonese,All,21,爸爸/爹哋,120,produces,0.975
Cantonese,All,21,爸爸/爹哋,120,understands,0
Cantonese,All,22,爸爸/爹哋,68,produces,0.9853
Cantonese,All,22,爸爸/爹哋,68,understands,0
Cantonese,All,23,爸爸/爹哋,74,produces,0.9865
Cantonese,All,23,爸爸/爹哋,74,understands,0
Cantonese,All,24,爸爸/爹哋,68,produces,0.9853
Cantonese,All,24,爸爸/爹哋,68,understands,0
Cantonese,All,25,爸爸/爹哋,65,produces,1
Cantonese,All,25,爸爸/爹哋,65,understands,0
Cantonese,All,26,爸爸/爹哋,68,produces,1
Cantonese,All,26,爸爸/爹哋,68,understands,0
Cantonese,All,27,爸爸/爹哋,62,produces,1
Cantonese,All,27,爸爸/爹哋,62,understands,0
Cantonese,All,28,爸爸/爹哋,66,produces,1
Cantonese,All,28,爸爸/爹哋,66,understands,0
Cantonese,All,29,爸爸/爹哋,72,produces,1
Cantonese,All,29,爸爸/爹哋,72,understands,0
Cantonese,All,30,爸爸/爹哋,164,produces,1
Cantonese,All,30,爸爸/爹哋,164,understands,0
Catalan,All,8,pare/papa/papi,39,produces,0.2564
Catalan,All,8,pare/papa/papi,39,understands,0.641
Catalan,All,9,pare/papa/papi,46,produces,0.1739
Catalan,All,9,pare/papa/papi,46,understands,0.7174
Catalan,All,10,pare/papa/papi,43,produces,0.3023
Catalan,All,10,pare/papa/papi,43,understands,0.8605
Catalan,All,11,pare/papa/papi,43,produces,0.3953
Catalan,All,11,pare/papa/papi,43,understands,0.8372
Catalan,All,12,pare/papa/papi,59,produces,0.5254
Catalan,All,12,pare/papa/papi,59,understands,0.9153
Catalan,All,13,pare/papa/papi,44,produces,0.5682
Catalan,All,13,pare/papa/papi,44,understands,0.9545
Catalan,All,14,pare/papa/papi,60,produces,0.7
Catalan,All,14,pare/papa/papi,60,understands,0.9833
Catalan,All,15,pare/papa/papi,70,produces,0.6857
Catalan,All,15,pare/papa/papi,70,understands,0.9571
Catalan,All,16,pare/papa/papi,73,produces,0.8493
Catalan,All,16,pare/papa/papi,73,understands,0.6438
Catalan,All,17,pare/papa/papi,110,produces,0.8909
Catalan,All,17,pare/papa/papi,110,understands,0.6545
Catalan,All,18,pare/papa/papi,102,produces,0.8824
Catalan,All,18,pare/papa/papi,102,understands,0.5
Catalan,All,19,pare/papa/papi,45,produces,0.9556
Catalan,All,19,pare/papa/papi,45,understands,0
Catalan,All,20,pare/papa/papi,56,produces,0.9643
Catalan,All,20,pare/papa/papi,56,understands,0
Catalan,All,21,pare/papa/papi,58,produces,1
Catalan,All,21,pare/papa/papi,58,understands,0
Catalan,All,22,pare/papa/papi,50,produces,0.96
Catalan,All,22,pare/papa/papi,50,understands,0
Catalan,All,23,pare/papa/papi,66,produces,0.9394
Catalan,All,23,pare/papa/papi,66,understands,0
Catalan,All,24,pare/papa/papi,79,produces,0.9873
Catalan,All,24,pare/papa/papi,79,understands,0
Catalan,All,25,pare/papa/papi,60,produces,0.9833
Catalan,All,25,pare/papa/papi,60,understands,0
Catalan,All,26,pare/papa/papi,65,produces,0.9692
Catalan,All,26,pare/papa/papi,65,understands,0
Catalan,All,27,pare/papa/papi,63,produces,0.9841
Catalan,All,27,pare/papa/papi,63,understands,0
Catalan,All,28,pare/papa/papi,81,produces,0.9877
Catalan,All,28,pare/papa/papi,81,understands,0
Catalan,All,29,pare/papa/papi,50,produces,0.98
Catalan,All,29,pare/papa/papi,50,understands,0
Catalan,All,30,pare/papa/papi,75,produces,0.9867
Catalan,All,30,pare/papa/papi,75,understands,0
Croatian,All,8,tata,23,produces,0.087
Croatian,All,8,tata,23,understands,0.5217
Croatian,All,9,tata,25,produces,0.12
Croatian,All,9,tata,25,understands,0.68
Croatian,All,10,tata,22,produces,0.6818
Croatian,All,10,tata,22,understands,0.9545
Croatian,All,11,tata,25,produces,0.64
Croatian,All,11,tata,25,understands,0.84
Croatian,All,12,tata,35,produces,0.6571
Croatian,All,12,tata,35,understands,0.9143
Croatian,All,13,tata,34,produces,0.5
Croatian,All,13,tata,34,understands,0.9118
Croatian,All,14,tata,28,produces,0.7857
Croatian,All,14,tata,28,understands,1
Croatian,All,15,tata,24,produces,0.625
Croatian,All,15,tata,24,understands,1
Croatian,All,16,tata,47,produces,0.8936
Croatian,All,16,tata,47,understands,0.7021
Croatian,All,17,tata,25,produces,0.92
Croatian,All,17,tata,25,understands,0
Croatian,All,18,tata,22,produces,0.9091
Croatian,All,18,tata,22,understands,0
