language,age,words,n,measure,prop
English (Irish),17,dentist,2,produces,0
English (Irish),17,dentist,2,understands,0
English (Irish),18,dentist,1,produces,0
English (Irish),18,dentist,1,understands,0
English (Irish),19,dentist,2,produces,0
English (Irish),19,dentist,2,understands,0
English (Irish),20,dentist,1,produces,0
English (Irish),20,dentist,1,understands,0
English (Irish),21,dentist,3,produces,0
English (Irish),21,dentist,3,understands,0
English (Irish),22,dentist,4,produces,0
English (Irish),22,dentist,4,understands,0
English (Irish),23,dentist,4,produces,0
English (Irish),23,dentist,4,understands,0
English (Irish),24,dentist,4,produces,0
English (Irish),24,dentist,4,understands,0
English (Irish),25,dentist,6,produces,0
English (Irish),25,dentist,6,understands,0
English (Irish),26,dentist,10,produces,0
English (Irish),26,dentist,10,understands,0
English (Irish),27,dentist,5,produces,0
English (Irish),27,dentist,5,understands,0
English (Irish),28,dentist,7,produces,0
English (Irish),28,dentist,7,understands,0
English (Irish),29,dentist,4,produces,0
English (Irish),29,dentist,4,understands,0
English (Irish),30,dentist,9,produces,0.1111
English (Irish),30,dentist,9,understands,0
English (Irish),31,dentist,8,produces,0
English (Irish),31,dentist,8,understands,0
English (Irish),32,dentist,4,produces,0.25
English (Irish),32,dentist,4,understands,0
English (Irish),33,dentist,5,produces,0
English (Irish),33,dentist,5,understands,0
English (Irish),34,dentist,4,produces,0
English (Irish),34,dentist,4,understands,0
English (Irish),35,dentist,11,produces,0.2727
English (Irish),35,dentist,11,understands,0
English (Irish),36,dentist,5,produces,0
English (Irish),36,dentist,5,understands,0
Irish,17,fiaclóir,2,produces,0
Irish,17,fiaclóir,2,understands,0
Irish,18,fiaclóir,1,produces,0
Irish,18,fiaclóir,1,understands,0
Irish,19,fiaclóir,2,produces,0
Irish,19,fiaclóir,2,understands,0
Irish,20,fiaclóir,1,produces,0
Irish,20,fiaclóir,1,understands,0
Irish,21,fiaclóir,3,produces,0
Irish,21,fiaclóir,3,understands,0
Irish,22,fiaclóir,4,produces,0
Irish,22,fiaclóir,4,understands,0
Irish,23,fiaclóir,4,produces,0.25
Irish,23,fiaclóir,4,understands,0
Irish,24,fiaclóir,4,produces,0.25
Irish,24,fiaclóir,4,understands,0
Irish,25,fiaclóir,6,produces,0.1667
Irish,25,fiaclóir,6,understands,0
Irish,26,fiaclóir,10,produces,0.1
Irish,26,fiaclóir,10,understands,0
Irish,27,fiaclóir,5,produces,0.2
Irish,27,fiaclóir,5,understands,0
Irish,28,fiaclóir,7,produces,0
Irish,28,fiaclóir,7,understands,0
Irish,29,fiaclóir,4,produces,0
Irish,29,fiaclóir,4,understands,0
Irish,30,fiaclóir,9,produces,0.2222
Irish,30,fiaclóir,9,understands,0
Irish,31,fiaclóir,8,produces,0.125
Irish,31,fiaclóir,8,understands,0
Irish,32,fiaclóir,4,produces,0.25
Irish,32,fiaclóir,4,understands,0
Irish,33,fiaclóir,5,produces,0.4
Irish,33,fiaclóir,5,understands,0
Irish,34,fiaclóir,4,produces,0.5
Irish,34,fiaclóir,4,understands,0
Irish,35,fiaclóir,11,produces,0.5455
Irish,35,fiaclóir,11,understands,0
Irish,36,fiaclóir,5,produces,0.4
Irish,36,fiaclóir,5,understands,0
