language,age,words,n,measure,prop
Korean,18,죽어,88,produces,0
Korean,18,죽어,88,understands,0
Korean,19,죽어,77,produces,0
Korean,19,죽어,77,understands,0
Korean,20,죽어,88,produces,0.0114
Korean,20,죽어,88,understands,0
Korean,21,죽어,79,produces,0
Korean,21,죽어,79,understands,0
Korean,22,죽어,87,produces,0.023
Korean,22,죽어,87,understands,0
Korean,23,죽어,87,produces,0.0345
Korean,23,죽어,87,understands,0
Korean,24,죽어,107,produces,0.0748
Korean,24,죽어,107,understands,0
Korean,25,죽어,95,produces,0.0842
Korean,25,죽어,95,understands,0
Korean,26,죽어,91,produces,0.1319
Korean,26,죽어,91,understands,0
Korean,27,죽어,104,produces,0.2308
Korean,27,죽어,104,understands,0
Korean,28,죽어,89,produces,0.2584
Korean,28,죽어,89,understands,0
Korean,29,죽어,101,produces,0.3663
Korean,29,죽어,101,understands,0
Korean,30,죽어,81,produces,0.3951
Korean,30,죽어,81,understands,0
Korean,31,죽어,79,produces,0.4051
Korean,31,죽어,79,understands,0
Korean,32,죽어,70,produces,0.3571
Korean,32,죽어,70,understands,0
Korean,33,죽어,79,produces,0.49370000000000003
Korean,33,죽어,79,understands,0
Korean,34,죽어,79,produces,0.519
Korean,34,죽어,79,understands,0
Korean,35,죽어,74,produces,0.5676
Korean,35,죽어,74,understands,0
Korean,36,죽어,75,produces,0.68
Korean,36,죽어,75,understands,0
Persian,8,فوت کردن,7,produces,0
Persian,8,فوت کردن,7,understands,0.1429
Persian,9,فوت کردن,21,produces,0
Persian,9,فوت کردن,21,understands,0.1905
Persian,10,فوت کردن,16,produces,0.0625
Persian,10,فوت کردن,16,understands,0.3125
Persian,11,فوت کردن,13,produces,0.0769
Persian,11,فوت کردن,13,understands,0.3077
Persian,12,فوت کردن,11,produces,0
Persian,12,فوت کردن,11,understands,0.3636
Persian,13,فوت کردن,14,produces,0.2143
Persian,13,فوت کردن,14,understands,0.7857
Persian,14,فوت کردن,15,produces,0.1333
Persian,14,فوت کردن,15,understands,0.7333
Persian,15,فوت کردن,12,produces,0.4167
Persian,15,فوت کردن,12,understands,0.9167
Persian,16,فوت کردن,4,produces,0.5
Persian,16,فوت کردن,4,understands,1
Persian,17,فوت کن,1,produces,0
Persian,17,فوت کن,1,understands,0
Persian,18,فوت کن,5,produces,0
Persian,18,فوت کن,5,understands,0
Persian,20,فوت کن,3,produces,0
Persian,20,فوت کن,3,understands,0
Persian,21,فوت کن,1,produces,0
Persian,21,فوت کن,1,understands,0
Persian,22,فوت کن,1,produces,0
Persian,22,فوت کن,1,understands,0
Persian,23,فوت کن,3,produces,0
Persian,23,فوت کن,3,understands,0
Persian,24,فوت کن,10,produces,0
Persian,24,فوت کن,10,understands,0
Persian,25,فوت کن,3,produces,0
Persian,25,فوت کن,3,understands,0
Persian,26,فوت کن,6,produces,0
Persian,26,فوت کن,6,understands,0
Persian,27,فوت کن,5,produces,0
Persian,27,فوت کن,5,understands,0
Persian,28,فوت کن,9,produces,0
Persian,28,فوت کن,9,understands,0
Persian,29,فوت کن,1,produces,0
Persian,29,فوت کن,1,understands,0
Persian,30,فوت کن,2,produces,0
Persian,30,فوت کن,2,understands,0
Turkish,8,Öl,140,produces,0
Turkish,8,Öl,140,understands,0.0071
Turkish,9,Öl,125,produces,0
Turkish,9,Öl,125,understands,0.032
Turkish,10,Öl,130,produces,0.0077
Turkish,10,Öl,130,understands,0.0308
Turkish,11,Öl,125,produces,0
Turkish,11,Öl,125,understands,0.048
Turkish,12,Öl,120,produces,0
Turkish,12,Öl,120,understands,0.0333
Turkish,13,Öl,122,produces,0
Turkish,13,Öl,122,understands,0.0164
Turkish,14,Öl,147,produces,0.0136
Turkish,14,Öl,147,understands,0.0952
Turkish,15,Öl,131,produces,0.0229
Turkish,15,Öl,131,understands,0.1145
Turkish,16,Öl,184,produces,0.0163
Turkish,16,Öl,184,understands,0.0326
Turkish,17,Öl,107,produces,0.0561
Turkish,17,Öl,107,understands,0
Turkish,18,Öl,128,produces,0.0547
Turkish,18,Öl,128,understands,0
Turkish,19,Öl,121,produces,0.1074
Turkish,19,Öl,121,understands,0
Turkish,20,Öl,119,produces,0.1345
Turkish,20,Öl,119,understands,0
Turkish,21,Öl,124,produces,0.129
Turkish,21,Öl,124,understands,0
Turkish,22,Öl,126,produces,0.2302
Turkish,22,Öl,126,understands,0
Turkish,23,Öl,131,produces,0.2366
Turkish,23,Öl,131,understands,0
Turkish,24,Öl,106,produces,0.3208
Turkish,24,Öl,106,understands,0
Turkish,25,Öl,123,produces,0.4309
Turkish,25,Öl,123,understands,0
Turkish,26,Öl,123,produces,0.3984
Turkish,26,Öl,123,understands,0
Turkish,27,Öl,108,produces,0.4815
Turkish,27,Öl,108,understands,0
Turkish,28,Öl,112,produces,0.5179
Turkish,28,Öl,112,understands,0
Turkish,29,Öl,119,produces,0.6218
Turkish,29,Öl,119,understands,0
Turkish,30,Öl,104,produces,0.6442
Turkish,30,Öl,104,understands,0
Turkish,31,Öl,101,produces,0.6238
Turkish,31,Öl,101,understands,0
Turkish,32,Öl,132,produces,0.7273
Turkish,32,Öl,132,understands,0
Turkish,33,Öl,114,produces,0.7544
Turkish,33,Öl,114,understands,0
Turkish,34,Öl,107,produces,0.7477
Turkish,34,Öl,107,understands,0
Turkish,35,Öl,131,produces,0.8092
Turkish,35,Öl,131,understands,0
Turkish,36,Öl,77,produces,0.7922
Turkish,36,Öl,77,understands,0
