language,age,words,n,measure,prop
Korean,18,몰라,88,produces,0.1136
Korean,18,몰라,88,understands,0
Korean,19,몰라,77,produces,0.0519
Korean,19,몰라,77,understands,0
Korean,20,몰라,88,produces,0.0682
Korean,20,몰라,88,understands,0
Korean,21,몰라,79,produces,0.2025
Korean,21,몰라,79,understands,0
Korean,22,몰라,87,produces,0.2989
Korean,22,몰라,87,understands,0
Korean,23,몰라,87,produces,0.2644
Korean,23,몰라,87,understands,0
Korean,24,몰라,107,produces,0.4112
Korean,24,몰라,107,understands,0
Korean,25,몰라,95,produces,0.5053
Korean,25,몰라,95,understands,0
Korean,26,몰라,91,produces,0.5055
Korean,26,몰라,91,understands,0
Korean,27,몰라,104,produces,0.5288
Korean,27,몰라,104,understands,0
Korean,28,몰라,89,produces,0.7079
Korean,28,몰라,89,understands,0
Korean,29,몰라,101,produces,0.7327
Korean,29,몰라,101,understands,0
Korean,30,몰라,81,produces,0.7284
Korean,30,몰라,81,understands,0
Korean,31,몰라,79,produces,0.8354
Korean,31,몰라,79,understands,0
Korean,32,몰라,70,produces,0.7
Korean,32,몰라,70,understands,0
Korean,33,몰라,79,produces,0.7595
Korean,33,몰라,79,understands,0
Korean,34,몰라,79,produces,0.8734
Korean,34,몰라,79,understands,0
Korean,35,몰라,74,produces,0.9054
Korean,35,몰라,74,understands,0
Korean,36,몰라,75,produces,0.9333
Korean,36,몰라,75,understands,0
Irish,17,nfheadar,2,produces,0
Irish,17,nfheadar,2,understands,0
Irish,18,nfheadar,1,produces,0
Irish,18,nfheadar,1,understands,0
Irish,19,nfheadar,2,produces,0
Irish,19,nfheadar,2,understands,0
Irish,20,nfheadar,1,produces,0
Irish,20,nfheadar,1,understands,0
Irish,21,nfheadar,3,produces,0
Irish,21,nfheadar,3,understands,0
Irish,22,nfheadar,4,produces,0.25
Irish,22,nfheadar,4,understands,0
Irish,23,nfheadar,4,produces,0.25
Irish,23,nfheadar,4,understands,0
Irish,24,nfheadar,4,produces,0.25
Irish,24,nfheadar,4,understands,0
Irish,25,nfheadar,6,produces,0.1667
Irish,25,nfheadar,6,understands,0
Irish,26,nfheadar,10,produces,0.4
Irish,26,nfheadar,10,understands,0
Irish,27,nfheadar,5,produces,0.4
Irish,27,nfheadar,5,understands,0
Irish,28,nfheadar,7,produces,0.4286
Irish,28,nfheadar,7,understands,0
Irish,29,nfheadar,4,produces,0.75
Irish,29,nfheadar,4,understands,0
Irish,30,nfheadar,9,produces,0.5556
Irish,30,nfheadar,9,understands,0
Irish,31,nfheadar,8,produces,0
Irish,31,nfheadar,8,understands,0
Irish,32,nfheadar,4,produces,0.75
Irish,32,nfheadar,4,understands,0
Irish,33,nfheadar,5,produces,0.4
Irish,33,nfheadar,5,understands,0
Irish,34,nfheadar,4,produces,0.5
Irish,34,nfheadar,4,understands,0
Irish,35,nfheadar,11,produces,0.7273
Irish,35,nfheadar,11,understands,0
Irish,36,nfheadar,5,produces,0.6
Irish,36,nfheadar,5,understands,0
