language,age,words,n,measure,prop
Italian,18,disegnare,31,produces,0.0968
Italian,18,disegnare,31,understands,0
Italian,19,disegnare,39,produces,0.0513
Italian,19,disegnare,39,understands,0
Italian,20,disegnare,64,produces,0.0312
Italian,20,disegnare,64,understands,0
Italian,21,disegnare,55,produces,0.0545
Italian,21,disegnare,55,understands,0
Italian,22,disegnare,55,produces,0.2364
Italian,22,disegnare,55,understands,0
Italian,23,disegnare,53,produces,0.2075
Italian,23,disegnare,53,understands,0
Italian,24,disegnare,71,produces,0.3099
Italian,24,disegnare,71,understands,0
Italian,25,disegnare,39,produces,0.5128
Italian,25,disegnare,39,understands,0
Italian,26,disegnare,41,produces,0.561
Italian,26,disegnare,41,understands,0
Italian,27,disegnare,43,produces,0.5581
Italian,27,disegnare,43,understands,0
Italian,28,disegnare,44,produces,0.6364
Italian,28,disegnare,44,understands,0
Italian,29,disegnare,37,produces,0.7027
Italian,29,disegnare,37,understands,0
Italian,30,disegnare,67,produces,0.806
Italian,30,disegnare,67,understands,0
Italian,31,disegnare,19,produces,0.7895
Italian,31,disegnare,19,understands,0
Italian,32,disegnare,23,produces,0.7826
Italian,32,disegnare,23,understands,0
Italian,33,disegnare,16,produces,0.9375
Italian,33,disegnare,16,understands,0
Italian,34,disegnare,19,produces,0.8947
Italian,34,disegnare,19,understands,0
Italian,35,disegnare,15,produces,0.9333
Italian,35,disegnare,15,understands,0
Italian,36,disegnare,21,produces,0.8571
Italian,36,disegnare,21,understands,0
Kigiriama,8,Chora/Andika,5,produces,0
Kigiriama,8,Chora/Andika,5,understands,0
Kigiriama,9,Chora/Andika,22,produces,0
Kigiriama,9,Chora/Andika,22,understands,0.0909
Kigiriama,10,Chora/Andika,5,produces,0
Kigiriama,10,Chora/Andika,5,understands,0
Kigiriama,11,Chora/Andika,7,produces,0
Kigiriama,11,Chora/Andika,7,understands,0.1429
Kigiriama,12,Chora/Andika,30,produces,0
Kigiriama,12,Chora/Andika,30,understands,0.2333
Kigiriama,13,Chora/Andika,18,produces,0
Kigiriama,13,Chora/Andika,18,understands,0.1667
Kigiriama,14,Chora/Andika,16,produces,0
Kigiriama,14,Chora/Andika,16,understands,0.375
Kigiriama,15,Chora/Andika,16,produces,0
Kigiriama,15,Chora/Andika,16,understands,0.3125
Kigiriama,16,Chora,1,produces,0
Kigiriama,16,Chora,1,understands,0
Kigiriama,17,Chora,6,produces,0
Kigiriama,17,Chora,6,understands,0
Kigiriama,18,Chora,13,produces,0
Kigiriama,18,Chora,13,understands,0
Kigiriama,19,Chora,8,produces,0
Kigiriama,19,Chora,8,understands,0
