language,age,words,n,measure,prop
Italian,7,vestito,5,produces,0
Italian,7,vestito,5,understands,0.2
Italian,8,vestito,34,produces,0
Italian,8,vestito,34,understands,0.0294
Italian,9,vestito,38,produces,0
Italian,9,vestito,38,understands,0
Italian,10,vestito,53,produces,0
Italian,10,vestito,53,understands,0
Italian,11,vestito,42,produces,0
Italian,11,vestito,42,understands,0.0714
Italian,12,vestito,69,produces,0
Italian,12,vestito,69,understands,0.1739
Italian,13,vestito,48,produces,0.0208
Italian,13,vestito,48,understands,0.1667
Italian,14,vestito,40,produces,0
Italian,14,vestito,40,understands,0.25
Italian,15,vestito,68,produces,0.0147
Italian,15,vestito,68,understands,0.2206
Italian,16,vestito,56,produces,0
Italian,16,vestito,56,understands,0.3214
Italian,17,vestito,48,produces,0.0625
Italian,17,vestito,48,understands,0.3333
Italian,18,vestito,75,produces,0.0267
Italian,18,vestito,75,understands,0.1867
Italian,19,vestito,58,produces,0.1379
Italian,19,vestito,58,understands,0.1207
Italian,20,vestito,83,produces,0.0723
Italian,20,vestito,83,understands,0.0964
Italian,21,vestito,67,produces,0.2388
Italian,21,vestito,67,understands,0.1194
Italian,22,vestito,77,produces,0.2727
Italian,22,vestito,77,understands,0.1169
Italian,23,vestito,70,produces,0.3571
Italian,23,vestito,70,understands,0.1429
Italian,24,vestito,85,produces,0.3294
Italian,24,vestito,85,understands,0.0824
Italian,25,vestito,39,produces,0.5641
Italian,25,vestito,39,understands,0
Italian,26,vestito,41,produces,0.561
Italian,26,vestito,41,understands,0
Italian,27,vestito,43,produces,0.4651
Italian,27,vestito,43,understands,0
Italian,28,vestito,44,produces,0.5682
Italian,28,vestito,44,understands,0
Italian,29,vestito,37,produces,0.7027
Italian,29,vestito,37,understands,0
Italian,30,vestito,67,produces,0.791
Italian,30,vestito,67,understands,0
Italian,31,vestito,19,produces,0.7368
Italian,31,vestito,19,understands,0
Italian,32,vestito,23,produces,0.7391
Italian,32,vestito,23,understands,0
Italian,33,vestito,16,produces,0.9375
Italian,33,vestito,16,understands,0
Italian,34,vestito,19,produces,0.8947
Italian,34,vestito,19,understands,0
Italian,35,vestito,15,produces,0.8667
Italian,35,vestito,15,understands,0
Italian,36,vestito,21,produces,0.8095
Italian,36,vestito,21,understands,0
Kigiriama,16,Rinda/ Joho,1,produces,0
Kigiriama,16,Rinda/ Joho,1,understands,0
Kigiriama,17,Rinda/ Joho,6,produces,0.1667
Kigiriama,17,Rinda/ Joho,6,understands,0
Kigiriama,18,Rinda/ Joho,13,produces,0.0769
Kigiriama,18,Rinda/ Joho,13,understands,0
Kigiriama,19,Rinda/ Joho,8,produces,0
Kigiriama,19,Rinda/ Joho,8,understands,0
Kigiriama,20,Rinda/ Joho,14,produces,0.2143
Kigiriama,20,Rinda/ Joho,14,understands,0
Kigiriama,21,Rinda/ Joho,6,produces,0.1667
Kigiriama,21,Rinda/ Joho,6,understands,0
Kigiriama,22,Rinda/ Joho,9,produces,0.8889
Kigiriama,22,Rinda/ Joho,9,understands,0
Kigiriama,23,Rinda/ Joho,4,produces,0
Kigiriama,23,Rinda/ Joho,4,understands,0
Kigiriama,24,Rinda/ Joho,7,produces,0.5714
Kigiriama,24,Rinda/ Joho,7,understands,0
Kigiriama,25,Rinda/ Joho,3,produces,1
Kigiriama,25,Rinda/ Joho,3,understands,0
Kigiriama,26,Rinda/ Joho,6,produces,0.6667
Kigiriama,26,Rinda/ Joho,6,understands,0
Kigiriama,27,Rinda/ Joho,4,produces,0.5
Kigiriama,27,Rinda/ Joho,4,understands,0
Kigiriama,28,Rinda/ Joho,1,produces,0
Kigiriama,28,Rinda/ Joho,1,understands,0
Kigiriama,29,Rinda/ Joho,5,produces,0.4
Kigiriama,29,Rinda/ Joho,5,understands,0
Kigiriama,30,Rinda/ Joho,1,produces,1
Kigiriama,30,Rinda/ Joho,1,understands,0
Kiswahili,8,leso,1,produces,0
Kiswahili,8,leso,1,understands,1
Kiswahili,9,leso,5,produces,0
Kiswahili,9,leso,5,understands,0.6
Kiswahili,10,leso,5,produces,0
Kiswahili,10,leso,5,understands,0.6
Kiswahili,11,leso,9,produces,0
Kiswahili,11,leso,9,understands,0.6667
Kiswahili,12,leso,6,produces,0
Kiswahili,12,leso,6,understands,0.6667
Kiswahili,13,leso,6,produces,0
Kiswahili,13,leso,6,understands,1
Kiswahili,14,leso,4,produces,0.25
Kiswahili,14,leso,4,understands,0.75
Kiswahili,15,leso,5,produces,0.2
Kiswahili,15,leso,5,understands,1
Kiswahili,23,"leso, Rinda",2,produces,0
Kiswahili,23,"leso, Rinda",2,understands,0
Kiswahili,24,"leso, Rinda",12,produces,0.375
Kiswahili,24,"leso, Rinda",12,understands,0
