language,sex,age,words,n,measure,prop
British Sign Language,All,8,drink,4,produces,0
British Sign Language,All,8,drink,4,understands,0
British Sign Language,All,9,drink,4,produces,0
British Sign Language,All,9,drink,4,understands,0
British Sign Language,All,10,drink,4,produces,0.25
British Sign Language,All,10,drink,4,understands,0.25
British Sign Language,All,11,drink,6,produces,0
British Sign Language,All,11,drink,6,understands,0.6667
British Sign Language,All,12,drink,6,produces,0
British Sign Language,All,12,drink,6,understands,0.1667
British Sign Language,All,13,drink,6,produces,0.3333
British Sign Language,All,13,drink,6,understands,0.6667
British Sign Language,All,14,drink,7,produces,0.4286
British Sign Language,All,14,drink,7,understands,0.5714
British Sign Language,All,15,drink,6,produces,0.3333
British Sign Language,All,15,drink,6,understands,0.6667
British Sign Language,All,16,drink,7,produces,0.5714
British Sign Language,All,16,drink,7,understands,0.8571
British Sign Language,All,17,drink,7,produces,0.8571
British Sign Language,All,17,drink,7,understands,0.8571
British Sign Language,All,18,drink,8,produces,0.625
British Sign Language,All,18,drink,8,understands,0.75
British Sign Language,All,19,drink,8,produces,0.875
British Sign Language,All,19,drink,8,understands,0.875
British Sign Language,All,20,drink,11,produces,0.9091
British Sign Language,All,20,drink,11,understands,1
British Sign Language,All,21,drink,5,produces,0.8
British Sign Language,All,21,drink,5,understands,0.8
British Sign Language,All,22,drink,6,produces,0.8333
British Sign Language,All,22,drink,6,understands,1
British Sign Language,All,23,drink,7,produces,1
British Sign Language,All,23,drink,7,understands,1
British Sign Language,All,24,drink,5,produces,1
British Sign Language,All,24,drink,5,understands,1
British Sign Language,All,25,drink,7,produces,0.8571
British Sign Language,All,25,drink,7,understands,1
British Sign Language,All,26,drink,6,produces,1
British Sign Language,All,26,drink,6,understands,1
British Sign Language,All,27,drink,6,produces,0.8333
British Sign Language,All,27,drink,6,understands,0.8333
British Sign Language,All,28,drink,3,produces,1
British Sign Language,All,28,drink,3,understands,1
British Sign Language,All,29,drink,7,produces,1
British Sign Language,All,29,drink,7,understands,1
British Sign Language,All,30,drink,5,produces,1
British Sign Language,All,30,drink,5,understands,1
British Sign Language,All,31,drink,2,produces,1
British Sign Language,All,31,drink,2,understands,1
British Sign Language,All,32,drink,6,produces,1
British Sign Language,All,32,drink,6,understands,1
British Sign Language,All,33,drink,5,produces,1
British Sign Language,All,33,drink,5,understands,1
British Sign Language,All,34,drink,2,produces,1
British Sign Language,All,34,drink,2,understands,1
British Sign Language,All,35,drink,2,produces,1
British Sign Language,All,35,drink,2,understands,1
British Sign Language,All,36,drink,3,produces,1
British Sign Language,All,36,drink,3,understands,1
Croatian,All,16,piće,13,produces,0
Croatian,All,16,piće,13,understands,0
Croatian,All,17,piće,25,produces,0
Croatian,All,17,piće,25,understands,0
Croatian,All,18,piće,22,produces,0
Croatian,All,18,piće,22,understands,0
Croatian,All,19,piće,21,produces,0.1429
Croatian,All,19,piće,21,understands,0
Croatian,All,20,piće,26,produces,0.0385
Croatian,All,20,piće,26,understands,0
Croatian,All,21,piće,29,produces,0.1724
Croatian,All,21,piće,29,understands,0
Croatian,All,22,piće,24,produces,0.25
Croatian,All,22,piće,24,understands,0
Croatian,All,23,piće,26,produces,0.2692
Croatian,All,23,piće,26,understands,0
Croatian,All,24,piće,30,produces,0.3333
Croatian,All,24,piće,30,understands,0
Croatian,All,25,piće,30,produces,0.3
Croatian,All,25,piće,30,understands,0
Croatian,All,26,piće,29,produces,0.4483
Croatian,All,26,piće,29,understands,0
Croatian,All,27,piće,25,produces,0.28
Croatian,All,27,piće,25,understands,0
Croatian,All,28,piće,21,produces,0.4762
Croatian,All,28,piće,21,understands,0
Croatian,All,29,piće,28,produces,0.3929
Croatian,All,29,piće,28,understands,0
Croatian,All,30,piće,28,produces,0.5357
Croatian,All,30,piće,28,understands,0
Czech,All,16,pití,29,produces,0.2069
Czech,All,16,pití,29,understands,0
Czech,All,17,pití,29,produces,0.4138
Czech,All,17,pití,29,understands,0
Czech,All,18,pití,45,produces,0.5333
Czech,All,18,pití,45,understands,0
Czech,All,19,pití,27,produces,0.4444
Czech,All,19,pití,27,understands,0
Czech,All,20,pití,26,produces,0.7308
Czech,All,20,pití,26,understands,0
Czech,All,21,pití,34,produces,0.6765
Czech,All,21,pití,34,understands,0
Czech,All,22,pití,36,produces,0.8889
Czech,All,22,pití,36,understands,0
Czech,All,23,pití,46,produces,0.7174
Czech,All,23,pití,46,understands,0
Czech,All,24,pití,35,produces,0.8
Czech,All,24,pití,35,understands,0
Czech,All,25,pití,35,produces,0.7714
Czech,All,25,pití,35,understands,0
Czech,All,26,pití,22,produces,0.7727
Czech,All,26,pití,22,understands,0
Czech,All,27,pití,37,produces,0.8649
Czech,All,27,pití,37,understands,0
Czech,All,28,pití,26,produces,0.9615
Czech,All,28,pití,26,understands,0
Czech,All,29,pití,39,produces,0.9744
Czech,All,29,pití,39,understands,0
Czech,All,30,pití,27,produces,1
Czech,All,30,pití,27,understands,0
Dutch,All,15,"drankje, drinken",3,produces,0
Dutch,All,15,"drankje, drinken",3,understands,0
Dutch,All,16,"drankje, drinken",3,produces,0
Dutch,All,16,"drankje, drinken",3,understands,0
Dutch,All,17,"drankje, drinken",6,produces,0
Dutch,All,17,"drankje, drinken",6,understands,0
Dutch,All,18,"drankje, drinken",130,produces,0.0077
Dutch,All,18,"drankje, drinken",130,understands,0.05
Dutch,All,19,"drankje, drinken",94,produces,0.0266
Dutch,All,19,"drankje, drinken",94,understands,0.1277
Dutch,All,20,"drankje, drinken",26,produces,0
Dutch,All,20,"drankje, drinken",26,understands,0.0577
Dutch,All,21,"drankje, drinken",6,produces,0
Dutch,All,21,"drankje, drinken",6,understands,0
English (American),All,8,drink (beverage),255,produces,0.0157
English (American),All,8,drink (beverage),255,understands,0.1373
English (American),All,9,drink (beverage),299,produces,0.0067
