language,sex,age,words,n,measure,prop
Arabic (Saudi),All,8,سائق,19,produces,0
Arabic (Saudi),All,8,سائق,19,understands,0
Arabic (Saudi),All,9,سائق,18,produces,0
Arabic (Saudi),All,9,سائق,18,understands,0
Arabic (Saudi),All,10,سائق,25,produces,0.08
Arabic (Saudi),All,10,سائق,25,understands,0
Arabic (Saudi),All,11,سائق,21,produces,0.0952
Arabic (Saudi),All,11,سائق,21,understands,0
Arabic (Saudi),All,12,سائق,19,produces,0.0526
Arabic (Saudi),All,12,سائق,19,understands,0
Arabic (Saudi),All,13,سائق,36,produces,0
Arabic (Saudi),All,13,سائق,36,understands,0
Arabic (Saudi),All,14,سائق,20,produces,0
Arabic (Saudi),All,14,سائق,20,understands,0
Arabic (Saudi),All,15,سائق,19,produces,0
Arabic (Saudi),All,15,سائق,19,understands,0
Arabic (Saudi),All,16,سائق,18,produces,0
Arabic (Saudi),All,16,سائق,18,understands,0
Cantonese,All,16,司機,46,produces,0
Cantonese,All,16,司機,46,understands,0
Cantonese,All,17,司機,61,produces,0.0328
Cantonese,All,17,司機,61,understands,0
Cantonese,All,18,司機,68,produces,0.0294
Cantonese,All,18,司機,68,understands,0
Cantonese,All,19,司機,66,produces,0.0303
Cantonese,All,19,司機,66,understands,0
Cantonese,All,20,司機,140,produces,0.0643
Cantonese,All,20,司機,140,understands,0
Cantonese,All,21,司機,120,produces,0.075
Cantonese,All,21,司機,120,understands,0
Cantonese,All,22,司機,68,produces,0.1029
Cantonese,All,22,司機,68,understands,0
Cantonese,All,23,司機,74,produces,0.2027
Cantonese,All,23,司機,74,understands,0
Cantonese,All,24,司機,68,produces,0.2647
Cantonese,All,24,司機,68,understands,0
Cantonese,All,25,司機,65,produces,0.2923
Cantonese,All,25,司機,65,understands,0
Cantonese,All,26,司機,68,produces,0.3235
Cantonese,All,26,司機,68,understands,0
Cantonese,All,27,司機,62,produces,0.4032
Cantonese,All,27,司機,62,understands,0
Cantonese,All,28,司機,66,produces,0.5303
Cantonese,All,28,司機,66,understands,0
Cantonese,All,29,司機,72,produces,0.5972
Cantonese,All,29,司機,72,understands,0
Cantonese,All,30,司機,164,produces,0.6585
Cantonese,All,30,司機,164,understands,0
Japanese,All,8,運転手,6,produces,0
Japanese,All,8,運転手,6,understands,0
Japanese,All,9,運転手,10,produces,0
Japanese,All,9,運転手,10,understands,0
Japanese,All,10,運転手,8,produces,0
Japanese,All,10,運転手,8,understands,0
Japanese,All,11,運転手,87,produces,0
