language,sex,age,words,n,measure,prop
Catalan,All,8,tambor,39,produces,0
Catalan,All,8,tambor,39,understands,0.1538
Catalan,All,9,tambor,46,produces,0
Catalan,All,9,tambor,46,understands,0
Catalan,All,10,tambor,43,produces,0
Catalan,All,10,tambor,43,understands,0.0698
Catalan,All,11,tambor,43,produces,0
Catalan,All,11,tambor,43,understands,0.1395
Catalan,All,12,tambor,59,produces,0
Catalan,All,12,tambor,59,understands,0.1864
Catalan,All,13,tambor,44,produces,0
Catalan,All,13,tambor,44,understands,0.1818
Catalan,All,14,tambor,60,produces,0
Catalan,All,14,tambor,60,understands,0.3667
Catalan,All,15,tambor,70,produces,0.0429
Catalan,All,15,tambor,70,understands,0.4143
Catalan,All,16,tambor,73,produces,0.0274
Catalan,All,16,tambor,73,understands,0.2466
Catalan,All,17,tambor,110,produces,0.0455
Catalan,All,17,tambor,110,understands,0.3
Catalan,All,18,tambor,102,produces,0.0882
Catalan,All,18,tambor,102,understands,0.2549
Catalan,All,19,tambor,45,produces,0.1111
Catalan,All,19,tambor,45,understands,0
Catalan,All,20,tambor,56,produces,0.1607
Catalan,All,20,tambor,56,understands,0
Catalan,All,21,tambor,58,produces,0.3103
Catalan,All,21,tambor,58,understands,0
Catalan,All,22,tambor,50,produces,0.44
Catalan,All,22,tambor,50,understands,0
Catalan,All,23,tambor,66,produces,0.3788
Catalan,All,23,tambor,66,understands,0
Catalan,All,24,tambor,79,produces,0.6709
Catalan,All,24,tambor,79,understands,0
Catalan,All,25,tambor,60,produces,0.6833
Catalan,All,25,tambor,60,understands,0
Catalan,All,26,tambor,65,produces,0.6615
Catalan,All,26,tambor,65,understands,0
Catalan,All,27,tambor,63,produces,0.7143
Catalan,All,27,tambor,63,understands,0
Catalan,All,28,tambor,81,produces,0.642
Catalan,All,28,tambor,81,understands,0
Catalan,All,29,tambor,50,produces,0.88
Catalan,All,29,tambor,50,understands,0
Catalan,All,30,tambor,75,produces,0.8
Catalan,All,30,tambor,75,understands,0
Japanese,All,16,たいこ,11,produces,0
Japanese,All,16,たいこ,11,understands,0
Japanese,All,17,たいこ,17,produces,0
Japanese,All,17,たいこ,17,understands,0
Japanese,All,18,たいこ,56,produces,0.0179
Japanese,All,18,たいこ,56,understands,0
Japanese,All,19,たいこ,35,produces,0.0571
Japanese,All,19,たいこ,35,understands,0
Japanese,All,20,たいこ,59,produces,0.1017
Japanese,All,20,たいこ,59,understands,0
Japanese,All,21,たいこ,62,produces,0.1452
Japanese,All,21,たいこ,62,understands,0
Japanese,All,22,たいこ,31,produces,0.1935
Japanese,All,22,たいこ,31,understands,0
Japanese,All,23,たいこ,67,produces,0.2239
Japanese,All,23,たいこ,67,understands,0
Japanese,All,24,たいこ,33,produces,0.1818
Japanese,All,24,たいこ,33,understands,0
Japanese,All,25,たいこ,34,produces,0.4706
Japanese,All,25,たいこ,34,understands,0
Japanese,All,26,たいこ,33,produces,0.4242
Japanese,All,26,たいこ,33,understands,0
Japanese,All,27,たいこ,15,produces,0.5333
Japanese,All,27,たいこ,15,understands,0
Japanese,All,28,たいこ,18,produces,0.4444
Japanese,All,28,たいこ,18,understands,0
Japanese,All,29,たいこ,17,produces,0.7059
Japanese,All,29,たいこ,17,understands,0
Japanese,All,30,たいこ,18,produces,0.5
Japanese,All,30,たいこ,18,understands,0
Japanese,All,31,たいこ,18,produces,0.5556
Japanese,All,31,たいこ,18,understands,0
Japanese,All,32,たいこ,13,produces,0.6154
Japanese,All,32,たいこ,13,understands,0
Japanese,All,33,たいこ,16,produces,0.6875
Japanese,All,33,たいこ,16,understands,0
Japanese,All,34,たいこ,13,produces,0.5385
Japanese,All,34,たいこ,13,understands,0
Japanese,All,35,たいこ,31,produces,0.7419
Japanese,All,35,たいこ,31,understands,0
Japanese,All,36,たいこ,18,produces,0.8889
Japanese,All,36,たいこ,18,understands,0
Persian,All,8,طبل زدن/ضربه زدن/کوبیدن,7,produces,0
Persian,All,8,طبل زدن/ضربه زدن/کوبیدن,7,understands,0.1429
Persian,All,9,طبل زدن/ضربه زدن/کوبیدن,21,produces,0.0476
Persian,All,9,طبل زدن/ضربه زدن/کوبیدن,21,understands,0.4286
Persian,All,10,طبل زدن/ضربه زدن/کوبیدن,16,produces,0.0625
Persian,All,10,طبل زدن/ضربه زدن/کوبیدن,16,understands,0.5
Persian,All,11,طبل زدن/ضربه زدن/کوبیدن,13,produces,0.1538
Persian,All,11,طبل زدن/ضربه زدن/کوبیدن,13,understands,0.3846
Persian,All,12,طبل زدن/ضربه زدن/کوبیدن,11,produces,0
Persian,All,12,طبل زدن/ضربه زدن/کوبیدن,11,understands,0.4545
Persian,All,13,طبل زدن/ضربه زدن/کوبیدن,14,produces,0.1429
Persian,All,13,طبل زدن/ضربه زدن/کوبیدن,14,understands,0.7143
Persian,All,14,طبل زدن/ضربه زدن/کوبیدن,15,produces,0.1333
Persian,All,14,طبل زدن/ضربه زدن/کوبیدن,15,understands,0.5333
Persian,All,15,طبل زدن/ضربه زدن/کوبیدن,12,produces,0.1667
Persian,All,15,طبل زدن/ضربه زدن/کوبیدن,12,understands,0.6667
Persian,All,16,طبل زدن/ضربه زدن/کوبیدن,4,produces,0.5
Persian,All,16,طبل زدن/ضربه زدن/کوبیدن,4,understands,1
Catalan,Female,8,tambor,17,produces,0
Catalan,Female,8,tambor,17,understands,0.2941
Catalan,Male,8,tambor,22,produces,0
Catalan,Male,8,tambor,22,understands,0.0455
Catalan,Female,9,tambor,19,produces,0
Catalan,Female,9,tambor,19,understands,0
Catalan,Male,9,tambor,27,produces,0
Catalan,Male,9,tambor,27,understands,0
Catalan,Female,10,tambor,23,produces,0
