language,age,words,n,measure,prop
Italian,18,asciugare,31,produces,0.0645
Italian,18,asciugare,31,understands,0
Italian,19,asciugare,39,produces,0.0256
Italian,19,asciugare,39,understands,0
Italian,20,asciugare,64,produces,0.1406
Italian,20,asciugare,64,understands,0
Italian,21,asciugare,55,produces,0.2182
Italian,21,asciugare,55,understands,0
Italian,22,asciugare,55,produces,0.3455
Italian,22,asciugare,55,understands,0
Italian,23,asciugare,53,produces,0.434
Italian,23,asciugare,53,understands,0
Italian,24,asciugare,71,produces,0.4366
Italian,24,asciugare,71,understands,0
Italian,25,asciugare,39,produces,0.641
Italian,25,asciugare,39,understands,0
Italian,26,asciugare,41,produces,0.5854
Italian,26,asciugare,41,understands,0
Italian,27,asciugare,43,produces,0.5814
Italian,27,asciugare,43,understands,0
Italian,28,asciugare,44,produces,0.75
Italian,28,asciugare,44,understands,0
Italian,29,asciugare,37,produces,0.7297
Italian,29,asciugare,37,understands,0
Italian,30,asciugare,67,produces,0.8806
Italian,30,asciugare,67,understands,0
Italian,31,asciugare,19,produces,0.8421
Italian,31,asciugare,19,understands,0
Italian,32,asciugare,23,produces,0.8261
Italian,32,asciugare,23,understands,0
Italian,33,asciugare,16,produces,0.875
Italian,33,asciugare,16,understands,0
Italian,34,asciugare,19,produces,0.9474
Italian,34,asciugare,19,understands,0
Italian,35,asciugare,15,produces,0.8667
Italian,35,asciugare,15,understands,0
Italian,36,asciugare,21,produces,0.8095
Italian,36,asciugare,21,understands,0
Kiswahili,23,Kavu,2,produces,0
Kiswahili,23,Kavu,2,understands,0
Kiswahili,24,Kavu,12,produces,0.25
Kiswahili,24,Kavu,12,understands,0
Kiswahili,25,Kavu,10,produces,0.1
Kiswahili,25,Kavu,10,understands,0
Kiswahili,26,Kavu,13,produces,0.0769
Kiswahili,26,Kavu,13,understands,0
Kiswahili,27,Kavu,8,produces,0
Kiswahili,27,Kavu,8,understands,0
Kiswahili,28,Kavu,6,produces,0.1667
Kiswahili,28,Kavu,6,understands,0
Kiswahili,29,Kavu,6,produces,0.1667
Kiswahili,29,Kavu,6,understands,0
Kiswahili,30,Kavu,5,produces,0.8
Kiswahili,30,Kavu,5,understands,0
Korean,18,(빨래/싸움)말려,88,produces,0
Korean,18,(빨래/싸움)말려,88,understands,0
Korean,19,(빨래/싸움)말려,77,produces,0.013
Korean,19,(빨래/싸움)말려,77,understands,0
Korean,20,(빨래/싸움)말려,88,produces,0.0114
Korean,20,(빨래/싸움)말려,88,understands,0
Korean,21,(빨래/싸움)말려,79,produces,0.0253
Korean,21,(빨래/싸움)말려,79,understands,0
Korean,22,(빨래/싸움)말려,87,produces,0.0345
Korean,22,(빨래/싸움)말려,87,understands,0
Korean,23,(빨래/싸움)말려,87,produces,0.0575
Korean,23,(빨래/싸움)말려,87,understands,0
Korean,24,(빨래/싸움)말려,107,produces,0.0654
Korean,24,(빨래/싸움)말려,107,understands,0
Korean,25,(빨래/싸움)말려,95,produces,0.0632
Korean,25,(빨래/싸움)말려,95,understands,0
Korean,26,(빨래/싸움)말려,91,produces,0.1978
Korean,26,(빨래/싸움)말려,91,understands,0
Korean,27,(빨래/싸움)말려,104,produces,0.125
Korean,27,(빨래/싸움)말려,104,understands,0
Korean,28,(빨래/싸움)말려,89,produces,0.3034
Korean,28,(빨래/싸움)말려,89,understands,0
Korean,29,(빨래/싸움)말려,101,produces,0.2673
Korean,29,(빨래/싸움)말려,101,understands,0
Korean,30,(빨래/싸움)말려,81,produces,0.2346
Korean,30,(빨래/싸움)말려,81,understands,0
Korean,31,(빨래/싸움)말려,79,produces,0.2785
Korean,31,(빨래/싸움)말려,79,understands,0
Korean,32,(빨래/싸움)말려,70,produces,0.3286
Korean,32,(빨래/싸움)말려,70,understands,0
Korean,33,(빨래/싸움)말려,79,produces,0.2911
Korean,33,(빨래/싸움)말려,79,understands,0
Korean,34,(빨래/싸움)말려,79,produces,0.4051
Korean,34,(빨래/싸움)말려,79,understands,0
Korean,35,(빨래/싸움)말려,74,produces,0.3378
Korean,35,(빨래/싸움)말려,74,understands,0
Korean,36,(빨래/싸움)말려,75,produces,0.4533
Korean,36,(빨래/싸움)말려,75,understands,0
Norwegian,8,tørke,77,produces,0.026
Norwegian,8,tørke,77,understands,0.026
Norwegian,9,tørke,138,produces,0
Norwegian,9,tørke,138,understands,0.029
Norwegian,10,tørke,203,produces,0
Norwegian,10,tørke,203,understands,0.0345
Norwegian,11,tørke,241,produces,0.0041
Norwegian,11,tørke,241,understands,0.0581
Norwegian,12,tørke,221,produces,0
Norwegian,12,tørke,221,understands,0.0995
Norwegian,13,tørke,246,produces,0
Norwegian,13,tørke,246,understands,0.1463
Norwegian,14,tørke,269,produces,0
Norwegian,14,tørke,269,understands,0.2119
Norwegian,15,tørke,239,produces,0.0209
Norwegian,15,tørke,239,understands,0.2469
Norwegian,16,tørke,346,produces,0.0173
Norwegian,16,tørke,346,understands,0.2486
Norwegian,17,tørke,435,produces,0.0414
Norwegian,17,tørke,435,understands,0.2184
Norwegian,18,tørke,494,produces,0.0709
Norwegian,18,tørke,494,understands,0.2834
Norwegian,19,tørke,504,produces,0.0873
Norwegian,19,tørke,504,understands,0.256
Norwegian,20,tørke,601,produces,0.1681
Norwegian,20,tørke,601,understands,0.2812
Norwegian,21,tørke,418,produces,0.2344
Norwegian,21,tørke,418,understands,0
Norwegian,22,tørke,596,produces,0.2802
Norwegian,22,tørke,596,understands,0
Norwegian,23,tørke,566,produces,0.4223
Norwegian,23,tørke,566,understands,0
Norwegian,24,tørke,538,produces,0.4963
Norwegian,24,tørke,538,understands,0
Norwegian,25,tørke,656,produces,0.5808
Norwegian,25,tørke,656,understands,0
Norwegian,26,tørke,644,produces,0.6335
Norwegian,26,tørke,644,understands,0
Norwegian,27,tørke,525,produces,0.7048
Norwegian,27,tørke,525,understands,0
Norwegian,28,tørke,544,produces,0.75
Norwegian,28,tørke,544,understands,0
Norwegian,29,tørke,536,produces,0.8004
Norwegian,29,tørke,536,understands,0
Norwegian,30,tørke,457,produces,0.8074
Norwegian,30,tørke,457,understands,0
Norwegian,31,tørke,479,produces,0.8497
Norwegian,31,tørke,479,understands,0
Norwegian,32,tørke,451,produces,0.8736
Norwegian,32,tørke,451,understands,0
Norwegian,33,tørke,430,produces,0.907
Norwegian,33,tørke,430,understands,0
Norwegian,34,tørke,424,produces,0.8962
Norwegian,34,tørke,424,understands,0
Norwegian,35,tørke,422,produces,0.9408
Norwegian,35,tørke,422,understands,0
Norwegian,36,tørke,329,produces,0.9392
Norwegian,36,tørke,329,understands,0
Slovak,17,vysušiť,70,produces,0.0286
Slovak,17,vysušiť,70,understands,0
Slovak,18,vysušiť,65,produces,0.0462
Slovak,18,vysušiť,65,understands,0
Slovak,19,vysušiť,56,produces,0.0357
Slovak,19,vysušiť,56,understands,0
Slovak,20,vysušiť,62,produces,0.1452
Slovak,20,vysušiť,62,understands,0
Slovak,21,vysušiť,81,produces,0.1605
Slovak,21,vysušiť,81,understands,0
Slovak,22,vysušiť,53,produces,0.2453
Slovak,22,vysušiť,53,understands,0
Slovak,23,vysušiť,59,produces,0.322
