language,age,words,n,measure,prop
Italian,7,asciutto,5,produces,0
Italian,7,asciutto,5,understands,0.2
Italian,8,asciutto,34,produces,0
Italian,8,asciutto,34,understands,0
Italian,9,asciutto,38,produces,0
Italian,9,asciutto,38,understands,0
Italian,10,asciutto,53,produces,0
Italian,10,asciutto,53,understands,0
Italian,11,asciutto,42,produces,0
Italian,11,asciutto,42,understands,0.0476
Italian,12,asciutto,69,produces,0
Italian,12,asciutto,69,understands,0.0435
Italian,13,asciutto,48,produces,0
Italian,13,asciutto,48,understands,0.0208
Italian,14,asciutto,40,produces,0
Italian,14,asciutto,40,understands,0.075
Italian,15,asciutto,68,produces,0
Italian,15,asciutto,68,understands,0.0882
Italian,16,asciutto,56,produces,0
Italian,16,asciutto,56,understands,0.1071
Italian,17,asciutto,48,produces,0.0208
Italian,17,asciutto,48,understands,0.1667
Italian,18,asciutto,75,produces,0.0133
Italian,18,asciutto,75,understands,0.0933
Italian,19,asciutto,58,produces,0.0345
Italian,19,asciutto,58,understands,0.0172
Italian,20,asciutto,83,produces,0.0843
Italian,20,asciutto,83,understands,0.0602
Italian,21,asciutto,67,produces,0.1791
Italian,21,asciutto,67,understands,0.1493
Italian,22,asciutto,77,produces,0.2078
Italian,22,asciutto,77,understands,0.0649
Italian,23,asciutto,70,produces,0.2571
Italian,23,asciutto,70,understands,0.1714
Italian,24,asciutto,85,produces,0.2824
Italian,24,asciutto,85,understands,0.0941
Italian,25,asciutto,39,produces,0.5385
Italian,25,asciutto,39,understands,0
Italian,26,asciutto,41,produces,0.5366
Italian,26,asciutto,41,understands,0
Italian,27,asciutto,43,produces,0.4651
Italian,27,asciutto,43,understands,0
Italian,28,asciutto,44,produces,0.6136
Italian,28,asciutto,44,understands,0
Italian,29,asciutto,37,produces,0.6486
Italian,29,asciutto,37,understands,0
Italian,30,asciutto,67,produces,0.7761
Italian,30,asciutto,67,understands,0
Italian,31,asciutto,19,produces,0.8421
Italian,31,asciutto,19,understands,0
Italian,32,asciutto,23,produces,0.7391
Italian,32,asciutto,23,understands,0
Italian,33,asciutto,16,produces,0.6875
Italian,33,asciutto,16,understands,0
Italian,34,asciutto,19,produces,0.9474
Italian,34,asciutto,19,understands,0
Italian,35,asciutto,15,produces,0.8
Italian,35,asciutto,15,understands,0
Italian,36,asciutto,21,produces,0.7143
Italian,36,asciutto,21,understands,0
Japanese,16,かわいた,11,produces,0
Japanese,16,かわいた,11,understands,0
Japanese,17,かわいた,17,produces,0
Japanese,17,かわいた,17,understands,0
Japanese,18,かわいた,56,produces,0
Japanese,18,かわいた,56,understands,0
Japanese,19,かわいた,35,produces,0
Japanese,19,かわいた,35,understands,0
Japanese,20,かわいた,59,produces,0
Japanese,20,かわいた,59,understands,0
Japanese,21,かわいた,62,produces,0
Japanese,21,かわいた,62,understands,0
Japanese,22,かわいた,31,produces,0
Japanese,22,かわいた,31,understands,0
Japanese,23,かわいた,67,produces,0
Japanese,23,かわいた,67,understands,0
Japanese,24,かわいた,33,produces,0.0606
Japanese,24,かわいた,33,understands,0
Japanese,25,かわいた,34,produces,0.0294
Japanese,25,かわいた,34,understands,0
Japanese,26,かわいた,33,produces,0.1212
Japanese,26,かわいた,33,understands,0
Japanese,27,かわいた,15,produces,0
Japanese,27,かわいた,15,understands,0
Japanese,28,かわいた,18,produces,0.1667
Japanese,28,かわいた,18,understands,0
Japanese,29,かわいた,17,produces,0.2353
Japanese,29,かわいた,17,understands,0
Japanese,30,かわいた,18,produces,0.2778
Japanese,30,かわいた,18,understands,0
Japanese,31,かわいた,18,produces,0.3333
Japanese,31,かわいた,18,understands,0
Japanese,32,かわいた,13,produces,0.3846
Japanese,32,かわいた,13,understands,0
Japanese,33,かわいた,16,produces,0.375
Japanese,33,かわいた,16,understands,0
Japanese,34,かわいた,13,produces,0.3846
Japanese,34,かわいた,13,understands,0
Japanese,35,かわいた,31,produces,0.5161
Japanese,35,かわいた,31,understands,0
Japanese,36,かわいた,18,produces,0.3333
Japanese,36,かわいた,18,understands,0
Kigiriama,16,Furufu/ Kavu/ uma,1,produces,0
Kigiriama,16,Furufu/ Kavu/ uma,1,understands,0
Kigiriama,17,Furufu/ Kavu/ uma,6,produces,0
Kigiriama,17,Furufu/ Kavu/ uma,6,understands,0
Kigiriama,18,Furufu/ Kavu/ uma,13,produces,0.0769
Kigiriama,18,Furufu/ Kavu/ uma,13,understands,0
Kigiriama,19,Furufu/ Kavu/ uma,8,produces,0
Kigiriama,19,Furufu/ Kavu/ uma,8,understands,0
Kigiriama,20,Furufu/ Kavu/ uma,14,produces,0
Kigiriama,20,Furufu/ Kavu/ uma,14,understands,0
Kigiriama,21,Furufu/ Kavu/ uma,6,produces,0.1667
Kigiriama,21,Furufu/ Kavu/ uma,6,understands,0
Kigiriama,22,Furufu/ Kavu/ uma,9,produces,0.3333
Kigiriama,22,Furufu/ Kavu/ uma,9,understands,0
Kigiriama,23,Furufu/ Kavu/ uma,4,produces,0
Kigiriama,23,Furufu/ Kavu/ uma,4,understands,0
Kigiriama,24,Furufu/ Kavu/ uma,7,produces,0.1429
Kigiriama,24,Furufu/ Kavu/ uma,7,understands,0
Kigiriama,25,Furufu/ Kavu/ uma,3,produces,0.3333
Kigiriama,25,Furufu/ Kavu/ uma,3,understands,0
Kigiriama,26,Furufu/ Kavu/ uma,6,produces,0.3333
Kigiriama,26,Furufu/ Kavu/ uma,6,understands,0
Kigiriama,27,Furufu/ Kavu/ uma,4,produces,1
Kigiriama,27,Furufu/ Kavu/ uma,4,understands,0
Kigiriama,28,Furufu/ Kavu/ uma,1,produces,0
Kigiriama,28,Furufu/ Kavu/ uma,1,understands,0
Kigiriama,29,Furufu/ Kavu/ uma,5,produces,0.4
Kigiriama,29,Furufu/ Kavu/ uma,5,understands,0
Kigiriama,30,Furufu/ Kavu/ uma,1,produces,1
Kigiriama,30,Furufu/ Kavu/ uma,1,understands,0
Latvian,8,sauss,16,produces,0
Latvian,8,sauss,16,understands,0
Latvian,9,sauss,18,produces,0
Latvian,9,sauss,18,understands,0.0556
Latvian,10,sauss,26,produces,0
Latvian,10,sauss,26,understands,0.0769
Latvian,11,sauss,15,produces,0
Latvian,11,sauss,15,understands,0.2
Latvian,12,sauss,16,produces,0
Latvian,12,sauss,16,understands,0.1875
Latvian,13,sauss,22,produces,0
Latvian,13,sauss,22,understands,0.1364
Latvian,14,sauss,25,produces,0.04
Latvian,14,sauss,25,understands,0.24
Latvian,15,sauss,29,produces,0
Latvian,15,sauss,29,understands,0.2069
Latvian,16,sauss,16,produces,0.0625
Latvian,16,sauss,16,understands,0.1875
Latvian,17,sauss,27,produces,0.0741
Latvian,17,sauss,27,understands,0
Latvian,18,sauss,21,produces,0
Latvian,18,sauss,21,understands,0
Latvian,19,sauss,28,produces,0.0357
Latvian,19,sauss,28,understands,0
Latvian,20,sauss,34,produces,0.0882
Latvian,20,sauss,34,understands,0
Latvian,21,sauss,26,produces,0.1538
Latvian,21,sauss,26,understands,0
Latvian,22,sauss,32,produces,0.1562
Latvian,22,sauss,32,understands,0
Latvian,23,sauss,25,produces,0.24
Latvian,23,sauss,25,understands,0
Latvian,24,sauss,30,produces,0.4333
Latvian,24,sauss,30,understands,0
Latvian,25,sauss,29,produces,0.1724
Latvian,25,sauss,29,understands,0
Latvian,26,sauss,22,produces,0.5455
Latvian,26,sauss,22,understands,0
Latvian,27,sauss,18,produces,0.5556
Latvian,27,sauss,18,understands,0
Latvian,28,sauss,23,produces,0.3043
Latvian,28,sauss,23,understands,0
Latvian,29,sauss,24,produces,0.5
Latvian,29,sauss,24,understands,0
Latvian,30,sauss,26,produces,0.5
Latvian,30,sauss,26,understands,0
Latvian,31,sauss,19,produces,0.5789
Latvian,31,sauss,19,understands,0
Latvian,32,sauss,25,produces,0.52
Latvian,32,sauss,25,understands,0
Latvian,33,sauss,31,produces,0.6774
Latvian,33,sauss,31,understands,0
Latvian,34,sauss,17,produces,0.8235
Latvian,34,sauss,17,understands,0
Latvian,35,sauss,21,produces,0.7619
Latvian,35,sauss,21,understands,0
Latvian,36,sauss,22,produces,0.4545
Latvian,36,sauss,22,understands,0
Mandarin (Beijing),16,累,70,produces,0.0429
Mandarin (Beijing),16,累,70,understands,0
Mandarin (Beijing),17,"干, 累",112,produces,0.1429
Mandarin (Beijing),17,"干, 累",112,understands,0
Mandarin (Beijing),18,"干, 累",121,produces,0.1983
Mandarin (Beijing),18,"干, 累",121,understands,0
Mandarin (Beijing),19,"干, 累",120,produces,0.3333
Mandarin (Beijing),19,"干, 累",120,understands,0
Mandarin (Beijing),20,"干, 累",121,produces,0.4545
Mandarin (Beijing),20,"干, 累",121,understands,0
Mandarin (Beijing),21,"干, 累",119,produces,0.5042
Mandarin (Beijing),21,"干, 累",119,understands,0
Mandarin (Beijing),22,"干, 累",117,produces,0.5128
Mandarin (Beijing),22,"干, 累",117,understands,0
Mandarin (Beijing),23,"干, 累",120,produces,0.7167
Mandarin (Beijing),23,"干, 累",120,understands,0
