language,age,words,n,measure,prop
Italian,7,ascensore,5,produces,0
Italian,7,ascensore,5,understands,0.2
Italian,8,ascensore,34,produces,0
Italian,8,ascensore,34,understands,0.0882
Italian,9,ascensore,38,produces,0
Italian,9,ascensore,38,understands,0.1579
Italian,10,ascensore,53,produces,0
Italian,10,ascensore,53,understands,0.0755
Italian,11,ascensore,42,produces,0
Italian,11,ascensore,42,understands,0.2143
Italian,12,ascensore,69,produces,0
Italian,12,ascensore,69,understands,0.2464
Italian,13,ascensore,48,produces,0
Italian,13,ascensore,48,understands,0.2083
Italian,14,ascensore,40,produces,0
Italian,14,ascensore,40,understands,0.3
Italian,15,ascensore,68,produces,0
Italian,15,ascensore,68,understands,0.2794
Italian,16,ascensore,56,produces,0.0179
Italian,16,ascensore,56,understands,0.4286
Italian,17,ascensore,48,produces,0.0625
Italian,17,ascensore,48,understands,0.4583
Italian,18,ascensore,75,produces,0.04
Italian,18,ascensore,75,understands,0.2533
Italian,19,ascensore,58,produces,0.0517
Italian,19,ascensore,58,understands,0.1207
Italian,20,ascensore,83,produces,0.0964
Italian,20,ascensore,83,understands,0.0843
Italian,21,ascensore,67,produces,0.2388
Italian,21,ascensore,67,understands,0.1194
Italian,22,ascensore,77,produces,0.2987
Italian,22,ascensore,77,understands,0.1429
Italian,23,ascensore,70,produces,0.3286
Italian,23,ascensore,70,understands,0.1714
Italian,24,ascensore,85,produces,0.4118
Italian,24,ascensore,85,understands,0.1294
Italian,25,ascensore,39,produces,0.5128
Italian,25,ascensore,39,understands,0
Italian,26,ascensore,41,produces,0.6341
Italian,26,ascensore,41,understands,0
Italian,27,ascensore,43,produces,0.5349
Italian,27,ascensore,43,understands,0
Italian,28,ascensore,44,produces,0.6364
Italian,28,ascensore,44,understands,0
Italian,29,ascensore,37,produces,0.6486
Italian,29,ascensore,37,understands,0
Italian,30,ascensore,67,produces,0.7463
Italian,30,ascensore,67,understands,0
Italian,31,ascensore,19,produces,0.8947
Italian,31,ascensore,19,understands,0
Italian,32,ascensore,23,produces,0.8261
Italian,32,ascensore,23,understands,0
Italian,33,ascensore,16,produces,0.9375
Italian,33,ascensore,16,understands,0
Italian,34,ascensore,19,produces,0.9474
Italian,34,ascensore,19,understands,0
Italian,35,ascensore,15,produces,0.9333
Italian,35,ascensore,15,understands,0
Italian,36,ascensore,21,produces,0.9048
Italian,36,ascensore,21,understands,0
Latvian,17,lifts,27,produces,0
Latvian,17,lifts,27,understands,0
Latvian,18,lifts,21,produces,0.0476
Latvian,18,lifts,21,understands,0
Latvian,19,lifts,28,produces,0.0357
Latvian,19,lifts,28,understands,0
Latvian,20,lifts,34,produces,0.0588
Latvian,20,lifts,34,understands,0
Latvian,21,lifts,26,produces,0.1538
Latvian,21,lifts,26,understands,0
Latvian,22,lifts,32,produces,0.125
Latvian,22,lifts,32,understands,0
Latvian,23,lifts,25,produces,0.04
Latvian,23,lifts,25,understands,0
Latvian,24,lifts,30,produces,0.3333
Latvian,24,lifts,30,understands,0
Latvian,25,lifts,29,produces,0.1379
Latvian,25,lifts,29,understands,0
Latvian,26,lifts,22,produces,0.2273
Latvian,26,lifts,22,understands,0
Latvian,27,lifts,18,produces,0.0556
Latvian,27,lifts,18,understands,0
Latvian,28,lifts,23,produces,0.3043
Latvian,28,lifts,23,understands,0
Latvian,29,lifts,24,produces,0.2083
Latvian,29,lifts,24,understands,0
Latvian,30,lifts,26,produces,0.3846
Latvian,30,lifts,26,understands,0
Latvian,31,lifts,19,produces,0.2105
Latvian,31,lifts,19,understands,0
Latvian,32,lifts,25,produces,0.44
Latvian,32,lifts,25,understands,0
Latvian,33,lifts,31,produces,0.5161
Latvian,33,lifts,31,understands,0
Latvian,34,lifts,17,produces,0.4706
Latvian,34,lifts,17,understands,0
Latvian,35,lifts,21,produces,0.5238
Latvian,35,lifts,21,understands,0
Latvian,36,lifts,22,produces,0.2273
Latvian,36,lifts,22,understands,0
Mandarin (Beijing),16,电梯,70,produces,0
Mandarin (Beijing),16,电梯,70,understands,0
Mandarin (Beijing),17,电梯,112,produces,0.0625
Mandarin (Beijing),17,电梯,112,understands,0
Mandarin (Beijing),18,电梯,121,produces,0.124
Mandarin (Beijing),18,电梯,121,understands,0
Mandarin (Beijing),19,电梯,120,produces,0.225
Mandarin (Beijing),19,电梯,120,understands,0
Mandarin (Beijing),20,电梯,121,produces,0.2397
Mandarin (Beijing),20,电梯,121,understands,0
Mandarin (Beijing),21,电梯,119,produces,0.2857
Mandarin (Beijing),21,电梯,119,understands,0
Mandarin (Beijing),22,电梯,117,produces,0.3162
Mandarin (Beijing),22,电梯,117,understands,0
Mandarin (Beijing),23,电梯,120,produces,0.5417
Mandarin (Beijing),23,电梯,120,understands,0
Mandarin (Beijing),24,电梯,120,produces,0.55
Mandarin (Beijing),24,电梯,120,understands,0
Mandarin (Beijing),25,电梯,113,produces,0.6106
Mandarin (Beijing),25,电梯,113,understands,0
Mandarin (Beijing),26,电梯,118,produces,0.6525
Mandarin (Beijing),26,电梯,118,understands,0
Mandarin (Beijing),27,电梯,114,produces,0.7105
Mandarin (Beijing),27,电梯,114,understands,0
Mandarin (Beijing),28,电梯,114,produces,0.7281
Mandarin (Beijing),28,电梯,114,understands,0
Mandarin (Beijing),29,电梯,119,produces,0.8403
Mandarin (Beijing),29,电梯,119,understands,0
Mandarin (Beijing),30,电梯,110,produces,0.8364
Mandarin (Beijing),30,电梯,110,understands,0
Mandarin (Taiwanese),8,電梯,86,produces,0
Mandarin (Taiwanese),8,電梯,86,understands,0.1744
Mandarin (Taiwanese),9,電梯,79,produces,0
Mandarin (Taiwanese),9,電梯,79,understands,0.2911
Mandarin (Taiwanese),10,電梯,78,produces,0
Mandarin (Taiwanese),10,電梯,78,understands,0.1282
Mandarin (Taiwanese),11,電梯,79,produces,0
Mandarin (Taiwanese),11,電梯,79,understands,0.1013
Mandarin (Taiwanese),12,電梯,80,produces,0.025
Mandarin (Taiwanese),12,電梯,80,understands,0.1
Mandarin (Taiwanese),13,電梯,78,produces,0
Mandarin (Taiwanese),13,電梯,78,understands,0.1026
Mandarin (Taiwanese),14,電梯,81,produces,0
Mandarin (Taiwanese),14,電梯,81,understands,0.0864
Mandarin (Taiwanese),15,電梯,106,produces,0.0094
Mandarin (Taiwanese),15,電梯,106,understands,0.1887
Mandarin (Taiwanese),16,電梯,170,produces,0.0235
Mandarin (Taiwanese),16,電梯,170,understands,0.1235
Mandarin (Taiwanese),17,電梯,87,produces,0.0115
Mandarin (Taiwanese),17,電梯,87,understands,0
Mandarin (Taiwanese),18,電梯,84,produces,0.0357
Mandarin (Taiwanese),18,電梯,84,understands,0
Mandarin (Taiwanese),19,電梯,84,produces,0.0833
Mandarin (Taiwanese),19,電梯,84,understands,0
Mandarin (Taiwanese),20,電梯,84,produces,0.0833
Mandarin (Taiwanese),20,電梯,84,understands,0
Mandarin (Taiwanese),21,電梯,88,produces,0.1477
Mandarin (Taiwanese),21,電梯,88,understands,0
Mandarin (Taiwanese),22,電梯,96,produces,0.2083
Mandarin (Taiwanese),22,電梯,96,understands,0
Mandarin (Taiwanese),23,電梯,105,produces,0.2571
Mandarin (Taiwanese),23,電梯,105,understands,0
Mandarin (Taiwanese),24,電梯,124,produces,0.3548
Mandarin (Taiwanese),24,電梯,124,understands,0
Mandarin (Taiwanese),25,電梯,110,produces,0.3455
Mandarin (Taiwanese),25,電梯,110,understands,0
Mandarin (Taiwanese),26,電梯,87,produces,0.4138
Mandarin (Taiwanese),26,電梯,87,understands,0
Mandarin (Taiwanese),27,電梯,92,produces,0.4891
Mandarin (Taiwanese),27,電梯,92,understands,0
Mandarin (Taiwanese),28,電梯,100,produces,0.55
Mandarin (Taiwanese),28,電梯,100,understands,0
Mandarin (Taiwanese),29,電梯,88,produces,0.6477
Mandarin (Taiwanese),29,電梯,88,understands,0
Mandarin (Taiwanese),30,電梯,94,produces,0.5957
Mandarin (Taiwanese),30,電梯,94,understands,0
Mandarin (Taiwanese),31,電梯,88,produces,0.6136
Mandarin (Taiwanese),31,電梯,88,understands,0
Mandarin (Taiwanese),32,電梯,82,produces,0.6585
Mandarin (Taiwanese),32,電梯,82,understands,0
Mandarin (Taiwanese),33,電梯,85,produces,0.8
Mandarin (Taiwanese),33,電梯,85,understands,0
Mandarin (Taiwanese),34,電梯,77,produces,0.7792
Mandarin (Taiwanese),34,電梯,77,understands,0
Mandarin (Taiwanese),35,電梯,81,produces,0.8519
Mandarin (Taiwanese),35,電梯,81,understands,0
Mandarin (Taiwanese),36,電梯,81,produces,0.7654
Mandarin (Taiwanese),36,電梯,81,understands,0
Russian,8,лифт,59,produces,0
Russian,8,лифт,59,understands,0.0169
Russian,9,лифт,42,produces,0
Russian,9,лифт,42,understands,0.119
Russian,10,лифт,63,produces,0
Russian,10,лифт,63,understands,0.0794
Russian,11,лифт,71,produces,0
Russian,11,лифт,71,understands,0.1549
Russian,12,лифт,76,produces,0
Russian,12,лифт,76,understands,0.1579
Russian,13,лифт,73,produces,0
Russian,13,лифт,73,understands,0.2877
Russian,14,лифт,79,produces,0.0127
Russian,14,лифт,79,understands,0.4177
Russian,15,лифт,81,produces,0.0123
Russian,15,лифт,81,understands,0.4444
Russian,16,лифт,81,produces,0.037
Russian,16,лифт,81,understands,0.5309
Russian,17,лифт,80,produces,0.025
Russian,17,лифт,80,understands,0.45
Russian,18,лифт,105,produces,0.0952
Russian,18,лифт,105,understands,0.3714
Russian,19,лифт,41,produces,0.0976
Russian,19,лифт,41,understands,0
Russian,20,лифт,45,produces,0.1333
Russian,20,лифт,45,understands,0
Russian,21,лифт,43,produces,0.3023
Russian,21,лифт,43,understands,0
Russian,22,лифт,51,produces,0.2745
Russian,22,лифт,51,understands,0
Russian,23,лифт,56,produces,0.3571
Russian,23,лифт,56,understands,0
Russian,24,лифт,61,produces,0.3443
Russian,24,лифт,61,understands,0
Russian,25,лифт,66,produces,0.4697
Russian,25,лифт,66,understands,0
Russian,26,лифт,52,produces,0.5
Russian,26,лифт,52,understands,0
Russian,27,лифт,60,produces,0.5667
Russian,27,лифт,60,understands,0
Russian,28,лифт,60,produces,0.6333
Russian,28,лифт,60,understands,0
Russian,29,лифт,58,produces,0.6379
Russian,29,лифт,58,understands,0
Russian,30,лифт,77,produces,0.6234
Russian,30,лифт,77,understands,0
Russian,31,лифт,61,produces,0.7541
Russian,31,лифт,61,understands,0
Russian,32,лифт,55,produces,0.7455
Russian,32,лифт,55,understands,0
Russian,33,лифт,55,produces,0.7818
Russian,33,лифт,55,understands,0
Russian,34,лифт,58,produces,0.7931
Russian,34,лифт,58,understands,0
Russian,35,лифт,47,produces,0.8085
Russian,35,лифт,47,understands,0
Russian,36,лифт,49,produces,0.898
Russian,36,лифт,49,understands,0
Cantonese,16,電梯/????,46,produces,0.0217
Cantonese,16,電梯/????,46,understands,0
Cantonese,17,電梯/????,61,produces,0.0492
Cantonese,17,電梯/????,61,understands,0
Cantonese,18,電梯/????,68,produces,0.1471
Cantonese,18,電梯/????,68,understands,0
Cantonese,19,電梯/????,66,produces,0.197
Cantonese,19,電梯/????,66,understands,0
Cantonese,20,電梯/????,140,produces,0.2429
Cantonese,20,電梯/????,140,understands,0
Cantonese,21,電梯/????,120,produces,0.3083
Cantonese,21,電梯/????,120,understands,0
Cantonese,22,電梯/????,68,produces,0.4265
Cantonese,22,電梯/????,68,understands,0
Cantonese,23,電梯/????,74,produces,0.527
Cantonese,23,電梯/????,74,understands,0
Cantonese,24,電梯/????,68,produces,0.5147
Cantonese,24,電梯/????,68,understands,0
Cantonese,25,電梯/????,65,produces,0.7846
Cantonese,25,電梯/????,65,understands,0
Cantonese,26,電梯/????,68,produces,0.6618
Cantonese,26,電梯/????,68,understands,0
Cantonese,27,電梯/????,62,produces,0.7903
Cantonese,27,電梯/????,62,understands,0
Cantonese,28,電梯/????,66,produces,0.8182
Cantonese,28,電梯/????,66,understands,0
Cantonese,29,電梯/????,72,produces,0.8333
Cantonese,29,電梯/????,72,understands,0
Cantonese,30,電梯/????,164,produces,0.8537
Cantonese,30,電梯/????,164,understands,0
Catalan,16,ascensor,24,produces,0
Catalan,16,ascensor,24,understands,0
Catalan,17,ascensor,36,produces,0.0278
Catalan,17,ascensor,36,understands,0
Catalan,18,ascensor,51,produces,0.0196
Catalan,18,ascensor,51,understands,0
Catalan,19,ascensor,45,produces,0.0889
Catalan,19,ascensor,45,understands,0
Catalan,20,ascensor,56,produces,0.125
Catalan,20,ascensor,56,understands,0
Catalan,21,ascensor,58,produces,0.1207
Catalan,21,ascensor,58,understands,0
Catalan,22,ascensor,50,produces,0.26
Catalan,22,ascensor,50,understands,0
Catalan,23,ascensor,66,produces,0.2424
Catalan,23,ascensor,66,understands,0
Catalan,24,ascensor,79,produces,0.3924
Catalan,24,ascensor,79,understands,0
Catalan,25,ascensor,60,produces,0.45
Catalan,25,ascensor,60,understands,0
Catalan,26,ascensor,65,produces,0.4615
Catalan,26,ascensor,65,understands,0
Catalan,27,ascensor,63,produces,0.6508
Catalan,27,ascensor,63,understands,0
Catalan,28,ascensor,81,produces,0.5556
Catalan,28,ascensor,81,understands,0
Catalan,29,ascensor,50,produces,0.74
Catalan,29,ascensor,50,understands,0
Catalan,30,ascensor,75,produces,0.6667
Catalan,30,ascensor,75,understands,0
