language,sex,age,words,n,measure,prop
English (American),All,16,every,930,produces,0.0011
English (American),All,16,every,930,understands,0
English (American),All,17,every,458,produces,0.0175
English (American),All,17,every,458,understands,0
English (American),All,18,every,641,produces,0.0156
English (American),All,18,every,641,understands,0
English (American),All,19,every,570,produces,0.0175
English (American),All,19,every,570,understands,0
English (American),All,20,every,537,produces,0.0112
English (American),All,20,every,537,understands,0
English (American),All,21,every,366,produces,0.0137
English (American),All,21,every,366,understands,0
English (American),All,22,every,454,produces,0.0264
English (American),All,22,every,454,understands,0
English (American),All,23,every,470,produces,0.066
English (American),All,23,every,470,understands,0
English (American),All,24,every,985,produces,0.0772
English (American),All,24,every,985,understands,0
English (American),All,25,every,757,produces,0.1123
English (American),All,25,every,757,understands,0
English (American),All,26,every,435,produces,0.1448
English (American),All,26,every,435,understands,0
English (American),All,27,every,361,produces,0.1856
English (American),All,27,every,361,understands,0
English (American),All,28,every,954,produces,0.2547
English (American),All,28,every,954,understands,0
English (American),All,29,every,390,produces,0.3128
English (American),All,29,every,390,understands,0
English (American),All,30,every,785,produces,0.3032
English (American),All,30,every,785,understands,0
English (Irish),All,17,every,2,produces,0
English (Irish),All,17,every,2,understands,0
English (Irish),All,18,every,1,produces,0
English (Irish),All,18,every,1,understands,0
English (Irish),All,19,every,2,produces,0
English (Irish),All,19,every,2,understands,0
English (Irish),All,20,every,1,produces,0
English (Irish),All,20,every,1,understands,0
English (Irish),All,21,every,3,produces,0
English (Irish),All,21,every,3,understands,0
English (Irish),All,22,every,4,produces,0
English (Irish),All,22,every,4,understands,0
English (Irish),All,23,every,4,produces,0
English (Irish),All,23,every,4,understands,0
English (Irish),All,24,every,4,produces,0.25
English (Irish),All,24,every,4,understands,0
English (Irish),All,25,every,6,produces,0
English (Irish),All,25,every,6,understands,0
English (Irish),All,26,every,10,produces,0
English (Irish),All,26,every,10,understands,0
English (Irish),All,27,every,5,produces,0
English (Irish),All,27,every,5,understands,0
English (Irish),All,28,every,7,produces,0
English (Irish),All,28,every,7,understands,0
English (Irish),All,29,every,4,produces,0
English (Irish),All,29,every,4,understands,0
English (Irish),All,30,every,9,produces,0.1111
English (Irish),All,30,every,9,understands,0
English (Irish),All,31,every,8,produces,0.125
English (Irish),All,31,every,8,understands,0
English (Irish),All,32,every,4,produces,0
English (Irish),All,32,every,4,understands,0
English (Irish),All,33,every,5,produces,0.2
English (Irish),All,33,every,5,understands,0
English (Irish),All,34,every,4,produces,0
English (Irish),All,34,every,4,understands,0
English (Irish),All,35,every,11,produces,0.2727
English (Irish),All,35,every,11,understands,0
English (Irish),All,36,every,5,produces,0.2
English (Irish),All,36,every,5,understands,0
Hebrew,All,25,כל,82,produces,0.2927
Hebrew,All,25,כל,82,understands,0
Hebrew,All,26,כל,80,produces,0.4625
Hebrew,All,26,כל,80,understands,0
Hebrew,All,27,כל,68,produces,0.5147
Hebrew,All,27,כל,68,understands,0
Hebrew,All,28,כל,57,produces,0.5965
Hebrew,All,28,כל,57,understands,0
Hebrew,All,29,כל,47,produces,0.5532
Hebrew,All,29,כל,47,understands,0
Hebrew,All,30,כל,28,produces,0.5
Hebrew,All,30,כל,28,understands,0
Hebrew,All,31,כל,35,produces,0.6857
Hebrew,All,31,כל,35,understands,0
Hebrew,All,32,כל,36,produces,0.5833
Hebrew,All,32,כל,36,understands,0
Hebrew,All,33,כל,21,produces,0.7143
Hebrew,All,33,כל,21,understands,0
Hebrew,All,34,כל,27,produces,0.7407
Hebrew,All,34,כל,27,understands,0
Hebrew,All,35,כל,18,produces,0.7222
Hebrew,All,35,כל,18,understands,0
Hebrew,All,36,כל,5,produces,0.6
Hebrew,All,36,כל,5,understands,0
Irish,All,17,"gach, gachaon_uile",2,produces,0
Irish,All,17,"gach, gachaon_uile",2,understands,0
Irish,All,18,"gach, gachaon_uile",1,produces,0
Irish,All,18,"gach, gachaon_uile",1,understands,0
Irish,All,19,"gach, gachaon_uile",2,produces,0
Irish,All,19,"gach, gachaon_uile",2,understands,0
Irish,All,20,"gach, gachaon_uile",1,produces,0
Irish,All,20,"gach, gachaon_uile",1,understands,0
Irish,All,21,"gach, gachaon_uile",3,produces,0
Irish,All,21,"gach, gachaon_uile",3,understands,0
Irish,All,22,"gach, gachaon_uile",4,produces,0
Irish,All,22,"gach, gachaon_uile",4,understands,0
Irish,All,23,"gach, gachaon_uile",4,produces,0.125
Irish,All,23,"gach, gachaon_uile",4,understands,0
Irish,All,24,"gach, gachaon_uile",4,produces,0.375
Irish,All,24,"gach, gachaon_uile",4,understands,0
Irish,All,25,"gach, gachaon_uile",6,produces,0.1667
Irish,All,25,"gach, gachaon_uile",6,understands,0
Irish,All,26,"gach, gachaon_uile",10,produces,0.05
Irish,All,26,"gach, gachaon_uile",10,understands,0
Irish,All,27,"gach, gachaon_uile",5,produces,0.4
Irish,All,27,"gach, gachaon_uile",5,understands,0
Irish,All,28,"gach, gachaon_uile",7,produces,0.1429
Irish,All,28,"gach, gachaon_uile",7,understands,0
Irish,All,29,"gach, gachaon_uile",4,produces,0.25
Irish,All,29,"gach, gachaon_uile",4,understands,0
Irish,All,30,"gach, gachaon_uile",9,produces,0.5556
Irish,All,30,"gach, gachaon_uile",9,understands,0
Irish,All,31,"gach, gachaon_uile",8,produces,0.1875
Irish,All,31,"gach, gachaon_uile",8,understands,0
Irish,All,32,"gach, gachaon_uile",4,produces,0.375
Irish,All,32,"gach, gachaon_uile",4,understands,0
Irish,All,33,"gach, gachaon_uile",5,produces,0.4
Irish,All,33,"gach, gachaon_uile",5,understands,0
