language,age,words,n,measure,prop
Mandarin (Beijing),16,换,70,produces,0
Mandarin (Beijing),16,换,70,understands,0
Mandarin (Beijing),17,换,72,produces,0.2222
Mandarin (Beijing),17,换,72,understands,0
Mandarin (Beijing),18,换,71,produces,0.2254
Mandarin (Beijing),18,换,71,understands,0
Mandarin (Beijing),19,换,70,produces,0.3714
Mandarin (Beijing),19,换,70,understands,0
Mandarin (Beijing),20,换,71,produces,0.507
Mandarin (Beijing),20,换,71,understands,0
Mandarin (Beijing),21,换,70,produces,0.5286
Mandarin (Beijing),21,换,70,understands,0
Mandarin (Beijing),22,换,71,produces,0.6761
Mandarin (Beijing),22,换,71,understands,0
Mandarin (Beijing),23,换,70,produces,0.7714
Mandarin (Beijing),23,换,70,understands,0
Mandarin (Beijing),24,换,70,produces,0.7857
Mandarin (Beijing),24,换,70,understands,0
Mandarin (Beijing),25,换,70,produces,0.8571
Mandarin (Beijing),25,换,70,understands,0
Mandarin (Beijing),26,换,71,produces,0.8732
Mandarin (Beijing),26,换,71,understands,0
Mandarin (Beijing),27,换,70,produces,0.9286
Mandarin (Beijing),27,换,70,understands,0
Mandarin (Beijing),28,换,70,produces,0.9
Mandarin (Beijing),28,换,70,understands,0
Mandarin (Beijing),29,换,70,produces,0.9714
Mandarin (Beijing),29,换,70,understands,0
Mandarin (Beijing),30,换,70,produces,0.9286
Mandarin (Beijing),30,换,70,understands,0
Cantonese,16,(交)換,46,produces,0
Cantonese,16,(交)換,46,understands,0
Cantonese,17,(交)換,61,produces,0
Cantonese,17,(交)換,61,understands,0
Cantonese,18,(交)換,68,produces,0.0147
Cantonese,18,(交)換,68,understands,0
Cantonese,19,(交)換,66,produces,0.0152
Cantonese,19,(交)換,66,understands,0
Cantonese,20,(交)換,140,produces,0.0857
Cantonese,20,(交)換,140,understands,0
Cantonese,21,(交)換,120,produces,0.125
Cantonese,21,(交)換,120,understands,0
Cantonese,22,(交)換,68,produces,0.1618
Cantonese,22,(交)換,68,understands,0
Cantonese,23,(交)換,74,produces,0.1622
Cantonese,23,(交)換,74,understands,0
Cantonese,24,(交)換,68,produces,0.2353
Cantonese,24,(交)換,68,understands,0
Cantonese,25,(交)換,65,produces,0.4
Cantonese,25,(交)換,65,understands,0
Cantonese,26,(交)換,68,produces,0.4118
Cantonese,26,(交)換,68,understands,0
Cantonese,27,(交)換,62,produces,0.3548
Cantonese,27,(交)換,62,understands,0
Cantonese,28,(交)換,66,produces,0.3939
Cantonese,28,(交)換,66,understands,0
Cantonese,29,(交)換,72,produces,0.5278
Cantonese,29,(交)換,72,understands,0
Cantonese,30,(交)換,164,produces,0.5854
Cantonese,30,(交)換,164,understands,0
