language,sex,age,words,n,measure,prop
Dutch,All,28,duur,1,produces,1
Dutch,All,28,duur,1,understands,0
Dutch,All,29,duur,48,produces,0.2917
Dutch,All,29,duur,48,understands,0
Dutch,All,30,duur,21,produces,0.1905
Dutch,All,30,duur,21,understands,0
Dutch,All,31,duur,5,produces,0.2
Dutch,All,31,duur,5,understands,0
Dutch,All,32,duur,5,produces,0.2
Dutch,All,32,duur,5,understands,0
Dutch,All,33,duur,3,produces,0.3333
Dutch,All,33,duur,3,understands,0
Dutch,All,34,duur,5,produces,0.4
Dutch,All,34,duur,5,understands,0
Dutch,All,35,duur,3,produces,0
Dutch,All,35,duur,3,understands,0
Dutch,All,36,duur,6,produces,0.5
Dutch,All,36,duur,6,understands,0
English (British),All,34,expensive,443,produces,0.2325
English (British),All,34,expensive,443,understands,0
English (British),All,35,expensive,3693,produces,0.1909
English (British),All,35,expensive,3693,understands,0
English (British),All,36,expensive,5244,produces,0.1911
English (British),All,36,expensive,5244,understands,0
English (British),All,37,expensive,906,produces,0.1954
English (British),All,37,expensive,906,understands,0
English (British),All,38,expensive,264,produces,0.197
English (British),All,38,expensive,264,understands,0
English (British),All,39,expensive,99,produces,0.2424
English (British),All,39,expensive,99,understands,0
English (British),All,40,expensive,48,produces,0.1667
English (British),All,40,expensive,48,understands,0
English (British),All,41,expensive,24,produces,0.25
English (British),All,41,expensive,24,understands,0
English (British),All,42,expensive,23,produces,0.4348
English (British),All,42,expensive,23,understands,0
English (British),All,43,expensive,12,produces,0.3333
English (British),All,43,expensive,12,understands,0
English (British),All,44,expensive,9,produces,0.4444
English (British),All,44,expensive,9,understands,0
English (British),All,45,expensive,12,produces,0.5
English (British),All,45,expensive,12,understands,0
English (British),All,46,expensive,5,produces,0
English (British),All,46,expensive,5,understands,0
English (British),All,47,expensive,8,produces,0.5
English (British),All,47,expensive,8,understands,0
Dutch,Male,28,duur,1,produces,1
Dutch,Male,28,duur,1,understands,0
Dutch,Female,29,duur,15,produces,0.2667
Dutch,Female,29,duur,15,understands,0
Dutch,Male,29,duur,12,produces,0.25
Dutch,Male,29,duur,12,understands,0
Dutch,Female,30,duur,4,produces,0.25
Dutch,Female,30,duur,4,understands,0
Dutch,Male,30,duur,3,produces,0.3333
Dutch,Male,30,duur,3,understands,0
Dutch,Female,31,duur,2,produces,0.5
Dutch,Female,31,duur,2,understands,0
Dutch,Male,31,duur,3,produces,0
Dutch,Male,31,duur,3,understands,0
Dutch,Female,32,duur,1,produces,0
Dutch,Female,32,duur,1,understands,0
Dutch,Male,32,duur,4,produces,0.25
Dutch,Male,32,duur,4,understands,0
Dutch,Female,33,duur,1,produces,0
Dutch,Female,33,duur,1,understands,0
Dutch,Male,33,duur,2,produces,0.5
Dutch,Male,33,duur,2,understands,0
Dutch,Male,34,duur,4,produces,0.25
Dutch,Male,34,duur,4,understands,0
Dutch,Female,35,duur,1,produces,0
Dutch,Female,35,duur,1,understands,0
Dutch,Male,35,duur,2,produces,0
Dutch,Male,35,duur,2,understands,0
Dutch,Female,36,duur,3,produces,0.3333
Dutch,Female,36,duur,3,understands,0
Dutch,Male,36,duur,3,produces,0.6667
Dutch,Male,36,duur,3,understands,0
English (British),Female,34,expensive,247,produces,0.2065
English (British),Female,34,expensive,247,understands,0
English (British),Male,34,expensive,196,produces,0.2653
English (British),Male,34,expensive,196,understands,0
English (British),Female,35,expensive,1927,produces,0.2003
English (British),Female,35,expensive,1927,understands,0
English (British),Male,35,expensive,1766,produces,0.1806
English (British),Male,35,expensive,1766,understands,0
English (British),Female,36,expensive,2650,produces,0.2128
English (British),Female,36,expensive,2650,understands,0
English (British),Male,36,expensive,2594,produces,0.1689
English (British),Male,36,expensive,2594,understands,0
English (British),Female,37,expensive,434,produces,0.2166
English (British),Female,37,expensive,434,understands,0
English (British),Male,37,expensive,472,produces,0.1758
English (British),Male,37,expensive,472,understands,0
English (British),Female,38,expensive,136,produces,0.1618
English (British),Female,38,expensive,136,understands,0
English (British),Male,38,expensive,128,produces,0.2344
English (British),Male,38,expensive,128,understands,0
English (British),Female,39,expensive,52,produces,0.2308
English (British),Female,39,expensive,52,understands,0
English (British),Male,39,expensive,47,produces,0.2553
English (British),Male,39,expensive,47,understands,0
English (British),Female,40,expensive,29,produces,0.1034
English (British),Female,40,expensive,29,understands,0
English (British),Male,40,expensive,19,produces,0.2632
English (British),Male,40,expensive,19,understands,0
English (British),Female,41,expensive,10,produces,0.3
English (British),Female,41,expensive,10,understands,0
English (British),Male,41,expensive,14,produces,0.2143
English (British),Male,41,expensive,14,understands,0
English (British),Female,42,expensive,10,produces,0.4
English (British),Female,42,expensive,10,understands,0
English (British),Male,42,expensive,13,produces,0.4615
English (British),Male,42,expensive,13,understands,0
English (British),Female,43,expensive,3,produces,0.3333
English (British),Female,43,expensive,3,understands,0
English (British),Male,43,expensive,9,produces,0.3333
English (British),Male,43,expensive,9,understands,0
English (British),Female,44,expensive,4,produces,0.75
English (British),Female,44,expensive,4,understands,0
English (British),Male,44,expensive,5,produces,0.2
English (British),Male,44,expensive,5,understands,0
English (British),Female,45,expensive,8,produces,0.375
English (British),Female,45,expensive,8,understands,0
English (British),Male,45,expensive,4,produces,0.75
English (British),Male,45,expensive,4,understands,0
English (British),Female,46,expensive,3,produces,0
English (British),Female,46,expensive,3,understands,0
English (British),Male,46,expensive,2,produces,0
English (British),Male,46,expensive,2,understands,0
English (British),Female,47,expensive,5,produces,0.6
English (British),Female,47,expensive,5,understands,0
English (British),Male,47,expensive,3,produces,0.3333
English (British),Male,47,expensive,3,understands,0
