language,sex,age,words,n,measure,prop
American Sign Language,All,9,FACE,4,produces,0
American Sign Language,All,9,FACE,4,understands,0.25
American Sign Language,All,10,FACE,2,produces,0.5
American Sign Language,All,10,FACE,2,understands,0.5
American Sign Language,All,11,FACE,3,produces,0
American Sign Language,All,11,FACE,3,understands,0
American Sign Language,All,12,FACE,2,produces,0
American Sign Language,All,12,FACE,2,understands,0
American Sign Language,All,13,FACE,1,produces,0
American Sign Language,All,13,FACE,1,understands,0
American Sign Language,All,15,FACE,2,produces,0
American Sign Language,All,15,FACE,2,understands,0.5
American Sign Language,All,16,FACE,2,produces,0
American Sign Language,All,16,FACE,2,understands,0
American Sign Language,All,17,FACE,3,produces,0
American Sign Language,All,17,FACE,3,understands,0.6667
American Sign Language,All,18,FACE,7,produces,0.2857
American Sign Language,All,18,FACE,7,understands,0.5714
American Sign Language,All,19,FACE,6,produces,0
American Sign Language,All,19,FACE,6,understands,0.3333
American Sign Language,All,20,FACE,3,produces,0
American Sign Language,All,20,FACE,3,understands,0
American Sign Language,All,21,FACE,3,produces,0
American Sign Language,All,21,FACE,3,understands,0.6667
American Sign Language,All,22,FACE,10,produces,0.2
American Sign Language,All,22,FACE,10,understands,0.6
American Sign Language,All,23,FACE,3,produces,0
American Sign Language,All,23,FACE,3,understands,0.6667
American Sign Language,All,24,FACE,9,produces,0.2222
American Sign Language,All,24,FACE,9,understands,0.2222
American Sign Language,All,25,FACE,11,produces,0.1818
American Sign Language,All,25,FACE,11,understands,0.7273
American Sign Language,All,26,FACE,4,produces,0.75
American Sign Language,All,26,FACE,4,understands,1
American Sign Language,All,27,FACE,6,produces,0.5
American Sign Language,All,27,FACE,6,understands,0.6667
American Sign Language,All,28,FACE,4,produces,0.75
American Sign Language,All,28,FACE,4,understands,0.75
American Sign Language,All,29,FACE,6,produces,0.5
American Sign Language,All,29,FACE,6,understands,0.8333
American Sign Language,All,30,FACE,5,produces,0.8
American Sign Language,All,30,FACE,5,understands,0.8
American Sign Language,All,31,FACE,7,produces,0.2857
