language,age,words,n,measure,prop
Mandarin (Beijing),17,工厂,40,produces,0.025
Mandarin (Beijing),17,工厂,40,understands,0
Mandarin (Beijing),18,工厂,50,produces,0
Mandarin (Beijing),18,工厂,50,understands,0
Mandarin (Beijing),19,工厂,50,produces,0.06
Mandarin (Beijing),19,工厂,50,understands,0
Mandarin (Beijing),20,工厂,50,produces,0.1
Mandarin (Beijing),20,工厂,50,understands,0
Mandarin (Beijing),21,工厂,49,produces,0.102
Mandarin (Beijing),21,工厂,49,understands,0
Mandarin (Beijing),22,工厂,46,produces,0.1304
Mandarin (Beijing),22,工厂,46,understands,0
Mandarin (Beijing),23,工厂,50,produces,0.3
Mandarin (Beijing),23,工厂,50,understands,0
Mandarin (Beijing),24,工厂,50,produces,0.32
Mandarin (Beijing),24,工厂,50,understands,0
Mandarin (Beijing),25,工厂,43,produces,0.2093
Mandarin (Beijing),25,工厂,43,understands,0
Mandarin (Beijing),26,工厂,47,produces,0.2128
Mandarin (Beijing),26,工厂,47,understands,0
Mandarin (Beijing),27,工厂,44,produces,0.2727
Mandarin (Beijing),27,工厂,44,understands,0
Mandarin (Beijing),28,工厂,44,produces,0.3182
Mandarin (Beijing),28,工厂,44,understands,0
Mandarin (Beijing),29,工厂,49,produces,0.2857
Mandarin (Beijing),29,工厂,49,understands,0
Mandarin (Beijing),30,工厂,40,produces,0.325
Mandarin (Beijing),30,工厂,40,understands,0
Spanish (Mexican),16,fábrica,68,produces,0.0147
Spanish (Mexican),16,fábrica,68,understands,0
Spanish (Mexican),17,fábrica,59,produces,0
Spanish (Mexican),17,fábrica,59,understands,0
Spanish (Mexican),18,fábrica,75,produces,0.0133
Spanish (Mexican),18,fábrica,75,understands,0
Spanish (Mexican),19,fábrica,100,produces,0.11
Spanish (Mexican),19,fábrica,100,understands,0
Spanish (Mexican),20,fábrica,107,produces,0.0748
Spanish (Mexican),20,fábrica,107,understands,0
Spanish (Mexican),21,fábrica,84,produces,0.0714
Spanish (Mexican),21,fábrica,84,understands,0
Spanish (Mexican),22,fábrica,141,produces,0.0284
Spanish (Mexican),22,fábrica,141,understands,0
Spanish (Mexican),23,fábrica,91,produces,0.011
Spanish (Mexican),23,fábrica,91,understands,0
Spanish (Mexican),24,fábrica,126,produces,0.119
Spanish (Mexican),24,fábrica,126,understands,0
Spanish (Mexican),25,fábrica,177,produces,0.1017
Spanish (Mexican),25,fábrica,177,understands,0
Spanish (Mexican),26,fábrica,83,produces,0.0964
Spanish (Mexican),26,fábrica,83,understands,0
Spanish (Mexican),27,fábrica,85,produces,0.0706
Spanish (Mexican),27,fábrica,85,understands,0
Spanish (Mexican),28,fábrica,89,produces,0.1124
Spanish (Mexican),28,fábrica,89,understands,0
Spanish (Mexican),29,fábrica,89,produces,0.1798
Spanish (Mexican),29,fábrica,89,understands,0
Spanish (Mexican),30,fábrica,308,produces,0.0422
Spanish (Mexican),30,fábrica,308,understands,0
