language,sex,age,words,n,measure,prop
Cantonese,All,16,水龍頭/水喉,46,produces,0
Cantonese,All,16,水龍頭/水喉,46,understands,0
Cantonese,All,17,水龍頭/水喉,61,produces,0
Cantonese,All,17,水龍頭/水喉,61,understands,0
Cantonese,All,18,水龍頭/水喉,68,produces,0.0147
Cantonese,All,18,水龍頭/水喉,68,understands,0
Cantonese,All,19,水龍頭/水喉,66,produces,0
Cantonese,All,19,水龍頭/水喉,66,understands,0
Cantonese,All,20,水龍頭/水喉,140,produces,0.0357
Cantonese,All,20,水龍頭/水喉,140,understands,0
Cantonese,All,21,水龍頭/水喉,120,produces,0.0167
Cantonese,All,21,水龍頭/水喉,120,understands,0
Cantonese,All,22,水龍頭/水喉,68,produces,0.0588
Cantonese,All,22,水龍頭/水喉,68,understands,0
Cantonese,All,23,水龍頭/水喉,74,produces,0.2027
Cantonese,All,23,水龍頭/水喉,74,understands,0
Cantonese,All,24,水龍頭/水喉,68,produces,0.1471
Cantonese,All,24,水龍頭/水喉,68,understands,0
Cantonese,All,25,水龍頭/水喉,65,produces,0.2154
Cantonese,All,25,水龍頭/水喉,65,understands,0
Cantonese,All,26,水龍頭/水喉,68,produces,0.3529
Cantonese,All,26,水龍頭/水喉,68,understands,0
Cantonese,All,27,水龍頭/水喉,62,produces,0.4355
Cantonese,All,27,水龍頭/水喉,62,understands,0
Cantonese,All,28,水龍頭/水喉,66,produces,0.4697
Cantonese,All,28,水龍頭/水喉,66,understands,0
Cantonese,All,29,水龍頭/水喉,72,produces,0.5833
Cantonese,All,29,水龍頭/水喉,72,understands,0
Cantonese,All,30,水龍頭/水喉,164,produces,0.439
Cantonese,All,30,水龍頭/水喉,164,understands,0
Catalan,All,8,aixeta,39,produces,0
Catalan,All,8,aixeta,39,understands,0
Catalan,All,9,aixeta,46,produces,0
Catalan,All,9,aixeta,46,understands,0.0217
Catalan,All,10,aixeta,43,produces,0
Catalan,All,10,aixeta,43,understands,0
Catalan,All,11,aixeta,43,produces,0
Catalan,All,11,aixeta,43,understands,0.0698
Catalan,All,12,aixeta,59,produces,0
Catalan,All,12,aixeta,59,understands,0.0847
Catalan,All,13,aixeta,44,produces,0
Catalan,All,13,aixeta,44,understands,0.0909
Catalan,All,14,aixeta,60,produces,0
Catalan,All,14,aixeta,60,understands,0.2167
Catalan,All,15,aixeta,70,produces,0
Catalan,All,15,aixeta,70,understands,0.2429
Catalan,All,16,aixeta,73,produces,0
Catalan,All,16,aixeta,73,understands,0.1781
Catalan,All,17,aixeta,110,produces,0.0273
